frequency,raw
20.00,4.31
20.20,4.24
20.40,4.17
20.61,4.10
20.81,4.03
21.02,3.98
21.23,3.95
21.44,3.97
21.66,4.02
21.87,4.08
22.09,4.15
22.31,4.21
22.54,4.25
22.76,4.26
22.99,4.23
23.22,4.16
23.45,4.06
23.69,3.95
23.92,3.83
24.16,3.73
24.40,3.63
24.65,3.56
24.89,3.49
25.14,3.43
25.39,3.38
25.65,3.34
25.91,3.30
26.16,3.28
26.43,3.27
26.69,3.25
26.96,3.23
27.23,3.18
27.50,3.10
27.77,2.99
28.05,2.88
28.33,2.78
28.62,2.71
28.90,2.68
29.19,2.68
29.48,2.69
29.78,2.70
30.08,2.70
30.38,2.67
30.68,2.64
30.99,2.59
31.30,2.56
31.61,2.52
31.93,2.48
32.24,2.43
32.57,2.37
32.89,2.30
33.22,2.23
33.55,2.17
33.89,2.11
34.23,2.08
34.57,2.05
34.92,2.04
35.27,2.03
35.62,2.01
35.97,1.98
36.33,1.91
36.70,1.83
37.06,1.75
37.43,1.66
37.81,1.62
38.19,1.58
38.57,1.56
38.95,1.54
39.34,1.51
39.74,1.46
40.14,1.40
40.54,1.33
40.94,1.26
41.35,1.19
41.76,1.12
42.18,1.05
42.60,0.98
43.03,0.91
43.46,0.85
43.90,0.80
44.33,0.76
44.78,0.72
45.23,0.69
45.68,0.65
46.13,0.61
46.60,0.57
47.06,0.54
47.53,0.51
48.01,0.48
48.49,0.44
48.97,0.36
49.46,0.27
49.96,0.19
50.46,0.11
50.96,0.03
51.47,-0.04
51.99,-0.11
52.51,-0.16
53.03,-0.19
53.56,-0.21
54.10,-0.24
54.64,-0.29
55.18,-0.35
55.74,-0.42
56.29,-0.47
56.86,-0.49
57.42,-0.52
58.00,-0.55
58.58,-0.61
59.16,-0.67
59.76,-0.73
60.35,-0.79
60.96,-0.86
61.57,-0.94
62.18,-1.01
62.80,-1.07
63.43,-1.13
64.07,-1.19
64.71,-1.26
65.35,-1.34
66.01,-1.44
66.67,-1.51
67.33,-1.56
68.01,-1.58
68.69,-1.57
69.37,-1.58
70.07,-1.60
70.77,-1.63
71.48,-1.69
72.19,-1.74
72.91,-1.74
73.64,-1.74
74.38,-1.81
75.12,-1.94
75.87,-2.02
76.63,-2.09
77.40,-2.15
78.17,-2.20
78.95,-2.26
79.74,-2.32
80.54,-2.37
81.35,-2.41
82.16,-2.44
82.98,-2.48
83.81,-2.51
84.65,-2.58
85.50,-2.63
86.35,-2.68
87.22,-2.72
88.09,-2.77
88.97,-2.82
89.86,-2.89
90.76,-2.92
91.66,-2.97
92.58,-3.03
93.51,-3.06
94.44,-3.10
95.39,-3.15
96.34,-3.20
97.30,-3.25
98.28,-3.30
99.26,-3.35
100.25,-3.40
101.25,-3.43
102.27,-3.47
103.29,-3.51
104.32,-3.56
105.37,-3.60
106.42,-3.64
107.48,-3.67
108.56,-3.71
109.64,-3.76
110.74,-3.80
111.85,-3.85
112.97,-3.87
114.10,-3.89
115.24,-3.94
116.39,-3.99
117.55,-4.05
118.73,-4.12
119.92,-4.19
121.12,-4.23
122.33,-4.25
123.55,-4.30
124.79,-4.35
126.03,-4.40
127.29,-4.47
128.57,-4.55
129.85,-4.64
131.15,-4.73
132.46,-4.83
133.79,-4.94
135.12,-5.09
136.48,-5.26
137.84,-5.46
139.22,-5.72
140.61,-6.08
142.02,-6.55
143.44,-7.11
144.87,-7.89
146.32,-9.30
147.78,-11.09
149.26,-14.16
150.75,-15.77
152.26,-15.95
153.78,-12.97
155.32,-9.74
156.88,-7.81
158.44,-6.44
160.03,-5.43
161.63,-4.82
163.24,-4.27
164.88,-3.79
166.53,-3.33
168.19,-2.84
169.87,-2.31
171.57,-1.58
173.29,-0.71
175.02,0.29
176.77,1.32
178.54,2.02
180.32,2.40
182.13,2.31
183.95,2.40
185.79,2.84
187.65,3.69
189.52,4.31
191.42,3.84
193.33,2.63
195.27,0.98
197.22,-0.35
199.19,-1.22
201.18,-1.82
203.19,-2.26
205.23,-2.56
207.28,-2.79
209.35,-2.99
211.44,-3.13
213.56,-3.25
215.69,-3.35
217.85,-3.44
220.03,-3.51
222.23,-3.57
224.45,-3.62
226.70,-3.67
228.96,-3.73
231.25,-3.83
233.57,-3.96
235.90,-4.06
238.26,-3.90
240.64,-3.76
243.05,-3.71
245.48,-3.74
247.93,-3.80
250.41,-3.94
252.92,-4.29
255.45,-4.30
258.00,-4.05
260.58,-3.96
263.19,-3.90
265.82,-3.88
268.48,-3.87
271.16,-3.86
273.87,-3.85
276.61,-3.84
279.38,-3.83
282.17,-3.82
284.99,-3.81
287.84,-3.80
290.72,-3.79
293.63,-3.78
296.57,-3.76
299.53,-3.75
302.53,-3.73
305.55,-3.72
308.61,-3.70
311.69,-3.69
314.81,-3.67
317.96,-3.65
321.14,-3.64
324.35,-3.62
327.59,-3.60
330.87,-3.58
334.18,-3.56
337.52,-3.54
340.90,-3.52
344.30,-3.50
347.75,-3.48
351.23,-3.46
354.74,-3.44
358.28,-3.42
361.87,-3.40
365.49,-3.38
369.14,-3.36
372.83,-3.35
376.56,-3.34
380.33,-3.33
384.13,-3.31
387.97,-3.30
391.85,-3.29
395.77,-3.27
399.73,-3.25
403.72,-3.23
407.76,-3.21
411.84,-3.19
415.96,-3.17
420.12,-3.14
424.32,-3.12
428.56,-3.10
432.85,-3.07
437.18,-3.05
441.55,-3.02
445.96,-2.99
450.42,-2.97
454.93,-2.94
459.48,-2.91
464.07,-2.88
468.71,-2.85
473.40,-2.82
478.13,-2.80
482.91,-2.77
487.74,-2.75
492.62,-2.73
497.55,-2.70
502.52,-2.68
507.55,-2.66
512.62,-2.64
517.75,-2.62
522.93,-2.60
528.16,-2.58
533.44,-2.56
538.77,-2.53
544.16,-2.51
549.60,-2.49
555.10,-2.48
560.65,-2.47
566.25,-2.46
571.92,-2.46
577.64,-2.45
583.41,-2.42
589.25,-2.39
595.14,-2.35
601.09,-2.32
607.10,-2.29
613.17,-2.27
619.30,-2.25
625.50,-2.21
631.75,-2.17
638.07,-2.12
644.45,-2.08
650.89,-2.05
657.40,-2.03
663.98,-2.01
670.62,-1.99
677.32,-1.96
684.10,-1.93
690.94,-1.90
697.85,-1.87
704.83,-1.84
711.87,-1.81
718.99,-1.78
726.18,-1.75
733.44,-1.72
740.78,-1.69
748.19,-1.66
755.67,-1.63
763.23,-1.59
770.86,-1.56
778.57,-1.52
786.35,-1.48
794.22,-1.44
802.16,-1.40
810.18,-1.36
818.28,-1.31
826.46,-1.27
834.73,-1.22
843.08,-1.17
851.51,-1.12
860.02,-1.06
868.62,-1.01
877.31,-0.95
886.08,-0.89
894.94,-0.83
903.89,-0.76
912.93,-0.70
922.06,-0.63
931.28,-0.55
940.59,-0.47
950.00,-0.40
959.50,-0.32
969.09,-0.24
978.78,-0.17
988.57,-0.09
998.46,-0.01
1008.44,0.07
1018.53,0.16
1028.71,0.24
1039.00,0.34
1049.39,0.43
1059.88,0.53
1070.48,0.62
1081.19,0.72
1092.00,0.81
1102.92,0.90
1113.95,0.99
1125.09,1.08
1136.34,1.18
1147.70,1.27
1159.18,1.35
1170.77,1.44
1182.48,1.53
1194.30,1.61
1206.25,1.70
1218.31,1.79
1230.49,1.88
1242.80,1.97
1255.22,2.05
1267.78,2.13
1280.45,2.22
1293.26,2.29
1306.19,2.37
1319.25,2.44
1332.45,2.51
1345.77,2.58
1359.23,2.65
1372.82,2.73
1386.55,2.81
1400.41,2.89
1414.42,2.97
1428.56,3.04
1442.85,3.12
1457.28,3.20
1471.85,3.27
1486.57,3.35
1501.43,3.42
1516.45,3.49
1531.61,3.56
1546.93,3.64
1562.40,3.71
1578.02,3.77
1593.80,3.84
1609.74,3.91
1625.84,3.98
1642.10,4.06
1658.52,4.13
1675.10,4.21
1691.85,4.29
1708.77,4.38
1725.86,4.47
1743.12,4.57
1760.55,4.67
1778.15,4.77
1795.94,4.88
1813.90,4.99
1832.03,5.09
1850.36,5.20
1868.86,5.30
1887.55,5.40
1906.42,5.50
1925.49,5.61
1944.74,5.72
1964.19,5.84
1983.83,5.95
2003.67,6.07
2023.71,6.19
2043.94,6.32
2064.38,6.44
2085.03,6.56
2105.88,6.69
2126.94,6.81
2148.20,6.94
2169.69,7.07
2191.38,7.19
2213.30,7.32
2235.43,7.44
2257.78,7.58
2280.36,7.73
2303.17,7.87
2326.20,8.00
2349.46,8.13
2372.95,8.25
2396.68,8.37
2420.65,8.49
2444.86,8.61
2469.31,8.72
2494.00,8.81
2518.94,8.90
2544.13,8.99
2569.57,9.07
2595.27,9.15
2621.22,9.22
2647.43,9.28
2673.90,9.33
2700.64,9.37
2727.65,9.40
2754.93,9.42
2782.48,9.43
2810.30,9.44
2838.40,9.44
2866.79,9.42
2895.46,9.40
2924.41,9.36
2953.65,9.32
2983.19,9.28
3013.02,9.23
3043.15,9.19
3073.58,9.15
3104.32,9.11
3135.36,9.07
3166.72,9.03
3198.38,8.98
3230.37,8.92
3262.67,8.86
3295.30,8.80
3328.25,8.73
3361.53,8.65
3395.15,8.57
3429.10,8.49
3463.39,8.40
3498.03,8.32
3533.01,8.24
3568.34,8.16
3604.02,8.07
3640.06,7.99
3676.46,7.91
3713.22,7.83
3750.36,7.75
3787.86,7.67
3825.74,7.60
3864.00,7.54
3902.64,7.49
3941.66,7.44
3981.08,7.40
4020.89,7.37
4061.10,7.35
4101.71,7.35
4142.73,7.37
4184.15,7.41
4226.00,7.47
4268.26,7.54
4310.94,7.61
4354.05,7.71
4397.59,7.81
4441.56,7.90
4485.98,7.99
4530.84,8.08
4576.15,8.17
4621.91,8.26
4668.13,8.35
4714.81,8.44
4761.96,8.54
4809.58,8.65
4857.67,8.77
4906.25,8.90
4955.31,9.04
5004.87,9.19
5054.91,9.36
5105.46,9.54
5156.52,9.72
5208.08,9.92
5260.16,10.14
5312.77,10.36
5365.89,10.60
5419.55,10.85
5473.75,11.10
5528.49,11.33
5583.77,11.54
5639.61,11.70
5696.00,11.85
5752.96,11.89
5810.49,11.90
5868.60,11.80
5927.28,11.65
5986.56,11.43
6046.42,11.15
6106.89,10.84
6167.96,10.50
6229.64,10.17
6291.93,9.84
6354.85,9.55
6418.40,9.28
6482.58,9.05
6547.41,8.86
6612.88,8.70
6679.01,8.58
6745.80,8.51
6813.26,8.47
6881.39,8.47
6950.21,8.50
7019.71,8.56
7089.91,8.66
7160.81,8.83
7232.41,9.03
7304.74,9.28
7377.79,9.56
7451.56,9.88
7526.08,10.21
7601.34,10.58
7677.35,10.94
7754.13,11.31
7831.67,11.64
7909.98,11.92
7989.08,12.13
8068.98,12.21
8149.67,12.21
8231.16,12.11
8313.47,11.89
8396.61,11.61
8480.57,11.26
8565.38,10.86
8651.03,10.43
8737.54,9.99
8824.92,9.51
8913.17,8.98
9002.30,8.43
9092.32,7.80
9183.25,7.14
9275.08,6.45
9367.83,5.74
9461.51,5.01
9556.12,4.30
9651.68,3.61
9748.20,2.93
9845.68,2.29
9944.14,1.70
10043.58,1.15
10144.02,0.63
10245.46,0.19
10347.91,-0.22
10451.39,-0.58
10555.91,-0.88
10661.46,-1.15
10768.08,-1.38
10875.76,-1.56
10984.52,-1.70
11094.36,-1.83
11205.31,-1.93
11317.36,-1.99
11430.53,-2.05
11544.84,-2.10
11660.29,-2.16
11776.89,-2.24
11894.66,-2.36
12013.60,-2.47
12133.74,-2.61
12255.08,-2.78
12377.63,-2.99
12501.41,-3.23
12626.42,-3.51
12752.68,-3.81
12880.21,-4.10
13009.01,-4.39
13139.10,-4.68
13270.49,-4.88
13403.20,-5.03
13537.23,-4.99
13672.60,-4.73
13809.33,-4.22
13947.42,-3.24
14086.90,-2.34
14227.77,-1.47
14370.04,-0.94
14513.74,-0.77
14658.88,-0.82
14805.47,-0.87
14953.52,-0.91
15103.06,-1.04
15254.09,-1.21
15406.63,-1.63
15560.70,-2.12
15716.30,-2.72
15873.47,-3.36
16032.20,-3.98
16192.52,-4.50
16354.45,-4.88
16517.99,-5.17
16683.17,-5.31
16850.01,-5.38
17018.51,-5.40
17188.69,-5.45
17360.58,-5.69
17534.18,-6.15
17709.53,-7.10
17886.62,-8.47
18065.49,-10.07
18246.14,-11.81
18428.60,-13.51
18612.89,-15.13
18799.02,-16.67
18987.01,-18.09
19176.88,-19.39
19368.65,-20.57
19562.33,-21.70
19757.96,-22.87
19955.54,-24.03
