frequency,raw
20.00,6.35
20.20,6.40
20.40,6.45
20.61,6.51
20.81,6.56
21.02,6.61
21.23,6.67
21.44,6.72
21.66,6.77
21.87,6.82
22.09,6.87
22.31,6.92
22.54,6.97
22.76,7.01
22.99,7.06
23.22,7.11
23.45,7.15
23.69,7.20
23.92,7.24
24.16,7.29
24.40,7.33
24.65,7.37
24.89,7.42
25.14,7.46
25.39,7.50
25.65,7.54
25.91,7.58
26.16,7.62
26.43,7.66
26.69,7.70
26.96,7.74
27.23,7.78
27.50,7.82
27.77,7.85
28.05,7.89
28.33,7.92
28.62,7.96
28.90,7.99
29.19,8.03
29.48,8.06
29.78,8.09
30.08,8.12
30.38,8.15
30.68,8.18
30.99,8.21
31.30,8.24
31.61,8.27
31.93,8.30
32.24,8.32
32.57,8.35
32.89,8.38
33.22,8.40
33.55,8.43
33.89,8.45
34.23,8.47
34.57,8.49
34.92,8.52
35.27,8.54
35.62,8.56
35.97,8.58
36.33,8.59
36.70,8.61
37.06,8.63
37.43,8.65
37.81,8.66
38.19,8.68
38.57,8.69
38.95,8.70
39.34,8.72
39.74,8.73
40.14,8.74
40.54,8.75
40.94,8.76
41.35,8.77
41.76,8.78
42.18,8.78
42.60,8.79
43.03,8.80
43.46,8.80
43.90,8.81
44.33,8.81
44.78,8.81
45.23,8.81
45.68,8.81
46.13,8.81
46.60,8.81
47.06,8.81
47.53,8.80
48.01,8.80
48.49,8.79
48.97,8.79
49.46,8.78
49.96,8.77
50.46,8.77
50.96,8.76
51.47,8.75
51.99,8.74
52.51,8.72
53.03,8.71
53.56,8.70
54.10,8.68
54.64,8.67
55.18,8.65
55.74,8.63
56.29,8.61
56.86,8.59
57.42,8.57
58.00,8.55
58.58,8.53
59.16,8.50
59.76,8.48
60.35,8.45
60.96,8.42
61.57,8.40
62.18,8.37
62.80,8.34
63.43,8.31
64.07,8.28
64.71,8.25
65.35,8.22
66.01,8.19
66.67,8.15
67.33,8.11
68.01,8.07
68.69,8.04
69.37,8.00
70.07,7.95
70.77,7.91
71.48,7.87
72.19,7.82
72.91,7.78
73.64,7.73
74.38,7.68
75.12,7.63
75.87,7.58
76.63,7.53
77.40,7.48
78.17,7.42
78.95,7.37
79.74,7.31
80.54,7.26
81.35,7.20
82.16,7.14
82.98,7.08
83.81,7.02
84.65,6.95
85.50,6.89
86.35,6.82
87.22,6.76
88.09,6.69
88.97,6.62
89.86,6.55
90.76,6.48
91.66,6.41
92.58,6.33
93.51,6.26
94.44,6.18
95.39,6.10
96.34,6.02
97.30,5.94
98.28,5.86
99.26,5.78
100.25,5.70
101.25,5.61
102.27,5.53
103.29,5.44
104.32,5.35
105.37,5.26
106.42,5.17
107.48,5.08
108.56,4.98
109.64,4.89
110.74,4.80
111.85,4.70
112.97,4.60
114.10,4.50
115.24,4.40
116.39,4.30
117.55,4.20
118.73,4.10
119.92,4.00
121.12,3.89
122.33,3.78
123.55,3.68
124.79,3.57
126.03,3.46
127.29,3.35
128.57,3.24
129.85,3.13
131.15,3.02
132.46,2.91
133.79,2.79
135.12,2.68
136.48,2.57
137.84,2.45
139.22,2.33
140.61,2.22
142.02,2.10
143.44,1.99
144.87,1.87
146.32,1.76
147.78,1.64
149.26,1.53
150.75,1.42
152.26,1.30
153.78,1.19
155.32,1.07
156.88,0.96
158.44,0.85
160.03,0.74
161.63,0.64
163.24,0.53
164.88,0.43
166.53,0.33
168.19,0.23
169.87,0.14
171.57,0.04
173.29,-0.05
175.02,-0.13
176.77,-0.21
178.54,-0.29
180.32,-0.36
182.13,-0.42
183.95,-0.48
185.79,-0.53
187.65,-0.58
189.52,-0.61
191.42,-0.65
193.33,-0.68
195.27,-0.71
197.22,-0.73
199.19,-0.76
201.18,-0.78
203.19,-0.81
205.23,-0.83
207.28,-0.86
209.35,-0.88
211.44,-0.91
213.56,-0.94
215.69,-0.96
217.85,-0.98
220.03,-1.00
222.23,-1.02
224.45,-1.04
226.70,-1.06
228.96,-1.07
231.25,-1.08
233.57,-1.09
235.90,-1.10
238.26,-1.11
240.64,-1.12
243.05,-1.13
245.48,-1.13
247.93,-1.14
250.41,-1.14
252.92,-1.14
255.45,-1.15
258.00,-1.15
260.58,-1.15
263.19,-1.14
265.82,-1.14
268.48,-1.14
271.16,-1.13
273.87,-1.13
276.61,-1.13
279.38,-1.12
282.17,-1.12
284.99,-1.11
287.84,-1.10
290.72,-1.10
293.63,-1.09
296.57,-1.09
299.53,-1.08
302.53,-1.08
305.55,-1.07
308.61,-1.07
311.69,-1.06
314.81,-1.06
317.96,-1.05
321.14,-1.05
324.35,-1.05
327.59,-1.05
330.87,-1.04
334.18,-1.04
337.52,-1.04
340.90,-1.04
344.30,-1.04
347.75,-1.05
351.23,-1.05
354.74,-1.05
358.28,-1.06
361.87,-1.06
365.49,-1.07
369.14,-1.07
372.83,-1.08
376.56,-1.09
380.33,-1.10
384.13,-1.11
387.97,-1.12
391.85,-1.13
395.77,-1.14
399.73,-1.15
403.72,-1.17
407.76,-1.18
411.84,-1.20
415.96,-1.21
420.12,-1.23
424.32,-1.25
428.56,-1.27
432.85,-1.29
437.18,-1.32
441.55,-1.34
445.96,-1.37
450.42,-1.39
454.93,-1.42
459.48,-1.45
464.07,-1.48
468.71,-1.51
473.40,-1.54
478.13,-1.57
482.91,-1.60
487.74,-1.64
492.62,-1.67
497.55,-1.71
502.52,-1.74
507.55,-1.78
512.62,-1.82
517.75,-1.86
522.93,-1.90
528.16,-1.94
533.44,-1.98
538.77,-2.02
544.16,-2.06
549.60,-2.10
555.10,-2.14
560.65,-2.17
566.25,-2.21
571.92,-2.24
577.64,-2.28
583.41,-2.31
589.25,-2.34
595.14,-2.37
601.09,-2.40
607.10,-2.42
613.17,-2.44
619.30,-2.46
625.50,-2.48
631.75,-2.49
638.07,-2.51
644.45,-2.52
650.89,-2.53
657.40,-2.53
663.98,-2.54
670.62,-2.54
677.32,-2.54
684.10,-2.54
690.94,-2.53
697.85,-2.52
704.83,-2.51
711.87,-2.49
718.99,-2.47
726.18,-2.44
733.44,-2.40
740.78,-2.36
748.19,-2.32
755.67,-2.27
763.23,-2.22
770.86,-2.16
778.57,-2.11
786.35,-2.05
794.22,-1.99
802.16,-1.92
810.18,-1.86
818.28,-1.79
826.46,-1.73
834.73,-1.66
843.08,-1.59
851.51,-1.52
860.02,-1.44
868.62,-1.37
877.31,-1.29
886.08,-1.21
894.94,-1.13
903.89,-1.04
912.93,-0.96
922.06,-0.87
931.28,-0.79
940.59,-0.70
950.00,-0.62
959.50,-0.54
969.09,-0.45
978.78,-0.34
988.57,-0.20
998.46,-0.03
1008.44,0.16
1018.53,0.37
1028.71,0.59
1039.00,0.80
1049.39,0.99
1059.88,1.14
1070.48,1.20
1081.19,1.20
1092.00,1.14
1102.92,1.01
1113.95,0.88
1125.09,0.74
1136.34,0.64
1147.70,0.58
1159.18,0.55
1170.77,0.58
1182.48,0.66
1194.30,0.77
1206.25,0.90
1218.31,1.03
1230.49,1.15
1242.80,1.26
1255.22,1.36
1267.78,1.46
1280.45,1.55
1293.26,1.64
1306.19,1.72
1319.25,1.80
1332.45,1.88
1345.77,1.96
1359.23,2.04
1372.82,2.12
1386.55,2.19
1400.41,2.27
1414.42,2.35
1428.56,2.43
1442.85,2.51
1457.28,2.59
1471.85,2.67
1486.57,2.75
1501.43,2.84
1516.45,2.93
1531.61,3.02
1546.93,3.11
1562.40,3.20
1578.02,3.30
1593.80,3.40
1609.74,3.50
1625.84,3.60
1642.10,3.71
1658.52,3.82
1675.10,3.93
1691.85,4.04
1708.77,4.16
1725.86,4.28
1743.12,4.40
1760.55,4.52
1778.15,4.64
1795.94,4.77
1813.90,4.89
1832.03,5.02
1850.36,5.15
1868.86,5.28
1887.55,5.41
1906.42,5.55
1925.49,5.68
1944.74,5.81
1964.19,5.95
1983.83,6.08
2003.67,6.22
2023.71,6.35
2043.94,6.49
2064.38,6.62
2085.03,6.76
2105.88,6.89
2126.94,7.03
2148.20,7.16
2169.69,7.29
2191.38,7.43
2213.30,7.56
2235.43,7.69
2257.78,7.81
2280.36,7.94
2303.17,8.06
