frequency,raw
20.00,3.96
20.20,4.01
20.40,4.06
20.61,4.11
20.81,4.17
21.02,4.22
21.23,4.27
21.44,4.33
21.66,4.37
21.87,4.42
22.09,4.47
22.31,4.52
22.54,4.57
22.76,4.63
22.99,4.69
23.22,4.75
23.45,4.81
23.69,4.84
23.92,4.88
24.16,4.91
24.40,4.94
24.65,4.98
24.89,5.02
25.14,5.07
25.39,5.11
25.65,5.15
25.91,5.19
26.16,5.22
26.43,5.28
26.69,5.32
26.96,5.35
27.23,5.39
27.50,5.44
27.77,5.48
28.05,5.50
28.33,5.55
28.62,5.59
28.90,5.63
29.19,5.66
29.48,5.70
29.78,5.74
30.08,5.77
30.38,5.82
30.68,5.85
30.99,5.88
31.30,5.93
31.61,5.96
31.93,6.00
32.24,6.03
32.57,6.07
32.89,6.10
33.22,6.14
33.55,6.18
33.89,6.22
34.23,6.25
34.57,6.30
34.92,6.33
35.27,6.38
35.62,6.42
35.97,6.47
36.33,6.53
36.70,6.58
37.06,6.63
37.43,6.68
37.81,6.73
38.19,6.78
38.57,6.84
38.95,6.89
39.34,6.95
39.74,7.00
40.14,7.06
40.54,7.12
40.94,7.17
41.35,7.24
41.76,7.30
42.18,7.36
42.60,7.42
43.03,7.48
43.46,7.55
43.90,7.61
44.33,7.66
44.78,7.71
45.23,7.77
45.68,7.82
46.13,7.87
46.60,7.92
47.06,7.96
47.53,8.01
48.01,8.05
48.49,8.09
48.97,8.13
49.46,8.17
49.96,8.20
50.46,8.23
50.96,8.26
51.47,8.28
51.99,8.31
52.51,8.33
53.03,8.34
53.56,8.36
54.10,8.37
54.64,8.39
55.18,8.39
55.74,8.40
56.29,8.40
56.86,8.40
57.42,8.40
58.00,8.39
58.58,8.39
59.16,8.38
59.76,8.37
60.35,8.36
60.96,8.34
61.57,8.32
62.18,8.30
62.80,8.27
63.43,8.25
64.07,8.22
64.71,8.19
65.35,8.16
66.01,8.13
66.67,8.09
67.33,8.05
68.01,8.01
68.69,7.97
69.37,7.93
70.07,7.88
70.77,7.84
71.48,7.79
72.19,7.74
72.91,7.69
73.64,7.63
74.38,7.58
75.12,7.52
75.87,7.46
76.63,7.40
77.40,7.34
78.17,7.28
78.95,7.21
79.74,7.15
80.54,7.08
81.35,7.01
82.16,6.94
82.98,6.87
83.81,6.79
84.65,6.72
85.50,6.64
86.35,6.56
87.22,6.48
88.09,6.40
88.97,6.32
89.86,6.24
90.76,6.15
91.66,6.07
92.58,5.98
93.51,5.89
94.44,5.80
95.39,5.71
96.34,5.62
97.30,5.52
98.28,5.43
99.26,5.33
100.25,5.23
101.25,5.13
102.27,5.03
103.29,4.93
104.32,4.83
105.37,4.73
106.42,4.63
107.48,4.53
108.56,4.42
109.64,4.32
110.74,4.21
111.85,4.11
112.97,4.00
114.10,3.89
115.24,3.79
116.39,3.68
117.55,3.57
118.73,3.46
119.92,3.35
121.12,3.24
122.33,3.13
123.55,3.02
124.79,2.91
126.03,2.79
127.29,2.68
128.57,2.56
129.85,2.44
131.15,2.32
132.46,2.20
133.79,2.08
135.12,1.96
136.48,1.84
137.84,1.72
139.22,1.60
140.61,1.48
142.02,1.35
143.44,1.22
144.87,1.09
146.32,0.95
147.78,0.81
149.26,0.66
150.75,0.51
152.26,0.35
153.78,0.19
155.32,0.03
156.88,-0.13
158.44,-0.30
160.03,-0.47
161.63,-0.63
163.24,-0.80
164.88,-0.96
166.53,-1.12
168.19,-1.27
169.87,-1.42
171.57,-1.57
173.29,-1.71
175.02,-1.84
176.77,-1.96
178.54,-2.07
180.32,-2.17
182.13,-2.26
183.95,-2.34
185.79,-2.41
187.65,-2.47
189.52,-2.53
191.42,-2.58
193.33,-2.62
195.27,-2.66
197.22,-2.69
199.19,-2.72
201.18,-2.74
203.19,-2.77
205.23,-2.79
207.28,-2.80
209.35,-2.82
211.44,-2.83
213.56,-2.85
215.69,-2.87
217.85,-2.89
220.03,-2.91
222.23,-2.94
224.45,-2.98
226.70,-3.01
228.96,-3.05
231.25,-3.10
233.57,-3.14
235.90,-3.19
238.26,-3.23
240.64,-3.27
243.05,-3.30
245.48,-3.33
247.93,-3.34
250.41,-3.35
252.92,-3.34
255.45,-3.33
258.00,-3.31
260.58,-3.28
263.19,-3.25
265.82,-3.22
268.48,-3.19
271.16,-3.16
273.87,-3.14
276.61,-3.12
279.38,-3.11
282.17,-3.10
284.99,-3.10
287.84,-3.10
290.72,-3.11
293.63,-3.12
296.57,-3.13
299.53,-3.15
302.53,-3.17
305.55,-3.19
308.61,-3.22
311.69,-3.24
314.81,-3.27
317.96,-3.30
321.14,-3.33
324.35,-3.36
327.59,-3.39
330.87,-3.43
334.18,-3.47
337.52,-3.50
340.90,-3.54
344.30,-3.58
347.75,-3.62
351.23,-3.66
354.74,-3.70
358.28,-3.73
361.87,-3.77
365.49,-3.80
369.14,-3.82
372.83,-3.84
376.56,-3.84
380.33,-3.84
384.13,-3.84
387.97,-3.83
391.85,-3.81
395.77,-3.80
399.73,-3.80
403.72,-3.81
407.76,-3.83
411.84,-3.86
415.96,-3.90
420.12,-3.95
424.32,-4.01
428.56,-4.06
432.85,-4.09
437.18,-4.11
441.55,-4.11
445.96,-4.08
450.42,-4.02
454.93,-3.94
459.48,-3.84
464.07,-3.73
468.71,-3.60
473.40,-3.46
478.13,-3.32
482.91,-3.18
487.74,-3.03
492.62,-2.89
497.55,-2.75
502.52,-2.61
507.55,-2.48
512.62,-2.35
517.75,-2.22
522.93,-2.11
528.16,-1.99
533.44,-1.89
538.77,-1.78
544.16,-1.68
549.60,-1.59
555.10,-1.49
560.65,-1.39
566.25,-1.30
571.92,-1.19
577.64,-1.09
583.41,-0.98
589.25,-0.87
595.14,-0.76
601.09,-0.65
607.10,-0.53
613.17,-0.42
619.30,-0.32
625.50,-0.21
631.75,-0.11
638.07,-0.02
644.45,0.07
650.89,0.15
657.40,0.23
663.98,0.29
670.62,0.35
677.32,0.40
684.10,0.44
690.94,0.47
697.85,0.49
704.83,0.50
711.87,0.50
718.99,0.50
726.18,0.50
733.44,0.49
740.78,0.48
748.19,0.46
755.67,0.44
763.23,0.42
770.86,0.40
778.57,0.37
786.35,0.34
794.22,0.31
802.16,0.28
810.18,0.25
818.28,0.22
826.46,0.18
834.73,0.15
843.08,0.11
851.51,0.08
860.02,0.05
868.62,0.02
877.31,-0.01
886.08,-0.04
894.94,-0.06
903.89,-0.08
912.93,-0.10
922.06,-0.11
931.28,-0.12
940.59,-0.12
950.00,-0.12
959.50,-0.11
969.09,-0.09
978.78,-0.07
988.57,-0.04
998.46,-0.01
1008.44,0.04
1018.53,0.09
1028.71,0.14
1039.00,0.20
1049.39,0.27
1059.88,0.34
1070.48,0.42
1081.19,0.50
1092.00,0.59
1102.92,0.68
1113.95,0.77
1125.09,0.87
1136.34,0.97
1147.70,1.06
1159.18,1.17
1170.77,1.27
1182.48,1.37
1194.30,1.47
1206.25,1.57
1218.31,1.67
1230.49,1.77
1242.80,1.86
1255.22,1.96
1267.78,2.05
1280.45,2.14
1293.26,2.23
1306.19,2.31
1319.25,2.39
1332.45,2.47
1345.77,2.54
1359.23,2.61
1372.82,2.68
1386.55,2.74
1400.41,2.79
1414.42,2.85
1428.56,2.89
1442.85,2.94
1457.28,2.98
1471.85,3.02
1486.57,3.05
1501.43,3.08
1516.45,3.11
1531.61,3.14
1546.93,3.17
1562.40,3.19
1578.02,3.22
1593.80,3.24
1609.74,3.26
1625.84,3.28
1642.10,3.31
1658.52,3.33
1675.10,3.35
1691.85,3.38
1708.77,3.40
1725.86,3.43
1743.12,3.45
1760.55,3.48
1778.15,3.51
1795.94,3.54
1813.90,3.58
1832.03,3.61
1850.36,3.65
1868.86,3.69
1887.55,3.73
1906.42,3.77
1925.49,3.82
1944.74,3.87
1964.19,3.92
1983.83,3.97
2003.67,4.03
2023.71,4.08
2043.94,4.14
2064.38,4.20
2085.03,4.26
2105.88,4.33
2126.94,4.39
2148.20,4.46
2169.69,4.53
2191.38,4.60
2213.30,4.67
2235.43,4.74
2257.78,4.81
2280.36,4.88
2303.17,4.95
2326.20,5.03
2349.46,5.10
2372.95,5.18
2396.68,5.26
2420.65,5.33
2444.86,5.41
2469.31,5.49
2494.00,5.57
2518.94,5.65
2544.13,5.73
2569.57,5.81
2595.27,5.89
2621.22,5.96
2647.43,6.04
2673.90,6.12
2700.64,6.20
2727.65,6.27
2754.93,6.34
2782.48,6.41
2810.30,6.48
2838.40,6.54
2866.79,6.60
2895.46,6.66
2924.41,6.71
2953.65,6.76
2983.19,6.80
3013.02,6.84
3043.15,6.87
3073.58,6.89
3104.32,6.91
3135.36,6.92
3166.72,6.93
3198.38,6.93
3230.37,6.92
3262.67,6.91
3295.30,6.89
3328.25,6.86
3361.53,6.83
3395.15,6.79
3429.10,6.75
3463.39,6.70
3498.03,6.64
3533.01,6.58
3568.34,6.52
3604.02,6.45
3640.06,6.37
3676.46,6.30
3713.22,6.22
3750.36,6.13
3787.86,6.05
3825.74,5.96
3864.00,5.87
3902.64,5.78
3941.66,5.69
3981.08,5.60
4020.89,5.51
4061.10,5.42
4101.71,5.33
4142.73,5.24
4184.15,5.16
4226.00,5.07
4268.26,4.99
4310.94,4.92
4354.05,4.85
4397.59,4.79
4441.56,4.73
4485.98,4.68
4530.84,4.64
4576.15,4.61
4621.91,4.60
4668.13,4.59
4714.81,4.60
4761.96,4.63
4809.58,4.68
4857.67,4.75
4906.25,4.84
4955.31,4.96
5004.87,5.11
5054.91,5.30
5105.46,5.51
5156.52,5.75
5208.08,6.03
5260.16,6.32
5312.77,6.63
5365.89,6.94
5419.55,7.23
5473.75,7.50
5528.49,7.72
5583.77,7.88
5639.61,7.99
5696.00,8.02
5752.96,8.00
5810.49,7.93
5868.60,7.81
5927.28,7.67
5986.56,7.51
6046.42,7.35
6106.89,7.20
6167.96,7.07
6229.64,6.97
6291.93,6.89
6354.85,6.85
6418.40,6.84
6482.58,6.86
6547.41,6.91
6612.88,7.00
6679.01,7.11
6745.80,7.25
6813.26,7.42
6881.39,7.60
6950.21,7.80
7019.71,8.02
7089.91,8.24
7160.81,8.46
7232.41,8.67
7304.74,8.85
7377.79,9.00
7451.56,9.09
7526.08,9.13
7601.34,9.10
7677.35,8.99
7754.13,8.81
7831.67,8.54
7909.98,8.21
7989.08,7.83
8068.98,7.37
8149.67,6.88
8231.16,6.35
8313.47,5.80
8396.61,5.24
8480.57,4.67
8565.38,4.11
8651.03,3.56
8737.54,3.02
8824.92,2.49
8913.17,1.99
9002.30,1.50
9092.32,1.04
9183.25,0.59
9275.08,0.16
9367.83,-0.24
9461.51,-0.62
9556.12,-0.97
9651.68,-1.29
9748.20,-1.59
9845.68,-1.87
9944.14,-2.11
10043.58,-2.33
10144.02,-2.53
10245.46,-2.70
10347.91,-2.84
10451.39,-2.96
10555.91,-3.04
10661.46,-3.11
10768.08,-3.14
10875.76,-3.15
10984.52,-3.13
11094.36,-3.07
11205.31,-2.98
11317.36,-2.85
11430.53,-2.67
11544.84,-2.44
11660.29,-2.15
11776.89,-1.80
11894.66,-1.38
12013.60,-0.90
12133.74,-0.35
12255.08,0.29
12377.63,0.97
12501.41,1.68
12626.42,2.41
12752.68,3.09
12880.21,3.70
13009.01,4.19
13139.10,4.55
13270.49,4.73
13403.20,4.76
13537.23,4.63
13672.60,4.30
13809.33,3.85
13947.42,3.30
14086.90,2.63
14227.77,1.92
14370.04,1.18
14513.74,0.44
14658.88,-0.29
14805.47,-0.98
14953.52,-1.61
15103.06,-2.18
15254.09,-2.66
15406.63,-3.06
15560.70,-3.37
15716.30,-3.59
15873.47,-3.69
16032.20,-3.69
16192.52,-3.56
16354.45,-3.29
16517.99,-2.91
16683.17,-2.41
16850.01,-1.74
17018.51,-0.96
17188.69,-0.09
17360.58,0.90
17534.18,1.92
17709.53,2.94
17886.62,3.86
18065.49,4.58
18246.14,5.01
18428.60,5.13
18612.89,4.99
18799.02,4.53
18987.01,3.81
19176.88,2.85
19368.65,1.74
19562.33,0.73
19757.96,-0.18
19955.54,-1.05
