frequency,raw
20.00,10.58
20.20,10.67
20.40,10.77
20.61,10.84
20.81,10.90
21.02,10.95
21.23,11.01
21.44,11.07
21.66,11.10
21.87,11.13
22.09,11.16
22.31,11.19
22.54,11.21
22.76,11.22
22.99,11.24
23.22,11.25
23.45,11.26
23.69,11.27
23.92,11.28
24.16,11.29
24.40,11.30
24.65,11.32
24.89,11.34
25.14,11.36
25.39,11.38
25.65,11.41
25.91,11.44
26.16,11.46
26.43,11.50
26.69,11.54
26.96,11.57
27.23,11.60
27.50,11.64
27.77,11.67
28.05,11.69
28.33,11.73
28.62,11.75
28.90,11.77
29.19,11.78
29.48,11.80
29.78,11.81
30.08,11.81
30.38,11.81
30.68,11.81
30.99,11.80
31.30,11.79
31.61,11.77
31.93,11.76
32.24,11.73
32.57,11.71
32.89,11.68
33.22,11.66
33.55,11.63
33.89,11.60
34.23,11.57
34.57,11.54
34.92,11.52
35.27,11.49
35.62,11.46
35.97,11.43
36.33,11.40
36.70,11.37
37.06,11.34
37.43,11.31
37.81,11.28
38.19,11.24
38.57,11.21
38.95,11.16
39.34,11.12
39.74,11.08
40.14,11.03
40.54,10.98
40.94,10.93
41.35,10.88
41.76,10.82
42.18,10.77
42.60,10.71
43.03,10.66
43.46,10.60
43.90,10.55
44.33,10.50
44.78,10.46
45.23,10.41
45.68,10.36
46.13,10.32
46.60,10.27
47.06,10.23
47.53,10.18
48.01,10.13
48.49,10.08
48.97,10.03
49.46,9.98
49.96,9.93
50.46,9.88
50.96,9.82
51.47,9.77
51.99,9.72
52.51,9.67
53.03,9.62
53.56,9.57
54.10,9.52
54.64,9.48
55.18,9.43
55.74,9.39
56.29,9.34
56.86,9.30
57.42,9.25
58.00,9.21
58.58,9.16
59.16,9.11
59.76,9.06
60.35,9.01
60.96,8.96
61.57,8.91
62.18,8.86
62.80,8.81
63.43,8.77
64.07,8.72
64.71,8.67
65.35,8.62
66.01,8.57
66.67,8.52
67.33,8.47
68.01,8.42
68.69,8.37
69.37,8.31
70.07,8.26
70.77,8.20
71.48,8.15
72.19,8.09
72.91,8.04
73.64,7.98
74.38,7.92
75.12,7.87
75.87,7.81
76.63,7.75
77.40,7.69
78.17,7.63
78.95,7.57
79.74,7.50
80.54,7.44
81.35,7.38
82.16,7.31
82.98,7.25
83.81,7.19
84.65,7.13
85.50,7.06
86.35,7.00
87.22,6.93
88.09,6.87
88.97,6.80
89.86,6.74
90.76,6.67
91.66,6.61
92.58,6.54
93.51,6.48
94.44,6.41
95.39,6.35
96.34,6.28
97.30,6.21
98.28,6.15
99.26,6.08
100.25,6.01
