frequency,raw
20.00,7.11
20.20,7.12
20.40,7.12
20.61,7.13
20.81,7.13
21.02,7.13
21.23,7.13
21.44,7.13
21.66,7.13
21.87,7.13
22.09,7.13
22.31,7.12
22.54,7.12
22.76,7.11
22.99,7.10
23.22,7.09
23.45,7.08
23.69,7.07
23.92,7.05
24.16,7.03
24.40,7.01
24.65,6.99
24.89,6.97
25.14,6.95
25.39,6.93
25.65,6.91
25.91,6.88
26.16,6.86
26.43,6.84
26.69,6.82
26.96,6.80
27.23,6.79
27.50,6.77
27.77,6.75
28.05,6.74
28.33,6.73
28.62,6.71
28.90,6.70
29.19,6.69
29.48,6.67
29.78,6.66
30.08,6.64
30.38,6.63
30.68,6.61
30.99,6.60
31.30,6.58
31.61,6.56
31.93,6.54
32.24,6.51
32.57,6.49
32.89,6.46
33.22,6.44
33.55,6.41
33.89,6.39
34.23,6.37
34.57,6.34
34.92,6.32
35.27,6.30
35.62,6.28
35.97,6.26
36.33,6.24
36.70,6.22
37.06,6.20
37.43,6.18
37.81,6.16
38.19,6.14
38.57,6.12
38.95,6.09
39.34,6.07
39.74,6.04
40.14,6.01
40.54,5.97
40.94,5.94
41.35,5.91
41.76,5.87
42.18,5.84
42.60,5.81
43.03,5.78
43.46,5.75
43.90,5.72
44.33,5.69
44.78,5.66
45.23,5.63
45.68,5.60
46.13,5.56
46.60,5.53
47.06,5.49
47.53,5.46
48.01,5.42
48.49,5.39
48.97,5.35
49.46,5.32
49.96,5.29
50.46,5.25
50.96,5.22
51.47,5.19
51.99,5.15
52.51,5.12
53.03,5.08
53.56,5.04
54.10,5.01
54.64,4.97
55.18,4.94
55.74,4.90
56.29,4.86
56.86,4.82
57.42,4.79
58.00,4.75
58.58,4.71
59.16,4.68
59.76,4.65
60.35,4.61
60.96,4.58
61.57,4.54
62.18,4.51
62.80,4.47
63.43,4.44
64.07,4.40
64.71,4.35
65.35,4.30
66.01,4.25
66.67,4.20
67.33,4.16
68.01,4.11
68.69,4.06
69.37,4.01
70.07,3.97
70.77,3.92
71.48,3.87
72.19,3.82
72.91,3.77
73.64,3.72
74.38,3.66
75.12,3.61
75.87,3.55
76.63,3.50
