frequency,raw
20.00,4.64
20.20,4.65
20.40,4.66
20.61,4.67
20.81,4.68
21.02,4.69
21.23,4.71
21.44,4.72
21.66,4.74
21.87,4.75
22.09,4.76
22.31,4.76
22.54,4.77
22.76,4.77
22.99,4.78
23.22,4.78
23.45,4.78
23.69,4.79
23.92,4.79
24.16,4.80
24.40,4.81
24.65,4.81
24.89,4.82
25.14,4.83
25.39,4.83
25.65,4.84
25.91,4.84
26.16,4.85
26.43,4.85
26.69,4.85
26.96,4.86
27.23,4.86
27.50,4.87
27.77,4.87
28.05,4.87
28.33,4.87
28.62,4.87
28.90,4.87
29.19,4.87
29.48,4.87
29.78,4.87
30.08,4.86
30.38,4.86
30.68,4.86
30.99,4.85
31.30,4.85
31.61,4.85
31.93,4.84
32.24,4.84
32.57,4.83
32.89,4.83
33.22,4.82
33.55,4.82
33.89,4.81
34.23,4.81
34.57,4.80
34.92,4.79
35.27,4.78
35.62,4.77
35.97,4.77
36.33,4.76
36.70,4.75
37.06,4.74
37.43,4.73
37.81,4.72
38.19,4.71
38.57,4.70
38.95,4.69
39.34,4.68
39.74,4.67
40.14,4.66
40.54,4.64
40.94,4.63
41.35,4.61
41.76,4.59
42.18,4.58
42.60,4.56
43.03,4.54
43.46,4.53
43.90,4.51
44.33,4.50
44.78,4.49
45.23,4.47
45.68,4.46
46.13,4.44
46.60,4.43
47.06,4.41
47.53,4.39
48.01,4.37
48.49,4.36
48.97,4.34
49.46,4.32
49.96,4.30
50.46,4.28
50.96,4.26
51.47,4.24
51.99,4.22
52.51,4.20
53.03,4.18
53.56,4.16
54.10,4.13
54.64,4.11
55.18,4.09
55.74,4.07
56.29,4.05
56.86,4.02
57.42,4.00
58.00,3.98
58.58,3.95
59.16,3.93
59.76,3.90
60.35,3.88
60.96,3.86
61.57,3.83
62.18,3.81
62.80,3.78
63.43,3.76
64.07,3.73
64.71,3.71
65.35,3.68
66.01,3.65
66.67,3.63
67.33,3.60
68.01,3.57
68.69,3.55
69.37,3.52
70.07,3.49
70.77,3.46
71.48,3.43
72.19,3.41
72.91,3.38
73.64,3.35
74.38,3.32
75.12,3.29
75.87,3.26
76.63,3.23
77.40,3.20
78.17,3.17
78.95,3.14
79.74,3.11
80.54,3.08
81.35,3.05
82.16,3.02
82.98,2.99
83.81,2.96
84.65,2.93
85.50,2.89
86.35,2.86
87.22,2.83
88.09,2.80
88.97,2.77
89.86,2.74
90.76,2.71
91.66,2.67
92.58,2.64
93.51,2.61
94.44,2.57
95.39,2.54
96.34,2.51
97.30,2.48
98.28,2.44
99.26,2.41
100.25,2.38
101.25,2.34
102.27,2.31
103.29,2.28
104.32,2.25
105.37,2.21
106.42,2.18
107.48,2.15
108.56,2.11
109.64,2.08
110.74,2.05
111.85,2.01
112.97,1.98
114.10,1.94
115.24,1.91
116.39,1.87
117.55,1.84
118.73,1.81
119.92,1.77
121.12,1.74
122.33,1.70
123.55,1.67
124.79,1.64
126.03,1.60
127.29,1.57
128.57,1.54
129.85,1.50
131.15,1.47
132.46,1.44
133.79,1.40
135.12,1.37
136.48,1.34
137.84,1.30
139.22,1.27
140.61,1.23
142.02,1.20
143.44,1.17
144.87,1.13
146.32,1.10
147.78,1.07
149.26,1.03
150.75,1.00
152.26,0.97
153.78,0.94
155.32,0.90
156.88,0.87
158.44,0.84
160.03,0.81
161.63,0.77
163.24,0.74
164.88,0.71
166.53,0.68
168.19,0.64
169.87,0.61
171.57,0.58
173.29,0.55
175.02,0.52
176.77,0.49
178.54,0.46
180.32,0.43
182.13,0.40
183.95,0.37
185.79,0.34
187.65,0.31
189.52,0.28
191.42,0.25
193.33,0.22
195.27,0.19
197.22,0.16
199.19,0.13
201.18,0.10
203.19,0.07
205.23,0.04
207.28,0.01
209.35,-0.01
211.44,-0.04
213.56,-0.07
215.69,-0.10
217.85,-0.13
220.03,-0.15
222.23,-0.18
224.45,-0.21
226.70,-0.23
228.96,-0.26
231.25,-0.29
233.57,-0.31
235.90,-0.34
238.26,-0.36
240.64,-0.39
243.05,-0.42
245.48,-0.44
247.93,-0.46
250.41,-0.49
252.92,-0.51
255.45,-0.54
258.00,-0.56
260.58,-0.58
263.19,-0.61
265.82,-0.63
268.48,-0.65
271.16,-0.68
273.87,-0.70
276.61,-0.72
279.38,-0.74
282.17,-0.76
284.99,-0.78
287.84,-0.81
290.72,-0.83
293.63,-0.85
296.57,-0.87
299.53,-0.89
302.53,-0.91
305.55,-0.93
308.61,-0.95
311.69,-0.97
314.81,-0.98
317.96,-1.00
321.14,-1.02
324.35,-1.04
327.59,-1.06
330.87,-1.07
334.18,-1.09
337.52,-1.11
340.90,-1.13
344.30,-1.14
347.75,-1.16
351.23,-1.17
354.74,-1.19
