frequency,raw
20.00,12.83
20.20,12.82
20.40,12.80
20.61,12.79
20.81,12.77
21.02,12.75
21.23,12.73
21.44,12.71
21.66,12.70
21.87,12.68
22.09,12.65
22.31,12.63
22.54,12.61
22.76,12.58
22.99,12.56
23.22,12.54
23.45,12.51
23.69,12.49
23.92,12.47
24.16,12.44
24.40,12.42
24.65,12.40
24.89,12.37
25.14,12.34
25.39,12.32
25.65,12.29
25.91,12.26
26.16,12.23
26.43,12.20
26.69,12.17
26.96,12.14
27.23,12.11
27.50,12.08
27.77,12.04
28.05,12.01
28.33,11.98
28.62,11.94
28.90,11.91
29.19,11.87
29.48,11.83
29.78,11.80
30.08,11.76
30.38,11.72
30.68,11.68
30.99,11.64
31.30,11.61
31.61,11.57
31.93,11.52
32.24,11.48
32.57,11.44
32.89,11.39
33.22,11.34
33.55,11.30
33.89,11.25
34.23,11.20
34.57,11.15
34.92,11.11
35.27,11.06
35.62,11.02
35.97,10.97
36.33,10.92
36.70,10.87
37.06,10.82
37.43,10.76
37.81,10.70
38.19,10.65
38.57,10.59
38.95,10.53
39.34,10.48
39.74,10.42
40.14,10.37
40.54,10.32
40.94,10.27
41.35,10.21
41.76,10.15
42.18,10.09
42.60,10.03
43.03,9.96
43.46,9.90
43.90,9.84
44.33,9.78
44.78,9.71
45.23,9.64
45.68,9.58
46.13,9.51
46.60,9.44
47.06,9.38
47.53,9.31
48.01,9.25
48.49,9.19
48.97,9.12
49.46,9.05
49.96,8.98
50.46,8.92
50.96,8.85
51.47,8.78
51.99,8.72
52.51,8.65
53.03,8.58
53.56,8.52
54.10,8.45
54.64,8.38
55.18,8.30
55.74,8.23
56.29,8.15
56.86,8.08
57.42,8.00
58.00,7.93
58.58,7.86
59.16,7.79
59.76,7.72
60.35,7.65
60.96,7.58
61.57,7.50
62.18,7.43
62.80,7.35
63.43,7.27
64.07,7.19
64.71,7.12
65.35,7.04
66.01,6.96
66.67,6.88
67.33,6.80
68.01,6.72
68.69,6.63
69.37,6.55
70.07,6.46
70.77,6.38
71.48,6.31
72.19,6.23
72.91,6.16
73.64,6.08
74.38,6.00
75.12,5.93
75.87,5.85
76.63,5.77
77.40,5.69
78.17,5.61
78.95,5.52
79.74,5.43
80.54,5.35
81.35,5.27
82.16,5.18
82.98,5.10
83.81,5.02
84.65,4.94
85.50,4.86
86.35,4.78
87.22,4.70
