frequency,raw
20.00,14.44
20.20,14.43
20.40,14.42
20.61,14.41
20.81,14.39
21.02,14.38
21.23,14.36
21.44,14.34
21.66,14.33
21.87,14.31
22.09,14.29
22.31,14.27
22.54,14.25
22.76,14.23
22.99,14.21
23.22,14.19
23.45,14.18
23.69,14.16
23.92,14.14
24.16,14.13
24.40,14.11
24.65,14.09
24.89,14.07
25.14,14.05
25.39,14.03
25.65,14.00
25.91,13.98
26.16,13.95
26.43,13.93
26.69,13.91
26.96,13.88
27.23,13.86
27.50,13.83
27.77,13.81
28.05,13.78
28.33,13.75
28.62,13.73
28.90,13.70
29.19,13.67
29.48,13.64
29.78,13.61
30.08,13.57
30.38,13.54
30.68,13.51
30.99,13.47
31.30,13.44
31.61,13.40
31.93,13.36
32.24,13.33
32.57,13.29
32.89,13.25
33.22,13.21
33.55,13.17
33.89,13.14
34.23,13.10
34.57,13.06
34.92,13.01
35.27,12.97
35.62,12.93
35.97,12.88
36.33,12.83
36.70,12.79
37.06,12.75
37.43,12.71
37.81,12.67
38.19,12.63
38.57,12.59
38.95,12.54
39.34,12.49
39.74,12.44
40.14,12.39
40.54,12.33
40.94,12.27
41.35,12.22
41.76,12.16
42.18,12.11
42.60,12.05
43.03,12.00
43.46,11.94
43.90,11.88
44.33,11.82
44.78,11.76
45.23,11.70
45.68,11.64
46.13,11.59
46.60,11.53
47.06,11.47
47.53,11.41
48.01,11.35
48.49,11.28
48.97,11.22
49.46,11.15
49.96,11.09
50.46,11.03
50.96,10.96
51.47,10.90
51.99,10.83
52.51,10.77
53.03,10.71
53.56,10.64
54.10,10.58
54.64,10.51
55.18,10.44
55.74,10.38
56.29,10.31
56.86,10.24
57.42,10.17
58.00,10.10
58.58,10.03
59.16,9.96
59.76,9.89
60.35,9.82
60.96,9.74
61.57,9.67
62.18,9.60
62.80,9.52
63.43,9.45
64.07,9.37
64.71,9.29
65.35,9.22
66.01,9.13
66.67,9.05
67.33,8.97
68.01,8.89
68.69,8.81
69.37,8.73
70.07,8.65
70.77,8.57
71.48,8.49
72.19,8.41
72.91,8.33
73.64,8.25
74.38,8.17
75.12,8.08
75.87,8.00
76.63,7.91
77.40,7.83
78.17,7.74
78.95,7.66
79.74,7.58
80.54,7.49
81.35,7.41
82.16,7.32
82.98,7.24
83.81,7.16
84.65,7.08
85.50,6.99
86.35,6.91
87.22,6.82
88.09,6.73
88.97,6.65
89.86,6.56
90.76,6.47
91.66,6.39
92.58,6.30
93.51,6.22
94.44,6.13
95.39,6.04
96.34,5.96
97.30,5.87
98.28,5.78
99.26,5.70
100.25,5.61
101.25,5.53
102.27,5.44
103.29,5.35
104.32,5.27
105.37,5.18
106.42,5.09
107.48,5.01
108.56,4.92
109.64,4.84
110.74,4.75
111.85,4.67
112.97,4.58
114.10,4.50
115.24,4.41
116.39,4.33
