frequency,raw
20.00,12.89
20.20,12.88
20.40,12.87
20.61,12.86
20.81,12.85
21.02,12.83
21.23,12.82
21.44,12.80
21.66,12.79
21.87,12.77
22.09,12.75
22.31,12.74
22.54,12.72
22.76,12.71
22.99,12.69
23.22,12.68
23.45,12.66
23.69,12.64
23.92,12.63
24.16,12.61
24.40,12.59
24.65,12.57
24.89,12.55
25.14,12.53
25.39,12.51
25.65,12.49
25.91,12.46
26.16,12.44
26.43,12.42
26.69,12.39
26.96,12.37
27.23,12.35
27.50,12.32
27.77,12.30
28.05,12.27
28.33,12.24
28.62,12.22
28.90,12.19
29.19,12.16
29.48,12.13
29.78,12.10
30.08,12.06
30.38,12.03
30.68,12.00
30.99,11.96
31.30,11.93
31.61,11.90
31.93,11.86
32.24,11.83
32.57,11.79
32.89,11.75
33.22,11.71
33.55,11.68
33.89,11.64
34.23,11.60
34.57,11.56
34.92,11.52
35.27,11.48
35.62,11.43
35.97,11.39
36.33,11.35
36.70,11.31
37.06,11.27
37.43,11.23
37.81,11.19
38.19,11.14
38.57,11.09
38.95,11.05
39.34,11.00
39.74,10.95
40.14,10.90
40.54,10.85
40.94,10.80
41.35,10.75
41.76,10.70
42.18,10.65
42.60,10.60
43.03,10.55
43.46,10.49
43.90,10.44
44.33,10.38
44.78,10.33
45.23,10.27
45.68,10.21
46.13,10.15
46.60,10.09
47.06,10.04
47.53,9.98
48.01,9.91
48.49,9.85
48.97,9.79
49.46,9.73
49.96,9.67
50.46,9.61
50.96,9.55
51.47,9.48
51.99,9.42
52.51,9.36
53.03,9.30
53.56,9.24
54.10,9.18
54.64,9.11
55.18,9.05
55.74,8.98
56.29,8.91
56.86,8.85
57.42,8.78
58.00,8.72
58.58,8.65
59.16,8.59
59.76,8.52
60.35,8.45
60.96,8.38
61.57,8.32
62.18,8.25
62.80,8.18
63.43,8.10
64.07,8.03
64.71,7.96
65.35,7.88
66.01,7.81
66.67,7.74
67.33,7.66
68.01,7.59
68.69,7.51
69.37,7.44
70.07,7.36
70.77,7.29
71.48,7.21
72.19,7.14
72.91,7.06
73.64,6.99
74.38,6.92
75.12,6.85
75.87,6.78
76.63,6.70
77.40,6.62
78.17,6.54
78.95,6.46
79.74,6.37
80.54,6.29
81.35,6.21
82.16,6.13
82.98,6.05
83.81,5.97
84.65,5.89
85.50,5.81
86.35,5.73
87.22,5.65
88.09,5.57
88.97,5.49
89.86,5.42
90.76,5.34
91.66,5.26
92.58,5.18
93.51,5.10
94.44,5.03
95.39,4.95
96.34,4.88
97.30,4.80
98.28,4.72
99.26,4.64
100.25,4.56
101.25,4.48
102.27,4.40
103.29,4.32
104.32,4.25
105.37,4.17
106.42,4.09
107.48,4.01
108.56,3.93
109.64,3.85
110.74,3.77
111.85,3.70
112.97,3.62
114.10,3.54
115.24,3.47
116.39,3.39
117.55,3.31
118.73,3.24
119.92,3.16
121.12,3.08
122.33,3.00
123.55,2.93
124.79,2.85
126.03,2.77
127.29,2.70
128.57,2.63
129.85,2.55
131.15,2.47
132.46,2.40
133.79,2.32
135.12,2.25
136.48,2.18
137.84,2.11
139.22,2.04
140.61,1.96
142.02,1.89
143.44,1.82
144.87,1.75
146.32,1.67
147.78,1.60
149.26,1.53
150.75,1.46
152.26,1.39
153.78,1.32
155.32,1.25
156.88,1.18
158.44,1.12
160.03,1.05
161.63,0.99
163.24,0.92
164.88,0.85
166.53,0.79
168.19,0.73
169.87,0.66
171.57,0.60
173.29,0.54
175.02,0.48
176.77,0.42
178.54,0.37
180.32,0.31
182.13,0.25
183.95,0.20
185.79,0.14
187.65,0.08
189.52,0.03
191.42,-0.03
193.33,-0.08
195.27,-0.14
197.22,-0.19
199.19,-0.24
201.18,-0.30
203.19,-0.35
205.23,-0.41
207.28,-0.46
209.35,-0.51
211.44,-0.57
213.56,-0.62
215.69,-0.67
217.85,-0.72
220.03,-0.78
222.23,-0.83
224.45,-0.88
226.70,-0.93
228.96,-0.98
231.25,-1.03
233.57,-1.07
235.90,-1.12
238.26,-1.17
240.64,-1.22
243.05,-1.27
245.48,-1.31
247.93,-1.36
250.41,-1.40
252.92,-1.44
255.45,-1.48
258.00,-1.52
260.58,-1.56
263.19,-1.60
265.82,-1.64
268.48,-1.68
271.16,-1.72
273.87,-1.76
276.61,-1.79
279.38,-1.83
282.17,-1.87
284.99,-1.91
287.84,-1.94
290.72,-1.98
293.63,-2.01
296.57,-2.04
299.53,-2.08
302.53,-2.11
305.55,-2.14
308.61,-2.17
311.69,-2.21
314.81,-2.24
317.96,-2.26
321.14,-2.29
324.35,-2.32
327.59,-2.34
330.87,-2.37
334.18,-2.39
337.52,-2.42
340.90,-2.44
344.30,-2.47
347.75,-2.49
351.23,-2.52
354.74,-2.54
358.28,-2.56
361.87,-2.58
365.49,-2.60
369.14,-2.62
372.83,-2.64
376.56,-2.66
380.33,-2.68
384.13,-2.70
387.97,-2.72
391.85,-2.73
395.77,-2.75
399.73,-2.77
403.72,-2.78
407.76,-2.80
411.84,-2.81
415.96,-2.82
420.12,-2.84
424.32,-2.85
428.56,-2.86
432.85,-2.87
437.18,-2.88
441.55,-2.89
445.96,-2.90
450.42,-2.91
454.93,-2.91
459.48,-2.92
464.07,-2.93
468.71,-2.94
473.40,-2.94
478.13,-2.95
482.91,-2.95
487.74,-2.95
492.62,-2.95
497.55,-2.95
