frequency,raw
20.00,1.82
20.20,1.83
20.40,1.83
20.61,1.83
20.81,1.84
21.02,1.84
21.23,1.83
21.44,1.83
21.66,1.83
21.87,1.83
22.09,1.83
22.31,1.83
22.54,1.83
22.76,1.84
22.99,1.84
23.22,1.84
23.45,1.84
23.69,1.84
23.92,1.84
24.16,1.84
24.40,1.83
24.65,1.83
24.89,1.83
25.14,1.84
25.39,1.84
25.65,1.85
25.91,1.85
26.16,1.85
26.43,1.86
26.69,1.86
26.96,1.86
27.23,1.87
27.50,1.87
27.77,1.88
28.05,1.89
28.33,1.90
28.62,1.91
28.90,1.92
29.19,1.92
29.48,1.92
29.78,1.92
30.08,1.93
30.38,1.93
30.68,1.94
30.99,1.95
31.30,1.95
31.61,1.95
31.93,1.95
32.24,1.95
32.57,1.95
32.89,1.95
33.22,1.95
33.55,1.95
33.89,1.95
34.23,1.94
34.57,1.94
34.92,1.93
35.27,1.94
35.62,1.94
35.97,1.95
36.33,1.95
36.70,1.94
37.06,1.94
37.43,1.93
37.81,1.93
38.19,1.93
38.57,1.93
38.95,1.93
39.34,1.93
39.74,1.92
40.14,1.92
40.54,1.92
40.94,1.91
41.35,1.91
41.76,1.90
42.18,1.89
42.60,1.89
43.03,1.89
43.46,1.89
43.90,1.89
44.33,1.88
44.78,1.88
45.23,1.87
45.68,1.87
46.13,1.86
46.60,1.85
47.06,1.84
47.53,1.82
48.01,1.81
48.49,1.80
48.97,1.80
49.46,1.79
49.96,1.79
50.46,1.78
50.96,1.77
51.47,1.76
51.99,1.75
52.51,1.75
53.03,1.75
53.56,1.74
54.10,1.73
54.64,1.72
55.18,1.70
55.74,1.69
56.29,1.67
56.86,1.65
57.42,1.64
58.00,1.63
58.58,1.63
59.16,1.63
59.76,1.62
60.35,1.61
60.96,1.60
61.57,1.58
62.18,1.57
62.80,1.55
63.43,1.54
64.07,1.53
64.71,1.51
65.35,1.49
66.01,1.47
66.67,1.45
67.33,1.43
68.01,1.41
68.69,1.39
69.37,1.37
70.07,1.35
70.77,1.33
71.48,1.31
72.19,1.29
72.91,1.27
73.64,1.25
74.38,1.23
75.12,1.21
75.87,1.18
76.63,1.15
77.40,1.13
78.17,1.11
78.95,1.08
79.74,1.06
80.54,1.03
81.35,1.00
82.16,0.98
82.98,0.96
83.81,0.94
84.65,0.91
85.50,0.89
86.35,0.86
87.22,0.84
88.09,0.81
88.97,0.78
89.86,0.75
90.76,0.73
91.66,0.70
92.58,0.67
93.51,0.63
94.44,0.60
95.39,0.57
96.34,0.54
97.30,0.52
98.28,0.49
99.26,0.46
100.25,0.43
101.25,0.40
102.27,0.37
103.29,0.33
104.32,0.29
105.37,0.25
106.42,0.22
107.48,0.18
108.56,0.15
109.64,0.11
110.74,0.07
111.85,0.03
112.97,-0.01
114.10,-0.05
115.24,-0.08
116.39,-0.12
117.55,-0.16
118.73,-0.20
119.92,-0.25
121.12,-0.29
122.33,-0.33
123.55,-0.37
124.79,-0.41
126.03,-0.45
127.29,-0.49
128.57,-0.53
129.85,-0.57
131.15,-0.62
132.46,-0.66
133.79,-0.71
135.12,-0.75
136.48,-0.80
137.84,-0.84
139.22,-0.89
140.61,-0.93
142.02,-0.97
143.44,-1.01
144.87,-1.05
146.32,-1.10
147.78,-1.15
149.26,-1.20
150.75,-1.25
152.26,-1.29
153.78,-1.34
155.32,-1.40
156.88,-1.44
158.44,-1.49
160.03,-1.53
161.63,-1.57
163.24,-1.62
164.88,-1.67
166.53,-1.71
168.19,-1.76
169.87,-1.80
171.57,-1.84
173.29,-1.88
175.02,-1.93
176.77,-1.97
178.54,-2.01
180.32,-2.05
182.13,-2.10
183.95,-2.14
185.79,-2.18
187.65,-2.22
189.52,-2.26
191.42,-2.31
193.33,-2.35
195.27,-2.40
197.22,-2.44
199.19,-2.49
201.18,-2.53
203.19,-2.57
205.23,-2.62
207.28,-2.66
209.35,-2.71
211.44,-2.75
213.56,-2.79
215.69,-2.84
217.85,-2.88
220.03,-2.92
222.23,-2.96
224.45,-3.00
226.70,-3.04
228.96,-3.08
231.25,-3.12
233.57,-3.17
235.90,-3.21
238.26,-3.25
240.64,-3.29
243.05,-3.33
245.48,-3.37
247.93,-3.40
250.41,-3.44
252.92,-3.47
255.45,-3.51
258.00,-3.54
260.58,-3.58
263.19,-3.62
265.82,-3.65
268.48,-3.67
271.16,-3.70
273.87,-3.73
276.61,-3.76
279.38,-3.80
282.17,-3.83
284.99,-3.85
287.84,-3.88
290.72,-3.91
293.63,-3.93
296.57,-3.96
299.53,-3.98
302.53,-4.00
305.55,-4.03
308.61,-4.05
311.69,-4.07
314.81,-4.10
317.96,-4.11
321.14,-4.12
324.35,-4.14
327.59,-4.16
330.87,-4.17
334.18,-4.18
337.52,-4.20
340.90,-4.22
344.30,-4.23
347.75,-4.25
351.23,-4.26
354.74,-4.27
358.28,-4.28
361.87,-4.28
365.49,-4.29
369.14,-4.29
372.83,-4.30
376.56,-4.30
380.33,-4.30
384.13,-4.31
387.97,-4.31
391.85,-4.31
395.77,-4.31
399.73,-4.31
403.72,-4.31
407.76,-4.31
411.84,-4.30
415.96,-4.30
420.12,-4.29
424.32,-4.28
428.56,-4.28
432.85,-4.27
437.18,-4.26
441.55,-4.25
445.96,-4.23
450.42,-4.22
454.93,-4.21
459.48,-4.19
464.07,-4.18
468.71,-4.16
473.40,-4.15
478.13,-4.13
482.91,-4.11
487.74,-4.09
492.62,-4.07
497.55,-4.04
502.52,-4.02
507.55,-4.00
512.62,-3.98
517.75,-3.96
522.93,-3.93
528.16,-3.91
533.44,-3.88
538.77,-3.85
544.16,-3.83
549.60,-3.80
555.10,-3.77
560.65,-3.74
566.25,-3.71
571.92,-3.68
577.64,-3.64
583.41,-3.61
589.25,-3.58
595.14,-3.55
601.09,-3.51
607.10,-3.48
613.17,-3.44
619.30,-3.40
625.50,-3.37
631.75,-3.33
638.07,-3.30
644.45,-3.26
650.89,-3.22
657.40,-3.18
663.98,-3.14
670.62,-3.10
677.32,-3.05
684.10,-3.01
690.94,-2.96
697.85,-2.92
704.83,-2.88
711.87,-2.84
718.99,-2.80
726.18,-2.74
733.44,-2.69
740.78,-2.64
748.19,-2.58
755.67,-2.52
763.23,-2.46
770.86,-2.38
778.57,-2.31
786.35,-2.24
794.22,-2.17
802.16,-2.09
810.18,-2.01
818.28,-1.93
826.46,-1.84
834.73,-1.75
843.08,-1.66
851.51,-1.57
860.02,-1.48
868.62,-1.39
877.31,-1.29
886.08,-1.18
894.94,-1.08
903.89,-0.98
912.93,-0.88
922.06,-0.78
931.28,-0.68
940.59,-0.58
950.00,-0.49
959.50,-0.39
969.09,-0.30
978.78,-0.20
988.57,-0.11
998.46,-0.01
1008.44,0.07
1018.53,0.15
1028.71,0.22
1039.00,0.29
1049.39,0.36
1059.88,0.42
1070.48,0.49
1081.19,0.56
1092.00,0.62
1102.92,0.69
1113.95,0.75
1125.09,0.81
1136.34,0.87
1147.70,0.93
1159.18,0.98
1170.77,1.04
1182.48,1.09
1194.30,1.13
1206.25,1.18
1218.31,1.22
1230.49,1.26
1242.80,1.30
1255.22,1.34
1267.78,1.38
1280.45,1.42
1293.26,1.46
1306.19,1.49
1319.25,1.53
1332.45,1.56
1345.77,1.59
1359.23,1.61
1372.82,1.64
1386.55,1.67
1400.41,1.69
1414.42,1.72
1428.56,1.75
1442.85,1.77
1457.28,1.80
1471.85,1.82
