frequency,raw
20.00,7.26
20.20,7.27
20.40,7.29
20.61,7.30
20.81,7.31
21.02,7.32
21.23,7.32
21.44,7.33
21.66,7.34
21.87,7.34
22.09,7.35
22.31,7.36
22.54,7.37
22.76,7.38
22.99,7.39
23.22,7.40
23.45,7.40
23.69,7.41
23.92,7.41
24.16,7.41
24.40,7.41
24.65,7.41
24.89,7.42
25.14,7.42
25.39,7.43
25.65,7.44
25.91,7.44
26.16,7.45
26.43,7.46
26.69,7.47
26.96,7.49
27.23,7.50
27.50,7.51
27.77,7.53
28.05,7.54
28.33,7.54
28.62,7.55
28.90,7.55
29.19,7.54
29.48,7.54
29.78,7.54
30.08,7.55
30.38,7.55
30.68,7.55
30.99,7.56
31.30,7.56
31.61,7.56
31.93,7.55
32.24,7.55
32.57,7.55
32.89,7.55
33.22,7.55
33.55,7.54
33.89,7.54
34.23,7.54
34.57,7.53
34.92,7.53
35.27,7.53
35.62,7.53
35.97,7.52
36.33,7.52
36.70,7.51
37.06,7.50
37.43,7.50
37.81,7.49
38.19,7.49
38.57,7.49
38.95,7.48
39.34,7.47
39.74,7.46
40.14,7.45
40.54,7.44
40.94,7.43
41.35,7.43
41.76,7.42
42.18,7.41
42.60,7.40
43.03,7.39
43.46,7.37
43.90,7.35
44.33,7.33
44.78,7.32
45.23,7.31
45.68,7.31
46.13,7.31
46.60,7.30
47.06,7.30
47.53,7.28
48.01,7.27
48.49,7.25
48.97,7.23
49.46,7.21
49.96,7.19
50.46,7.17
50.96,7.16
51.47,7.14
51.99,7.13
52.51,7.11
53.03,7.10
53.56,7.08
54.10,7.07
54.64,7.05
55.18,7.04
55.74,7.02
56.29,7.00
56.86,6.98
57.42,6.96
58.00,6.94
58.58,6.93
59.16,6.92
59.76,6.90
60.35,6.88
60.96,6.85
61.57,6.82
62.18,6.80
62.80,6.77
63.43,6.75
64.07,6.73
64.71,6.72
65.35,6.71
66.01,6.70
66.67,6.68
67.33,6.65
68.01,6.60
68.69,6.56
69.37,6.53
70.07,6.50
70.77,6.48
71.48,6.44
72.19,6.40
72.91,6.36
73.64,6.33
74.38,6.30
75.12,6.28
75.87,6.26
76.63,6.23
77.40,6.21
78.17,6.19
78.95,6.16
79.74,6.14
80.54,6.10
81.35,6.07
82.16,6.05
82.98,6.02
83.81,5.99
84.65,5.96
85.50,5.93
86.35,5.90
87.22,5.87
88.09,5.84
88.97,5.80
89.86,5.77
90.76,5.74
91.66,5.71
92.58,5.68
93.51,5.64
94.44,5.61
95.39,5.57
96.34,5.54
97.30,5.51
98.28,5.48
99.26,5.45
100.25,5.41
101.25,5.38
102.27,5.34
103.29,5.30
104.32,5.26
105.37,5.22
106.42,5.19
107.48,5.15
108.56,5.12
109.64,5.08
110.74,5.05
111.85,5.01
112.97,4.97
114.10,4.94
115.24,4.90
116.39,4.86
117.55,4.82
118.73,4.78
119.92,4.74
121.12,4.70
122.33,4.66
123.55,4.63
124.79,4.59
126.03,4.55
127.29,4.50
128.57,4.46
129.85,4.42
131.15,4.38
132.46,4.34
133.79,4.29
135.12,4.25
136.48,4.21
137.84,4.17
139.22,4.12
140.61,4.08
142.02,4.04
143.44,4.00
144.87,3.96
146.32,3.92
147.78,3.87
149.26,3.83
150.75,3.79
152.26,3.75
153.78,3.70
155.32,3.66
156.88,3.62
158.44,3.57
160.03,3.53
161.63,3.49
163.24,3.45
164.88,3.41
166.53,3.37
168.19,3.33
169.87,3.29
171.57,3.25
173.29,3.21
175.02,3.17
176.77,3.13
178.54,3.09
180.32,3.05
182.13,3.01
183.95,2.97
185.79,2.93
187.65,2.89
189.52,2.85
191.42,2.81
193.33,2.77
195.27,2.73
197.22,2.69
199.19,2.65
201.18,2.61
203.19,2.57
205.23,2.52
207.28,2.48
209.35,2.44
211.44,2.40
213.56,2.36
215.69,2.31
217.85,2.27
220.03,2.23
222.23,2.19
224.45,2.15
226.70,2.11
228.96,2.07
231.25,2.02
233.57,1.98
235.90,1.94
238.26,1.90
240.64,1.86
243.05,1.82
245.48,1.78
247.93,1.74
250.41,1.69
252.92,1.65
255.45,1.61
258.00,1.58
260.58,1.55
263.19,1.51
265.82,1.47
268.48,1.43
271.16,1.40
273.87,1.36
276.61,1.32
279.38,1.28
282.17,1.24
284.99,1.20
287.84,1.17
290.72,1.13
293.63,1.10
296.57,1.06
299.53,1.03
302.53,0.99
305.55,0.96
308.61,0.92
311.69,0.89
314.81,0.85
317.96,0.82
321.14,0.79
324.35,0.76
327.59,0.73
330.87,0.70
334.18,0.67
337.52,0.63
340.90,0.60
344.30,0.57
347.75,0.55
351.23,0.52
354.74,0.49
358.28,0.46
361.87,0.43
365.49,0.40
369.14,0.38
372.83,0.35
376.56,0.33
380.33,0.30
384.13,0.27
387.97,0.25
391.85,0.23
395.77,0.20
399.73,0.18
403.72,0.15
407.76,0.12
411.84,0.10
415.96,0.08
420.12,0.05
424.32,0.03
428.56,0.01
432.85,-0.01
437.18,-0.03
441.55,-0.05
445.96,-0.07
450.42,-0.09
454.93,-0.10
459.48,-0.12
464.07,-0.14
468.71,-0.16
473.40,-0.18
478.13,-0.20
482.91,-0.21
487.74,-0.23
492.62,-0.25
497.55,-0.26
502.52,-0.27
507.55,-0.29
512.62,-0.30
517.75,-0.32
522.93,-0.33
528.16,-0.34
533.44,-0.35
538.77,-0.36
544.16,-0.37
549.60,-0.38
555.10,-0.39
560.65,-0.40
566.25,-0.41
571.92,-0.42
577.64,-0.43
583.41,-0.43
589.25,-0.44
595.14,-0.45
601.09,-0.45
607.10,-0.46
613.17,-0.46
619.30,-0.47
625.50,-0.47
631.75,-0.47
638.07,-0.47
644.45,-0.47
650.89,-0.46
657.40,-0.46
663.98,-0.45
670.62,-0.45
677.32,-0.44
684.10,-0.44
690.94,-0.43
697.85,-0.42
704.83,-0.41
711.87,-0.40
718.99,-0.38
726.18,-0.37
733.44,-0.35
740.78,-0.33
748.19,-0.30
755.67,-0.28
763.23,-0.26
770.86,-0.27
778.57,-0.32
786.35,-0.41
794.22,-0.47
802.16,-0.49
810.18,-0.43
818.28,-0.34
826.46,-0.25
834.73,-0.17
843.08,-0.10
851.51,-0.03
860.02,0.04
868.62,0.11
877.31,0.19
886.08,0.27
894.94,0.35
903.89,0.40
912.93,0.38
922.06,0.27
931.28,0.14
940.59,0.01
950.00,-0.09
959.50,-0.14
969.09,-0.14
978.78,-0.11
988.57,-0.06
998.46,-0.01
1008.44,0.04
1018.53,0.09
1028.71,0.15
1039.00,0.20
1049.39,0.24
1059.88,0.29
1070.48,0.34
1081.19,0.38
1092.00,0.43
1102.92,0.47
1113.95,0.52
1125.09,0.56
1136.34,0.60
1147.70,0.64
1159.18,0.67
1170.77,0.71
1182.48,0.74
1194.30,0.77
1206.25,0.80
1218.31,0.82
1230.49,0.85
1242.80,0.87
1255.22,0.89
1267.78,0.91
1280.45,0.93
1293.26,0.94
1306.19,0.96
1319.25,0.97
1332.45,0.98
1345.77,0.99
1359.23,1.00
1372.82,1.00
1386.55,1.01
1400.41,1.01
1414.42,1.02
1428.56,1.02
1442.85,1.03
1457.28,1.04
1471.85,1.04
1486.57,1.05
1501.43,1.06
1516.45,1.07
1531.61,1.09
1546.93,1.11
1562.40,1.13
1578.02,1.16
1593.80,1.20
1609.74,1.24
1625.84,1.29
1642.10,1.34
1658.52,1.41
1675.10,1.47
1691.85,1.55
1708.77,1.63
1725.86,1.72
1743.12,1.82
1760.55,1.93
1778.15,2.04
1795.94,2.16
1813.90,2.29
1832.03,2.43
1850.36,2.57
1868.86,2.73
1887.55,2.89
1906.42,3.05
1925.49,3.22
1944.74,3.40
1964.19,3.59
1983.83,3.78
2003.67,3.97
2023.71,4.18
2043.94,4.38
2064.38,4.59
2085.03,4.80
2105.88,5.02
2126.94,5.23
2148.20,5.44
2169.69,5.65
2191.38,5.86
2213.30,6.06
2235.43,6.26
2257.78,6.45
2280.36,6.63
2303.17,6.81
2326.20,6.98
2349.46,7.13
2372.95,7.28
2396.68,7.41
2420.65,7.53
2444.86,7.64
2469.31,7.74
2494.00,7.82
2518.94,7.89
2544.13,7.96
2569.57,8.00
2595.27,8.03
2621.22,8.06
2647.43,8.07
2673.90,8.06
2700.64,8.05
2727.65,8.03
2754.93,7.99
2782.48,7.96
2810.30,7.91
2838.40,7.86
2866.79,7.81
2895.46,7.75
2924.41,7.69
2953.65,7.64
2983.19,7.58
3013.02,7.52
3043.15,7.47
3073.58,7.42
3104.32,7.37
3135.36,7.33
3166.72,7.30
3198.38,7.27
3230.37,7.26
3262.67,7.25
3295.30,7.24
3328.25,7.25
3361.53,7.26
3395.15,7.28
3429.10,7.32
3463.39,7.36
3498.03,7.40
3533.01,7.47
3568.34,7.54
3604.02,7.62
3640.06,7.71
3676.46,7.81
3713.22,7.92
3750.36,8.04
3787.86,8.17
3825.74,8.30
3864.00,8.43
3902.64,8.55
3941.66,8.67
3981.08,8.76
