frequency,raw
20.00,9.86
20.20,9.86
20.40,9.85
20.61,9.85
20.81,9.84
21.02,9.84
21.23,9.83
21.44,9.83
21.66,9.84
21.87,9.84
22.09,9.84
22.31,9.84
22.54,9.85
22.76,9.84
22.99,9.84
23.22,9.83
23.45,9.81
23.69,9.80
23.92,9.79
24.16,9.78
24.40,9.77
24.65,9.77
24.89,9.77
25.14,9.76
25.39,9.76
25.65,9.76
25.91,9.75
26.16,9.75
26.43,9.75
26.69,9.75
26.96,9.75
27.23,9.75
27.50,9.75
27.77,9.74
28.05,9.74
28.33,9.73
28.62,9.72
28.90,9.71
29.19,9.70
29.48,9.69
29.78,9.68
30.08,9.67
30.38,9.66
30.68,9.65
30.99,9.63
31.30,9.62
31.61,9.60
31.93,9.59
32.24,9.57
32.57,9.56
32.89,9.54
33.22,9.52
33.55,9.51
33.89,9.49
34.23,9.47
34.57,9.45
34.92,9.43
35.27,9.42
35.62,9.41
35.97,9.40
36.33,9.39
36.70,9.37
37.06,9.35
37.43,9.32
37.81,9.30
38.19,9.29
38.57,9.27
38.95,9.25
39.34,9.23
39.74,9.21
40.14,9.19
40.54,9.17
40.94,9.15
41.35,9.12
41.76,9.10
42.18,9.08
42.60,9.05
43.03,9.03
43.46,9.00
43.90,8.97
44.33,8.95
44.78,8.92
45.23,8.89
45.68,8.87
46.13,8.85
46.60,8.83
47.06,8.80
47.53,8.77
48.01,8.73
48.49,8.70
48.97,8.67
49.46,8.63
49.96,8.60
50.46,8.57
50.96,8.54
51.47,8.52
51.99,8.49
52.51,8.47
53.03,8.45
53.56,8.43
54.10,8.40
54.64,8.37
55.18,8.34
55.74,8.30
56.29,8.26
56.86,8.23
57.42,8.20
58.00,8.17
58.58,8.14
59.16,8.10
59.76,8.06
60.35,8.03
60.96,7.99
61.57,7.95
62.18,7.91
62.80,7.88
63.43,7.84
64.07,7.81
64.71,7.77
65.35,7.74
66.01,7.71
66.67,7.67
67.33,7.63
68.01,7.59
68.69,7.55
69.37,7.50
70.07,7.46
70.77,7.42
71.48,7.37
72.19,7.33
72.91,7.29
73.64,7.25
74.38,7.21
75.12,7.17
75.87,7.12
76.63,7.08
77.40,7.04
78.17,6.99
78.95,6.94
79.74,6.90
80.54,6.85
81.35,6.81
82.16,6.77
82.98,6.73
83.81,6.69
84.65,6.64
85.50,6.60
86.35,6.56
87.22,6.51
88.09,6.46
88.97,6.41
89.86,6.37
90.76,6.32
91.66,6.27
92.58,6.23
93.51,6.18
94.44,6.13
95.39,6.08
96.34,6.03
97.30,5.99
98.28,5.95
99.26,5.90
100.25,5.86
101.25,5.81
102.27,5.75
103.29,5.70
104.32,5.64
105.37,5.59
106.42,5.54
107.48,5.49
108.56,5.45
109.64,5.40
110.74,5.34
111.85,5.29
112.97,5.23
114.10,5.18
115.24,5.13
116.39,5.08
117.55,5.02
118.73,4.97
119.92,4.92
121.12,4.86
122.33,4.81
123.55,4.77
124.79,4.72
126.03,4.67
127.29,4.62
128.57,4.56
129.85,4.50
131.15,4.45
132.46,4.39
133.79,4.33
135.12,4.27
136.48,4.21
137.84,4.16
139.22,4.11
140.61,4.05
142.02,4.00
143.44,3.95
144.87,3.90
146.32,3.85
147.78,3.80
149.26,3.75
150.75,3.69
152.26,3.64
153.78,3.58
155.32,3.53
156.88,3.47
158.44,3.42
160.03,3.38
161.63,3.34
163.24,3.29
164.88,3.25
166.53,3.20
168.19,3.15
169.87,3.11
171.57,3.06
173.29,3.01
175.02,2.96
176.77,2.91
178.54,2.87
180.32,2.82
182.13,2.78
183.95,2.74
185.79,2.69
187.65,2.65
189.52,2.61
191.42,2.56
193.33,2.52
195.27,2.47
197.22,2.43
199.19,2.38
201.18,2.33
203.19,2.28
205.23,2.24
207.28,2.19
209.35,2.14
211.44,2.09
213.56,2.03
215.69,1.98
217.85,1.92
220.03,1.87
222.23,1.82
224.45,1.77
226.70,1.72
228.96,1.67
231.25,1.62
233.57,1.58
235.90,1.53
238.26,1.47
240.64,1.42
243.05,1.38
245.48,1.33
