frequency,raw
20.00,6.30
20.20,6.29
20.40,6.28
20.61,6.28
20.81,6.27
21.02,6.27
21.23,6.27
21.44,6.29
21.66,6.30
21.87,6.32
22.09,6.34
22.31,6.35
22.54,6.36
22.76,6.37
22.99,6.37
23.22,6.37
23.45,6.37
23.69,6.36
23.92,6.36
24.16,6.35
24.40,6.35
24.65,6.35
24.89,6.35
25.14,6.35
25.39,6.36
25.65,6.36
25.91,6.36
26.16,6.37
26.43,6.37
26.69,6.37
26.96,6.37
27.23,6.37
27.50,6.36
27.77,6.37
28.05,6.37
28.33,6.37
28.62,6.37
28.90,6.37
29.19,6.37
29.48,6.37
29.78,6.36
30.08,6.36
30.38,6.36
30.68,6.36
30.99,6.36
31.30,6.35
31.61,6.34
31.93,6.32
32.24,6.31
32.57,6.29
32.89,6.28
33.22,6.26
33.55,6.25
33.89,6.24
34.23,6.23
34.57,6.22
34.92,6.21
35.27,6.19
35.62,6.18
35.97,6.16
36.33,6.14
36.70,6.12
37.06,6.11
37.43,6.10
37.81,6.09
38.19,6.08
38.57,6.06
38.95,6.04
39.34,6.02
39.74,6.01
40.14,6.01
40.54,6.03
40.94,6.05
41.35,6.07
41.76,6.07
42.18,6.05
42.60,6.03
43.03,5.98
43.46,5.92
43.90,5.86
44.33,5.80
44.78,5.75
45.23,5.71
45.68,5.69
46.13,5.66
46.60,5.64
47.06,5.62
47.53,5.60
48.01,5.58
48.49,5.55
48.97,5.52
49.46,5.50
49.96,5.47
50.46,5.45
50.96,5.42
51.47,5.40
51.99,5.37
52.51,5.34
53.03,5.32
53.56,5.30
54.10,5.27
54.64,5.25
55.18,5.22
55.74,5.19
56.29,5.16
56.86,5.13
57.42,5.10
58.00,5.07
58.58,5.04
59.16,5.01
59.76,4.98
60.35,4.95
60.96,4.93
61.57,4.90
62.18,4.87
62.80,4.83
63.43,4.80
64.07,4.76
64.71,4.73
65.35,4.70
66.01,4.66
66.67,4.62
67.33,4.58
68.01,4.55
68.69,4.51
69.37,4.47
70.07,4.44
70.77,4.40
71.48,4.36
72.19,4.33
72.91,4.29
73.64,4.25
74.38,4.22
75.12,4.18
75.87,4.14
76.63,4.10
77.40,4.06
78.17,4.02
78.95,3.99
79.74,3.95
80.54,3.91
81.35,3.87
82.16,3.82
82.98,3.78
83.81,3.74
84.65,3.71
85.50,3.67
86.35,3.63
87.22,3.59
88.09,3.55
88.97,3.51
89.86,3.46
90.76,3.42
91.66,3.39
92.58,3.35
93.51,3.31
94.44,3.27
95.39,3.23
96.34,3.19
97.30,3.15
98.28,3.11
99.26,3.07
100.25,3.03
101.25,2.98
102.27,2.94
103.29,2.90
104.32,2.85
105.37,2.81
106.42,2.77
107.48,2.73
108.56,2.68
109.64,2.64
110.74,2.59
111.85,2.55
112.97,2.51
114.10,2.47
115.24,2.43
116.39,2.38
117.55,2.34
118.73,2.29
119.92,2.24
121.12,2.20
122.33,2.16
123.55,2.12
124.79,2.08
126.03,2.03
127.29,1.99
128.57,1.94
129.85,1.90
131.15,1.85
132.46,1.81
133.79,1.76
135.12,1.72
136.48,1.67
137.84,1.63
139.22,1.59
140.61,1.55
142.02,1.51
143.44,1.46
144.87,1.42
146.32,1.37
147.78,1.32
149.26,1.28
150.75,1.23
152.26,1.19
153.78,1.14
155.32,1.10
156.88,1.06
158.44,1.02
160.03,0.98
161.63,0.93
163.24,0.89
164.88,0.86
166.53,0.82
168.19,0.78
169.87,0.74
171.57,0.70
173.29,0.66
175.02,0.62
176.77,0.58
178.54,0.54
180.32,0.51
182.13,0.47
183.95,0.43
185.79,0.39
187.65,0.35
189.52,0.32
191.42,0.28
193.33,0.25
195.27,0.21
197.22,0.17
199.19,0.13
201.18,0.09
203.19,0.06
205.23,0.02
207.28,-0.02
209.35,-0.06
211.44,-0.09
213.56,-0.12
215.69,-0.16
217.85,-0.20
220.03,-0.24
222.23,-0.27
224.45,-0.30
226.70,-0.33
228.96,-0.37
231.25,-0.40
233.57,-0.44
235.90,-0.48
238.26,-0.51
240.64,-0.54
243.05,-0.57
245.48,-0.61
247.93,-0.66
250.41,-0.72
252.92,-0.78
255.45,-0.80
258.00,-0.79
260.58,-0.79
263.19,-0.80
265.82,-0.83
268.48,-0.86
271.16,-0.88
273.87,-0.90
276.61,-0.92
279.38,-0.95
282.17,-0.97
284.99,-0.99
287.84,-1.03
290.72,-1.07
293.63,-1.10
296.57,-1.13
299.53,-1.15
302.53,-1.18
305.55,-1.20
308.61,-1.23
311.69,-1.26
314.81,-1.28
317.96,-1.31
321.14,-1.33
324.35,-1.36
327.59,-1.38
330.87,-1.40
334.18,-1.42
337.52,-1.44
340.90,-1.46
344.30,-1.48
347.75,-1.51
351.23,-1.53
354.74,-1.56
358.28,-1.58
361.87,-1.60
365.49,-1.62
369.14,-1.64
372.83,-1.66
376.56,-1.68
380.33,-1.69
384.13,-1.71
387.97,-1.73
391.85,-1.75
395.77,-1.77
399.73,-1.78
403.72,-1.80
407.76,-1.82
411.84,-1.84
415.96,-1.85
420.12,-1.87
424.32,-1.88
428.56,-1.90
432.85,-1.91
437.18,-1.92
441.55,-1.93
445.96,-1.94
450.42,-1.96
454.93,-1.97
459.48,-1.98
464.07,-2.00
468.71,-2.01
473.40,-2.02
478.13,-2.03
482.91,-2.03
487.74,-2.04
492.62,-2.05
497.55,-2.05
502.52,-2.06
507.55,-2.06
512.62,-2.07
517.75,-2.07
522.93,-2.08
528.16,-2.08
533.44,-2.08
538.77,-2.08
544.16,-2.08
549.60,-2.09
555.10,-2.08
560.65,-2.08
566.25,-2.08
571.92,-2.08
577.64,-2.08
583.41,-2.08
589.25,-2.07
595.14,-2.07
601.09,-2.07
607.10,-2.06
613.17,-2.05
619.30,-2.04
625.50,-2.03
631.75,-2.02
638.07,-2.01
644.45,-2.00
650.89,-1.98
657.40,-1.97
663.98,-1.96
670.62,-1.94
677.32,-1.92
684.10,-1.91
690.94,-1.89
697.85,-1.86
704.83,-1.84
711.87,-1.82
718.99,-1.80
726.18,-1.77
733.44,-1.75
740.78,-1.72
748.19,-1.69
755.67,-1.65
763.23,-1.62
770.86,-1.58
778.57,-1.54
786.35,-1.51
794.22,-1.47
802.16,-1.43
810.18,-1.39
818.28,-1.35
826.46,-1.30
834.73,-1.26
843.08,-1.21
851.51,-1.16
860.02,-1.11
868.62,-1.05
877.31,-0.99
886.08,-0.93
894.94,-0.87
903.89,-0.80
912.93,-0.74
922.06,-0.67
931.28,-0.59
940.59,-0.52
950.00,-0.44
959.50,-0.36
969.09,-0.27
978.78,-0.19
988.57,-0.10
998.46,-0.01
1008.44,0.07
1018.53,0.15
1028.71,0.24
1039.00,0.32
1049.39,0.41
1059.88,0.50
1070.48,0.59
1081.19,0.68
1092.00,0.77
1102.92,0.86
1113.95,0.95
1125.09,1.05
1136.34,1.14
1147.70,1.23
1159.18,1.32
1170.77,1.42
1182.48,1.51
1194.30,1.61
1206.25,1.70
1218.31,1.79
1230.49,1.88
1242.80,1.98
1255.22,2.07
1267.78,2.17
1280.45,2.27
1293.26,2.37
1306.19,2.47
1319.25,2.57
1332.45,2.67
1345.77,2.77
1359.23,2.87
1372.82,2.98
1386.55,3.08
1400.41,3.19
1414.42,3.29
1428.56,3.40
1442.85,3.51
1457.28,3.62
1471.85,3.74
1486.57,3.85
1501.43,3.97
1516.45,4.09
1531.61,4.21
1546.93,4.34
1562.40,4.47
1578.02,4.60
1593.80,4.73
1609.74,4.87
1625.84,5.01
1642.10,5.16
1658.52,5.31
1675.10,5.47
1691.85,5.62
1708.77,5.78
1725.86,5.94
1743.12,6.11
1760.55,6.28
1778.15,6.45
1795.94,6.62
1813.90,6.79
1832.03,6.97
1850.36,7.15
1868.86,7.33
1887.55,7.51
1906.42,7.69
1925.49,7.88
1944.74,8.06
1964.19,8.24
1983.83,8.42
2003.67,8.60
2023.71,8.78
2043.94,8.95
2064.38,9.12
2085.03,9.29
2105.88,9.45
2126.94,9.60
2148.20,9.74
2169.69,9.88
2191.38,10.01
2213.30,10.12
2235.43,10.23
2257.78,10.32
2280.36,10.39
2303.17,10.46
2326.20,10.51
2349.46,10.54
2372.95,10.56
2396.68,10.57
2420.65,10.56
2444.86,10.53
2469.31,10.50
2494.00,10.45
2518.94,10.39
2544.13,10.33
2569.57,10.25
2595.27,10.17
2621.22,10.08
2647.43,9.99
2673.90,9.89
2700.64,9.78
2727.65,9.68
2754.93,9.57
2782.48,9.45
2810.30,9.34
2838.40,9.23
2866.79,9.12
2895.46,9.01
2924.41,8.91
2953.65,8.81
2983.19,8.71
3013.02,8.62
3043.15,8.53
3073.58,8.45
3104.32,8.37
3135.36,8.30
3166.72,8.24
3198.38,8.19
3230.37,8.15
3262.67,8.11
3295.30,8.08
3328.25,8.06
3361.53,8.05
3395.15,8.05
3429.10,8.05
3463.39,8.07
3498.03,8.09
3533.01,8.12
3568.34,8.16
3604.02,8.21
3640.06,8.28
3676.46,8.35
3713.22,8.43
3750.36,8.52
3787.86,8.63
3825.74,8.74
3864.00,8.87
3902.64,9.01
3941.66,9.16
3981.08,9.31
4020.89,9.47
4061.10,9.63
4101.71,9.80
4142.73,9.97
4184.15,10.15
4226.00,10.33
4268.26,10.50
4310.94,10.67
4354.05,10.83
4397.59,10.97
4441.56,11.10
4485.98,11.18
4530.84,11.24
4576.15,11.25
4621.91,11.23
4668.13,11.15
4714.81,11.02
4761.96,10.85
4809.58,10.63
4857.67,10.36
4906.25,10.05
4955.31,9.71
5004.87,9.34
5054.91,8.94
5105.46,8.53
5156.52,8.11
5208.08,7.69
5260.16,7.26
5312.77,6.84
5365.89,6.43
5419.55,6.04
5473.75,5.65
5528.49,5.28
5583.77,4.93
5639.61,4.59
5696.00,4.26
5752.96,3.96
5810.49,3.66
5868.60,3.39
5927.28,3.13
5986.56,2.88
6046.42,2.66
6106.89,2.45
6167.96,2.25
6229.64,2.08
6291.93,1.93
6354.85,1.81
6418.40,1.71
6482.58,1.63
6547.41,1.57
6612.88,1.53
6679.01,1.52
6745.80,1.53
6813.26,1.56
6881.39,1.62
6950.21,1.70
7019.71,1.81
7089.91,1.95
7160.81,2.12
7232.41,2.32
7304.74,2.54
7377.79,2.79
7451.56,3.06
7526.08,3.34
7601.34,3.63
7677.35,3.93
7754.13,4.22
7831.67,4.47
7909.98,4.68
7989.08,4.84
8068.98,4.89
8149.67,4.85
8231.16,4.70
8313.47,4.42
8396.61,4.06
8480.57,3.59
8565.38,3.04
8651.03,2.45
8737.54,1.83
8824.92,1.19
8913.17,0.56
9002.30,-0.07
9092.32,-0.68
9183.25,-1.26
9275.08,-1.82
9367.83,-2.34
9461.51,-2.83
9556.12,-3.29
9651.68,-3.70
9748.20,-4.06
9845.68,-4.34
9944.14,-4.53
10043.58,-4.58
10144.02,-4.51
10245.46,-4.11
10347.91,-3.51
10451.39,-2.67
10555.91,-1.54
10661.46,-0.33
10768.08,0.93
10875.76,2.14
10984.52,3.24
11094.36,4.26
11205.31,5.19
11317.36,6.06
11430.53,6.93
11544.84,7.75
11660.29,8.53
11776.89,9.19
11894.66,9.32
12013.60,9.34
12133.74,8.94
12255.08,8.07
12377.63,6.97
12501.41,5.74
12626.42,4.46
12752.68,3.24
12880.21,2.20
13009.01,1.24
13139.10,0.29
13270.49,-0.43
13403.20,-1.09
13537.23,-1.59
13672.60,-2.01
13809.33,-2.35
13947.42,-2.57
14086.90,-2.67
14227.77,-2.71
14370.04,-2.67
14513.74,-2.52
14658.88,-2.24
14805.47,-1.94
14953.52,-1.57
15103.06,-1.24
15254.09,-0.93
15406.63,-0.90
15560.70,-1.05
15716.30,-1.49
15873.47,-2.13
16032.20,-2.75
16192.52,-3.03
16354.45,-3.14
16517.99,-3.18
16683.17,-3.33
16850.01,-3.48
17018.51,-3.63
17188.69,-3.67
17360.58,-3.60
17534.18,-3.47
17709.53,-3.28
17886.62,-3.19
18065.49,-3.27
18246.14,-3.58
18428.60,-4.39
18612.89,-5.48
18799.02,-6.80
18987.01,-8.30
19176.88,-9.82
19368.65,-11.28
19562.33,-12.62
19757.96,-13.79
19955.54,-14.50
