frequency,raw
20.00,6.84
20.20,6.85
20.40,6.87
20.61,6.88
20.81,6.89
21.02,6.90
21.23,6.92
21.44,6.93
21.66,6.94
21.87,6.94
22.09,6.95
22.31,6.96
22.54,6.97
22.76,6.97
22.99,6.98
23.22,6.99
23.45,7.00
23.69,7.00
23.92,7.01
24.16,7.02
24.40,7.03
24.65,7.04
24.89,7.05
25.14,7.06
25.39,7.06
25.65,7.07
25.91,7.08
26.16,7.09
26.43,7.11
26.69,7.12
26.96,7.13
27.23,7.14
27.50,7.16
27.77,7.17
28.05,7.18
28.33,7.19
28.62,7.20
28.90,7.20
29.19,7.21
29.48,7.22
29.78,7.23
30.08,7.23
30.38,7.24
30.68,7.24
30.99,7.25
31.30,7.26
31.61,7.26
31.93,7.27
32.24,7.28
32.57,7.28
32.89,7.29
33.22,7.29
33.55,7.30
33.89,7.30
34.23,7.31
34.57,7.32
34.92,7.32
35.27,7.33
35.62,7.34
35.97,7.34
36.33,7.35
36.70,7.36
37.06,7.36
37.43,7.37
37.81,7.38
38.19,7.38
38.57,7.38
38.95,7.39
39.34,7.39
39.74,7.40
40.14,7.40
40.54,7.40
40.94,7.41
41.35,7.41
41.76,7.41
42.18,7.41
42.60,7.41
43.03,7.41
43.46,7.41
43.90,7.41
44.33,7.41
44.78,7.42
45.23,7.42
45.68,7.42
46.13,7.42
46.60,7.42
47.06,7.42
47.53,7.42
48.01,7.42
48.49,7.42
48.97,7.42
49.46,7.42
49.96,7.42
50.46,7.42
50.96,7.42
51.47,7.42
51.99,7.42
52.51,7.42
53.03,7.42
53.56,7.42
54.10,7.42
54.64,7.42
55.18,7.42
55.74,7.42
56.29,7.42
56.86,7.42
57.42,7.42
58.00,7.42
58.58,7.42
59.16,7.42
59.76,7.42
60.35,7.42
60.96,7.41
61.57,7.41
62.18,7.41
62.80,7.41
63.43,7.40
64.07,7.40
64.71,7.39
65.35,7.38
66.01,7.38
66.67,7.37
67.33,7.36
68.01,7.35
68.69,7.35
