frequency,raw
20.00,3.70
20.20,3.73
20.40,3.76
20.61,3.79
20.81,3.83
21.02,3.87
21.23,3.91
21.44,3.95
21.66,3.99
21.87,4.03
22.09,4.06
22.31,4.10
22.54,4.13
22.76,4.16
22.99,4.19
23.22,4.22
23.45,4.26
23.69,4.29
23.92,4.32
24.16,4.35
24.40,4.37
24.65,4.40
24.89,4.42
25.14,4.44
25.39,4.47
25.65,4.49
25.91,4.51
26.16,4.54
26.43,4.57
26.69,4.59
26.96,4.62
27.23,4.65
27.50,4.68
27.77,4.70
28.05,4.73
28.33,4.75
28.62,4.77
28.90,4.80
29.19,4.82
29.48,4.84
29.78,4.86
30.08,4.88
30.38,4.89
30.68,4.91
30.99,4.92
31.30,4.94
31.61,4.95
31.93,4.97
32.24,4.98
32.57,4.99
32.89,5.01
33.22,5.03
33.55,5.04
33.89,5.05
34.23,5.07
34.57,5.08
34.92,5.09
35.27,5.10
35.62,5.11
35.97,5.12
36.33,5.13
36.70,5.14
37.06,5.16
37.43,5.17
37.81,5.19
38.19,5.21
38.57,5.22
38.95,5.22
39.34,5.22
39.74,5.22
40.14,5.21
40.54,5.21
40.94,5.21
41.35,5.21
41.76,5.21
42.18,5.21
42.60,5.21
43.03,5.21
43.46,5.21
43.90,5.22
44.33,5.22
44.78,5.22
45.23,5.21
45.68,5.21
46.13,5.21
46.60,5.21
47.06,5.21
47.53,5.21
48.01,5.20
48.49,5.20
48.97,5.19
49.46,5.18
49.96,5.17
50.46,5.17
50.96,5.16
51.47,5.15
51.99,5.15
52.51,5.14
53.03,5.14
53.56,5.13
54.10,5.12
54.64,5.11
55.18,5.10
55.74,5.09
56.29,5.08
56.86,5.07
57.42,5.06
58.00,5.05
58.58,5.04
59.16,5.03
59.76,5.02
60.35,5.01
60.96,4.99
61.57,4.98
62.18,4.97
62.80,4.95
63.43,4.93
64.07,4.92
64.71,4.90
65.35,4.88
66.01,4.86
66.67,4.84
67.33,4.82
68.01,4.80
68.69,4.78
69.37,4.76
70.07,4.74
70.77,4.72
71.48,4.70
72.19,4.67
72.91,4.65
73.64,4.63
74.38,4.60
75.12,4.58
75.87,4.55
76.63,4.53
77.40,4.50
78.17,4.48
78.95,4.45
79.74,4.43
80.54,4.40
81.35,4.37
82.16,4.35
82.98,4.32
83.81,4.29
84.65,4.26
85.50,4.23
86.35,4.21
87.22,4.18
88.09,4.15
88.97,4.12
89.86,4.09
90.76,4.06
91.66,4.03
92.58,4.00
93.51,3.97
94.44,3.94
95.39,3.91
96.34,3.87
97.30,3.84
98.28,3.81
99.26,3.77
100.25,3.74
101.25,3.71
102.27,3.67
103.29,3.64
104.32,3.60
105.37,3.56
106.42,3.53
107.48,3.49
108.56,3.46
109.64,3.42
110.74,3.38
111.85,3.34
112.97,3.31
114.10,3.27
115.24,3.23
116.39,3.19
117.55,3.15
118.73,3.11
119.92,3.07
121.12,3.03
122.33,2.99
123.55,2.95
124.79,2.91
126.03,2.87
127.29,2.83
128.57,2.78
129.85,2.74
131.15,2.70
132.46,2.65
133.79,2.61
135.12,2.57
136.48,2.52
137.84,2.48
139.22,2.43
140.61,2.39
142.02,2.34
143.44,2.30
144.87,2.25
146.32,2.20
147.78,2.16
149.26,2.11
150.75,2.07
152.26,2.02
153.78,1.97
155.32,1.93
156.88,1.88
158.44,1.83
160.03,1.79
161.63,1.74
163.24,1.70
164.88,1.65
166.53,1.61
168.19,1.56
169.87,1.52
171.57,1.48
173.29,1.43
175.02,1.39
176.77,1.34
178.54,1.30
180.32,1.25
182.13,1.21
183.95,1.16
185.79,1.11
187.65,1.07
189.52,1.02
191.42,0.98
193.33,0.93
195.27,0.88
197.22,0.84
199.19,0.79
201.18,0.74
203.19,0.70
205.23,0.65
207.28,0.60
209.35,0.55
211.44,0.50
213.56,0.45
215.69,0.40
217.85,0.36
220.03,0.31
222.23,0.26
224.45,0.21
226.70,0.16
228.96,0.11
231.25,0.06
233.57,0.01
235.90,-0.03
238.26,-0.08
240.64,-0.13
243.05,-0.18
245.48,-0.23
247.93,-0.27
250.41,-0.32
252.92,-0.37
255.45,-0.42
258.00,-0.46
260.58,-0.51
263.19,-0.56
265.82,-0.60
268.48,-0.65
271.16,-0.70
273.87,-0.74
276.61,-0.79
279.38,-0.83
282.17,-0.88
284.99,-0.92
287.84,-0.97
290.72,-1.01
293.63,-1.06
296.57,-1.10
299.53,-1.15
302.53,-1.19
305.55,-1.23
308.61,-1.28
311.69,-1.32
314.81,-1.36
317.96,-1.40
321.14,-1.44
324.35,-1.48
327.59,-1.52
330.87,-1.56
334.18,-1.60
337.52,-1.64
340.90,-1.68
344.30,-1.71
347.75,-1.75
351.23,-1.79
354.74,-1.82
358.28,-1.86
361.87,-1.90
365.49,-1.93
369.14,-1.97
372.83,-2.00
376.56,-2.03
380.33,-2.07
384.13,-2.10
387.97,-2.13
391.85,-2.16
395.77,-2.19
399.73,-2.22
403.72,-2.25
407.76,-2.28
411.84,-2.31
415.96,-2.34
420.12,-2.37
424.32,-2.39
428.56,-2.42
432.85,-2.45
437.18,-2.47
441.55,-2.49
445.96,-2.52
450.42,-2.54
454.93,-2.56
459.48,-2.58
464.07,-2.60
468.71,-2.62
473.40,-2.64
478.13,-2.66
482.91,-2.67
487.74,-2.69
492.62,-2.71
497.55,-2.72
502.52,-2.74
507.55,-2.75
512.62,-2.76
517.75,-2.77
522.93,-2.78
528.16,-2.79
533.44,-2.79
538.77,-2.80
544.16,-2.80
549.60,-2.81
555.10,-2.81
560.65,-2.81
566.25,-2.82
571.92,-2.82
577.64,-2.82
583.41,-2.82
589.25,-2.82
595.14,-2.82
601.09,-2.81
607.10,-2.81
613.17,-2.81
619.30,-2.80
625.50,-2.79
631.75,-2.79
638.07,-2.78
644.45,-2.77
650.89,-2.75
657.40,-2.74
663.98,-2.72
670.62,-2.70
677.32,-2.67
684.10,-2.65
690.94,-2.62
697.85,-2.59
704.83,-2.56
711.87,-2.52
718.99,-2.49
726.18,-2.45
733.44,-2.40
740.78,-2.36
748.19,-2.31
755.67,-2.26
763.23,-2.21
770.86,-2.16
778.57,-2.10
786.35,-2.04
794.22,-1.98
802.16,-1.92
810.18,-1.86
818.28,-1.79
826.46,-1.73
834.73,-1.66
843.08,-1.59
851.51,-1.51
860.02,-1.44
868.62,-1.36
877.31,-1.27
886.08,-1.19
894.94,-1.10
903.89,-1.01
912.93,-0.92
922.06,-0.83
931.28,-0.73
940.59,-0.63
950.00,-0.54
959.50,-0.43
969.09,-0.33
978.78,-0.22
988.57,-0.12
998.46,-0.02
1008.44,0.09
1018.53,0.18
1028.71,0.28
1039.00,0.38
1049.39,0.48
1059.88,0.58
1070.48,0.67
1081.19,0.77
1092.00,0.86
1102.92,0.95
1113.95,1.04
1125.09,1.12
1136.34,1.20
1147.70,1.28
1159.18,1.36
1170.77,1.43
1182.48,1.50
1194.30,1.56
1206.25,1.62
1218.31,1.67
1230.49,1.72
1242.80,1.77
1255.22,1.81
1267.78,1.85
1280.45,1.88
1293.26,1.91
1306.19,1.93
1319.25,1.96
1332.45,1.97
1345.77,1.99
1359.23,2.00
1372.82,2.01
1386.55,2.01
1400.41,2.02
1414.42,2.02
1428.56,2.02
1442.85,2.01
1457.28,2.01
1471.85,2.01
1486.57,2.01
1501.43,2.01
1516.45,2.02
1531.61,2.02
1546.93,2.03
1562.40,2.04
1578.02,2.06
1593.80,2.08
1609.74,2.11
1625.84,2.14
1642.10,2.18
1658.52,2.22
1675.10,2.27
1691.85,2.33
1708.77,2.39
1725.86,2.46
1743.12,2.54
