frequency,raw
20.00,7.58
20.20,7.60
20.40,7.62
20.61,7.64
20.81,7.66
21.02,7.68
21.23,7.70
21.44,7.72
21.66,7.73
21.87,7.75
22.09,7.76
22.31,7.77
22.54,7.78
22.76,7.79
22.99,7.79
23.22,7.80
23.45,7.81
23.69,7.82
23.92,7.82
24.16,7.83
24.40,7.84
24.65,7.84
24.89,7.85
25.14,7.86
25.39,7.87
25.65,7.88
25.91,7.90
26.16,7.91
26.43,7.93
26.69,7.94
26.96,7.95
27.23,7.96
27.50,7.97
27.77,7.98
28.05,7.98
28.33,7.99
28.62,8.00
28.90,8.00
29.19,8.00
29.48,8.00
29.78,8.00
30.08,8.00
30.38,8.00
30.68,7.99
30.99,7.99
31.30,7.98
31.61,7.98
31.93,7.97
32.24,7.97
32.57,7.96
32.89,7.96
33.22,7.95
33.55,7.95
33.89,7.94
34.23,7.92
34.57,7.91
34.92,7.90
35.27,7.89
35.62,7.89
35.97,7.89
36.33,7.88
36.70,7.88
37.06,7.88
37.43,7.87
37.81,7.85
38.19,7.83
38.57,7.81
38.95,7.79
39.34,7.77
39.74,7.75
40.14,7.74
40.54,7.73
40.94,7.71
41.35,7.69
41.76,7.67
42.18,7.65
42.60,7.62
43.03,7.60
43.46,7.58
43.90,7.56
44.33,7.54
44.78,7.53
45.23,7.51
45.68,7.49
46.13,7.45
46.60,7.42
47.06,7.38
47.53,7.36
48.01,7.33
48.49,7.31
48.97,7.28
49.46,7.25
49.96,7.22
50.46,7.19
50.96,7.16
51.47,7.14
51.99,7.11
52.51,7.08
53.03,7.06
53.56,7.02
54.10,6.99
54.64,6.96
55.18,6.93
55.74,6.90
56.29,6.87
56.86,6.83
57.42,6.80
58.00,6.76
58.58,6.72
59.16,6.68
59.76,6.65
60.35,6.62
60.96,6.58
61.57,6.54
62.18,6.50
62.80,6.46
63.43,6.42
64.07,6.37
64.71,6.33
65.35,6.28
66.01,6.24
66.67,6.20
67.33,6.16
68.01,6.11
68.69,6.06
69.37,6.01
70.07,5.95
70.77,5.90
71.48,5.85
72.19,5.81
72.91,5.77
73.64,5.73
74.38,5.68
75.12,5.62
75.87,5.56
76.63,5.51
77.40,5.46
78.17,5.41
78.95,5.36
79.74,5.31
80.54,5.26
81.35,5.21
82.16,5.16
82.98,5.11
83.81,5.06
84.65,5.01
85.50,4.95
86.35,4.90
87.22,4.85
88.09,4.80
88.97,4.74
89.86,4.68
90.76,4.63
91.66,4.58
92.58,4.52
93.51,4.46
94.44,4.41
95.39,4.35
96.34,4.30
97.30,4.25
98.28,4.20
99.26,4.15
100.25,4.09
101.25,4.04
102.27,3.98
103.29,3.92
104.32,3.86
105.37,3.81
106.42,3.75
107.48,3.69
108.56,3.63
109.64,3.59
110.74,3.54
111.85,3.49
112.97,3.44
114.10,3.38
115.24,3.32
116.39,3.26
117.55,3.21
118.73,3.15
119.92,3.10
121.12,3.05
122.33,3.00
123.55,2.96
124.79,2.91
126.03,2.87
127.29,2.81
128.57,2.76
129.85,2.70
131.15,2.64
132.46,2.59
133.79,2.55
135.12,2.50
136.48,2.45
137.84,2.41
139.22,2.36
140.61,2.32
142.02,2.28
143.44,2.24
144.87,2.19
146.32,2.14
147.78,2.10
149.26,2.05
150.75,2.01
152.26,1.96
153.78,1.92
155.32,1.87
156.88,1.83
158.44,1.80
160.03,1.77
161.63,1.74
163.24,1.70
164.88,1.66
166.53,1.63
168.19,1.59
169.87,1.56
171.57,1.53
173.29,1.50
175.02,1.48
176.77,1.45
178.54,1.43
180.32,1.40
182.13,1.38
183.95,1.35
185.79,1.32
187.65,1.30
189.52,1.27
191.42,1.25
193.33,1.23
195.27,1.21
197.22,1.18
199.19,1.15
201.18,1.12
203.19,1.09
205.23,1.07
207.28,1.05
209.35,1.04
211.44,1.02
213.56,1.00
215.69,0.98
217.85,0.96
220.03,0.94
222.23,0.92
224.45,0.91
226.70,0.89
228.96,0.87
231.25,0.85
233.57,0.84
235.90,0.81
238.26,0.79
240.64,0.76
243.05,0.75
245.48,0.73
247.93,0.72
250.41,0.71
252.92,0.69
255.45,0.68
258.00,0.67
260.58,0.65
263.19,0.64
265.82,0.62
268.48,0.61
271.16,0.60
273.87,0.58
276.61,0.56
279.38,0.55
282.17,0.53
284.99,0.51
287.84,0.51
290.72,0.50
293.63,0.49
296.57,0.48
299.53,0.46
302.53,0.45
305.55,0.43
308.61,0.42
311.69,0.41
314.81,0.39
317.96,0.38
321.14,0.37
324.35,0.36
327.59,0.35
330.87,0.33
334.18,0.32
337.52,0.31
340.90,0.30
344.30,0.28
347.75,0.27
351.23,0.25
354.74,0.24
358.28,0.23
361.87,0.21
365.49,0.19
369.14,0.18
372.83,0.17
376.56,0.15
380.33,0.13
384.13,0.12
387.97,0.10
391.85,0.09
395.77,0.08
399.73,0.06
403.72,0.05
407.76,0.03
411.84,0.01
