frequency,raw
20.00,13.26
20.20,13.25
20.40,13.25
20.61,13.24
20.81,13.23
21.02,13.22
21.23,13.20
21.44,13.19
21.66,13.17
21.87,13.15
22.09,13.13
22.31,13.11
22.54,13.10
22.76,13.08
22.99,13.08
23.22,13.07
23.45,13.06
23.69,13.04
23.92,13.02
24.16,13.00
24.40,12.97
24.65,12.94
24.89,12.91
25.14,12.88
25.39,12.85
25.65,12.83
25.91,12.81
26.16,12.80
26.43,12.78
26.69,12.76
26.96,12.75
27.23,12.73
27.50,12.71
27.77,12.69
28.05,12.66
28.33,12.64
28.62,12.61
28.90,12.59
29.19,12.56
29.48,12.54
29.78,12.51
30.08,12.49
30.38,12.46
30.68,12.43
30.99,12.40
31.30,12.37
31.61,12.34
31.93,12.31
32.24,12.28
32.57,12.25
32.89,12.22
33.22,12.19
33.55,12.16
33.89,12.13
34.23,12.10
34.57,12.07
34.92,12.03
35.27,12.00
35.62,11.96
35.97,11.92
36.33,11.89
36.70,11.86
37.06,11.83
37.43,11.79
37.81,11.76
38.19,11.72
38.57,11.68
38.95,11.65
39.34,11.62
39.74,11.59
40.14,11.55
40.54,11.51
40.94,11.48
41.35,11.44
41.76,11.41
42.18,11.37
42.60,11.34
43.03,11.30
43.46,11.25
43.90,11.20
44.33,11.15
44.78,11.11
45.23,11.06
45.68,11.03
46.13,10.99
46.60,10.95
47.06,10.91
47.53,10.87
48.01,10.83
48.49,10.78
48.97,10.73
49.46,10.68
49.96,10.63
50.46,10.59
50.96,10.55
51.47,10.51
51.99,10.46
52.51,10.41
53.03,10.34
53.56,10.27
54.10,10.22
54.64,10.18
55.18,10.16
55.74,10.15
56.29,10.12
56.86,10.08
57.42,10.02
58.00,9.96
58.58,9.90
59.16,9.85
59.76,9.81
60.35,9.76
60.96,9.72
61.57,9.67
62.18,9.62
62.80,9.57
63.43,9.53
64.07,9.48
64.71,9.42
65.35,9.36
66.01,9.30
66.67,9.25
67.33,9.20
68.01,9.15
68.69,9.09
69.37,9.04
70.07,8.98
70.77,8.93
71.48,8.87
72.19,8.82
72.91,8.77
73.64,8.72
74.38,8.66
75.12,8.61
75.87,8.55
76.63,8.49
77.40,8.42
78.17,8.36
78.95,8.31
79.74,8.26
80.54,8.21
81.35,8.15
82.16,8.08
82.98,8.02
83.81,7.97
84.65,7.91
85.50,7.86
86.35,7.80
87.22,7.74
88.09,7.69
88.97,7.63
89.86,7.57
90.76,7.51
91.66,7.46
92.58,7.40
93.51,7.34
94.44,7.28
95.39,7.22
96.34,7.16
97.30,7.11
98.28,7.05
99.26,6.99
100.25,6.92
101.25,6.86
102.27,6.81
103.29,6.75
104.32,6.70
105.37,6.63
106.42,6.57
107.48,6.51
108.56,6.45
109.64,6.38
110.74,6.32
111.85,6.25
112.97,6.19
114.10,6.13
115.24,6.07
116.39,6.01
117.55,5.95
118.73,5.88
119.92,5.82
121.12,5.76
122.33,5.70
123.55,5.65
124.79,5.60
126.03,5.53
127.29,5.47
128.57,5.40
129.85,5.34
131.15,5.28
132.46,5.22
133.79,5.16
135.12,5.09
136.48,5.03
137.84,4.96
139.22,4.90
140.61,4.84
142.02,4.79
143.44,4.73
144.87,4.66
146.32,4.59
147.78,4.52
149.26,4.45
150.75,4.40
152.26,4.34
153.78,4.29
155.32,4.23
156.88,4.17
158.44,4.10
160.03,4.03
161.63,3.97
163.24,3.91
164.88,3.85
166.53,3.79
168.19,3.73
169.87,3.67
171.57,3.61
173.29,3.55
175.02,3.49
176.77,3.43
178.54,3.37
180.32,3.32
182.13,3.27
183.95,3.22
185.79,3.16
187.65,3.10
189.52,3.05
191.42,3.00
193.33,2.94
195.27,2.88
197.22,2.81
199.19,2.75
201.18,2.70
203.19,2.64
205.23,2.59
207.28,2.53
209.35,2.48
211.44,2.42
213.56,2.36
215.69,2.30
217.85,2.24
220.03,2.18
222.23,2.12
224.45,2.05
226.70,1.99
228.96,1.94
231.25,1.88
233.57,1.83
235.90,1.77
238.26,1.72
240.64,1.67
243.05,1.62
245.48,1.56
247.93,1.50
250.41,1.44
252.92,1.40
255.45,1.35
258.00,1.30
260.58,1.26
263.19,1.22
265.82,1.17
268.48,1.12
271.16,1.07
273.87,1.01
276.61,0.96
279.38,0.90
282.17,0.85
284.99,0.78
287.84,0.73
290.72,0.68
293.63,0.64
296.57,0.59
299.53,0.54
302.53,0.49
305.55,0.45
308.61,0.40
311.69,0.35
314.81,0.30
317.96,0.25
321.14,0.21
324.35,0.17
327.59,0.13
330.87,0.09
334.18,0.05
337.52,0.01
340.90,-0.04
344.30,-0.09
347.75,-0.13
351.23,-0.16
354.74,-0.20
358.28,-0.24
361.87,-0.28
365.49,-0.33
369.14,-0.38
372.83,-0.42
376.56,-0.45
380.33,-0.48
384.13,-0.52
387.97,-0.56
391.85,-0.59
395.77,-0.63
399.73,-0.67
403.72,-0.71
407.76,-0.74
411.84,-0.77
415.96,-0.80
420.12,-0.83
424.32,-0.86
428.56,-0.90
432.85,-0.94
437.18,-0.97
441.55,-1.01
445.96,-1.05
450.42,-1.08
454.93,-1.12
459.48,-1.15
464.07,-1.19
468.71,-1.23
473.40,-1.26
478.13,-1.29
482.91,-1.31
487.74,-1.33
492.62,-1.35
497.55,-1.38
502.52,-1.41
507.55,-1.44
512.62,-1.47
517.75,-1.49
522.93,-1.52
528.16,-1.54
533.44,-1.57
538.77,-1.59
544.16,-1.61
549.60,-1.63
555.10,-1.64
560.65,-1.66
566.25,-1.66
571.92,-1.66
577.64,-1.67
