frequency,raw
20.00,15.03
20.20,15.02
20.40,15.00
20.61,14.99
20.81,14.97
21.02,14.95
21.23,14.93
21.44,14.91
21.66,14.89
21.87,14.87
22.09,14.84
22.31,14.82
22.54,14.80
22.76,14.78
22.99,14.76
23.22,14.74
23.45,14.72
23.69,14.70
23.92,14.67
24.16,14.65
24.40,14.63
24.65,14.60
24.89,14.58
25.14,14.56
25.39,14.53
25.65,14.51
25.91,14.49
26.16,14.46
26.43,14.44
26.69,14.42
26.96,14.39
27.23,14.37
27.50,14.35
27.77,14.32
28.05,14.30
28.33,14.27
28.62,14.24
28.90,14.22
29.19,14.19
29.48,14.16
29.78,14.13
30.08,14.09
30.38,14.06
30.68,14.03
30.99,13.99
31.30,13.96
31.61,13.92
31.93,13.89
32.24,13.85
32.57,13.81
32.89,13.77
33.22,13.74
33.55,13.70
33.89,13.66
34.23,13.62
34.57,13.58
34.92,13.55
35.27,13.51
35.62,13.47
35.97,13.43
36.33,13.39
36.70,13.35
37.06,13.31
37.43,13.27
37.81,13.22
38.19,13.18
38.57,13.14
38.95,13.09
39.34,13.05
39.74,13.00
40.14,12.95
40.54,12.90
40.94,12.85
41.35,12.80
41.76,12.75
42.18,12.70
42.60,12.65
43.03,12.59
43.46,12.54
43.90,12.48
44.33,12.43
44.78,12.38
45.23,12.32
45.68,12.27
46.13,12.22
46.60,12.16
47.06,12.09
47.53,12.03
48.01,11.96
48.49,11.90
48.97,11.84
49.46,11.79
49.96,11.73
50.46,11.67
50.96,11.61
51.47,11.54
51.99,11.47
52.51,11.40
53.03,11.33
53.56,11.26
54.10,11.20
54.64,11.13
55.18,11.07
55.74,11.01
56.29,10.95
56.86,10.88
57.42,10.81
58.00,10.74
58.58,10.66
59.16,10.58
59.76,10.50
60.35,10.42
60.96,10.33
61.57,10.24
62.18,10.15
62.80,10.07
63.43,9.98
64.07,9.90
64.71,9.81
65.35,9.73
66.01,9.65
66.67,9.56
67.33,9.48
68.01,9.40
68.69,9.32
69.37,9.23
70.07,9.15
70.77,9.07
71.48,8.98
72.19,8.89
72.91,8.80
73.64,8.71
74.38,8.61
75.12,8.51
75.87,8.41
76.63,8.30
77.40,8.18
78.17,8.07
78.95,7.95
79.74,7.83
80.54,7.71
81.35,7.60
82.16,7.49
82.98,7.39
83.81,7.29
84.65,7.19
85.50,7.08
86.35,6.97
87.22,6.84
88.09,6.72
88.97,6.59
89.86,6.47
90.76,6.36
91.66,6.24
92.58,6.12
93.51,6.00
94.44,5.87
95.39,5.74
96.34,5.62
97.30,5.49
98.28,5.37
99.26,5.23
100.25,5.10
101.25,4.97
102.27,4.84
103.29,4.70
104.32,4.57
105.37,4.43
106.42,4.30
107.48,4.16
108.56,4.02
109.64,3.88
110.74,3.74
111.85,3.60
112.97,3.46
114.10,3.32
115.24,3.18
116.39,3.03
117.55,2.89
118.73,2.75
119.92,2.61
121.12,2.47
122.33,2.32
123.55,2.18
124.79,2.04
126.03,1.89
127.29,1.75
128.57,1.61
129.85,1.47
131.15,1.32
132.46,1.18
133.79,1.04
135.12,0.90
136.48,0.76
137.84,0.63
139.22,0.49
140.61,0.36
142.02,0.23
143.44,0.10
144.87,-0.03
146.32,-0.15
147.78,-0.28
149.26,-0.40
150.75,-0.51
152.26,-0.63
153.78,-0.74
155.32,-0.85
156.88,-0.95
158.44,-1.05
160.03,-1.15
161.63,-1.24
163.24,-1.33
164.88,-1.41
166.53,-1.49
168.19,-1.57
169.87,-1.64
171.57,-1.71
173.29,-1.77
175.02,-1.83
176.77,-1.89
178.54,-1.94
180.32,-1.99
182.13,-2.03
183.95,-2.06
185.79,-2.10
187.65,-2.13
189.52,-2.15
191.42,-2.18
193.33,-2.20
195.27,-2.22
197.22,-2.23
199.19,-2.24
201.18,-2.25
203.19,-2.26
205.23,-2.26
207.28,-2.26
209.35,-2.26
211.44,-2.26
213.56,-2.25
215.69,-2.25
217.85,-2.24
220.03,-2.23
222.23,-2.22
224.45,-2.21
226.70,-2.19
228.96,-2.18
231.25,-2.16
233.57,-2.14
235.90,-2.12
238.26,-2.10
240.64,-2.08
243.05,-2.06
245.48,-2.04
247.93,-2.02
250.41,-2.00
252.92,-1.98
255.45,-1.95
258.00,-1.93
260.58,-1.91
263.19,-1.89
265.82,-1.86
268.48,-1.84
271.16,-1.82
273.87,-1.80
276.61,-1.78
279.38,-1.75
282.17,-1.73
284.99,-1.71
287.84,-1.69
290.72,-1.67
293.63,-1.65
296.57,-1.63
299.53,-1.61
302.53,-1.59
305.55,-1.57
308.61,-1.55
311.69,-1.53
314.81,-1.51
317.96,-1.49
321.14,-1.47
324.35,-1.45
327.59,-1.44
330.87,-1.42
334.18,-1.41
337.52,-1.39
340.90,-1.37
344.30,-1.36
347.75,-1.34
351.23,-1.32
354.74,-1.31
358.28,-1.29
361.87,-1.28
365.49,-1.27
369.14,-1.25
372.83,-1.24
376.56,-1.23
380.33,-1.22
384.13,-1.21
387.97,-1.20
391.85,-1.19
395.77,-1.17
399.73,-1.16
403.72,-1.15
407.76,-1.14
411.84,-1.13
415.96,-1.12
420.12,-1.11
424.32,-1.11
428.56,-1.10
432.85,-1.09
437.18,-1.09
441.55,-1.08
445.96,-1.07
450.42,-1.07
454.93,-1.06
459.48,-1.06
464.07,-1.05
468.71,-1.04
473.40,-1.04
478.13,-1.03
482.91,-1.03
487.74,-1.03
492.62,-1.02
497.55,-1.02
502.52,-1.02
507.55,-1.01
512.62,-1.01
517.75,-1.01
522.93,-1.01
528.16,-1.00
533.44,-1.00
538.77,-1.00
544.16,-1.00
549.60,-1.00
555.10,-1.00
560.65,-0.99
566.25,-0.99
571.92,-0.99
577.64,-0.99
583.41,-0.99
589.25,-0.99
595.14,-0.99
601.09,-1.00
607.10,-1.00
613.17,-1.00
619.30,-1.00
625.50,-1.00
631.75,-1.00
638.07,-1.00
644.45,-1.00
650.89,-1.00
657.40,-1.00
663.98,-0.99
670.62,-0.99
677.32,-0.99
684.10,-0.99
690.94,-0.98
697.85,-0.98
704.83,-0.97
711.87,-0.97
718.99,-0.97
726.18,-0.96
733.44,-0.95
740.78,-0.94
748.19,-0.93
755.67,-0.92
763.23,-0.91
770.86,-0.90
778.57,-0.89
786.35,-0.87
794.22,-0.85
802.16,-0.84
810.18,-0.82
818.28,-0.81
826.46,-0.79
834.73,-0.77
843.08,-0.74
851.51,-0.72
860.02,-0.69
868.62,-0.66
877.31,-0.63
886.08,-0.60
894.94,-0.56
903.89,-0.52
912.93,-0.48
922.06,-0.44
931.28,-0.39
940.59,-0.34
950.00,-0.29
959.50,-0.24
969.09,-0.18
978.78,-0.13
988.57,-0.07
998.46,-0.01
1008.44,0.05
1018.53,0.11
1028.71,0.17
1039.00,0.24
1049.39,0.30
1059.88,0.36
1070.48,0.43
1081.19,0.49
1092.00,0.56
1102.92,0.62
1113.95,0.69
1125.09,0.76
1136.34,0.82
1147.70,0.89
1159.18,0.96
1170.77,1.02
1182.48,1.09
1194.30,1.15
1206.25,1.21
1218.31,1.28
1230.49,1.34
1242.80,1.40
1255.22,1.46
1267.78,1.52
1280.45,1.58
1293.26,1.64
1306.19,1.70
1319.25,1.76
1332.45,1.82
1345.77,1.88
1359.23,1.93
1372.82,1.99
1386.55,2.05
1400.41,2.11
1414.42,2.16
1428.56,2.22
1442.85,2.28
1457.28,2.34
1471.85,2.39
1486.57,2.45
1501.43,2.51
1516.45,2.57
1531.61,2.63
1546.93,2.69
1562.40,2.75
1578.02,2.81
1593.80,2.88
1609.74,2.94
1625.84,3.01
1642.10,3.08
1658.52,3.15
1675.10,3.22
1691.85,3.29
1708.77,3.36
1725.86,3.43
1743.12,3.50
1760.55,3.57
1778.15,3.65
1795.94,3.72
1813.90,3.80
1832.03,3.87
1850.36,3.95
1868.86,4.03
1887.55,4.11
1906.42,4.19
1925.49,4.27
1944.74,4.35
1964.19,4.43
1983.83,4.52
2003.67,4.60
2023.71,4.69
2043.94,4.77
2064.38,4.86
2085.03,4.94
2105.88,5.03
2126.94,5.12
2148.20,5.22
2169.69,5.31
2191.38,5.40
2213.30,5.50
2235.43,5.60
2257.78,5.69
2280.36,5.79
2303.17,5.89
2326.20,5.99
2349.46,6.10
2372.95,6.20
2396.68,6.31
2420.65,6.41
2444.86,6.52
2469.31,6.62
2494.00,6.73
2518.94,6.84
2544.13,6.96
2569.57,7.07
2595.27,7.19
2621.22,7.30
2647.43,7.41
2673.90,7.52
2700.64,7.63
2727.65,7.74
2754.93,7.85
2782.48,7.96
2810.30,8.06
2838.40,8.16
2866.79,8.27
2895.46,8.37
2924.41,8.46
2953.65,8.56
2983.19,8.65
3013.02,8.74
3043.15,8.83
3073.58,8.92
3104.32,9.01
3135.36,9.09
3166.72,9.18
3198.38,9.26
3230.37,9.35
3262.67,9.43
3295.30,9.50
3328.25,9.58
3361.53,9.65
3395.15,9.72
3429.10,9.79
3463.39,9.85
3498.03,9.91
3533.01,9.97
3568.34,10.02
3604.02,10.07
3640.06,10.11
3676.46,10.15
3713.22,10.19
3750.36,10.22
3787.86,10.25
3825.74,10.27
3864.00,10.28
3902.64,10.29
3941.66,10.29
3981.08,10.28
4020.89,10.25
4061.10,10.22
4101.71,10.17
4142.73,10.12
4184.15,10.05
4226.00,9.98
4268.26,9.89
4310.94,9.80
4354.05,9.69
4397.59,9.58
4441.56,9.46
4485.98,9.33
4530.84,9.18
4576.15,9.03
4621.91,8.88
4668.13,8.71
4714.81,8.54
4761.96,8.36
4809.58,8.18
4857.67,7.99
4906.25,7.80
4955.31,7.60
5004.87,7.41
5054.91,7.20
5105.46,6.99
5156.52,6.78
5208.08,6.57
5260.16,6.36
5312.77,6.16
5365.89,5.95
5419.55,5.76
5473.75,5.56
5528.49,5.38
5583.77,5.20
5639.61,5.02
5696.00,4.86
5752.96,4.70
5810.49,4.55
5868.60,4.41
5927.28,4.28
5986.56,4.16
6046.42,4.05
6106.89,3.95
6167.96,3.86
6229.64,3.78
6291.93,3.72
6354.85,3.68
6418.40,3.65
6482.58,3.63
6547.41,3.62
6612.88,3.63
6679.01,3.64
6745.80,3.66
6813.26,3.69
6881.39,3.71
6950.21,3.74
7019.71,3.75
7089.91,3.75
7160.81,3.73
7232.41,3.70
7304.74,3.65
7377.79,3.59
7451.56,3.57
7526.08,3.58
7601.34,3.64
7677.35,3.75
7754.13,3.87
7831.67,4.00
7909.98,4.11
7989.08,4.17
8068.98,4.14
8149.67,4.04
8231.16,3.87
8313.47,3.62
8396.61,3.32
8480.57,2.96
8565.38,2.57
8651.03,2.15
8737.54,1.72
8824.92,1.29
8913.17,0.87
9002.30,0.45
9092.32,0.06
9183.25,-0.31
9275.08,-0.66
9367.83,-0.98
9461.51,-1.27
9556.12,-1.53
9651.68,-1.75
9748.20,-1.94
9845.68,-2.09
9944.14,-2.20
10043.58,-2.26
10144.02,-2.29
10245.46,-2.25
10347.91,-2.17
10451.39,-2.05
10555.91,-1.85
10661.46,-1.59
10768.08,-1.28
10875.76,-0.87
10984.52,-0.38
11094.36,0.16
11205.31,0.78
11317.36,1.47
11430.53,2.14
11544.84,2.72
11660.29,3.17
11776.89,3.46
11894.66,3.20
12013.60,2.85
12133.74,2.18
12255.08,1.20
12377.63,0.08
12501.41,-1.10
12626.42,-2.31
12752.68,-3.46
12880.21,-4.49
13009.01,-5.46
13139.10,-6.42
13270.49,-7.20
13403.20,-7.93
13537.23,-8.53
13672.60,-9.10
13809.33,-9.61
13947.42,-10.08
14086.90,-10.52
14227.77,-10.95
14370.04,-11.35
14513.74,-11.73
14658.88,-12.05
14805.47,-12.33
14953.52,-12.54
15103.06,-12.70
15254.09,-12.82
15406.63,-12.92
15560.70,-13.01
15716.30,-13.10
15873.47,-13.17
16032.20,-13.21
16192.52,-13.19
16354.45,-13.15
16517.99,-13.10
16683.17,-13.08
16850.01,-13.07
17018.51,-13.09
17188.69,-13.15
17360.58,-13.23
17534.18,-13.35
17709.53,-13.50
17886.62,-13.70
18065.49,-13.94
18246.14,-14.22
18428.60,-14.62
18612.89,-15.12
18799.02,-15.72
18987.01,-16.45
19176.88,-17.34
19368.65,-18.34
19562.33,-19.39
19757.96,-20.45
19955.54,-21.19
