frequency,raw
20.00,10.83
20.20,10.81
20.40,10.79
20.61,10.76
20.81,10.74
21.02,10.71
21.23,10.69
21.44,10.66
21.66,10.63
21.87,10.61
22.09,10.58
22.31,10.55
22.54,10.51
22.76,10.48
22.99,10.45
23.22,10.42
23.45,10.38
23.69,10.35
23.92,10.33
24.16,10.30
24.40,10.27
24.65,10.24
24.89,10.20
25.14,10.17
25.39,10.14
25.65,10.11
25.91,10.07
26.16,10.04
26.43,10.01
26.69,9.98
26.96,9.95
27.23,9.92
27.50,9.88
27.77,9.85
28.05,9.81
28.33,9.78
28.62,9.74
28.90,9.71
29.19,9.68
29.48,9.64
29.78,9.61
30.08,9.57
30.38,9.53
30.68,9.50
30.99,9.46
31.30,9.42
31.61,9.38
31.93,9.35
32.24,9.31
32.57,9.27
32.89,9.23
33.22,9.19
33.55,9.16
33.89,9.12
34.23,9.08
34.57,9.04
34.92,9.00
35.27,8.96
35.62,8.92
35.97,8.88
36.33,8.84
36.70,8.81
37.06,8.77
37.43,8.73
37.81,8.69
38.19,8.65
38.57,8.61
38.95,8.57
39.34,8.53
39.74,8.48
40.14,8.44
40.54,8.40
40.94,8.36
41.35,8.32
41.76,8.28
42.18,8.24
42.60,8.20
43.03,8.15
43.46,8.11
43.90,8.07
44.33,8.03
44.78,7.98
45.23,7.94
45.68,7.89
46.13,7.85
46.60,7.81
47.06,7.77
47.53,7.73
48.01,7.69
48.49,7.65
48.97,7.61
49.46,7.57
49.96,7.53
50.46,7.49
50.96,7.44
51.47,7.40
51.99,7.35
52.51,7.31
53.03,7.27
53.56,7.24
54.10,7.20
54.64,7.16
55.18,7.12
55.74,7.07
56.29,7.03
56.86,6.99
57.42,6.96
58.00,6.92
58.58,6.88
59.16,6.84
59.76,6.80
60.35,6.76
60.96,6.72
61.57,6.69
62.18,6.65
62.80,6.61
63.43,6.57
64.07,6.52
64.71,6.48
65.35,6.44
66.01,6.40
66.67,6.36
67.33,6.32
68.01,6.27
68.69,6.24
69.37,6.22
70.07,6.19
70.77,6.15
71.48,6.10
72.19,6.04
72.91,5.99
73.64,5.94
74.38,5.90
75.12,5.87
75.87,5.83
76.63,5.79
77.40,5.75
78.17,5.71
78.95,5.67
79.74,5.63
80.54,5.60
81.35,5.56
82.16,5.52
82.98,5.48
83.81,5.44
84.65,5.40
85.50,5.36
86.35,5.33
87.22,5.29
88.09,5.25
88.97,5.21
89.86,5.18
90.76,5.14
91.66,5.10
92.58,5.06
93.51,5.02
94.44,4.99
95.39,4.95
96.34,4.91
97.30,4.88
98.28,4.84
99.26,4.81
100.25,4.77
101.25,4.74
102.27,4.70
103.29,4.66
104.32,4.62
105.37,4.59
106.42,4.55
107.48,4.51
108.56,4.48
109.64,4.44
110.74,4.41
111.85,4.37
112.97,4.34
114.10,4.30
115.24,4.26
116.39,4.23
117.55,4.19
118.73,4.15
119.92,4.12
121.12,4.08
122.33,4.05
123.55,4.02
124.79,3.98
126.03,3.95
127.29,3.91
128.57,3.87
129.85,3.84
131.15,3.80
132.46,3.78
133.79,3.76
135.12,3.72
136.48,3.68
137.84,3.63
139.22,3.61
140.61,3.58
142.02,3.53
143.44,3.48
144.87,3.44
146.32,3.40
147.78,3.37
149.26,3.33
150.75,3.30
152.26,3.26
153.78,3.23
155.32,3.19
156.88,3.16
158.44,3.12
160.03,3.09
161.63,3.06
163.24,3.03
164.88,3.00
166.53,2.97
168.19,2.94
169.87,2.91
171.57,2.88
173.29,2.84
175.02,2.81
176.77,2.78
178.54,2.75
180.32,2.72
182.13,2.70
183.95,2.67
185.79,2.64
187.65,2.61
189.52,2.58
191.42,2.55
193.33,2.52
195.27,2.49
197.22,2.46
199.19,2.43
201.18,2.40
203.19,2.37
205.23,2.34
207.28,2.30
209.35,2.27
211.44,2.24
213.56,2.21
215.69,2.18
217.85,2.15
220.03,2.11
222.23,2.08
224.45,2.05
226.70,2.02
228.96,1.99
231.25,1.96
233.57,1.93
235.90,1.90
238.26,1.87
240.64,1.84
243.05,1.81
245.48,1.78
247.93,1.75
250.41,1.72
252.92,1.69
255.45,1.66
258.00,1.63
260.58,1.60
263.19,1.57
265.82,1.54
268.48,1.51
271.16,1.49
273.87,1.46
276.61,1.43
279.38,1.40
282.17,1.37
284.99,1.35
287.84,1.32
290.72,1.29
293.63,1.26
296.57,1.24
299.53,1.21
302.53,1.18
305.55,1.16
308.61,1.13
311.69,1.11
314.81,1.08
317.96,1.05
321.14,1.03
324.35,1.00
327.59,0.98
330.87,0.95
334.18,0.93
337.52,0.90
340.90,0.88
344.30,0.86
347.75,0.83
351.23,0.81
354.74,0.78
358.28,0.76
361.87,0.74
365.49,0.72
369.14,0.69
372.83,0.67
376.56,0.65
380.33,0.62
384.13,0.59
387.97,0.56
391.85,0.54
395.77,0.52
399.73,0.51
403.72,0.49
407.76,0.47
411.84,0.44
415.96,0.42
420.12,0.40
424.32,0.38
428.56,0.36
432.85,0.34
437.18,0.32
441.55,0.30
445.96,0.28
450.42,0.26
454.93,0.23
459.48,0.21
464.07,0.19
468.71,0.17
473.40,0.16
478.13,0.14
482.91,0.12
487.74,0.10
492.62,0.07
497.55,0.05
502.52,0.04
507.55,0.02
512.62,0.01
517.75,-0.01
522.93,-0.03
528.16,-0.05
533.44,-0.07
538.77,-0.09
544.16,-0.11
549.60,-0.12
555.10,-0.13
560.65,-0.15
566.25,-0.17
571.92,-0.18
577.64,-0.20
583.41,-0.22
589.25,-0.23
595.14,-0.24
601.09,-0.25
