frequency,raw
20.00,8.71
20.20,8.72
20.40,8.73
20.61,8.73
20.81,8.74
21.02,8.74
21.23,8.74
21.44,8.74
21.66,8.75
21.87,8.75
22.09,8.75
22.31,8.75
22.54,8.75
22.76,8.75
22.99,8.75
23.22,8.74
23.45,8.74
23.69,8.74
23.92,8.74
24.16,8.73
24.40,8.73
24.65,8.73
24.89,8.73
25.14,8.73
25.39,8.73
25.65,8.73
25.91,8.74
26.16,8.74
26.43,8.75
26.69,8.75
26.96,8.76
27.23,8.76
27.50,8.77
27.77,8.77
28.05,8.78
28.33,8.78
28.62,8.79
28.90,8.79
29.19,8.79
29.48,8.80
29.78,8.80
30.08,8.80
30.38,8.80
30.68,8.80
30.99,8.80
31.30,8.79
31.61,8.79
31.93,8.79
32.24,8.78
32.57,8.78
32.89,8.77
33.22,8.77
33.55,8.77
33.89,8.76
34.23,8.76
34.57,8.75
34.92,8.75
35.27,8.74
35.62,8.74
35.97,8.73
36.33,8.73
36.70,8.72
37.06,8.72
37.43,8.71
37.81,8.71
38.19,8.70
38.57,8.70
38.95,8.69
39.34,8.68
39.74,8.68
40.14,8.67
40.54,8.66
40.94,8.65
41.35,8.64
41.76,8.63
42.18,8.62
42.60,8.60
43.03,8.59
43.46,8.58
43.90,8.57
44.33,8.56
44.78,8.55
45.23,8.54
45.68,8.52
46.13,8.51
46.60,8.50
47.06,8.49
47.53,8.47
48.01,8.46
48.49,8.45
48.97,8.43
49.46,8.42
49.96,8.41
50.46,8.40
50.96,8.38
51.47,8.37
51.99,8.36
52.51,8.35
53.03,8.34
53.56,8.32
54.10,8.31
54.64,8.29
55.18,8.28
55.74,8.27
56.29,8.25
56.86,8.24
57.42,8.23
58.00,8.21
58.58,8.20
59.16,8.18
59.76,8.17
60.35,8.16
60.96,8.14
61.57,8.12
62.18,8.11
62.80,8.09
63.43,8.08
64.07,8.06
64.71,8.04
65.35,8.02
66.01,8.00
66.67,7.98
67.33,7.96
68.01,7.94
68.69,7.92
69.37,7.90
70.07,7.88
70.77,7.86
71.48,7.84
72.19,7.82
72.91,7.80
73.64,7.78
74.38,7.76
75.12,7.74
75.87,7.71
76.63,7.69
77.40,7.67
78.17,7.65
78.95,7.63
79.74,7.61
80.54,7.59
81.35,7.57
82.16,7.54
82.98,7.52
83.81,7.50
84.65,7.48
85.50,7.46
86.35,7.44
87.22,7.41
88.09,7.39
88.97,7.37
89.86,7.35
90.76,7.33
91.66,7.30
92.58,7.28
93.51,7.26
94.44,7.24
95.39,7.21
96.34,7.19
97.30,7.17
98.28,7.14
99.26,7.12
100.25,7.09
101.25,7.07
102.27,7.05
103.29,7.02
104.32,7.00
105.37,6.97
106.42,6.95
107.48,6.92
108.56,6.90
109.64,6.87
110.74,6.85
111.85,6.82
112.97,6.80
114.10,6.77
115.24,6.74
116.39,6.72
117.55,6.69
118.73,6.66
119.92,6.64
121.12,6.61
122.33,6.58
123.55,6.56
124.79,6.53
126.03,6.50
127.29,6.47
128.57,6.44
129.85,6.41
131.15,6.38
132.46,6.36
133.79,6.33
135.12,6.30
136.48,6.27
137.84,6.24
139.22,6.21
140.61,6.18
142.02,6.15
143.44,6.12
144.87,6.08
146.32,6.05
147.78,6.02
149.26,5.99
150.75,5.96
152.26,5.93
153.78,5.90
155.32,5.87
156.88,5.83
158.44,5.80
160.03,5.77
161.63,5.74
163.24,5.71
164.88,5.68
166.53,5.65
168.19,5.62
169.87,5.59
171.57,5.56
173.29,5.53
175.02,5.50
176.77,5.47
178.54,5.44
180.32,5.41
182.13,5.38
183.95,5.35
185.79,5.32
187.65,5.28
189.52,5.25
191.42,5.22
193.33,5.19
195.27,5.15
197.22,5.12
199.19,5.09
201.18,5.05
203.19,5.02
205.23,4.98
207.28,4.94
209.35,4.91
211.44,4.87
213.56,4.83
215.69,4.79
217.85,4.76
220.03,4.72
222.23,4.68
224.45,4.64
226.70,4.60
228.96,4.56
231.25,4.52
233.57,4.48
235.90,4.44
238.26,4.40
240.64,4.37
243.05,4.33
245.48,4.28
247.93,4.24
250.41,4.20
252.92,4.16
255.45,4.12
258.00,4.08
260.58,4.04
263.19,4.00
265.82,3.95
268.48,3.91
271.16,3.87
273.87,3.83
276.61,3.78
279.38,3.74
282.17,3.70
284.99,3.65
287.84,3.61
290.72,3.56
293.63,3.52
296.57,3.48
299.53,3.43
302.53,3.39
305.55,3.34
308.61,3.30
311.69,3.25
314.81,3.21
317.96,3.16
321.14,3.12
324.35,3.08
327.59,3.03
330.87,2.99
334.18,2.94
337.52,2.90
340.90,2.85
344.30,2.81
347.75,2.76
351.23,2.71
354.74,2.67
358.28,2.62
361.87,2.58
365.49,2.53
369.14,2.48
372.83,2.44
376.56,2.39
380.33,2.35
384.13,2.30
387.97,2.26
391.85,2.21
395.77,2.16
399.73,2.12
403.72,2.07
407.76,2.02
411.84,1.98
415.96,1.93
420.12,1.88
424.32,1.84
428.56,1.79
432.85,1.74
437.18,1.69
441.55,1.64
445.96,1.59
450.42,1.54
454.93,1.50
459.48,1.45
464.07,1.40
468.71,1.35
473.40,1.30
478.13,1.25
482.91,1.20
487.74,1.15
492.62,1.11
497.55,1.06
502.52,1.01
507.55,0.96
512.62,0.91
517.75,0.87
522.93,0.82
528.16,0.77
533.44,0.73
538.77,0.68
544.16,0.63
549.60,0.59
555.10,0.54
560.65,0.50
566.25,0.45
571.92,0.40
577.64,0.36
583.41,0.32
589.25,0.27
595.14,0.23
601.09,0.19
607.10,0.14
613.17,0.10
619.30,0.06
625.50,0.02
631.75,-0.02
638.07,-0.05
644.45,-0.09
650.89,-0.13
657.40,-0.16
663.98,-0.19
670.62,-0.23
677.32,-0.26
684.10,-0.29
690.94,-0.32
697.85,-0.34
704.83,-0.37
711.87,-0.40
718.99,-0.42
726.18,-0.44
733.44,-0.46
740.78,-0.48
748.19,-0.50
755.67,-0.52
763.23,-0.53
770.86,-0.54
778.57,-0.55
786.35,-0.56
794.22,-0.57
802.16,-0.57
810.18,-0.57
818.28,-0.58
826.46,-0.58
834.73,-0.57
843.08,-0.57
851.51,-0.56
860.02,-0.55
868.62,-0.54
877.31,-0.52
886.08,-0.50
894.94,-0.47
903.89,-0.45
912.93,-0.42
922.06,-0.39
931.28,-0.35
940.59,-0.31
950.00,-0.27
959.50,-0.22
969.09,-0.17
978.78,-0.12
988.57,-0.06
998.46,-0.01
1008.44,0.04
1018.53,0.10
1028.71,0.15
1039.00,0.21
1049.39,0.27
1059.88,0.33
1070.48,0.39
1081.19,0.45
1092.00,0.51
1102.92,0.58
1113.95,0.65
1125.09,0.71
1136.34,0.78
1147.70,0.84
1159.18,0.91
1170.77,0.98
1182.48,1.04
1194.30,1.11
1206.25,1.17
1218.31,1.24
1230.49,1.30
1242.80,1.37
1255.22,1.44
1267.78,1.50
1280.45,1.57
1293.26,1.64
1306.19,1.71
1319.25,1.78
1332.45,1.85
1345.77,1.91
1359.23,1.98
1372.82,2.05
1386.55,2.12
1400.41,2.19
1414.42,2.26
1428.56,2.33
1442.85,2.40
1457.28,2.48
1471.85,2.55
1486.57,2.63
1501.43,2.71
1516.45,2.79
1531.61,2.87
1546.93,2.95
1562.40,3.03
1578.02,3.12
1593.80,3.20
1609.74,3.29
1625.84,3.39
1642.10,3.48
1658.52,3.58
1675.10,3.68
1691.85,3.78
1708.77,3.89
1725.86,3.99
1743.12,4.10
1760.55,4.21
1778.15,4.32
1795.94,4.43
1813.90,4.54
1832.03,4.65
1850.36,4.77
1868.86,4.88
1887.55,5.00
1906.42,5.11
1925.49,5.23
1944.74,5.35
1964.19,5.46
1983.83,5.58
2003.67,5.69
2023.71,5.81
2043.94,5.93
2064.38,6.04
2085.03,6.16
2105.88,6.27
2126.94,6.38
2148.20,6.49
2169.69,6.59
2191.38,6.70
2213.30,6.80
2235.43,6.90
2257.78,7.00
2280.36,7.10
2303.17,7.20
2326.20,7.29
2349.46,7.39
2372.95,7.48
2396.68,7.57
2420.65,7.66
2444.86,7.75
2469.31,7.84
2494.00,7.93
2518.94,8.03
2544.13,8.11
2569.57,8.19
2595.27,8.26
2621.22,8.32
2647.43,8.35
2673.90,8.36
2700.64,8.35
2727.65,8.32
2754.93,8.27
2782.48,8.20
2810.30,8.11
2838.40,8.02
2866.79,7.92
2895.46,7.81
2924.41,7.70
2953.65,7.59
2983.19,7.48
3013.02,7.38
3043.15,7.28
3073.58,7.18
3104.32,7.09
3135.36,6.99
3166.72,6.91
3198.38,6.82
3230.37,6.74
3262.67,6.66
3295.30,6.58
3328.25,6.51
3361.53,6.44
3395.15,6.38
3429.10,6.33
3463.39,6.28
3498.03,6.25
3533.01,6.22
3568.34,6.21
3604.02,6.21
3640.06,6.23
3676.46,6.27
3713.22,6.31
3750.36,6.37
3787.86,6.46
3825.74,6.56
3864.00,6.67
3902.64,6.81
3941.66,6.95
3981.08,7.11
4020.89,7.27
4061.10,7.44
4101.71,7.62
4142.73,7.81
4184.15,8.00
4226.00,8.20
4268.26,8.40
4310.94,8.59
4354.05,8.77
4397.59,8.93
4441.56,9.08
4485.98,9.20
4530.84,9.29
4576.15,9.34
4621.91,9.37
4668.13,9.34
4714.81,9.27
4761.96,9.18
4809.58,9.04
4857.67,8.87
4906.25,8.67
4955.31,8.46
5004.87,8.23
5054.91,7.98
5105.46,7.73
5156.52,7.49
5208.08,7.25
5260.16,7.03
5312.77,6.82
5365.89,6.64
5419.55,6.48
5473.75,6.34
5528.49,6.23
5583.77,6.15
5639.61,6.10
5696.00,6.06
5752.96,6.05
5810.49,6.06
5868.60,6.09
5927.28,6.13
5986.56,6.17
6046.42,6.22
6106.89,6.26
6167.96,6.29
6229.64,6.31
6291.93,6.31
6354.85,6.30
6418.40,6.28
6482.58,6.24
6547.41,6.20
6612.88,6.16
6679.01,6.12
6745.80,6.09
6813.26,6.07
6881.39,6.06
6950.21,6.08
7019.71,6.11
7089.91,6.16
7160.81,6.24
7232.41,6.32
7304.74,6.41
7377.79,6.49
7451.56,6.55
7526.08,6.59
7601.34,6.61
7677.35,6.59
7754.13,6.55
7831.67,6.44
7909.98,6.29
7989.08,6.10
8068.98,5.84
8149.67,5.56
8231.16,5.24
8313.47,4.89
8396.61,4.53
8480.57,4.15
8565.38,3.77
8651.03,3.38
8737.54,2.98
8824.92,2.59
8913.17,2.19
9002.30,1.80
9092.32,1.43
9183.25,1.10
9275.08,0.80
9367.83,0.55
9461.51,0.36
9556.12,0.23
9651.68,0.15
9748.20,0.14
9845.68,0.24
9944.14,0.44
10043.58,0.79
10144.02,1.27
10245.46,1.89
10347.91,2.47
10451.39,2.95
