frequency,raw
20.00,7.64
20.20,7.66
20.40,7.68
20.61,7.69
20.81,7.71
21.02,7.74
21.23,7.76
21.44,7.78
21.66,7.80
21.87,7.82
22.09,7.85
22.31,7.87
22.54,7.89
22.76,7.91
22.99,7.93
23.22,7.95
23.45,7.97
23.69,7.99
23.92,8.01
24.16,8.03
24.40,8.04
24.65,8.06
24.89,8.07
25.14,8.09
25.39,8.10
25.65,8.12
25.91,8.13
26.16,8.14
26.43,8.15
26.69,8.17
26.96,8.18
27.23,8.19
27.50,8.20
27.77,8.21
28.05,8.22
28.33,8.23
28.62,8.24
28.90,8.24
29.19,8.25
29.48,8.26
29.78,8.26
30.08,8.27
30.38,8.27
30.68,8.27
30.99,8.28
31.30,8.28
31.61,8.28
31.93,8.28
32.24,8.28
32.57,8.29
32.89,8.29
33.22,8.29
33.55,8.28
33.89,8.28
34.23,8.28
34.57,8.28
34.92,8.28
35.27,8.27
35.62,8.27
35.97,8.27
36.33,8.26
36.70,8.26
37.06,8.25
37.43,8.24
37.81,8.24
38.19,8.23
38.57,8.22
38.95,8.22
39.34,8.21
39.74,8.20
40.14,8.19
40.54,8.18
40.94,8.16
41.35,8.15
41.76,8.14
42.18,8.12
42.60,8.11
43.03,8.09
43.46,8.08
43.90,8.06
44.33,8.05
44.78,8.03
45.23,8.01
45.68,8.00
46.13,7.98
46.60,7.96
47.06,7.94
47.53,7.92
48.01,7.90
48.49,7.88
48.97,7.86
49.46,7.84
49.96,7.82
50.46,7.80
50.96,7.78
51.47,7.76
51.99,7.74
52.51,7.72
53.03,7.70
53.56,7.68
54.10,7.66
54.64,7.63
55.18,7.61
55.74,7.59
56.29,7.56
56.86,7.54
57.42,7.51
58.00,7.49
58.58,7.46
59.16,7.44
59.76,7.41
60.35,7.39
60.96,7.36
61.57,7.33
62.18,7.30
62.80,7.27
63.43,7.24
64.07,7.21
64.71,7.18
65.35,7.15
66.01,7.12
66.67,7.08
67.33,7.05
68.01,7.02
68.69,6.98
69.37,6.95
70.07,6.91
70.77,6.88
71.48,6.84
72.19,6.81
72.91,6.77
73.64,6.74
74.38,6.70
75.12,6.66
75.87,6.62
76.63,6.59
77.40,6.55
78.17,6.51
78.95,6.47
79.74,6.44
80.54,6.40
81.35,6.36
82.16,6.32
82.98,6.28
83.81,6.24
84.65,6.20
85.50,6.16
86.35,6.12
87.22,6.08
88.09,6.04
88.97,6.00
89.86,5.96
90.76,5.92
91.66,5.88
92.58,5.84
93.51,5.80
94.44,5.76
95.39,5.72
96.34,5.67
97.30,5.63
98.28,5.59
99.26,5.55
100.25,5.50
101.25,5.46
102.27,5.42
103.29,5.37
104.32,5.33
105.37,5.28
106.42,5.24
107.48,5.19
108.56,5.15
109.64,5.10
110.74,5.06
111.85,5.01
112.97,4.97
114.10,4.92
115.24,4.87
116.39,4.83
117.55,4.78
118.73,4.74
119.92,4.69
121.12,4.64
122.33,4.60
123.55,4.55
124.79,4.50
126.03,4.45
127.29,4.41
128.57,4.36
129.85,4.31
131.15,4.26
132.46,4.21
133.79,4.16
135.12,4.11
136.48,4.06
137.84,4.02
139.22,3.97
140.61,3.92
142.02,3.87
143.44,3.82
144.87,3.77
146.32,3.72
147.78,3.67
149.26,3.62
150.75,3.57
152.26,3.53
153.78,3.48
155.32,3.43
156.88,3.38
158.44,3.33
160.03,3.28
161.63,3.23
163.24,3.19
164.88,3.14
166.53,3.10
168.19,3.05
169.87,3.01
171.57,2.96
173.29,2.91
175.02,2.87
176.77,2.82
178.54,2.78
180.32,2.74
182.13,2.69
183.95,2.65
185.79,2.60
187.65,2.56
189.52,2.51
191.42,2.47
193.33,2.42
195.27,2.38
197.22,2.33
199.19,2.29
201.18,2.24
203.19,2.20
205.23,2.15
207.28,2.10
209.35,2.06
211.44,2.01
213.56,1.96
215.69,1.92
217.85,1.87
220.03,1.83
222.23,1.78
224.45,1.74
226.70,1.69
228.96,1.65
231.25,1.60
233.57,1.56
235.90,1.51
238.26,1.47
240.64,1.43
243.05,1.38
245.48,1.34
247.93,1.30
250.41,1.25
252.92,1.21
255.45,1.17
258.00,1.13
260.58,1.09
263.19,1.04
265.82,1.00
268.48,0.96
271.16,0.92
273.87,0.88
276.61,0.84
279.38,0.80
282.17,0.76
284.99,0.72
287.84,0.68
290.72,0.64
293.63,0.61
296.57,0.57
299.53,0.53
302.53,0.49
305.55,0.45
308.61,0.42
311.69,0.38
314.81,0.34
317.96,0.31
321.14,0.27
324.35,0.24
327.59,0.20
330.87,0.17
334.18,0.14
337.52,0.10
340.90,0.07
344.30,0.04
347.75,0.01
351.23,-0.03
354.74,-0.06
358.28,-0.09
361.87,-0.12
365.49,-0.15
369.14,-0.18
372.83,-0.21
376.56,-0.24
380.33,-0.27
384.13,-0.30
387.97,-0.33
391.85,-0.35
395.77,-0.38
399.73,-0.41
403.72,-0.44
407.76,-0.46
411.84,-0.49
415.96,-0.52
420.12,-0.54
424.32,-0.57
428.56,-0.59
432.85,-0.62
437.18,-0.64
441.55,-0.67
445.96,-0.69
450.42,-0.71
454.93,-0.74
459.48,-0.76
464.07,-0.78
468.71,-0.80
473.40,-0.82
478.13,-0.84
482.91,-0.87
487.74,-0.89
492.62,-0.91
497.55,-0.93
502.52,-0.94
507.55,-0.96
512.62,-0.98
517.75,-1.00
522.93,-1.01
528.16,-1.03
533.44,-1.05
538.77,-1.06
544.16,-1.08
549.60,-1.09
555.10,-1.10
560.65,-1.12
566.25,-1.13
571.92,-1.14
577.64,-1.15
583.41,-1.16
589.25,-1.17
595.14,-1.18
601.09,-1.19
607.10,-1.20
613.17,-1.21
619.30,-1.22
625.50,-1.22
631.75,-1.23
638.07,-1.23
644.45,-1.24
650.89,-1.24
657.40,-1.24
663.98,-1.24
670.62,-1.24
677.32,-1.24
684.10,-1.24
690.94,-1.24
697.85,-1.23
704.83,-1.23
711.87,-1.22
718.99,-1.21
726.18,-1.20
733.44,-1.19
740.78,-1.18
748.19,-1.17
755.67,-1.16
763.23,-1.14
770.86,-1.12
778.57,-1.11
786.35,-1.09
794.22,-1.06
802.16,-1.04
810.18,-1.02
818.28,-0.99
826.46,-0.97
834.73,-0.94
843.08,-0.91
851.51,-0.88
860.02,-0.84
868.62,-0.80
877.31,-0.76
886.08,-0.72
894.94,-0.67
903.89,-0.63
912.93,-0.58
922.06,-0.52
931.28,-0.47
940.59,-0.41
950.00,-0.35
959.50,-0.28
969.09,-0.22
978.78,-0.15
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.13
1028.71,0.20
1039.00,0.27
1049.39,0.34
1059.88,0.42
1070.48,0.49
1081.19,0.56
1092.00,0.64
1102.92,0.72
1113.95,0.79
1125.09,0.87
1136.34,0.94
1147.70,1.02
1159.18,1.10
1170.77,1.17
1182.48,1.25
1194.30,1.32
1206.25,1.40
1218.31,1.47
1230.49,1.54
1242.80,1.62
1255.22,1.69
1267.78,1.77
1280.45,1.84
1293.26,1.92
1306.19,1.99
1319.25,2.07
1332.45,2.14
1345.77,2.22
1359.23,2.29
1372.82,2.36
1386.55,2.44
1400.41,2.51
1414.42,2.59
1428.56,2.66
1442.85,2.73
1457.28,2.80
1471.85,2.86
1486.57,2.90
1501.43,2.94
1516.45,2.96
1531.61,2.97
1546.93,2.97
1562.40,2.99
1578.02,3.03
1593.80,3.10
1609.74,3.18
1625.84,3.28
1642.10,3.38
1658.52,3.48
1675.10,3.58
1691.85,3.67
1708.77,3.76
1725.86,3.85
1743.12,3.94
1760.55,4.03
1778.15,4.12
1795.94,4.20
1813.90,4.29
1832.03,4.38
1850.36,4.47
1868.86,4.56
1887.55,4.65
1906.42,4.74
1925.49,4.83
1944.74,4.93
1964.19,5.02
1983.83,5.11
2003.67,5.21
2023.71,5.30
2043.94,5.40
2064.38,5.49
2085.03,5.59
2105.88,5.69
2126.94,5.78
2148.20,5.88
2169.69,5.98
