frequency,raw
20.00,9.06
20.20,9.06
20.40,9.06
20.61,9.06
20.81,9.05
21.02,9.04
21.23,9.03
21.44,9.01
21.66,8.99
21.87,8.97
22.09,8.96
22.31,8.94
22.54,8.93
22.76,8.91
22.99,8.90
23.22,8.88
23.45,8.86
23.69,8.83
23.92,8.81
24.16,8.78
24.40,8.75
24.65,8.72
24.89,8.69
25.14,8.66
25.39,8.64
25.65,8.62
25.91,8.60
26.16,8.59
26.43,8.58
26.69,8.57
26.96,8.55
27.23,8.54
27.50,8.52
27.77,8.49
28.05,8.47
28.33,8.44
28.62,8.42
28.90,8.40
29.19,8.38
29.48,8.36
29.78,8.35
30.08,8.33
30.38,8.30
30.68,8.27
30.99,8.24
31.30,8.20
31.61,8.17
31.93,8.13
32.24,8.10
32.57,8.06
32.89,8.03
33.22,8.00
33.55,7.97
33.89,7.95
34.23,7.92
34.57,7.90
34.92,7.88
35.27,7.85
35.62,7.82
35.97,7.79
36.33,7.76
36.70,7.72
37.06,7.69
37.43,7.65
37.81,7.60
38.19,7.56
38.57,7.51
38.95,7.48
39.34,7.44
39.74,7.41
40.14,7.38
40.54,7.35
40.94,7.33
41.35,7.30
41.76,7.27
42.18,7.24
42.60,7.20
43.03,7.16
43.46,7.13
43.90,7.09
44.33,7.05
44.78,7.01
45.23,6.98
45.68,6.94
46.13,6.90
46.60,6.86
47.06,6.83
47.53,6.79
48.01,6.74
48.49,6.69
48.97,6.64
49.46,6.58
49.96,6.53
50.46,6.51
50.96,6.48
51.47,6.46
51.99,6.42
52.51,6.37
53.03,6.33
53.56,6.28
54.10,6.24
54.64,6.19
55.18,6.15
55.74,6.11
56.29,6.07
56.86,6.03
57.42,5.99
58.00,5.96
58.58,5.91
59.16,5.87
59.76,5.83
60.35,5.78
60.96,5.74
61.57,5.70
62.18,5.66
62.80,5.62
63.43,5.57
64.07,5.52
64.71,5.48
65.35,5.43
66.01,5.37
66.67,5.32
67.33,5.28
68.01,5.23
68.69,5.18
69.37,5.13
70.07,5.08
70.77,5.03
71.48,4.98
72.19,4.93
72.91,4.89
73.64,4.85
74.38,4.80
75.12,4.75
75.87,4.69
76.63,4.64
77.40,4.59
78.17,4.54
78.95,4.49
79.74,4.44
80.54,4.38
81.35,4.33
82.16,4.28
82.98,4.23
83.81,4.19
84.65,4.13
85.50,4.08
86.35,4.02
87.22,3.97
88.09,3.92
88.97,3.87
89.86,3.83
90.76,3.78
91.66,3.74
92.58,3.69
93.51,3.64
94.44,3.59
95.39,3.54
96.34,3.49
97.30,3.44
98.28,3.39
99.26,3.33
100.25,3.28
101.25,3.22
102.27,3.16
103.29,3.11
104.32,3.06
105.37,3.01
106.42,2.96
107.48,2.90
108.56,2.85
109.64,2.80
110.74,2.75
111.85,2.70
112.97,2.65
114.10,2.61
115.24,2.56
116.39,2.50
117.55,2.45
118.73,2.40
119.92,2.35
121.12,2.29
122.33,2.23
123.55,2.18
124.79,2.13
126.03,2.08
127.29,2.03
128.57,1.98
129.85,1.92
131.15,1.87
132.46,1.82
133.79,1.76
135.12,1.71
136.48,1.66
137.84,1.62
139.22,1.58
140.61,1.53
142.02,1.48
143.44,1.42
144.87,1.37
146.32,1.32
147.78,1.28
149.26,1.23
150.75,1.18
152.26,1.13
153.78,1.07
155.32,1.02
156.88,0.97
158.44,0.92
160.03,0.88
161.63,0.84
163.24,0.79
164.88,0.75
166.53,0.70
168.19,0.66
169.87,0.61
171.57,0.56
173.29,0.52
175.02,0.47
176.77,0.43
178.54,0.39
180.32,0.35
182.13,0.31
183.95,0.27
185.79,0.22
187.65,0.18
189.52,0.14
191.42,0.10
193.33,0.06
195.27,0.02
197.22,-0.03
199.19,-0.07
201.18,-0.12
203.19,-0.16
205.23,-0.20
207.28,-0.24
209.35,-0.28
211.44,-0.32
213.56,-0.36
215.69,-0.40
217.85,-0.43
220.03,-0.47
222.23,-0.50
224.45,-0.54
226.70,-0.58
228.96,-0.62
231.25,-0.66
233.57,-0.70
235.90,-0.74
238.26,-0.77
240.64,-0.81
243.05,-0.84
245.48,-0.87
247.93,-0.90
250.41,-0.93
252.92,-0.97
255.45,-1.00
258.00,-1.04
260.58,-1.07
263.19,-1.11
265.82,-1.14
268.48,-1.16
271.16,-1.19
273.87,-1.22
276.61,-1.25
279.38,-1.28
282.17,-1.31
284.99,-1.34
287.84,-1.37
290.72,-1.39
293.63,-1.41
296.57,-1.44
299.53,-1.46
302.53,-1.48
305.55,-1.50
308.61,-1.53
311.69,-1.55
314.81,-1.58
317.96,-1.60
321.14,-1.62
324.35,-1.64
327.59,-1.66
330.87,-1.67
334.18,-1.69
337.52,-1.71
340.90,-1.72
344.30,-1.74
347.75,-1.75
351.23,-1.77
354.74,-1.78
358.28,-1.79
361.87,-1.80
365.49,-1.81
369.14,-1.82
372.83,-1.84
376.56,-1.86
380.33,-1.87
384.13,-1.88
387.97,-1.89
391.85,-1.90
395.77,-1.91
399.73,-1.92
403.72,-1.92
407.76,-1.93
411.84,-1.93
415.96,-1.94
420.12,-1.95
424.32,-1.96
428.56,-1.96
432.85,-1.97
437.18,-1.97
441.55,-1.97
445.96,-1.98
450.42,-1.99
454.93,-1.99
459.48,-1.99
464.07,-2.00
468.71,-2.00
473.40,-2.01
478.13,-2.01
482.91,-2.02
487.74,-2.02
492.62,-2.02
497.55,-2.02
502.52,-2.02
507.55,-2.02
512.62,-2.02
517.75,-2.02
522.93,-2.02
528.16,-2.01
533.44,-2.01
538.77,-2.00
544.16,-1.99
549.60,-1.99
555.10,-1.99
560.65,-1.98
566.25,-1.98
571.92,-1.97
577.64,-1.96
583.41,-1.96
589.25,-1.95
595.14,-1.94
601.09,-1.93
607.10,-1.91
613.17,-1.90
619.30,-1.89
625.50,-1.88
631.75,-1.86
638.07,-1.85
644.45,-1.84
650.89,-1.82
657.40,-1.80
663.98,-1.79
670.62,-1.77
677.32,-1.75
684.10,-1.73
690.94,-1.71
697.85,-1.69
704.83,-1.67
711.87,-1.65
718.99,-1.63
726.18,-1.60
733.44,-1.58
740.78,-1.54
748.19,-1.52
755.67,-1.49
763.23,-1.46
770.86,-1.42
778.57,-1.38
786.35,-1.34
794.22,-1.30
802.16,-1.27
810.18,-1.23
818.28,-1.19
826.46,-1.15
834.73,-1.11
843.08,-1.07
851.51,-1.03
860.02,-0.98
868.62,-0.93
877.31,-0.88
886.08,-0.82
894.94,-0.77
903.89,-0.71
912.93,-0.65
922.06,-0.59
931.28,-0.53
940.59,-0.46
950.00,-0.39
959.50,-0.32
969.09,-0.25
978.78,-0.17
988.57,-0.09
998.46,-0.01
1008.44,0.07
1018.53,0.14
1028.71,0.21
1039.00,0.29
1049.39,0.37
1059.88,0.45
1070.48,0.54
1081.19,0.62
1092.00,0.71
1102.92,0.79
1113.95,0.88
1125.09,0.96
1136.34,1.05
1147.70,1.14
1159.18,1.23
1170.77,1.32
1182.48,1.41
1194.30,1.50
1206.25,1.58
1218.31,1.67
1230.49,1.75
1242.80,1.83
1255.22,1.91
1267.78,1.99
1280.45,2.07
1293.26,2.14
1306.19,2.21
1319.25,2.28
1332.45,2.34
1345.77,2.41
1359.23,2.47
1372.82,2.53
1386.55,2.58
1400.41,2.64
1414.42,2.69
1428.56,2.74
1442.85,2.79
1457.28,2.84
1471.85,2.89
1486.57,2.93
1501.43,2.98
1516.45,3.03
1531.61,3.08
1546.93,3.13
1562.40,3.17
1578.02,3.22
1593.80,3.27
1609.74,3.32
1625.84,3.38
1642.10,3.44
1658.52,3.50
1675.10,3.56
1691.85,3.62
1708.77,3.68
1725.86,3.74
1743.12,3.81
1760.55,3.87
1778.15,3.94
1795.94,4.01
1813.90,4.08
1832.03,4.15
1850.36,4.23
1868.86,4.30
1887.55,4.38
1906.42,4.45
1925.49,4.53
1944.74,4.62
1964.19,4.70
1983.83,4.78
2003.67,4.86
2023.71,4.94
2043.94,5.03
2064.38,5.11
2085.03,5.20
2105.88,5.28
2126.94,5.37
2148.20,5.45
2169.69,5.53
2191.38,5.62
2213.30,5.70
2235.43,5.78
2257.78,5.87
2280.36,5.95
2303.17,6.03
2326.20,6.10
2349.46,6.17
2372.95,6.23
2396.68,6.29
2420.65,6.35
2444.86,6.41
2469.31,6.46
2494.00,6.51
2518.94,6.55
2544.13,6.59
2569.57,6.62
2595.27,6.65
2621.22,6.67
2647.43,6.69
2673.90,6.69
2700.64,6.69
2727.65,6.68
2754.93,6.67
2782.48,6.65
2810.30,6.63
2838.40,6.60
2866.79,6.56
2895.46,6.52
2924.41,6.48
2953.65,6.43
2983.19,6.37
3013.02,6.32
3043.15,6.25
3073.58,6.19
3104.32,6.13
3135.36,6.06
3166.72,6.00
3198.38,5.94
3230.37,5.88
3262.67,5.83
3295.30,5.77
3328.25,5.72
3361.53,5.67
3395.15,5.62
3429.10,5.58
3463.39,5.53
3498.03,5.49
3533.01,5.46
3568.34,5.42
3604.02,5.39
3640.06,5.37
3676.46,5.34
3713.22,5.32
3750.36,5.29
3787.86,5.27
3825.74,5.24
3864.00,5.21
3902.64,5.17
3941.66,5.14
3981.08,5.10
4020.89,5.08
4061.10,5.05
4101.71,5.06
4142.73,5.08
4184.15,5.13
4226.00,5.21
4268.26,5.30
4310.94,5.38
4354.05,5.44
4397.59,5.45
4441.56,5.42
4485.98,5.32
4530.84,5.16
4576.15,4.95
4621.91,4.71
4668.13,4.46
4714.81,4.21
4761.96,3.97
4809.58,3.76
4857.67,3.57
4906.25,3.40
4955.31,3.26
5004.87,3.12
5054.91,3.00
5105.46,2.87
5156.52,2.75
5208.08,2.62
5260.16,2.50
5312.77,2.37
5365.89,2.25
5419.55,2.13
5473.75,2.01
5528.49,1.90
5583.77,1.80
5639.61,1.71
5696.00,1.63
5752.96,1.55
5810.49,1.48
5868.60,1.41
5927.28,1.35
5986.56,1.29
6046.42,1.23
6106.89,1.18
6167.96,1.13
6229.64,1.08
6291.93,1.05
6354.85,1.05
6418.40,1.07
6482.58,1.13
