frequency,raw
20.00,10.25
20.20,10.23
20.40,10.22
20.61,10.21
20.81,10.20
21.02,10.18
21.23,10.17
21.44,10.16
21.66,10.14
21.87,10.12
22.09,10.10
22.31,10.08
22.54,10.05
22.76,10.03
22.99,10.01
23.22,9.99
23.45,9.97
23.69,9.96
23.92,9.94
24.16,9.92
24.40,9.90
24.65,9.87
24.89,9.83
25.14,9.79
25.39,9.74
25.65,9.70
25.91,9.65
26.16,9.62
26.43,9.59
26.69,9.57
26.96,9.55
27.23,9.52
27.50,9.50
27.77,9.48
28.05,9.46
28.33,9.45
28.62,9.43
28.90,9.42
29.19,9.40
29.48,9.38
29.78,9.34
30.08,9.30
30.38,9.26
30.68,9.22
30.99,9.18
31.30,9.15
31.61,9.12
31.93,9.09
32.24,9.05
32.57,9.00
32.89,8.95
33.22,8.92
33.55,8.88
33.89,8.86
34.23,8.82
34.57,8.76
34.92,8.67
35.27,8.57
35.62,8.47
35.97,8.39
36.33,8.37
36.70,8.38
37.06,8.42
37.43,8.46
37.81,8.45
38.19,8.43
38.57,8.37
38.95,8.32
39.34,8.27
39.74,8.25
40.14,8.23
40.54,8.20
40.94,8.14
41.35,8.07
41.76,8.00
42.18,7.95
42.60,7.90
43.03,7.85
43.46,7.80
43.90,7.74
44.33,7.69
44.78,7.64
45.23,7.60
45.68,7.56
46.13,7.52
46.60,7.48
47.06,7.44
47.53,7.39
48.01,7.33
48.49,7.26
48.97,7.21
49.46,7.15
49.96,7.10
50.46,7.05
50.96,6.99
51.47,6.94
51.99,6.91
52.51,6.88
53.03,6.85
53.56,6.80
54.10,6.75
54.64,6.70
55.18,6.65
55.74,6.60
56.29,6.55
56.86,6.51
57.42,6.47
58.00,6.43
58.58,6.39
59.16,6.34
59.76,6.29
60.35,6.24
60.96,6.17
61.57,6.11
62.18,6.06
62.80,6.01
63.43,5.98
64.07,5.95
64.71,5.91
65.35,5.86
66.01,5.80
66.67,5.75
67.33,5.69
68.01,5.64
68.69,5.58
69.37,5.53
70.07,5.48
70.77,5.44
71.48,5.39
72.19,5.33
72.91,5.27
73.64,5.22
74.38,5.17
75.12,5.11
75.87,5.05
76.63,5.00
77.40,4.96
78.17,4.93
78.95,4.89
79.74,4.83
80.54,4.77
81.35,4.71
82.16,4.67
82.98,4.62
83.81,4.56
84.65,4.51
85.50,4.45
86.35,4.40
87.22,4.35
88.09,4.29
88.97,4.23
89.86,4.19
90.76,4.15
91.66,4.10
92.58,4.05
93.51,4.01
94.44,3.97
95.39,3.92
96.34,3.86
97.30,3.80
98.28,3.75
99.26,3.70
100.25,3.65
101.25,3.60
102.27,3.56
103.29,3.51
104.32,3.46
105.37,3.42
106.42,3.38
107.48,3.34
108.56,3.29
109.64,3.24
110.74,3.19
111.85,3.15
112.97,3.10
114.10,3.05
115.24,3.00
116.39,2.95
117.55,2.90
118.73,2.86
119.92,2.82
121.12,2.78
122.33,2.74
123.55,2.70
124.79,2.66
126.03,2.61
127.29,2.57
128.57,2.52
129.85,2.48
131.15,2.43
132.46,2.39
133.79,2.36
135.12,2.30
136.48,2.25
137.84,2.19
139.22,2.15
140.61,2.12
142.02,2.10
143.44,2.07
144.87,2.05
146.32,2.01
147.78,1.97
149.26,1.93
150.75,1.90
152.26,1.90
153.78,1.89
155.32,1.88
