frequency,raw
20.00,10.40
20.20,10.40
20.40,10.40
20.61,10.40
20.81,10.40
21.02,10.39
21.23,10.39
21.44,10.39
21.66,10.38
21.87,10.38
22.09,10.37
22.31,10.37
22.54,10.36
22.76,10.35
22.99,10.35
23.22,10.34
23.45,10.33
23.69,10.33
23.92,10.32
24.16,10.31
24.40,10.30
24.65,10.29
24.89,10.28
25.14,10.27
25.39,10.27
25.65,10.26
25.91,10.25
26.16,10.24
26.43,10.23
26.69,10.22
26.96,10.21
27.23,10.20
27.50,10.19
27.77,10.18
28.05,10.17
28.33,10.16
28.62,10.15
28.90,10.13
29.19,10.12
29.48,10.11
29.78,10.09
30.08,10.08
30.38,10.06
30.68,10.05
30.99,10.03
31.30,10.01
31.61,10.00
31.93,9.98
32.24,9.96
32.57,9.95
32.89,9.93
33.22,9.91
33.55,9.89
33.89,9.87
34.23,9.85
34.57,9.84
34.92,9.82
35.27,9.80
35.62,9.78
35.97,9.76
36.33,9.74
36.70,9.73
37.06,9.71
37.43,9.69
37.81,9.67
38.19,9.64
38.57,9.62
38.95,9.60
39.34,9.57
39.74,9.54
40.14,9.52
40.54,9.49
40.94,9.46
41.35,9.44
41.76,9.42
42.18,9.39
42.60,9.37
43.03,9.34
43.46,9.31
43.90,9.28
44.33,9.26
44.78,9.23
45.23,9.20
45.68,9.17
46.13,9.13
46.60,9.10
47.06,9.07
47.53,9.04
48.01,9.01
48.49,8.98
48.97,8.95
49.46,8.91
49.96,8.88
50.46,8.85
50.96,8.82
51.47,8.79
51.99,8.76
52.51,8.73
53.03,8.70
53.56,8.66
54.10,8.63
54.64,8.60
55.18,8.57
55.74,8.53
56.29,8.50
56.86,8.47
57.42,8.44
58.00,8.40
58.58,8.37
59.16,8.33
59.76,8.30
60.35,8.26
60.96,8.23
61.57,8.19
62.18,8.15
62.80,8.11
63.43,8.08
64.07,8.04
64.71,8.00
65.35,7.96
66.01,7.92
66.67,7.87
67.33,7.83
68.01,7.79
68.69,7.75
69.37,7.71
70.07,7.67
70.77,7.63
71.48,7.59
72.19,7.54
72.91,7.50
73.64,7.45
74.38,7.41
75.12,7.37
75.87,7.32
76.63,7.28
77.40,7.24
78.17,7.19
78.95,7.15
79.74,7.10
80.54,7.06
81.35,7.01
82.16,6.97
82.98,6.92
83.81,6.88
84.65,6.83
85.50,6.78
86.35,6.74
87.22,6.69
88.09,6.65
88.97,6.60
89.86,6.56
90.76,6.51
91.66,6.46
92.58,6.42
93.51,6.37
94.44,6.32
95.39,6.28
96.34,6.23
97.30,6.18
98.28,6.13
99.26,6.09
100.25,6.04
101.25,5.99
102.27,5.94
103.29,5.89
104.32,5.84
105.37,5.79
106.42,5.74
107.48,5.69
108.56,5.64
109.64,5.59
110.74,5.54
111.85,5.49
112.97,5.44
114.10,5.39
115.24,5.34
116.39,5.28
117.55,5.23
118.73,5.18
119.92,5.13
121.12,5.08
122.33,5.03
123.55,4.98
124.79,4.93
126.03,4.88
127.29,4.83
128.57,4.78
129.85,4.72
131.15,4.67
132.46,4.62
133.79,4.56
135.12,4.51
136.48,4.46
137.84,4.40
139.22,4.35
140.61,4.29
142.02,4.24
143.44,4.19
144.87,4.13
146.32,4.08
147.78,4.03
149.26,3.97
150.75,3.92
152.26,3.87
153.78,3.82
155.32,3.76
156.88,3.71
158.44,3.66
160.03,3.61
161.63,3.56
163.24,3.51
164.88,3.46
166.53,3.41
168.19,3.36
169.87,3.31
171.57,3.26
173.29,3.21
175.02,3.16
176.77,3.11
178.54,3.06
180.32,3.01
182.13,2.96
183.95,2.91
185.79,2.87
187.65,2.82
189.52,2.77
191.42,2.72
193.33,2.67
195.27,2.62
197.22,2.58
199.19,2.53
201.18,2.48
203.19,2.43
205.23,2.38
207.28,2.33
209.35,2.28
211.44,2.23
213.56,2.18
215.69,2.13
217.85,2.08
220.03,2.03
222.23,1.98
224.45,1.93
226.70,1.88
228.96,1.83
231.25,1.79
233.57,1.74
235.90,1.69
238.26,1.64
240.64,1.60
243.05,1.55
245.48,1.50
247.93,1.45
250.41,1.41
252.92,1.36
255.45,1.32
258.00,1.27
260.58,1.22
263.19,1.18
265.82,1.13
268.48,1.09
271.16,1.04
273.87,1.00
276.61,0.96
279.38,0.91
282.17,0.87
284.99,0.83
287.84,0.79
290.72,0.74
293.63,0.70
296.57,0.66
299.53,0.61
302.53,0.57
305.55,0.53
308.61,0.49
311.69,0.45
314.81,0.41
317.96,0.37
321.14,0.34
324.35,0.30
327.59,0.26
330.87,0.22
334.18,0.19
337.52,0.15
340.90,0.11
344.30,0.08
347.75,0.04
351.23,0.01
354.74,-0.03
358.28,-0.06
361.87,-0.10
365.49,-0.13
369.14,-0.16
372.83,-0.20
376.56,-0.23
380.33,-0.26
384.13,-0.30
387.97,-0.33
391.85,-0.36
395.77,-0.39
399.73,-0.42
403.72,-0.45
407.76,-0.48
411.84,-0.51
415.96,-0.54
420.12,-0.57
424.32,-0.59
428.56,-0.62
432.85,-0.65
437.18,-0.67
441.55,-0.70
445.96,-0.73
450.42,-0.75
454.93,-0.78
459.48,-0.80
464.07,-0.83
468.71,-0.85
473.40,-0.88
478.13,-0.90
482.91,-0.92
487.74,-0.94
492.62,-0.96
497.55,-0.98
502.52,-1.00
507.55,-1.02
512.62,-1.04
517.75,-1.06
522.93,-1.08
528.16,-1.09
533.44,-1.11
538.77,-1.13
544.16,-1.14
549.60,-1.16
555.10,-1.17
560.65,-1.18
566.25,-1.19
571.92,-1.21
577.64,-1.22
583.41,-1.23
589.25,-1.24
595.14,-1.24
601.09,-1.25
607.10,-1.26
613.17,-1.27
619.30,-1.27
625.50,-1.27
631.75,-1.28
638.07,-1.27
644.45,-1.27
650.89,-1.27
657.40,-1.27
663.98,-1.27
670.62,-1.26
677.32,-1.25
684.10,-1.25
690.94,-1.24
697.85,-1.23
704.83,-1.22
711.87,-1.20
718.99,-1.19
726.18,-1.17
733.44,-1.16
740.78,-1.14
748.19,-1.12
755.67,-1.10
763.23,-1.08
770.86,-1.06
778.57,-1.04
786.35,-1.01
794.22,-0.99
802.16,-0.96
810.18,-0.94
818.28,-0.91
826.46,-0.88
834.73,-0.86
843.08,-0.83
851.51,-0.79
860.02,-0.76
868.62,-0.73
877.31,-0.69
886.08,-0.65
894.94,-0.61
903.89,-0.57
912.93,-0.52
922.06,-0.47
931.28,-0.42
940.59,-0.37
950.00,-0.32
959.50,-0.26
969.09,-0.20
978.78,-0.13
988.57,-0.07
998.46,-0.01
1008.44,0.05
1018.53,0.11
1028.71,0.17
1039.00,0.24
1049.39,0.30
1059.88,0.36
1070.48,0.43
1081.19,0.49
1092.00,0.56
1102.92,0.62
1113.95,0.69
1125.09,0.75
1136.34,0.82
1147.70,0.88
1159.18,0.95
1170.77,1.01
1182.48,1.07
1194.30,1.13
1206.25,1.19
1218.31,1.25
1230.49,1.31
1242.80,1.38
1255.22,1.44
1267.78,1.50
1280.45,1.56
1293.26,1.62
1306.19,1.68
1319.25,1.74
1332.45,1.80
1345.77,1.85
1359.23,1.91
1372.82,1.97
1386.55,2.02
1400.41,2.08
1414.42,2.14
1428.56,2.19
1442.85,2.25
1457.28,2.30
1471.85,2.36
1486.57,2.41
1501.43,2.47
1516.45,2.52
1531.61,2.58
1546.93,2.64
1562.40,2.70
1578.02,2.76
1593.80,2.82
1609.74,2.88
1625.84,2.94
1642.10,3.01
1658.52,3.08
1675.10,3.15
1691.85,3.22
1708.77,3.29
1725.86,3.36
1743.12,3.43
1760.55,3.50
1778.15,3.58
1795.94,3.65
1813.90,3.73
1832.03,3.80
