frequency,raw
20.00,6.99
20.20,7.02
20.40,7.04
20.61,7.07
20.81,7.09
21.02,7.10
21.23,7.10
21.44,7.09
21.66,7.07
21.87,7.05
22.09,7.02
22.31,7.00
22.54,6.98
22.76,6.97
22.99,6.97
23.22,6.98
23.45,6.98
23.69,6.99
23.92,6.99
24.16,6.98
24.40,6.97
24.65,6.97
24.89,6.96
25.14,6.96
25.39,6.96
25.65,6.97
25.91,6.98
26.16,6.99
26.43,6.99
26.69,6.99
26.96,7.00
27.23,6.99
27.50,6.99
27.77,6.98
28.05,6.98
28.33,6.97
28.62,6.97
28.90,6.97
29.19,6.97
29.48,6.97
29.78,6.96
30.08,6.95
30.38,6.94
30.68,6.92
30.99,6.91
31.30,6.90
31.61,6.90
31.93,6.89
32.24,6.88
32.57,6.87
32.89,6.85
33.22,6.83
33.55,6.81
33.89,6.79
34.23,6.78
34.57,6.77
34.92,6.76
35.27,6.74
35.62,6.73
35.97,6.72
36.33,6.72
36.70,6.71
37.06,6.70
37.43,6.68
37.81,6.65
38.19,6.62
38.57,6.58
38.95,6.55
39.34,6.51
39.74,6.49
40.14,6.49
40.54,6.50
40.94,6.51
41.35,6.50
41.76,6.48
42.18,6.45
42.60,6.42
43.03,6.38
43.46,6.36
43.90,6.33
44.33,6.31
44.78,6.29
45.23,6.26
45.68,6.23
46.13,6.20
46.60,6.17
47.06,6.15
47.53,6.13
48.01,6.11
48.49,6.08
48.97,6.06
49.46,6.03
49.96,6.01
50.46,5.99
50.96,5.96
51.47,5.93
51.99,5.91
52.51,5.89
53.03,5.87
53.56,5.84
54.10,5.81
54.64,5.76
55.18,5.71
55.74,5.68
56.29,5.65
56.86,5.64
57.42,5.61
58.00,5.57
58.58,5.52
59.16,5.48
59.76,5.45
60.35,5.43
60.96,5.41
61.57,5.39
62.18,5.37
62.80,5.34
63.43,5.30
64.07,5.26
64.71,5.23
65.35,5.19
66.01,5.16
66.67,5.10
67.33,5.04
68.01,4.98
68.69,4.94
69.37,4.91
70.07,4.88
70.77,4.85
71.48,4.82
72.19,4.78
72.91,4.74
73.64,4.70
74.38,4.66
75.12,4.62
75.87,4.57
76.63,4.53
77.40,4.48
78.17,4.44
78.95,4.40
79.74,4.36
80.54,4.32
81.35,4.28
82.16,4.25
82.98,4.21
83.81,4.17
84.65,4.12
85.50,4.07
86.35,4.03
87.22,3.99
88.09,3.95
88.97,3.91
89.86,3.86
90.76,3.82
91.66,3.78
92.58,3.73
93.51,3.67
94.44,3.63
95.39,3.58
96.34,3.55
97.30,3.50
98.28,3.46
99.26,3.41
100.25,3.37
101.25,3.32
102.27,3.27
103.29,3.22
104.32,3.17
105.37,3.13
106.42,3.09
107.48,3.04
108.56,2.99
109.64,2.94
110.74,2.89
111.85,2.83
112.97,2.79
114.10,2.74
115.24,2.71
116.39,2.66
117.55,2.62
118.73,2.57
119.92,2.52
121.12,2.47
122.33,2.42
123.55,2.38
124.79,2.33
126.03,2.28
127.29,2.22
128.57,2.17
129.85,2.11
131.15,2.06
132.46,2.01
133.79,1.97
135.12,1.92
136.48,1.87
137.84,1.82
139.22,1.77
140.61,1.71
142.02,1.66
143.44,1.60
144.87,1.56
146.32,1.51
147.78,1.46
149.26,1.41
150.75,1.36
152.26,1.31
153.78,1.26
155.32,1.21
156.88,1.15
158.44,1.10
160.03,1.06
161.63,1.01
163.24,0.96
164.88,0.91
166.53,0.86
168.19,0.81
169.87,0.76
171.57,0.72
173.29,0.67
175.02,0.63
176.77,0.58
178.54,0.54
180.32,0.49
182.13,0.45
183.95,0.40
185.79,0.35
187.65,0.30
189.52,0.25
191.42,0.21
193.33,0.17
195.27,0.12
197.22,0.08
199.19,0.04
201.18,-0.00
203.19,-0.05
205.23,-0.10
207.28,-0.15
209.35,-0.19
211.44,-0.24
213.56,-0.30
215.69,-0.34
217.85,-0.39
220.03,-0.43
222.23,-0.49
224.45,-0.54
226.70,-0.58
228.96,-0.62
231.25,-0.65
233.57,-0.69
235.90,-0.73
238.26,-0.78
240.64,-0.83
243.05,-0.87
245.48,-0.91
247.93,-0.95
250.41,-0.98
252.92,-1.02
255.45,-1.06
258.00,-1.10
260.58,-1.14
263.19,-1.18
265.82,-1.22
268.48,-1.26
271.16,-1.30
273.87,-1.33
276.61,-1.37
279.38,-1.40
282.17,-1.44
284.99,-1.48
287.84,-1.51
290.72,-1.55
293.63,-1.58
296.57,-1.61
299.53,-1.64
302.53,-1.67
305.55,-1.70
308.61,-1.73
311.69,-1.76
314.81,-1.78
317.96,-1.81
321.14,-1.84
324.35,-1.86
327.59,-1.89
330.87,-1.91
334.18,-1.93
337.52,-1.96
340.90,-1.98
344.30,-2.00
347.75,-2.03
351.23,-2.05
354.74,-2.07
358.28,-2.08
361.87,-2.10
365.49,-2.12
369.14,-2.14
372.83,-2.16
376.56,-2.17
380.33,-2.19
384.13,-2.20
387.97,-2.22
391.85,-2.23
395.77,-2.25
399.73,-2.27
403.72,-2.28
407.76,-2.29
411.84,-2.30
415.96,-2.30
420.12,-2.31
424.32,-2.32
428.56,-2.32
432.85,-2.33
437.18,-2.34
441.55,-2.35
445.96,-2.36
450.42,-2.37
454.93,-2.37
459.48,-2.37
464.07,-2.36
468.71,-2.36
473.40,-2.36
478.13,-2.36
482.91,-2.36
487.74,-2.35
492.62,-2.35
497.55,-2.34
502.52,-2.33
507.55,-2.32
512.62,-2.31
517.75,-2.29
522.93,-2.28
528.16,-2.27
533.44,-2.26
538.77,-2.24
544.16,-2.23
549.60,-2.21
555.10,-2.19
560.65,-2.17
566.25,-2.15
571.92,-2.12
577.64,-2.10
583.41,-2.07
589.25,-2.05
595.14,-2.02
601.09,-1.99
607.10,-1.96
613.17,-1.92
619.30,-1.89
625.50,-1.86
631.75,-1.82
638.07,-1.78
644.45,-1.74
650.89,-1.70
657.40,-1.65
663.98,-1.61
670.62,-1.57
677.32,-1.53
684.10,-1.49
690.94,-1.45
697.85,-1.42
704.83,-1.37
711.87,-1.33
718.99,-1.28
726.18,-1.24
733.44,-1.19
740.78,-1.15
748.19,-1.11
755.67,-1.07
763.23,-1.04
770.86,-0.99
778.57,-0.95
786.35,-0.91
794.22,-0.87
802.16,-0.83
810.18,-0.80
818.28,-0.76
826.46,-0.73
