frequency,raw
20.00,4.60
20.20,4.55
20.40,4.50
20.61,4.45
20.81,4.39
21.02,4.32
21.23,4.25
21.44,4.19
21.66,4.13
21.87,4.06
22.09,3.99
22.31,3.91
22.54,3.82
22.76,3.73
22.99,3.63
23.22,3.53
23.45,3.45
23.69,3.39
23.92,3.35
24.16,3.33
24.40,3.33
24.65,3.34
24.89,3.36
25.14,3.37
25.39,3.38
25.65,3.37
25.91,3.37
26.16,3.36
26.43,3.37
26.69,3.40
26.96,3.44
27.23,3.49
27.50,3.56
27.77,3.62
28.05,3.66
28.33,3.68
28.62,3.67
28.90,3.65
29.19,3.61
29.48,3.56
29.78,3.51
30.08,3.46
30.38,3.41
30.68,3.37
30.99,3.32
31.30,3.28
31.61,3.25
31.93,3.22
32.24,3.21
32.57,3.20
32.89,3.19
33.22,3.17
33.55,3.16
33.89,3.13
34.23,3.10
34.57,3.06
34.92,3.00
35.27,2.93
35.62,2.85
35.97,2.76
36.33,2.71
36.70,2.67
37.06,2.66
37.43,2.68
37.81,2.72
38.19,2.76
38.57,2.84
38.95,2.93
39.34,3.03
39.74,3.11
40.14,3.13
40.54,3.10
40.94,3.02
41.35,2.92
41.76,2.82
42.18,2.74
42.60,2.66
43.03,2.59
43.46,2.56
43.90,2.57
44.33,2.63
44.78,2.70
45.23,2.74
45.68,2.70
46.13,2.62
46.60,2.53
47.06,2.47
47.53,2.42
48.01,2.39
48.49,2.36
48.97,2.30
49.46,2.22
49.96,2.12
50.46,2.05
50.96,1.99
51.47,1.97
51.99,1.97
52.51,1.97
53.03,1.97
53.56,1.95
54.10,1.93
54.64,1.89
55.18,1.85
55.74,1.81
56.29,1.75
56.86,1.70
57.42,1.64
58.00,1.58
58.58,1.54
59.16,1.51
59.76,1.51
60.35,1.50
60.96,1.51
61.57,1.51
62.18,1.51
62.80,1.51
63.43,1.51
64.07,1.50
64.71,1.45
65.35,1.41
66.01,1.37
66.67,1.35
67.33,1.32
68.01,1.28
68.69,1.24
69.37,1.20
70.07,1.17
70.77,1.17
71.48,1.17
72.19,1.16
72.91,1.14
73.64,1.12
74.38,1.12
75.12,1.11
75.87,1.08
76.63,1.02
77.40,0.93
78.17,0.85
78.95,0.77
79.74,0.73
80.54,0.71
81.35,0.70
82.16,0.69
82.98,0.70
83.81,0.71
84.65,0.77
85.50,0.80
86.35,0.80
87.22,0.74
88.09,0.68
88.97,0.62
89.86,0.57
90.76,0.54
91.66,0.52
92.58,0.49
93.51,0.46
94.44,0.42
95.39,0.38
96.34,0.35
97.30,0.33
98.28,0.31
99.26,0.30
100.25,0.29
101.25,0.27
102.27,0.25
103.29,0.22
104.32,0.20
105.37,0.20
106.42,0.20
107.48,0.19
108.56,0.17
109.64,0.14
110.74,0.11
111.85,0.09
112.97,0.06
114.10,0.04
115.24,0.01
116.39,-0.01
117.55,-0.04
118.73,-0.09
119.92,-0.13
121.12,-0.17
122.33,-0.17
123.55,-0.17
124.79,-0.16
126.03,-0.15
127.29,-0.16
128.57,-0.18
129.85,-0.22
131.15,-0.25
132.46,-0.28
133.79,-0.29
135.12,-0.31
136.48,-0.32
137.84,-0.33
139.22,-0.35
140.61,-0.37
142.02,-0.39
143.44,-0.41
144.87,-0.43
146.32,-0.45
147.78,-0.46
149.26,-0.48
150.75,-0.48
152.26,-0.49
153.78,-0.50
155.32,-0.52
156.88,-0.54
158.44,-0.57
160.03,-0.60
161.63,-0.61
163.24,-0.61
164.88,-0.60
166.53,-0.59
168.19,-0.59
169.87,-0.60
171.57,-0.63
173.29,-0.65
175.02,-0.67
176.77,-0.68
178.54,-0.70
180.32,-0.71
182.13,-0.73
183.95,-0.75
185.79,-0.77
187.65,-0.78
189.52,-0.78
191.42,-0.77
193.33,-0.77
195.27,-0.78
197.22,-0.82
199.19,-0.86
201.18,-0.89
203.19,-0.92
205.23,-0.92
207.28,-0.92
209.35,-0.92
211.44,-0.93
213.56,-0.94
215.69,-0.95
217.85,-0.96
220.03,-0.98
222.23,-0.99
224.45,-1.01
226.70,-1.01
228.96,-1.02
231.25,-1.02
233.57,-1.02
235.90,-1.03
238.26,-1.03
240.64,-1.04
243.05,-1.06
245.48,-1.07
247.93,-1.09
250.41,-1.11
252.92,-1.13
255.45,-1.15
258.00,-1.17
260.58,-1.17
263.19,-1.18
265.82,-1.18
268.48,-1.19
271.16,-1.19
273.87,-1.19
276.61,-1.19
279.38,-1.18
282.17,-1.19
284.99,-1.19
287.84,-1.21
290.72,-1.24
293.63,-1.26
296.57,-1.27
299.53,-1.29
302.53,-1.31
305.55,-1.33
308.61,-1.34
311.69,-1.36
314.81,-1.36
317.96,-1.36
321.14,-1.36
324.35,-1.36
327.59,-1.36
330.87,-1.36
334.18,-1.37
337.52,-1.38
340.90,-1.39
344.30,-1.39
347.75,-1.40
351.23,-1.41
354.74,-1.42
358.28,-1.43
361.87,-1.44
365.49,-1.45
369.14,-1.46
372.83,-1.47
376.56,-1.48
380.33,-1.49
384.13,-1.50
387.97,-1.51
391.85,-1.52
395.77,-1.53
399.73,-1.55
403.72,-1.56
407.76,-1.56
411.84,-1.56
415.96,-1.56
420.12,-1.55
424.32,-1.55
428.56,-1.55
432.85,-1.56
437.18,-1.56
441.55,-1.57
445.96,-1.57
450.42,-1.58
454.93,-1.58
459.48,-1.58
464.07,-1.59
468.71,-1.60
473.40,-1.61
478.13,-1.62
482.91,-1.62
487.74,-1.63
492.62,-1.64
497.55,-1.65
502.52,-1.66
507.55,-1.67
512.62,-1.68
517.75,-1.69
522.93,-1.69
528.16,-1.69
533.44,-1.69
538.77,-1.68
544.16,-1.67
549.60,-1.66
555.10,-1.66
560.65,-1.66
566.25,-1.66
571.92,-1.65
577.64,-1.64
583.41,-1.63
589.25,-1.63
595.14,-1.62
601.09,-1.62
607.10,-1.62
613.17,-1.61
619.30,-1.61
625.50,-1.60
631.75,-1.60
638.07,-1.59
644.45,-1.58
650.89,-1.57
657.40,-1.57
663.98,-1.56
670.62,-1.56
677.32,-1.55
684.10,-1.54
690.94,-1.52
697.85,-1.51
704.83,-1.49
711.87,-1.47
718.99,-1.45
726.18,-1.43
733.44,-1.42
740.78,-1.40
748.19,-1.39
755.67,-1.37
763.23,-1.34
770.86,-1.30
778.57,-1.27
786.35,-1.23
794.22,-1.20
802.16,-1.17
810.18,-1.15
818.28,-1.12
826.46,-1.10
834.73,-1.06
843.08,-1.02
851.51,-0.97
860.02,-0.92
868.62,-0.87
877.31,-0.82
886.08,-0.77
894.94,-0.71
903.89,-0.66
912.93,-0.60
922.06,-0.53
931.28,-0.47
940.59,-0.40
950.00,-0.34
959.50,-0.28
969.09,-0.21
978.78,-0.15
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.14
1028.71,0.21
1039.00,0.28
1049.39,0.35
1059.88,0.42
1070.48,0.49
1081.19,0.56
1092.00,0.65
1102.92,0.73
1113.95,0.81
1125.09,0.88
1136.34,0.95
1147.70,1.03
1159.18,1.11
1170.77,1.18
1182.48,1.26
1194.30,1.33
1206.25,1.41
1218.31,1.48
1230.49,1.55
1242.80,1.62
1255.22,1.69
1267.78,1.77
1280.45,1.84
1293.26,1.91
1306.19,1.98
1319.25,2.06
1332.45,2.13
1345.77,2.20
1359.23,2.27
1372.82,2.34
1386.55,2.41
1400.41,2.47
1414.42,2.54
1428.56,2.60
1442.85,2.66
1457.28,2.73
1471.85,2.79
1486.57,2.86
1501.43,2.92
1516.45,3.00
1531.61,3.07
1546.93,3.14
1562.40,3.22
1578.02,3.29
1593.80,3.37
1609.74,3.45
1625.84,3.53
1642.10,3.61
1658.52,3.70
1675.10,3.79
1691.85,3.88
1708.77,3.97
1725.86,4.06
1743.12,4.15
1760.55,4.24
1778.15,4.34
1795.94,4.44
1813.90,4.54
1832.03,4.64
1850.36,4.75
1868.86,4.85
1887.55,4.96
1906.42,5.06
1925.49,5.16
1944.74,5.27
1964.19,5.38
1983.83,5.49
2003.67,5.60
2023.71,5.71
2043.94,5.83
2064.38,5.94
2085.03,6.05
2105.88,6.17
2126.94,6.29
2148.20,6.41
2169.69,6.53
2191.38,6.66
2213.30,6.78
2235.43,6.90
2257.78,7.03
2280.36,7.15
2303.17,7.28
2326.20,7.41
2349.46,7.54
2372.95,7.67
2396.68,7.80
2420.65,7.93
2444.86,8.06
2469.31,8.19
2494.00,8.32
2518.94,8.45
2544.13,8.58
2569.57,8.72
2595.27,8.85
2621.22,8.98
2647.43,9.11
2673.90,9.23
2700.64,9.36
2727.65,9.48
2754.93,9.60
2782.48,9.71
2810.30,9.82
2838.40,9.93
2866.79,10.03
