frequency,raw
20.00,10.33
20.20,10.29
20.40,10.25
20.61,10.22
20.81,10.16
21.02,10.11
21.23,10.05
21.44,9.98
21.66,9.92
21.87,9.86
22.09,9.79
22.31,9.72
22.54,9.66
22.76,9.60
22.99,9.55
23.22,9.52
23.45,9.51
23.69,9.53
23.92,9.56
24.16,9.62
24.40,9.67
24.65,9.72
24.89,9.76
25.14,9.77
25.39,9.78
25.65,9.75
25.91,9.72
26.16,9.68
26.43,9.65
26.69,9.62
26.96,9.60
27.23,9.59
27.50,9.58
27.77,9.56
28.05,9.55
28.33,9.53
28.62,9.52
28.90,9.50
29.19,9.48
29.48,9.46
29.78,9.43
30.08,9.41
30.38,9.39
30.68,9.36
30.99,9.33
31.30,9.30
31.61,9.27
31.93,9.24
32.24,9.21
32.57,9.18
32.89,9.15
33.22,9.12
33.55,9.10
33.89,9.07
34.23,9.05
34.57,9.02
34.92,8.98
35.27,8.94
35.62,8.90
35.97,8.85
36.33,8.81
36.70,8.76
37.06,8.72
37.43,8.68
37.81,8.65
38.19,8.61
38.57,8.57
38.95,8.54
39.34,8.52
39.74,8.49
40.14,8.47
40.54,8.44
40.94,8.39
41.35,8.34
41.76,8.28
42.18,8.23
42.60,8.16
43.03,8.09
43.46,8.01
43.90,7.95
44.33,7.89
44.78,7.87
45.23,7.87
45.68,7.88
46.13,7.89
46.60,7.88
47.06,7.87
47.53,7.86
48.01,7.83
48.49,7.79
48.97,7.75
49.46,7.70
49.96,7.65
50.46,7.59
50.96,7.53
51.47,7.47
51.99,7.41
52.51,7.35
53.03,7.30
53.56,7.26
54.10,7.22
54.64,7.19
55.18,7.16
55.74,7.13
56.29,7.08
56.86,7.04
57.42,7.00
58.00,6.96
58.58,6.92
59.16,6.88
59.76,6.85
60.35,6.81
60.96,6.78
61.57,6.74
62.18,6.71
62.80,6.66
63.43,6.61
64.07,6.55
64.71,6.50
65.35,6.44
66.01,6.39
66.67,6.34
67.33,6.29
68.01,6.24
68.69,6.19
69.37,6.14
70.07,6.09
70.77,6.04
71.48,6.00
72.19,5.94
72.91,5.89
73.64,5.83
74.38,5.77
75.12,5.71
75.87,5.66
76.63,5.62
77.40,5.58
78.17,5.54
78.95,5.50
79.74,5.45
80.54,5.40
81.35,5.36
82.16,5.31
82.98,5.27
83.81,5.23
84.65,5.18
85.50,5.12
86.35,5.06
87.22,4.99
88.09,4.94
88.97,4.89
89.86,4.84
90.76,4.79
91.66,4.74
92.58,4.68
93.51,4.63
94.44,4.59
95.39,4.54
96.34,4.50
97.30,4.44
98.28,4.37
99.26,4.31
100.25,4.25
101.25,4.20
102.27,4.16
103.29,4.13
104.32,4.09
105.37,4.04
106.42,3.99
107.48,3.94
108.56,3.89
109.64,3.84
110.74,3.79
111.85,3.74
112.97,3.69
114.10,3.65
115.24,3.59
116.39,3.53
117.55,3.46
118.73,3.40
119.92,3.35
121.12,3.30
122.33,3.26
123.55,3.22
124.79,3.19
126.03,3.15
127.29,3.10
128.57,3.05
129.85,3.00
131.15,2.94
132.46,2.90
133.79,2.85
135.12,2.81
136.48,2.77
137.84,2.72
139.22,2.68
140.61,2.62
142.02,2.57
143.44,2.51
144.87,2.46
146.32,2.42
147.78,2.37
149.26,2.33
150.75,2.29
152.26,2.25
153.78,2.20
155.32,2.15
156.88,2.09
158.44,2.04
160.03,1.99
161.63,1.94
163.24,1.89
164.88,1.84
166.53,1.80
168.19,1.76
169.87,1.72
171.57,1.68
173.29,1.65
175.02,1.62
176.77,1.58
178.54,1.54
180.32,1.51
182.13,1.47
183.95,1.43
185.79,1.39
187.65,1.35
189.52,1.31
191.42,1.27
193.33,1.23
195.27,1.19
197.22,1.17
199.19,1.16
201.18,1.13
203.19,1.08
205.23,1.02
207.28,0.97
209.35,0.91
211.44,0.86
213.56,0.82
215.69,0.78
217.85,0.74
220.03,0.71
222.23,0.68
224.45,0.65
226.70,0.61
228.96,0.58
231.25,0.54
233.57,0.51
235.90,0.48
238.26,0.44
240.64,0.40
243.05,0.36
245.48,0.32
247.93,0.29
250.41,0.26
252.92,0.23
255.45,0.20
258.00,0.16
260.58,0.13
263.19,0.10
265.82,0.06
268.48,0.03
271.16,0.01
273.87,-0.03
276.61,-0.06
279.38,-0.11
282.17,-0.14
284.99,-0.17
287.84,-0.19
290.72,-0.21
293.63,-0.24
296.57,-0.27
299.53,-0.31
302.53,-0.33
305.55,-0.35
308.61,-0.37
311.69,-0.39
314.81,-0.42
317.96,-0.44
321.14,-0.47
324.35,-0.49
327.59,-0.52
330.87,-0.54
334.18,-0.57
337.52,-0.60
340.90,-0.63
344.30,-0.65
347.75,-0.67
351.23,-0.70
354.74,-0.71
358.28,-0.73
361.87,-0.75
365.49,-0.78
369.14,-0.82
372.83,-0.85
376.56,-0.88
380.33,-0.90
384.13,-0.92
387.97,-0.95
391.85,-0.96
395.77,-0.98
399.73,-0.98
403.72,-0.98
407.76,-0.99
411.84,-1.00
415.96,-1.02
420.12,-1.05
424.32,-1.07
428.56,-1.09
432.85,-1.11
437.18,-1.12
441.55,-1.13
