frequency,raw
20.00,4.72
20.20,4.70
20.40,4.68
20.61,4.65
20.81,4.62
21.02,4.59
21.23,4.57
21.44,4.54
21.66,4.51
21.87,4.49
22.09,4.46
22.31,4.44
22.54,4.42
22.76,4.40
22.99,4.37
23.22,4.35
23.45,4.33
23.69,4.32
23.92,4.30
24.16,4.28
24.40,4.26
24.65,4.24
24.89,4.22
25.14,4.20
25.39,4.18
25.65,4.16
25.91,4.14
26.16,4.12
26.43,4.10
26.69,4.09
26.96,4.07
27.23,4.05
27.50,4.03
27.77,4.01
28.05,3.99
28.33,3.97
28.62,3.94
28.90,3.92
29.19,3.90
29.48,3.88
29.78,3.86
30.08,3.84
30.38,3.82
30.68,3.80
30.99,3.78
31.30,3.76
31.61,3.74
31.93,3.72
32.24,3.69
32.57,3.67
32.89,3.65
33.22,3.63
33.55,3.61
33.89,3.58
34.23,3.56
34.57,3.54
34.92,3.52
35.27,3.50
35.62,3.47
35.97,3.45
36.33,3.43
36.70,3.41
37.06,3.38
37.43,3.36
37.81,3.34
38.19,3.32
38.57,3.29
38.95,3.27
39.34,3.25
39.74,3.22
40.14,3.20
40.54,3.17
40.94,3.15
41.35,3.12
41.76,3.10
42.18,3.07
42.60,3.05
43.03,3.02
43.46,3.00
43.90,2.97
44.33,2.95
44.78,2.92
45.23,2.89
45.68,2.87
46.13,2.84
46.60,2.81
47.06,2.79
47.53,2.76
48.01,2.73
48.49,2.70
48.97,2.68
49.46,2.65
49.96,2.62
50.46,2.59
50.96,2.56
51.47,2.53
51.99,2.50
52.51,2.47
53.03,2.44
53.56,2.42
54.10,2.38
54.64,2.35
55.18,2.32
55.74,2.29
56.29,2.26
56.86,2.23
57.42,2.20
58.00,2.16
58.58,2.13
59.16,2.10
59.76,2.07
60.35,2.03
60.96,2.00
61.57,1.97
62.18,1.93
62.80,1.90
63.43,1.86
64.07,1.83
64.71,1.79
65.35,1.76
66.01,1.72
66.67,1.69
67.33,1.65
68.01,1.62
68.69,1.58
69.37,1.54
70.07,1.51
70.77,1.47
71.48,1.43
72.19,1.39
72.91,1.35
73.64,1.31
74.38,1.27
75.12,1.23
75.87,1.19
76.63,1.15
77.40,1.11
78.17,1.07
78.95,1.03
79.74,0.99
80.54,0.95
81.35,0.91
82.16,0.87
82.98,0.83
83.81,0.79
84.65,0.75
85.50,0.71
86.35,0.67
87.22,0.62
88.09,0.58
88.97,0.54
89.86,0.50
90.76,0.46
91.66,0.42
92.58,0.38
93.51,0.33
94.44,0.29
95.39,0.25
96.34,0.21
97.30,0.17
98.28,0.12
99.26,0.08
100.25,0.03
101.25,-0.01
102.27,-0.06
103.29,-0.11
104.32,-0.15
105.37,-0.19
106.42,-0.24
107.48,-0.28
108.56,-0.33
109.64,-0.37
110.74,-0.41
111.85,-0.46
112.97,-0.50
114.10,-0.55
115.24,-0.59
116.39,-0.64
117.55,-0.69
118.73,-0.73
119.92,-0.78
121.12,-0.82
122.33,-0.87
123.55,-0.92
124.79,-0.96
126.03,-1.01
127.29,-1.05
128.57,-1.10
129.85,-1.14
131.15,-1.19
132.46,-1.23
133.79,-1.28
135.12,-1.32
136.48,-1.37
137.84,-1.42
139.22,-1.46
140.61,-1.51
142.02,-1.55
143.44,-1.60
144.87,-1.64
146.32,-1.69
147.78,-1.73
149.26,-1.78
150.75,-1.82
152.26,-1.87
153.78,-1.91
155.32,-1.96
156.88,-2.00
158.44,-2.04
160.03,-2.09
161.63,-2.13
163.24,-2.18
164.88,-2.22
166.53,-2.26
168.19,-2.31
169.87,-2.35
171.57,-2.39
173.29,-2.44
175.02,-2.48
176.77,-2.52
178.54,-2.56
180.32,-2.60
182.13,-2.64
183.95,-2.69
185.79,-2.73
187.65,-2.77
189.52,-2.81
191.42,-2.85
193.33,-2.89
195.27,-2.93
197.22,-2.97
199.19,-3.00
201.18,-3.04
203.19,-3.08
205.23,-3.12
207.28,-3.15
209.35,-3.19
211.44,-3.23
213.56,-3.26
215.69,-3.30
217.85,-3.33
220.03,-3.37
222.23,-3.40
224.45,-3.44
226.70,-3.47
228.96,-3.50
231.25,-3.54
233.57,-3.57
235.90,-3.60
238.26,-3.63
240.64,-3.66
243.05,-3.69
245.48,-3.72
247.93,-3.75
250.41,-3.78
252.92,-3.81
255.45,-3.83
258.00,-3.86
260.58,-3.88
263.19,-3.91
265.82,-3.94
268.48,-3.96
271.16,-3.98
273.87,-4.01
276.61,-4.03
279.38,-4.05
282.17,-4.07
284.99,-4.09
287.84,-4.11
290.72,-4.13
293.63,-4.15
296.57,-4.17
299.53,-4.19
302.53,-4.20
305.55,-4.22
308.61,-4.23
311.69,-4.25
314.81,-4.26
317.96,-4.27
321.14,-4.28
324.35,-4.29
327.59,-4.30
330.87,-4.31
334.18,-4.32
337.52,-4.33
340.90,-4.33
344.30,-4.34
347.75,-4.34
351.23,-4.35
354.74,-4.35
358.28,-4.35
361.87,-4.35
365.49,-4.35
369.14,-4.35
372.83,-4.35
376.56,-4.35
380.33,-4.34
384.13,-4.34
387.97,-4.33
391.85,-4.33
395.77,-4.32
399.73,-4.31
403.72,-4.30
407.76,-4.29
411.84,-4.28
415.96,-4.27
420.12,-4.25
424.32,-4.24
428.56,-4.22
432.85,-4.21
437.18,-4.19
441.55,-4.17
445.96,-4.15
450.42,-4.13
454.93,-4.11
459.48,-4.08
464.07,-4.06
468.71,-4.03
473.40,-4.01
478.13,-3.98
482.91,-3.96
487.74,-3.93
492.62,-3.90
497.55,-3.87
502.52,-3.84
507.55,-3.81
512.62,-3.78
517.75,-3.75
522.93,-3.71
528.16,-3.68
533.44,-3.64
538.77,-3.61
544.16,-3.57
549.60,-3.53
555.10,-3.50
560.65,-3.46
566.25,-3.42
571.92,-3.38
577.64,-3.34
583.41,-3.29
589.25,-3.25
595.14,-3.21
601.09,-3.17
607.10,-3.12
613.17,-3.07
619.30,-3.03
625.50,-2.98
631.75,-2.94
638.07,-2.89
644.45,-2.84
650.89,-2.79
657.40,-2.74
663.98,-2.69
670.62,-2.64
677.32,-2.59
684.10,-2.54
690.94,-2.48
697.85,-2.43
704.83,-2.38
711.87,-2.32
718.99,-2.27
726.18,-2.21
733.44,-2.15
740.78,-2.10
748.19,-2.04
755.67,-1.98
763.23,-1.92
770.86,-1.86
778.57,-1.80
786.35,-1.74
794.22,-1.68
802.16,-1.62
810.18,-1.56
818.28,-1.49
826.46,-1.43
834.73,-1.36
843.08,-1.30
851.51,-1.23
860.02,-1.16
868.62,-1.09
877.31,-1.02
886.08,-0.95
894.94,-0.88
903.89,-0.80
912.93,-0.73
922.06,-0.65
931.28,-0.58
940.59,-0.50
950.00,-0.42
959.50,-0.34
969.09,-0.26
978.78,-0.18
988.57,-0.09
998.46,-0.01
1008.44,0.07
1018.53,0.15
1028.71,0.24
1039.00,0.32
1049.39,0.40
1059.88,0.49
1070.48,0.57
1081.19,0.65
1092.00,0.73
1102.92,0.80
1113.95,0.88
1125.09,0.95
1136.34,1.02
1147.70,1.09
1159.18,1.16
1170.77,1.22
1182.48,1.28
1194.30,1.34
1206.25,1.40
1218.31,1.45
1230.49,1.50
1242.80,1.55
1255.22,1.60
1267.78,1.64
1280.45,1.68
1293.26,1.72
1306.19,1.76
1319.25,1.79
1332.45,1.82
1345.77,1.85
1359.23,1.88
1372.82,1.91
1386.55,1.94
1400.41,1.96
1414.42,1.98
1428.56,2.01
1442.85,2.03
1457.28,2.05
1471.85,2.07
1486.57,2.08
1501.43,2.10
1516.45,2.12
1531.61,2.14
1546.93,2.16
1562.40,2.18
1578.02,2.20
1593.80,2.21
1609.74,2.23
1625.84,2.25
1642.10,2.27
1658.52,2.29
1675.10,2.31
1691.85,2.33
1708.77,2.36
1725.86,2.38
1743.12,2.40
1760.55,2.42
1778.15,2.45
1795.94,2.47
1813.90,2.50
1832.03,2.53
1850.36,2.55
1868.86,2.58
1887.55,2.61
1906.42,2.64
1925.49,2.67
1944.74,2.70
1964.19,2.73
1983.83,2.76
2003.67,2.79
2023.71,2.82
2043.94,2.84
2064.38,2.87
2085.03,2.90
2105.88,2.93
2126.94,2.95
2148.20,2.98
2169.69,3.00
2191.38,3.02
2213.30,3.04
2235.43,3.06
2257.78,3.08
2280.36,3.09
2303.17,3.10
2326.20,3.11
2349.46,3.11
2372.95,3.12
2396.68,3.12
2420.65,3.12
2444.86,3.11
2469.31,3.10
2494.00,3.09
2518.94,3.08
2544.13,3.06
2569.57,3.04
2595.27,3.02
2621.22,3.00
2647.43,2.97
2673.90,2.94
2700.64,2.92
2727.65,2.89
2754.93,2.86
2782.48,2.83
2810.30,2.81
2838.40,2.79
2866.79,2.77
2895.46,2.75
2924.41,2.73
2953.65,2.71
2983.19,2.70
3013.02,2.68
3043.15,2.66
3073.58,2.64
3104.32,2.62
3135.36,2.59
