frequency,raw
20.00,9.96
20.20,9.95
20.40,9.94
20.61,9.92
20.81,9.90
21.02,9.89
21.23,9.87
21.44,9.87
21.66,9.87
21.87,9.87
22.09,9.88
22.31,9.88
22.54,9.88
22.76,9.88
22.99,9.87
23.22,9.86
23.45,9.84
23.69,9.83
23.92,9.82
24.16,9.81
24.40,9.79
24.65,9.77
24.89,9.75
25.14,9.73
25.39,9.71
25.65,9.70
25.91,9.70
26.16,9.72
26.43,9.74
26.69,9.76
26.96,9.78
27.23,9.78
27.50,9.77
27.77,9.74
28.05,9.72
28.33,9.70
28.62,9.68
28.90,9.67
29.19,9.65
29.48,9.63
29.78,9.60
30.08,9.56
30.38,9.53
30.68,9.49
30.99,9.47
31.30,9.46
31.61,9.45
31.93,9.44
32.24,9.42
32.57,9.39
32.89,9.36
33.22,9.34
33.55,9.31
33.89,9.30
34.23,9.29
34.57,9.28
34.92,9.26
35.27,9.25
35.62,9.22
35.97,9.20
36.33,9.17
36.70,9.15
37.06,9.13
37.43,9.12
37.81,9.10
38.19,9.08
38.57,9.06
38.95,9.04
39.34,9.02
39.74,9.01
40.14,8.98
40.54,8.95
40.94,8.90
41.35,8.86
41.76,8.82
42.18,8.79
42.60,8.77
43.03,8.75
43.46,8.73
43.90,8.70
44.33,8.67
44.78,8.64
45.23,8.60
45.68,8.56
46.13,8.52
46.60,8.50
47.06,8.48
47.53,8.47
48.01,8.45
48.49,8.43
48.97,8.40
49.46,8.37
49.96,8.32
50.46,8.27
50.96,8.22
51.47,8.18
51.99,8.15
52.51,8.12
53.03,8.10
53.56,8.07
54.10,8.04
54.64,8.01
55.18,7.97
55.74,7.93
56.29,7.90
56.86,7.86
57.42,7.82
58.00,7.78
58.58,7.75
59.16,7.72
59.76,7.69
60.35,7.65
60.96,7.61
61.57,7.58
62.18,7.55
62.80,7.52
63.43,7.50
64.07,7.47
64.71,7.43
65.35,7.38
66.01,7.34
66.67,7.30
67.33,7.25
68.01,7.20
68.69,7.15
69.37,7.10
70.07,7.06
70.77,7.03
71.48,6.99
72.19,6.95
72.91,6.90
73.64,6.85
74.38,6.81
75.12,6.77
75.87,6.72
76.63,6.67
77.40,6.62
78.17,6.56
78.95,6.51
79.74,6.47
80.54,6.42
81.35,6.38
82.16,6.34
82.98,6.30
83.81,6.26
84.65,6.21
85.50,6.16
86.35,6.11
87.22,6.06
88.09,6.01
88.97,5.96
89.86,5.92
90.76,5.88
91.66,5.83
92.58,5.78
93.51,5.73
94.44,5.68
95.39,5.63
96.34,5.58
97.30,5.53
98.28,5.49
99.26,5.45
100.25,5.40
101.25,5.36
102.27,5.30
103.29,5.24
104.32,5.19
105.37,5.15
106.42,5.10
107.48,5.06
108.56,5.01
109.64,4.95
110.74,4.89
111.85,4.84
112.97,4.78
114.10,4.73
115.24,4.68
116.39,4.63
117.55,4.58
118.73,4.53
119.92,4.47
121.12,4.42
122.33,4.37
123.55,4.32
124.79,4.26
126.03,4.21
127.29,4.16
128.57,4.11
129.85,4.05
131.15,3.99
132.46,3.94
133.79,3.90
135.12,3.84
136.48,3.78
137.84,3.73
139.22,3.67
140.61,3.62
142.02,3.57
143.44,3.51
144.87,3.45
146.32,3.40
147.78,3.35
149.26,3.30
150.75,3.25
152.26,3.18
153.78,3.12
155.32,3.06
156.88,3.00
158.44,2.94
160.03,2.89
161.63,2.84
163.24,2.80
164.88,2.75
166.53,2.71
168.19,2.67
169.87,2.62
171.57,2.57
173.29,2.51
175.02,2.46
176.77,2.40
178.54,2.35
180.32,2.30
182.13,2.25
183.95,2.21
185.79,2.16
187.65,2.10
189.52,2.05
191.42,2.00
193.33,1.95
195.27,1.91
197.22,1.87
199.19,1.82
201.18,1.77
203.19,1.71
205.23,1.65
207.28,1.60
209.35,1.55
211.44,1.49
213.56,1.44
215.69,1.39
217.85,1.34
220.03,1.30
222.23,1.25
224.45,1.20
226.70,1.15
228.96,1.10
231.25,1.05
233.57,1.00
235.90,0.95
238.26,0.90
240.64,0.86
243.05,0.81
245.48,0.76
247.93,0.70
250.41,0.65
252.92,0.61
255.45,0.57
258.00,0.53
260.58,0.48
263.19,0.44
265.82,0.40
268.48,0.36
271.16,0.32
273.87,0.28
276.61,0.23
279.38,0.19
282.17,0.14
284.99,0.09
287.84,0.03
290.72,-0.02
293.63,-0.06
296.57,-0.10
299.53,-0.14
302.53,-0.18
305.55,-0.22
308.61,-0.26
311.69,-0.30
314.81,-0.34
317.96,-0.38
321.14,-0.41
324.35,-0.45
327.59,-0.48
330.87,-0.51
334.18,-0.55
337.52,-0.59
340.90,-0.63
344.30,-0.67
347.75,-0.71
351.23,-0.74
354.74,-0.77
358.28,-0.80
361.87,-0.83
365.49,-0.87
369.14,-0.91
372.83,-0.94
376.56,-0.98
380.33,-1.01
384.13,-1.03
387.97,-1.06
391.85,-1.09
395.77,-1.13
399.73,-1.17
403.72,-1.19
407.76,-1.22
411.84,-1.25
415.96,-1.28
420.12,-1.31
424.32,-1.34
428.56,-1.37
432.85,-1.39
437.18,-1.42
441.55,-1.44
445.96,-1.46
450.42,-1.48
454.93,-1.49
459.48,-1.51
464.07,-1.53
468.71,-1.55
473.40,-1.57
478.13,-1.59
482.91,-1.60
487.74,-1.61
492.62,-1.62
497.55,-1.64
502.52,-1.66
507.55,-1.67
512.62,-1.68
517.75,-1.68
522.93,-1.68
528.16,-1.69
533.44,-1.71
538.77,-1.71
544.16,-1.71
549.60,-1.71
555.10,-1.71
560.65,-1.71
566.25,-1.72
571.92,-1.72
577.64,-1.74
583.41,-1.75
589.25,-1.77
595.14,-1.77
601.09,-1.77
607.10,-1.76
613.17,-1.76
619.30,-1.76
625.50,-1.77
631.75,-1.76
638.07,-1.76
644.45,-1.76
650.89,-1.76
657.40,-1.76
663.98,-1.77
670.62,-1.78
677.32,-1.80
684.10,-1.82
690.94,-1.84
697.85,-1.87
704.83,-1.90
711.87,-1.94
718.99,-1.97
726.18,-1.97
733.44,-1.96
740.78,-1.92
748.19,-1.86
755.67,-1.80
763.23,-1.73
770.86,-1.66
778.57,-1.60
786.35,-1.54
794.22,-1.50
802.16,-1.45
810.18,-1.41
818.28,-1.35
826.46,-1.29
834.73,-1.24
843.08,-1.20
851.51,-1.15
860.02,-1.10
868.62,-1.04
877.31,-0.99
886.08,-0.93
894.94,-0.87
903.89,-0.81
912.93,-0.74
922.06,-0.67
931.28,-0.59
940.59,-0.51
950.00,-0.42
959.50,-0.34
969.09,-0.26
978.78,-0.18
988.57,-0.09
998.46,-0.01
1008.44,0.06
1018.53,0.14
1028.71,0.22
1039.00,0.31
1049.39,0.40
1059.88,0.49
1070.48,0.58
1081.19,0.67
1092.00,0.77
1102.92,0.87
1113.95,0.96
1125.09,1.05
1136.34,1.15
1147.70,1.24
1159.18,1.33
1170.77,1.42
1182.48,1.51
1194.30,1.61
1206.25,1.70
1218.31,1.80
1230.49,1.89
1242.80,1.99
1255.22,2.09
1267.78,2.19
1280.45,2.30
1293.26,2.40
1306.19,2.51
1319.25,2.62
1332.45,2.72
1345.77,2.83
1359.23,2.93
1372.82,3.04
1386.55,3.15
1400.41,3.26
1414.42,3.38
1428.56,3.50
1442.85,3.61
1457.28,3.72
1471.85,3.84
1486.57,3.96
1501.43,4.08
1516.45,4.20
1531.61,4.32
1546.93,4.43
1562.40,4.56
1578.02,4.68
1593.80,4.81
1609.74,4.93
1625.84,5.06
1642.10,5.20
1658.52,5.33
1675.10,5.46
1691.85,5.60
1708.77,5.73
1725.86,5.87
1743.12,6.00
1760.55,6.13
1778.15,6.25
1795.94,6.37
1813.90,6.49
1832.03,6.61
1850.36,6.72
1868.86,6.83
1887.55,6.93
1906.42,7.03
1925.49,7.12
1944.74,7.20
1964.19,7.27
1983.83,7.33
2003.67,7.39
2023.71,7.44
2043.94,7.48
2064.38,7.52
2085.03,7.54
2105.88,7.55
2126.94,7.55
2148.20,7.54
2169.69,7.53
2191.38,7.51
2213.30,7.48
2235.43,7.44
2257.78,7.40
2280.36,7.35
2303.17,7.29
2326.20,7.23
2349.46,7.16
2372.95,7.09
2396.68,7.02
2420.65,6.94
2444.86,6.87
2469.31,6.80
2494.00,6.72
2518.94,6.65
2544.13,6.58
2569.57,6.51
2595.27,6.44
2621.22,6.38
2647.43,6.32
2673.90,6.26
2700.64,6.21
2727.65,6.15
2754.93,6.11
2782.48,6.06
2810.30,6.03
2838.40,5.99
2866.79,5.96
2895.46,5.94
2924.41,5.92
2953.65,5.90
2983.19,5.90
3013.02,5.90
3043.15,5.90
3073.58,5.91
3104.32,5.93
3135.36,5.96
3166.72,6.00
3198.38,6.04
3230.37,6.10
3262.67,6.17
3295.30,6.24
3328.25,6.32
3361.53,6.41
3395.15,6.51
3429.10,6.62
3463.39,6.73
3498.03,6.85
3533.01,6.98
3568.34,7.12
3604.02,7.26
3640.06,7.41
3676.46,7.56
3713.22,7.72
3750.36,7.87
3787.86,8.03
3825.74,8.18
3864.00,8.31
3902.64,8.42
3941.66,8.51
3981.08,8.56
4020.89,8.59
4061.10,8.60
4101.71,8.58
4142.73,8.53
4184.15,8.45
4226.00,8.31
4268.26,8.13
4310.94,7.91
4354.05,7.62
4397.59,7.29
4441.56,6.94
4485.98,6.54
4530.84,6.12
4576.15,5.69
4621.91,5.25
4668.13,4.81
4714.81,4.38
4761.96,3.95
4809.58,3.55
4857.67,3.16
4906.25,2.80
4955.31,2.46
5004.87,2.13
5054.91,1.83
5105.46,1.54
5156.52,1.28
5208.08,1.04
5260.16,0.84
5312.77,0.65
5365.89,0.50
5419.55,0.37
5473.75,0.27
5528.49,0.18
5583.77,0.11
5639.61,0.06
5696.00,0.01
5752.96,-0.03
5810.49,-0.07
5868.60,-0.11
5927.28,-0.14
5986.56,-0.18
6046.42,-0.21
6106.89,-0.24
6167.96,-0.26
6229.64,-0.27
6291.93,-0.26
6354.85,-0.23
6418.40,-0.19
6482.58,-0.13
6547.41,-0.05
6612.88,0.04
6679.01,0.15
6745.80,0.27
6813.26,0.40
6881.39,0.55
6950.21,0.71
7019.71,0.87
7089.91,1.05
7160.81,1.24
7232.41,1.45
7304.74,1.67
7377.79,1.93
7451.56,2.23
7526.08,2.54
7601.34,2.87
7677.35,3.16
7754.13,3.44
7831.67,3.58
7909.98,3.65
7989.08,3.61
8068.98,3.45
8149.67,3.25
8231.16,3.00
8313.47,2.72
8396.61,2.44
8480.57,2.13
8565.38,1.84
8651.03,1.58
8737.54,1.36
8824.92,1.18
8913.17,1.01
9002.30,0.83
9092.32,0.63
9183.25,0.35
9275.08,0.00
9367.83,-0.49
9461.51,-1.27
9556.12,-2.30
9651.68,-3.55
9748.20,-4.93
9845.68,-5.94
9944.14,-6.27
10043.58,-5.94
10144.02,-5.24
10245.46,-4.77
10347.91,-4.55
10451.39,-4.64
10555.91,-5.14
10661.46,-5.81
10768.08,-6.62
10875.76,-7.59
10984.52,-8.67
11094.36,-9.76
11205.31,-10.79
11317.36,-11.63
11430.53,-12.38
11544.84,-12.91
11660.29,-13.28
11776.89,-13.51
11894.66,-13.29
12013.60,-13.00
12133.74,-12.53
12255.08,-11.90
12377.63,-11.23
12501.41,-10.67
12626.42,-10.41
12752.68,-10.48
12880.21,-11.01
13009.01,-11.77
13139.10,-12.53
13270.49,-13.77
13403.20,-15.12
13537.23,-16.53
13672.60,-17.89
13809.33,-19.20
13947.42,-20.28
14086.90,-21.15
14227.77,-21.89
14370.04,-22.50
14513.74,-22.95
14658.88,-23.05
14805.47,-23.07
14953.52,-22.93
15103.06,-22.82
15254.09,-22.72
15406.63,-22.67
15560.70,-22.51
15716.30,-22.21
15873.47,-21.71
16032.20,-21.17
16192.52,-20.70
16354.45,-20.35
16517.99,-20.11
16683.17,-20.20
16850.01,-20.44
17018.51,-20.76
17188.69,-20.96
17360.58,-21.00
17534.18,-20.94
17709.53,-20.91
17886.62,-20.84
18065.49,-20.72
18246.14,-20.51
18428.60,-20.27
18612.89,-20.10
18799.02,-20.00
18987.01,-19.94
19176.88,-19.61
19368.65,-18.57
19562.33,-16.63
19757.96,-13.76
19955.54,-11.55
