frequency,raw
20.00,6.79
20.20,6.80
20.40,6.81
20.61,6.82
20.81,6.84
21.02,6.85
21.23,6.87
21.44,6.88
21.66,6.90
21.87,6.92
22.09,6.93
22.31,6.95
22.54,6.96
22.76,6.98
22.99,6.99
23.22,7.01
23.45,7.02
23.69,7.03
23.92,7.04
24.16,7.06
24.40,7.07
24.65,7.08
24.89,7.09
25.14,7.10
25.39,7.11
25.65,7.13
25.91,7.14
26.16,7.15
26.43,7.16
26.69,7.17
26.96,7.18
27.23,7.19
27.50,7.20
27.77,7.21
28.05,7.22
28.33,7.22
28.62,7.23
28.90,7.24
29.19,7.24
29.48,7.25
29.78,7.26
30.08,7.26
30.38,7.27
30.68,7.27
30.99,7.28
31.30,7.28
31.61,7.28
31.93,7.28
32.24,7.29
32.57,7.29
32.89,7.29
33.22,7.29
33.55,7.29
33.89,7.30
34.23,7.30
34.57,7.30
34.92,7.30
35.27,7.30
35.62,7.30
35.97,7.30
36.33,7.30
36.70,7.30
37.06,7.30
37.43,7.30
37.81,7.30
38.19,7.30
38.57,7.29
38.95,7.29
39.34,7.29
39.74,7.29
40.14,7.28
40.54,7.28
40.94,7.27
41.35,7.27
41.76,7.26
42.18,7.26
42.60,7.25
43.03,7.24
43.46,7.24
43.90,7.23
44.33,7.22
44.78,7.22
45.23,7.21
45.68,7.20
46.13,7.19
46.60,7.19
47.06,7.18
47.53,7.17
48.01,7.16
48.49,7.15
48.97,7.14
49.46,7.13
49.96,7.12
50.46,7.11
50.96,7.10
51.47,7.10
51.99,7.09
52.51,7.08
53.03,7.07
53.56,7.06
54.10,7.05
54.64,7.04
55.18,7.03
55.74,7.02
56.29,7.01
56.86,7.00
57.42,6.99
58.00,6.98
58.58,6.97
59.16,6.96
59.76,6.94
60.35,6.93
60.96,6.92
61.57,6.91
62.18,6.90
62.80,6.88
63.43,6.87
64.07,6.85
64.71,6.83
65.35,6.82
66.01,6.80
66.67,6.78
67.33,6.77
68.01,6.75
68.69,6.73
69.37,6.71
70.07,6.69
70.77,6.68
71.48,6.66
72.19,6.64
72.91,6.62
73.64,6.60
74.38,6.58
75.12,6.56
75.87,6.54
76.63,6.52
77.40,6.50
78.17,6.48
78.95,6.46
79.74,6.44
80.54,6.41
81.35,6.39
82.16,6.37
82.98,6.35
83.81,6.33
84.65,6.31
85.50,6.29
86.35,6.26
87.22,6.24
88.09,6.22
88.97,6.20
89.86,6.17
90.76,6.15
91.66,6.13
92.58,6.10
93.51,6.08
94.44,6.05
95.39,6.03
96.34,6.00
97.30,5.98
98.28,5.95
99.26,5.93
100.25,5.90
101.25,5.88
102.27,5.85
103.29,5.82
104.32,5.79
105.37,5.77
106.42,5.74
107.48,5.71
108.56,5.68
109.64,5.65
110.74,5.62
111.85,5.59
112.97,5.56
114.10,5.53
115.24,5.50
116.39,5.48
117.55,5.44
118.73,5.41
119.92,5.38
121.12,5.35
122.33,5.32
123.55,5.29
124.79,5.25
126.03,5.22
127.29,5.19
128.57,5.15
129.85,5.12
131.15,5.08
132.46,5.05
133.79,5.01
135.12,4.98
136.48,4.94
137.84,4.91
139.22,4.87
140.61,4.83
142.02,4.80
143.44,4.76
144.87,4.72
146.32,4.68
147.78,4.65
149.26,4.61
150.75,4.57
152.26,4.53
153.78,4.50
155.32,4.46
156.88,4.42
158.44,4.38
160.03,4.35
161.63,4.31
163.24,4.27
164.88,4.23
166.53,4.20
168.19,4.16
169.87,4.13
171.57,4.09
173.29,4.05
175.02,4.02
176.77,3.98
178.54,3.94
180.32,3.90
182.13,3.87
183.95,3.83
185.79,3.79
187.65,3.76
189.52,3.72
191.42,3.68
193.33,3.65
195.27,3.61
197.22,3.57
199.19,3.54
201.18,3.50
203.19,3.47
205.23,3.43
207.28,3.39
209.35,3.35
211.44,3.32
213.56,3.28
215.69,3.24
217.85,3.20
220.03,3.17
222.23,3.13
224.45,3.09
226.70,3.05
228.96,3.01
231.25,2.98
233.57,2.94
235.90,2.90
238.26,2.86
240.64,2.82
243.05,2.78
245.48,2.73
247.93,2.69
250.41,2.65
252.92,2.61
255.45,2.57
258.00,2.53
260.58,2.48
263.19,2.44
265.82,2.40
268.48,2.35
271.16,2.31
273.87,2.27
276.61,2.22
279.38,2.18
282.17,2.14
284.99,2.09
287.84,2.05
290.72,2.00
293.63,1.96
296.57,1.91
299.53,1.87
302.53,1.83
305.55,1.78
308.61,1.74
311.69,1.69
314.81,1.65
317.96,1.61
321.14,1.56
324.35,1.52
327.59,1.48
330.87,1.44
334.18,1.40
337.52,1.35
340.90,1.31
344.30,1.27
347.75,1.23
351.23,1.19
354.74,1.15
358.28,1.11
361.87,1.06
365.49,1.02
369.14,0.98
372.83,0.94
376.56,0.90
380.33,0.86
384.13,0.82
387.97,0.78
391.85,0.74
395.77,0.71
399.73,0.67
403.72,0.63
407.76,0.59
411.84,0.55
415.96,0.51
420.12,0.48
424.32,0.44
428.56,0.40
432.85,0.37
437.18,0.33
441.55,0.29
