frequency,raw
20.00,4.54
20.20,4.59
20.40,4.63
20.61,4.68
20.81,4.73
21.02,4.78
21.23,4.83
21.44,4.87
21.66,4.90
21.87,4.92
22.09,4.92
22.31,4.92
22.54,4.92
22.76,4.91
22.99,4.91
23.22,4.92
23.45,4.93
23.69,4.94
23.92,4.96
24.16,4.97
24.40,4.98
24.65,4.99
24.89,5.00
25.14,5.00
25.39,5.02
25.65,5.04
25.91,5.06
26.16,5.08
26.43,5.11
26.69,5.14
26.96,5.16
27.23,5.19
27.50,5.21
27.77,5.23
28.05,5.25
28.33,5.27
28.62,5.28
28.90,5.29
29.19,5.30
29.48,5.31
29.78,5.31
30.08,5.31
30.38,5.31
30.68,5.32
30.99,5.33
31.30,5.35
31.61,5.37
31.93,5.39
32.24,5.40
32.57,5.42
32.89,5.43
33.22,5.44
33.55,5.45
33.89,5.46
34.23,5.47
34.57,5.48
34.92,5.48
35.27,5.49
35.62,5.50
35.97,5.51
36.33,5.52
36.70,5.53
37.06,5.55
37.43,5.56
37.81,5.57
38.19,5.57
38.57,5.58
38.95,5.58
39.34,5.58
39.74,5.58
40.14,5.58
40.54,5.58
40.94,5.58
41.35,5.58
41.76,5.57
42.18,5.58
42.60,5.59
43.03,5.61
43.46,5.64
43.90,5.66
44.33,5.68
44.78,5.68
45.23,5.66
45.68,5.64
46.13,5.61
46.60,5.60
47.06,5.59
47.53,5.60
48.01,5.62
48.49,5.63
48.97,5.64
49.46,5.64
49.96,5.63
50.46,5.61
50.96,5.59
51.47,5.58
51.99,5.59
52.51,5.60
53.03,5.61
53.56,5.62
54.10,5.63
54.64,5.64
55.18,5.65
55.74,5.65
56.29,5.65
56.86,5.64
57.42,5.63
58.00,5.62
58.58,5.61
59.16,5.60
59.76,5.60
60.35,5.59
60.96,5.58
61.57,5.58
62.18,5.58
62.80,5.57
63.43,5.56
64.07,5.55
64.71,5.55
65.35,5.55
66.01,5.54
66.67,5.54
67.33,5.53
68.01,5.52
68.69,5.51
69.37,5.50
70.07,5.50
70.77,5.49
71.48,5.48
72.19,5.48
72.91,5.47
73.64,5.47
74.38,5.46
75.12,5.45
75.87,5.44
76.63,5.43
77.40,5.42
78.17,5.42
78.95,5.41
79.74,5.39
80.54,5.38
81.35,5.36
82.16,5.35
82.98,5.34
83.81,5.33
84.65,5.31
85.50,5.30
86.35,5.29
87.22,5.28
88.09,5.27
88.97,5.26
89.86,5.25
90.76,5.24
91.66,5.22
92.58,5.20
93.51,5.19
94.44,5.17
95.39,5.15
96.34,5.14
97.30,5.12
98.28,5.11
99.26,5.09
100.25,5.08
101.25,5.07
102.27,5.06
103.29,5.04
104.32,5.03
105.37,5.01
106.42,5.00
107.48,4.98
108.56,4.97
109.64,4.95
110.74,4.93
111.85,4.91
112.97,4.89
114.10,4.87
115.24,4.84
116.39,4.82
117.55,4.79
118.73,4.77
119.92,4.75
121.12,4.73
122.33,4.72
123.55,4.70
124.79,4.68
126.03,4.66
127.29,4.64
128.57,4.61
129.85,4.59
131.15,4.56
132.46,4.54
133.79,4.52
135.12,4.50
136.48,4.47
137.84,4.45
139.22,4.42
140.61,4.39
142.02,4.36
143.44,4.34
144.87,4.31
146.32,4.29
147.78,4.26
149.26,4.23
150.75,4.20
152.26,4.17
153.78,4.14
155.32,4.12
156.88,4.09
158.44,4.06
160.03,4.03
161.63,4.01
163.24,3.98
164.88,3.96
166.53,3.93
168.19,3.91
169.87,3.88
171.57,3.85
173.29,3.83
175.02,3.80
176.77,3.77
178.54,3.74
180.32,3.71
182.13,3.68
183.95,3.65
185.79,3.62
187.65,3.58
189.52,3.55
191.42,3.52
193.33,3.49
195.27,3.46
197.22,3.43
199.19,3.40
201.18,3.37
203.19,3.34
205.23,3.30
207.28,3.27
209.35,3.24
211.44,3.20
213.56,3.17
215.69,3.13
217.85,3.09
220.03,3.05
222.23,3.02
224.45,2.98
226.70,2.94
228.96,2.91
231.25,2.87
233.57,2.84
235.90,2.80
238.26,2.76
240.64,2.72
243.05,2.68
245.48,2.65
247.93,2.61
250.41,2.57
252.92,2.53
255.45,2.49
258.00,2.45
260.58,2.42
263.19,2.38
265.82,2.34
268.48,2.30
271.16,2.26
273.87,2.23
276.61,2.19
279.38,2.14
282.17,2.10
284.99,2.06
287.84,2.02
290.72,1.98
293.63,1.94
296.57,1.90
