frequency,raw
20.00,5.10
20.20,5.12
20.40,5.13
20.61,5.15
20.81,5.17
21.02,5.19
21.23,5.22
21.44,5.24
21.66,5.27
21.87,5.30
22.09,5.32
22.31,5.35
22.54,5.38
22.76,5.40
22.99,5.43
23.22,5.45
23.45,5.47
23.69,5.50
23.92,5.51
24.16,5.53
24.40,5.55
24.65,5.56
24.89,5.58
25.14,5.60
25.39,5.61
25.65,5.63
25.91,5.65
26.16,5.67
26.43,5.68
26.69,5.68
26.96,5.69
27.23,5.70
27.50,5.71
27.77,5.72
28.05,5.73
28.33,5.75
28.62,5.77
28.90,5.79
29.19,5.81
29.48,5.83
29.78,5.84
30.08,5.86
30.38,5.87
30.68,5.88
30.99,5.89
31.30,5.89
31.61,5.90
31.93,5.91
32.24,5.91
32.57,5.92
32.89,5.93
33.22,5.94
33.55,5.96
33.89,5.98
34.23,5.99
34.57,6.01
34.92,6.02
35.27,6.02
35.62,6.02
35.97,6.01
36.33,6.00
36.70,6.00
37.06,6.01
37.43,6.02
37.81,6.04
38.19,6.05
38.57,6.05
38.95,6.05
39.34,6.05
39.74,6.05
40.14,6.06
40.54,6.07
40.94,6.09
41.35,6.10
41.76,6.11
42.18,6.11
42.60,6.11
43.03,6.11
43.46,6.11
43.90,6.12
44.33,6.14
44.78,6.14
45.23,6.14
45.68,6.11
46.13,6.08
46.60,6.04
47.06,6.01
47.53,5.98
48.01,5.98
48.49,5.99
48.97,6.02
49.46,6.06
49.96,6.09
50.46,6.10
50.96,6.09
51.47,6.06
51.99,6.05
52.51,6.04
53.03,6.03
53.56,6.03
54.10,6.03
54.64,6.04
55.18,6.05
55.74,6.05
56.29,6.05
56.86,6.06
57.42,6.05
58.00,6.05
58.58,6.03
59.16,6.02
59.76,6.02
60.35,6.02
60.96,6.01
61.57,6.01
62.18,6.00
62.80,5.99
63.43,5.98
64.07,5.97
64.71,5.96
65.35,5.95
66.01,5.94
66.67,5.92
67.33,5.91
68.01,5.90
68.69,5.89
69.37,5.89
70.07,5.88
70.77,5.87
71.48,5.87
72.19,5.86
72.91,5.84
73.64,5.83
74.38,5.81
75.12,5.79
75.87,5.77
76.63,5.75
77.40,5.74
78.17,5.72
78.95,5.71
79.74,5.70
80.54,5.69
81.35,5.68
82.16,5.67
82.98,5.66
83.81,5.65
84.65,5.63
85.50,5.61
86.35,5.60
87.22,5.58
88.09,5.56
88.97,5.54
89.86,5.53
90.76,5.51
91.66,5.49
92.58,5.48
93.51,5.46
94.44,5.44
95.39,5.42
96.34,5.40
97.30,5.38
98.28,5.36
99.26,5.34
100.25,5.32
101.25,5.30
102.27,5.28
103.29,5.26
104.32,5.24
105.37,5.22
106.42,5.20
107.48,5.18
108.56,5.16
109.64,5.14
110.74,5.11
111.85,5.09
112.97,5.06
114.10,5.04
115.24,5.01
116.39,4.99
117.55,4.96
118.73,4.94
119.92,4.92
121.12,4.89
122.33,4.87
123.55,4.84
124.79,4.81
126.03,4.79
127.29,4.76
128.57,4.73
129.85,4.70
131.15,4.67
132.46,4.65
133.79,4.62
135.12,4.59
136.48,4.56
137.84,4.53
139.22,4.50
140.61,4.47
142.02,4.44
143.44,4.41
144.87,4.37
146.32,4.34
147.78,4.31
149.26,4.28
150.75,4.25
152.26,4.21
153.78,4.18
155.32,4.15
156.88,4.11
158.44,4.08
160.03,4.05
161.63,4.02
163.24,3.99
164.88,3.96
166.53,3.92
168.19,3.89
169.87,3.85
171.57,3.82
173.29,3.78
175.02,3.75
176.77,3.72
178.54,3.69
180.32,3.66
182.13,3.63
183.95,3.59
185.79,3.56
187.65,3.53
189.52,3.49
191.42,3.45
193.33,3.42
195.27,3.38
197.22,3.35
199.19,3.31
201.18,3.27
203.19,3.24
205.23,3.20
207.28,3.16
209.35,3.12
