frequency,raw
20.00,13.91
20.20,13.89
20.40,13.87
20.61,13.85
20.81,13.82
21.02,13.80
21.23,13.77
21.44,13.75
21.66,13.73
21.87,13.70
22.09,13.68
22.31,13.66
22.54,13.63
22.76,13.60
22.99,13.58
23.22,13.55
23.45,13.52
23.69,13.49
23.92,13.46
24.16,13.43
24.40,13.41
24.65,13.38
24.89,13.35
25.14,13.32
25.39,13.30
25.65,13.27
25.91,13.24
26.16,13.22
26.43,13.19
26.69,13.17
26.96,13.15
27.23,13.12
27.50,13.10
27.77,13.07
28.05,13.04
28.33,13.01
28.62,12.98
28.90,12.95
29.19,12.92
29.48,12.89
29.78,12.86
30.08,12.83
30.38,12.80
30.68,12.76
30.99,12.72
31.30,12.68
31.61,12.65
31.93,12.61
32.24,12.57
32.57,12.54
32.89,12.51
33.22,12.47
33.55,12.44
33.89,12.40
34.23,12.36
34.57,12.33
34.92,12.29
35.27,12.25
35.62,12.21
35.97,12.18
36.33,12.14
36.70,12.10
37.06,12.07
37.43,12.03
37.81,12.00
38.19,11.96
38.57,11.92
38.95,11.88
39.34,11.84
39.74,11.80
40.14,11.76
40.54,11.72
40.94,11.67
41.35,11.63
41.76,11.59
42.18,11.54
42.60,11.50
43.03,11.46
43.46,11.41
43.90,11.37
44.33,11.32
44.78,11.28
45.23,11.24
45.68,11.19
46.13,11.15
46.60,11.11
47.06,11.06
47.53,11.02
48.01,10.97
48.49,10.93
48.97,10.89
49.46,10.84
49.96,10.79
50.46,10.74
50.96,10.69
51.47,10.65
51.99,10.60
52.51,10.56
53.03,10.52
53.56,10.47
54.10,10.42
54.64,10.37
55.18,10.33
55.74,10.28
56.29,10.24
56.86,10.20
57.42,10.15
58.00,10.11
58.58,10.06
59.16,10.02
59.76,9.97
60.35,9.93
60.96,9.89
61.57,9.84
62.18,9.79
62.80,9.74
63.43,9.69
64.07,9.64
64.71,9.59
65.35,9.54
66.01,9.49
66.67,9.44
67.33,9.39
68.01,9.34
68.69,9.29
69.37,9.24
70.07,9.19
70.77,9.14
71.48,9.09
72.19,9.04
72.91,8.99
73.64,8.93
74.38,8.88
75.12,8.82
75.87,8.77
76.63,8.72
77.40,8.67
78.17,8.62
78.95,8.56
79.74,8.51
80.54,8.46
81.35,8.41
82.16,8.36
82.98,8.30
83.81,8.25
84.65,8.20
85.50,8.14
86.35,8.09
87.22,8.03
