frequency,raw
20.00,8.29
20.20,8.29
20.40,8.29
20.61,8.29
20.81,8.29
21.02,8.28
21.23,8.28
21.44,8.27
21.66,8.27
21.87,8.27
22.09,8.26
22.31,8.26
22.54,8.25
22.76,8.25
22.99,8.24
23.22,8.24
23.45,8.23
23.69,8.22
23.92,8.21
24.16,8.20
24.40,8.19
24.65,8.18
24.89,8.17
25.14,8.16
25.39,8.15
25.65,8.14
25.91,8.13
26.16,8.13
26.43,8.12
26.69,8.11
26.96,8.09
27.23,8.08
27.50,8.07
27.77,8.06
28.05,8.04
28.33,8.03
28.62,8.02
28.90,8.00
29.19,7.99
29.48,7.97
29.78,7.95
30.08,7.94
30.38,7.92
30.68,7.90
30.99,7.88
31.30,7.87
31.61,7.85
31.93,7.83
32.24,7.81
32.57,7.79
32.89,7.76
33.22,7.74
33.55,7.72
33.89,7.70
34.23,7.68
34.57,7.66
34.92,7.64
35.27,7.62
35.62,7.59
35.97,7.57
36.33,7.55
36.70,7.52
37.06,7.50
37.43,7.47
37.81,7.45
38.19,7.43
38.57,7.40
38.95,7.37
39.34,7.35
39.74,7.32
40.14,7.29
40.54,7.26
40.94,7.23
41.35,7.19
41.76,7.16
42.18,7.13
42.60,7.10
43.03,7.07
43.46,7.04
43.90,7.01
44.33,6.98
44.78,6.95
45.23,6.91
45.68,6.88
46.13,6.84
46.60,6.81
47.06,6.78
47.53,6.74
48.01,6.71
48.49,6.67
48.97,6.64
49.46,6.60
49.96,6.57
50.46,6.53
50.96,6.50
51.47,6.46
51.99,6.43
52.51,6.39
53.03,6.36
53.56,6.32
54.10,6.29
54.64,6.25
55.18,6.21
55.74,6.18
56.29,6.14
56.86,6.11
57.42,6.07
58.00,6.04
58.58,6.00
59.16,5.96
59.76,5.92
60.35,5.88
60.96,5.85
61.57,5.81
62.18,5.77
62.80,5.73
63.43,5.69
64.07,5.64
64.71,5.60
65.35,5.56
66.01,5.51
66.67,5.47
67.33,5.43
68.01,5.39
68.69,5.34
69.37,5.30
70.07,5.26
70.77,5.21
71.48,5.17
72.19,5.13
72.91,5.08
73.64,5.04
74.38,4.99
75.12,4.94
75.87,4.90
76.63,4.85
77.40,4.81
78.17,4.76
78.95,4.72
79.74,4.67
80.54,4.63
81.35,4.58
82.16,4.53
82.98,4.49
83.81,4.44
84.65,4.40
85.50,4.35
86.35,4.31
87.22,4.26
88.09,4.22
88.97,4.17
89.86,4.12
90.76,4.08
91.66,4.03
92.58,3.99
93.51,3.94
94.44,3.89
95.39,3.85
96.34,3.80
97.30,3.75
98.28,3.71
99.26,3.66
100.25,3.61
101.25,3.57
102.27,3.52
103.29,3.47
104.32,3.42
105.37,3.38
106.42,3.33
107.48,3.28
108.56,3.23
109.64,3.19
110.74,3.14
111.85,3.09
112.97,3.05
114.10,3.00
115.24,2.95
116.39,2.90
117.55,2.86
