frequency,raw
20.00,8.49
20.20,8.48
20.40,8.48
20.61,8.48
20.81,8.47
21.02,8.47
21.23,8.47
21.44,8.47
21.66,8.46
21.87,8.46
22.09,8.46
22.31,8.46
22.54,8.45
22.76,8.45
22.99,8.45
23.22,8.44
23.45,8.44
23.69,8.44
23.92,8.43
24.16,8.43
24.40,8.43
24.65,8.42
24.89,8.41
25.14,8.41
25.39,8.40
25.65,8.39
25.91,8.38
26.16,8.37
26.43,8.36
26.69,8.36
26.96,8.35
27.23,8.34
27.50,8.33
27.77,8.32
28.05,8.31
28.33,8.30
28.62,8.29
28.90,8.27
29.19,8.26
29.48,8.25
29.78,8.24
30.08,8.22
30.38,8.21
30.68,8.20
30.99,8.18
31.30,8.16
31.61,8.15
31.93,8.13
32.24,8.12
32.57,8.10
32.89,8.08
33.22,8.07
33.55,8.05
33.89,8.03
34.23,8.02
34.57,8.00
34.92,7.98
35.27,7.96
35.62,7.95
35.97,7.93
36.33,7.91
36.70,7.89
37.06,7.87
37.43,7.85
37.81,7.83
38.19,7.80
38.57,7.79
38.95,7.77
39.34,7.75
39.74,7.73
40.14,7.70
40.54,7.66
40.94,7.63
41.35,7.61
41.76,7.58
42.18,7.57
42.60,7.55
43.03,7.53
43.46,7.51
43.90,7.48
44.33,7.45
44.78,7.42
45.23,7.39
45.68,7.36
46.13,7.32
46.60,7.29
47.06,7.26
47.53,7.23
48.01,7.20
48.49,7.17
48.97,7.13
49.46,7.10
49.96,7.06
50.46,7.03
50.96,6.99
51.47,6.96
51.99,6.93
52.51,6.90
53.03,6.88
53.56,6.85
54.10,6.82
54.64,6.80
55.18,6.77
55.74,6.74
56.29,6.70
56.86,6.67
57.42,6.64
58.00,6.61
58.58,6.57
59.16,6.53
59.76,6.50
60.35,6.46
60.96,6.42
61.57,6.38
62.18,6.35
62.80,6.31
63.43,6.27
64.07,6.23
64.71,6.20
65.35,6.16
66.01,6.12
66.67,6.08
67.33,6.05
68.01,6.01
68.69,5.97
69.37,5.94
70.07,5.90
70.77,5.85
71.48,5.81
72.19,5.77
72.91,5.72
73.64,5.68
74.38,5.64
75.12,5.60
75.87,5.56
76.63,5.51
77.40,5.47
78.17,5.42
78.95,5.38
79.74,5.34
80.54,5.30
81.35,5.25
82.16,5.21
82.98,5.17
83.81,5.13
84.65,5.09
85.50,5.04
86.35,5.00
87.22,4.95
88.09,4.91
88.97,4.86
89.86,4.82
90.76,4.77
91.66,4.73
92.58,4.69
93.51,4.64
94.44,4.60
95.39,4.56
96.34,4.51
97.30,4.47
98.28,4.43
99.26,4.38
100.25,4.34
101.25,4.29
102.27,4.25
103.29,4.21
104.32,4.16
105.37,4.11
106.42,4.07
107.48,4.02
108.56,3.97
109.64,3.93
110.74,3.88
111.85,3.83
112.97,3.79
114.10,3.74
115.24,3.69
116.39,3.64
117.55,3.59
118.73,3.54
119.92,3.50
121.12,3.45
122.33,3.41
123.55,3.36
124.79,3.31
126.03,3.27
127.29,3.22
128.57,3.17
129.85,3.12
131.15,3.07
132.46,3.02
133.79,2.97
135.12,2.93
136.48,2.88
137.84,2.83
139.22,2.78
140.61,2.74
142.02,2.69
143.44,2.64
144.87,2.59
146.32,2.55
147.78,2.50
149.26,2.45
150.75,2.40
152.26,2.35
153.78,2.30
155.32,2.25
156.88,2.21
158.44,2.16
160.03,2.11
161.63,2.07
163.24,2.03
164.88,1.98
166.53,1.94
168.19,1.90
169.87,1.85
171.57,1.81
173.29,1.77
175.02,1.72
176.77,1.68
178.54,1.64
180.32,1.60
182.13,1.55
183.95,1.51
185.79,1.47
187.65,1.43
189.52,1.38
191.42,1.34
193.33,1.30
195.27,1.25
197.22,1.21
199.19,1.17
201.18,1.13
203.19,1.09
205.23,1.05
207.28,1.00
209.35,0.96
211.44,0.92
213.56,0.87
215.69,0.83
217.85,0.79
220.03,0.75
222.23,0.71
224.45,0.67
226.70,0.63
228.96,0.59
231.25,0.54
233.57,0.50
235.90,0.46
238.26,0.42
240.64,0.38
243.05,0.34
245.48,0.30
247.93,0.26
250.41,0.23
252.92,0.19
255.45,0.15
258.00,0.11
260.58,0.08
263.19,0.04
265.82,0.00
268.48,-0.03
271.16,-0.07
273.87,-0.10
276.61,-0.14
279.38,-0.17
282.17,-0.21
284.99,-0.25
287.84,-0.28
290.72,-0.32
293.63,-0.35
296.57,-0.38
299.53,-0.41
302.53,-0.45
305.55,-0.48
308.61,-0.51
311.69,-0.54
314.81,-0.57
317.96,-0.60
321.14,-0.63
324.35,-0.66
327.59,-0.69
330.87,-0.72
334.18,-0.75
337.52,-0.77
340.90,-0.80
344.30,-0.83
347.75,-0.85
351.23,-0.88
354.74,-0.91
358.28,-0.93
361.87,-0.96
365.49,-0.99
369.14,-1.01
372.83,-1.03
376.56,-1.06
380.33,-1.08
384.13,-1.10
387.97,-1.13
391.85,-1.15
395.77,-1.17
399.73,-1.19
403.72,-1.22
407.76,-1.24
411.84,-1.26
415.96,-1.28
420.12,-1.30
424.32,-1.32
428.56,-1.34
432.85,-1.36
437.18,-1.38
441.55,-1.40
445.96,-1.41
450.42,-1.43
454.93,-1.45
459.48,-1.46
464.07,-1.48
468.71,-1.49
473.40,-1.51
478.13,-1.52
482.91,-1.53
487.74,-1.55
492.62,-1.56
497.55,-1.57
502.52,-1.59
507.55,-1.60
512.62,-1.61
517.75,-1.62
522.93,-1.63
528.16,-1.64
533.44,-1.65
538.77,-1.66
544.16,-1.66
549.60,-1.67
555.10,-1.68
560.65,-1.68
566.25,-1.69
571.92,-1.69
577.64,-1.70
583.41,-1.70
589.25,-1.70
595.14,-1.70
601.09,-1.70
607.10,-1.71
613.17,-1.71
619.30,-1.71
625.50,-1.71
631.75,-1.70
638.07,-1.70
644.45,-1.69
650.89,-1.69
657.40,-1.68
663.98,-1.67
670.62,-1.67
677.32,-1.66
684.10,-1.65
690.94,-1.64
697.85,-1.62
704.83,-1.61
711.87,-1.59
718.99,-1.58
726.18,-1.56
733.44,-1.55
740.78,-1.53
748.19,-1.51
755.67,-1.49
763.23,-1.47
770.86,-1.45
778.57,-1.43
786.35,-1.41
794.22,-1.38
802.16,-1.36
810.18,-1.33
818.28,-1.29
826.46,-1.25
834.73,-1.20
843.08,-1.16
851.51,-1.10
860.02,-1.05
868.62,-0.99
877.31,-0.93
886.08,-0.87
894.94,-0.81
903.89,-0.76
912.93,-0.70
922.06,-0.63
931.28,-0.57
940.59,-0.50
950.00,-0.42
959.50,-0.34
969.09,-0.26
