frequency,raw
20.00,12.52
20.20,12.51
20.40,12.50
20.61,12.49
20.81,12.47
21.02,12.46
21.23,12.44
21.44,12.42
21.66,12.40
21.87,12.39
22.09,12.37
22.31,12.35
22.54,12.33
22.76,12.30
22.99,12.28
23.22,12.26
23.45,12.24
23.69,12.22
23.92,12.19
24.16,12.17
24.40,12.15
24.65,12.13
24.89,12.11
25.14,12.09
25.39,12.06
25.65,12.04
25.91,12.02
26.16,12.01
26.43,11.99
26.69,11.97
26.96,11.95
27.23,11.94
27.50,11.92
27.77,11.90
28.05,11.89
28.33,11.87
28.62,11.85
28.90,11.84
29.19,11.82
29.48,11.79
29.78,11.77
30.08,11.74
30.38,11.72
30.68,11.69
30.99,11.67
31.30,11.64
31.61,11.61
31.93,11.58
32.24,11.55
32.57,11.52
32.89,11.49
33.22,11.46
33.55,11.42
33.89,11.39
34.23,11.37
34.57,11.34
34.92,11.30
35.27,11.27
35.62,11.23
35.97,11.20
36.33,11.16
36.70,11.13
37.06,11.09
37.43,11.07
37.81,11.03
38.19,11.00
38.57,10.97
38.95,10.93
39.34,10.89
39.74,10.86
40.14,10.82
40.54,10.78
40.94,10.74
41.35,10.70
41.76,10.66
42.18,10.62
42.60,10.58
43.03,10.54
43.46,10.49
43.90,10.45
44.33,10.40
44.78,10.36
45.23,10.32
45.68,10.28
46.13,10.23
46.60,10.19
47.06,10.15
47.53,10.10
48.01,10.05
48.49,10.00
48.97,9.95
49.46,9.91
49.96,9.86
50.46,9.81
50.96,9.76
51.47,9.71
51.99,9.66
52.51,9.61
53.03,9.55
53.56,9.50
54.10,9.44
54.64,9.39
55.18,9.33
55.74,9.28
56.29,9.22
56.86,9.17
57.42,9.11
58.00,9.06
58.58,9.00
59.16,8.95
59.76,8.89
60.35,8.83
60.96,8.77
61.57,8.71
62.18,8.64
62.80,8.58
63.43,8.52
64.07,8.46
64.71,8.40
65.35,8.34
66.01,8.27
66.67,8.21
67.33,8.14
68.01,8.08
68.69,8.01
69.37,7.95
70.07,7.88
70.77,7.81
71.48,7.74
72.19,7.67
72.91,7.60
73.64,7.54
74.38,7.47
75.12,7.40
75.87,7.33
76.63,7.25
77.40,7.18
78.17,7.10
78.95,7.03
79.74,6.96
80.54,6.88
81.35,6.81
82.16,6.73
82.98,6.66
83.81,6.58
84.65,6.50
85.50,6.42
86.35,6.34
87.22,6.27
88.09,6.19
88.97,6.11
89.86,6.03
90.76,5.95
91.66,5.87
92.58,5.79
93.51,5.71
94.44,5.62
95.39,5.54
96.34,5.45
97.30,5.37
98.28,5.28
99.26,5.20
100.25,5.12
101.25,5.03
102.27,4.95
103.29,4.86
104.32,4.78
105.37,4.69
106.42,4.60
107.48,4.51
108.56,4.43
109.64,4.34
110.74,4.25
111.85,4.16
112.97,4.07
114.10,3.98
115.24,3.89
116.39,3.81
117.55,3.72
118.73,3.63
119.92,3.54
121.12,3.45
122.33,3.36
123.55,3.27
124.79,3.18
126.03,3.09
127.29,3.01
128.57,2.92
129.85,2.83
131.15,2.74
132.46,2.65
133.79,2.56
135.12,2.47
136.48,2.38
137.84,2.30
139.22,2.21
140.61,2.13
142.02,2.04
143.44,1.96
144.87,1.87
146.32,1.79
147.78,1.70
149.26,1.61
150.75,1.53
152.26,1.45
153.78,1.37
155.32,1.29
156.88,1.20
158.44,1.12
160.03,1.04
161.63,0.97
163.24,0.90
164.88,0.82
166.53,0.75
168.19,0.68
169.87,0.60
171.57,0.53
173.29,0.46
175.02,0.39
176.77,0.32
178.54,0.25
180.32,0.18
182.13,0.12
183.95,0.05
185.79,-0.01
187.65,-0.08
189.52,-0.14
191.42,-0.19
193.33,-0.25
195.27,-0.30
197.22,-0.35
199.19,-0.40
201.18,-0.45
203.19,-0.50
205.23,-0.55
207.28,-0.59
209.35,-0.64
211.44,-0.68
213.56,-0.72
215.69,-0.76
217.85,-0.80
220.03,-0.84
222.23,-0.87
224.45,-0.90
226.70,-0.94
228.96,-0.96
231.25,-0.99
233.57,-1.02
235.90,-1.05
238.26,-1.07
240.64,-1.09
243.05,-1.11
245.48,-1.14
247.93,-1.16
250.41,-1.17
252.92,-1.19
255.45,-1.20
258.00,-1.21
260.58,-1.23
263.19,-1.24
265.82,-1.25
268.48,-1.26
271.16,-1.26
273.87,-1.26
276.61,-1.27
279.38,-1.27
282.17,-1.28
284.99,-1.28
287.84,-1.28
290.72,-1.28
293.63,-1.28
296.57,-1.28
299.53,-1.29
302.53,-1.29
305.55,-1.29
308.61,-1.29
311.69,-1.29
314.81,-1.29
317.96,-1.29
321.14,-1.29
324.35,-1.29
327.59,-1.29
330.87,-1.29
334.18,-1.29
337.52,-1.29
340.90,-1.29
344.30,-1.29
347.75,-1.29
351.23,-1.29
354.74,-1.30
358.28,-1.30
361.87,-1.30
365.49,-1.30
369.14,-1.31
372.83,-1.30
376.56,-1.30
380.33,-1.30
384.13,-1.30
387.97,-1.30
391.85,-1.30
395.77,-1.30
399.73,-1.30
403.72,-1.30
407.76,-1.30
411.84,-1.30
415.96,-1.29
420.12,-1.29
424.32,-1.29
428.56,-1.29
432.85,-1.29
437.18,-1.29
441.55,-1.29
445.96,-1.29
450.42,-1.29
454.93,-1.29
459.48,-1.29
464.07,-1.29
468.71,-1.29
473.40,-1.29
478.13,-1.29
482.91,-1.29
487.74,-1.29
492.62,-1.29
497.55,-1.29
502.52,-1.29
507.55,-1.30
512.62,-1.30
517.75,-1.30
522.93,-1.30
528.16,-1.30
533.44,-1.30
538.77,-1.30
544.16,-1.30
549.60,-1.31
555.10,-1.31
560.65,-1.31
566.25,-1.32
571.92,-1.32
577.64,-1.33
583.41,-1.33
589.25,-1.33
595.14,-1.34
601.09,-1.35
607.10,-1.35
613.17,-1.36
619.30,-1.37
625.50,-1.37
631.75,-1.38
638.07,-1.38
644.45,-1.39
650.89,-1.39
657.40,-1.40
663.98,-1.41
670.62,-1.41
677.32,-1.42
684.10,-1.42
690.94,-1.43
697.85,-1.43
704.83,-1.42
711.87,-1.42
718.99,-1.42
726.18,-1.42
733.44,-1.42
740.78,-1.41
748.19,-1.40
755.67,-1.40
763.23,-1.39
770.86,-1.39
778.57,-1.38
786.35,-1.37
794.22,-1.36
802.16,-1.34
810.18,-1.32
818.28,-1.30
826.46,-1.27
834.73,-1.24
843.08,-1.21
851.51,-1.18
860.02,-1.14
868.62,-1.09
877.31,-1.04
886.08,-0.97
894.94,-0.90
903.89,-0.82
912.93,-0.73
922.06,-0.64
931.28,-0.55
940.59,-0.46
950.00,-0.37
959.50,-0.29
969.09,-0.22
978.78,-0.14
988.57,-0.08
998.46,-0.01
1008.44,0.05
1018.53,0.11
1028.71,0.17
1039.00,0.22
1049.39,0.28
1059.88,0.34
1070.48,0.40
1081.19,0.46
1092.00,0.51
1102.92,0.57
1113.95,0.63
1125.09,0.69
1136.34,0.75
1147.70,0.81
1159.18,0.86
1170.77,0.91
1182.48,0.97
1194.30,1.02
1206.25,1.08
1218.31,1.13
1230.49,1.17
1242.80,1.22
1255.22,1.27
1267.78,1.32
1280.45,1.36
1293.26,1.41
1306.19,1.45
1319.25,1.49
1332.45,1.53
1345.77,1.57
1359.23,1.61
1372.82,1.65
1386.55,1.69
1400.41,1.73
1414.42,1.76
1428.56,1.80
1442.85,1.84
1457.28,1.88
1471.85,1.91
1486.57,1.95
1501.43,1.99
1516.45,2.03
1531.61,2.07
1546.93,2.12
1562.40,2.16
1578.02,2.20
1593.80,2.25
1609.74,2.29
1625.84,2.34
1642.10,2.39
1658.52,2.44
1675.10,2.49
1691.85,2.54
1708.77,2.59
1725.86,2.65
1743.12,2.71
1760.55,2.77
1778.15,2.83
1795.94,2.90
1813.90,2.96
1832.03,3.03
1850.36,3.10
1868.86,3.18
1887.55,3.26
1906.42,3.34
1925.49,3.42
1944.74,3.51
1964.19,3.59
1983.83,3.68
2003.67,3.77
2023.71,3.87
2043.94,3.97
2064.38,4.08
2085.03,4.19
2105.88,4.30
2126.94,4.41
2148.20,4.53
2169.69,4.65
2191.38,4.77
2213.30,4.90
2235.43,5.03
2257.78,5.17
2280.36,5.31
2303.17,5.45
2326.20,5.59
2349.46,5.74
2372.95,5.89
2396.68,6.04
2420.65,6.20
2444.86,6.36
2469.31,6.52
2494.00,6.68
2518.94,6.85
2544.13,7.02
2569.57,7.18
2595.27,7.35
2621.22,7.52
2647.43,7.68
2673.90,7.84
2700.64,8.01
2727.65,8.16
2754.93,8.32
2782.48,8.46
2810.30,8.60
2838.40,8.74
2866.79,8.86
2895.46,8.98
2924.41,9.08
2953.65,9.17
2983.19,9.25
3013.02,9.32
3043.15,9.38
3073.58,9.42
3104.32,9.44
3135.36,9.45
3166.72,9.45
3198.38,9.44
3230.37,9.41
3262.67,9.37
3295.30,9.32
3328.25,9.27
3361.53,9.21
3395.15,9.14
3429.10,9.07
3463.39,9.00
3498.03,8.92
3533.01,8.84
3568.34,8.76
3604.02,8.68
3640.06,8.60
3676.46,8.52
3713.22,8.44
3750.36,8.37
3787.86,8.30
3825.74,8.23
3864.00,8.17
3902.64,8.11
3941.66,8.06
3981.08,8.01
4020.89,7.97
4061.10,7.93
4101.71,7.89
4142.73,7.86
4184.15,7.83
4226.00,7.81
4268.26,7.79
4310.94,7.78
4354.05,7.77
4397.59,7.76
4441.56,7.76
4485.98,7.76
4530.84,7.77
4576.15,7.78
4621.91,7.80
4668.13,7.82
4714.81,7.85
4761.96,7.89
4809.58,7.93
4857.67,7.97
4906.25,8.02
4955.31,8.07
5004.87,8.12
5054.91,8.18
5105.46,8.23
5156.52,8.28
5208.08,8.33
5260.16,8.37
5312.77,8.41
5365.89,8.44
5419.55,8.46
5473.75,8.46
5528.49,8.46
5583.77,8.43
5639.61,8.38
5696.00,8.33
5752.96,8.23
5810.49,8.13
5868.60,8.00
5927.28,7.85
5986.56,7.68
6046.42,7.48
6106.89,7.25
6167.96,7.00
6229.64,6.71
6291.93,6.40
6354.85,6.05
6418.40,5.69
6482.58,5.28
6547.41,4.84
6612.88,4.38
6679.01,3.87
6745.80,3.33
6813.26,2.76
6881.39,2.16
6950.21,1.55
7019.71,0.95
7089.91,0.37
7160.81,-0.13
7232.41,-0.56
7304.74,-0.90
7377.79,-1.07
7451.56,-1.10
7526.08,-1.00
7601.34,-0.78
7677.35,-0.44
7754.13,-0.07
7831.67,0.35
7909.98,0.75
7989.08,1.13
8068.98,1.42
8149.67,1.63
8231.16,1.76
8313.47,1.77
8396.61,1.73
8480.57,1.60
8565.38,1.43
8651.03,1.24
8737.54,1.04
8824.92,0.83
8913.17,0.61
9002.30,0.39
9092.32,0.17
9183.25,-0.04
9275.08,-0.23
9367.83,-0.39
9461.51,-0.49
9556.12,-0.53
9651.68,-0.53
9748.20,-0.48
9845.68,-0.36
9944.14,-0.23
10043.58,-0.07
10144.02,0.10
10245.46,0.26
10347.91,0.42
10451.39,0.57
10555.91,0.69
10661.46,0.77
10768.08,0.79
10875.76,0.70
10984.52,0.47
11094.36,0.14
11205.31,-0.30
11317.36,-0.84
11430.53,-1.40
11544.84,-1.98
11660.29,-2.55
11776.89,-3.09
11894.66,-3.54
12013.60,-3.98
12133.74,-4.34
12255.08,-4.62
12377.63,-4.84
12501.41,-5.00
12626.42,-5.06
12752.68,-5.07
12880.21,-4.96
13009.01,-4.81
13139.10,-4.66
13270.49,-4.39
13403.20,-4.10
13537.23,-3.76
13672.60,-3.42
13809.33,-3.10
13947.42,-2.83
14086.90,-2.64
14227.77,-2.51
14370.04,-2.46
14513.74,-2.49
14658.88,-2.63
14805.47,-2.78
14953.52,-2.97
15103.06,-3.14
15254.09,-3.31
15406.63,-3.43
15560.70,-3.56
15716.30,-3.68
15873.47,-3.88
16032.20,-4.13
16192.52,-4.48
16354.45,-4.81
16517.99,-5.13
16683.17,-5.33
16850.01,-5.58
17018.51,-5.86
17188.69,-6.28
17360.58,-6.75
17534.18,-7.27
17709.53,-7.84
17886.62,-8.51
18065.49,-9.31
18246.14,-10.27
18428.60,-11.59
18612.89,-13.19
18799.02,-15.05
18987.01,-17.21
19176.88,-19.54
19368.65,-21.78
19562.33,-23.75
19757.96,-25.25
19955.54,-25.81
