frequency,raw
20.00,10.60
20.20,10.61
20.40,10.62
20.61,10.63
20.81,10.64
21.02,10.65
21.23,10.65
21.44,10.65
21.66,10.66
21.87,10.66
22.09,10.66
22.31,10.66
22.54,10.66
22.76,10.67
22.99,10.67
23.22,10.67
23.45,10.67
23.69,10.67
23.92,10.67
24.16,10.67
24.40,10.67
24.65,10.67
24.89,10.67
25.14,10.67
25.39,10.67
25.65,10.66
25.91,10.66
26.16,10.66
26.43,10.65
26.69,10.65
26.96,10.65
27.23,10.65
27.50,10.66
27.77,10.67
28.05,10.68
28.33,10.68
28.62,10.68
28.90,10.68
29.19,10.68
29.48,10.67
29.78,10.66
30.08,10.66
30.38,10.66
30.68,10.66
30.99,10.66
31.30,10.66
31.61,10.65
31.93,10.63
32.24,10.61
32.57,10.59
32.89,10.57
33.22,10.55
33.55,10.54
33.89,10.53
34.23,10.52
34.57,10.51
34.92,10.50
35.27,10.50
35.62,10.49
35.97,10.49
36.33,10.48
36.70,10.46
37.06,10.44
37.43,10.41
37.81,10.38
38.19,10.35
38.57,10.34
38.95,10.33
39.34,10.32
39.74,10.31
40.14,10.30
40.54,10.27
40.94,10.25
41.35,10.22
41.76,10.20
42.18,10.18
42.60,10.15
43.03,10.13
43.46,10.10
43.90,10.08
44.33,10.05
44.78,10.03
45.23,10.02
45.68,10.00
46.13,9.98
46.60,9.95
47.06,9.92
47.53,9.89
48.01,9.86
48.49,9.83
48.97,9.79
49.46,9.76
49.96,9.72
50.46,9.70
50.96,9.67
51.47,9.65
51.99,9.63
52.51,9.60
53.03,9.58
53.56,9.54
54.10,9.51
54.64,9.48
55.18,9.44
55.74,9.41
56.29,9.38
56.86,9.35
57.42,9.32
58.00,9.28
58.58,9.24
59.16,9.20
59.76,9.17
60.35,9.14
60.96,9.12
61.57,9.08
62.18,9.04
62.80,9.00
63.43,8.96
64.07,8.92
64.71,8.88
65.35,8.85
66.01,8.83
66.67,8.79
67.33,8.76
68.01,8.72
68.69,8.67
69.37,8.62
70.07,8.57
70.77,8.53
71.48,8.50
72.19,8.46
72.91,8.43
73.64,8.39
74.38,8.35
75.12,8.30
75.87,8.28
76.63,8.25
77.40,8.23
78.17,8.17
78.95,8.11
79.74,8.05
80.54,7.99
81.35,7.93
82.16,7.89
82.98,7.84
83.81,7.79
84.65,7.75
85.50,7.71
86.35,7.67
87.22,7.62
88.09,7.58
88.97,7.53
89.86,7.48
90.76,7.44
91.66,7.40
92.58,7.36
93.51,7.31
94.44,7.25
95.39,7.20
96.34,7.15
97.30,7.10
98.28,7.05
99.26,7.01
100.25,6.96
101.25,6.92
102.27,6.87
103.29,6.83
104.32,6.78
105.37,6.72
106.42,6.66
107.48,6.61
108.56,6.57
109.64,6.53
110.74,6.48
111.85,6.42
112.97,6.37
114.10,6.32
115.24,6.26
116.39,6.21
117.55,6.16
118.73,6.11
119.92,6.06
121.12,6.01
122.33,5.96
123.55,5.91
124.79,5.85
126.03,5.79
127.29,5.73
128.57,5.68
129.85,5.63
131.15,5.58
132.46,5.52
133.79,5.47
135.12,5.42
136.48,5.37
137.84,5.33
139.22,5.28
140.61,5.22
142.02,5.16
143.44,5.10
144.87,5.04
146.32,4.99
147.78,4.94
149.26,4.89
150.75,4.84
152.26,4.79
153.78,4.76
155.32,4.71
156.88,4.65
158.44,4.59
160.03,4.53
161.63,4.48
163.24,4.42
164.88,4.37
166.53,4.31
168.19,4.26
169.87,4.21
171.57,4.16
173.29,4.11
175.02,4.06
176.77,4.01
178.54,3.96
180.32,3.91
182.13,3.86
183.95,3.81
185.79,3.76
187.65,3.71
189.52,3.66
191.42,3.63
193.33,3.59
195.27,3.55
197.22,3.50
199.19,3.44
201.18,3.38
203.19,3.32
205.23,3.26
207.28,3.21
209.35,3.16
211.44,3.12
213.56,3.07
215.69,3.02
217.85,2.97
220.03,2.92
222.23,2.87
224.45,2.81
226.70,2.76
228.96,2.72
231.25,2.67
233.57,2.62
235.90,2.58
238.26,2.53
240.64,2.48
243.05,2.43
245.48,2.39
247.93,2.34
250.41,2.30
252.92,2.26
255.45,2.21
258.00,2.16
260.58,2.12
263.19,2.07
265.82,2.03
268.48,1.98
271.16,1.93
273.87,1.89
276.61,1.84
279.38,1.80
282.17,1.76
284.99,1.71
287.84,1.67
290.72,1.62
293.63,1.58
296.57,1.53
299.53,1.48
302.53,1.44
305.55,1.41
308.61,1.37
311.69,1.34
314.81,1.31
317.96,1.26
321.14,1.22
324.35,1.18
327.59,1.13
330.87,1.08
334.18,1.03
337.52,0.99
340.90,0.95
344.30,0.92
347.75,0.89
351.23,0.86
354.74,0.83
358.28,0.80
361.87,0.76
365.49,0.72
369.14,0.68
372.83,0.64
376.56,0.61
380.33,0.58
384.13,0.55
387.97,0.51
391.85,0.49
395.77,0.46
399.73,0.43
403.72,0.39
