frequency,raw
20.00,10.22
20.20,10.23
20.40,10.24
20.61,10.26
20.81,10.27
21.02,10.28
21.23,10.29
21.44,10.30
21.66,10.31
21.87,10.32
22.09,10.33
22.31,10.34
22.54,10.35
22.76,10.37
22.99,10.38
23.22,10.39
23.45,10.39
23.69,10.40
23.92,10.40
24.16,10.41
24.40,10.41
24.65,10.42
24.89,10.42
25.14,10.42
25.39,10.43
25.65,10.43
25.91,10.44
26.16,10.44
26.43,10.44
26.69,10.45
26.96,10.45
27.23,10.46
27.50,10.47
27.77,10.47
28.05,10.48
28.33,10.48
28.62,10.48
28.90,10.48
29.19,10.49
29.48,10.49
29.78,10.49
30.08,10.49
30.38,10.49
30.68,10.49
30.99,10.49
31.30,10.49
31.61,10.48
31.93,10.48
32.24,10.48
32.57,10.47
32.89,10.47
33.22,10.47
33.55,10.46
33.89,10.46
34.23,10.45
34.57,10.45
34.92,10.44
35.27,10.44
35.62,10.43
35.97,10.43
36.33,10.42
36.70,10.42
37.06,10.41
37.43,10.41
37.81,10.40
38.19,10.40
38.57,10.39
38.95,10.38
39.34,10.37
39.74,10.35
40.14,10.34
40.54,10.33
40.94,10.32
41.35,10.31
41.76,10.30
42.18,10.29
42.60,10.29
43.03,10.28
43.46,10.27
43.90,10.25
44.33,10.23
44.78,10.21
45.23,10.19
45.68,10.17
46.13,10.16
46.60,10.14
47.06,10.13
47.53,10.11
48.01,10.09
48.49,10.08
48.97,10.06
49.46,10.04
49.96,10.03
50.46,10.01
50.96,9.99
51.47,9.97
51.99,9.95
52.51,9.94
53.03,9.93
53.56,9.91
54.10,9.90
54.64,9.88
55.18,9.87
55.74,9.85
56.29,9.83
56.86,9.80
57.42,9.78
58.00,9.76
58.58,9.74
59.16,9.72
59.76,9.69
60.35,9.67
60.96,9.65
61.57,9.63
62.18,9.61
62.80,9.59
63.43,9.56
64.07,9.54
64.71,9.51
65.35,9.48
66.01,9.46
66.67,9.43
67.33,9.40
68.01,9.38
68.69,9.35
69.37,9.32
70.07,9.29
70.77,9.26
71.48,9.23
72.19,9.20
72.91,9.17
73.64,9.14
74.38,9.11
75.12,9.08
75.87,9.05
76.63,9.02
77.40,8.99
78.17,8.95
78.95,8.92
79.74,8.89
80.54,8.86
81.35,8.83
82.16,8.79
82.98,8.76
83.81,8.73
84.65,8.69
85.50,8.66
86.35,8.63
87.22,8.59
88.09,8.56
88.97,8.52
89.86,8.49
90.76,8.45
91.66,8.41
92.58,8.38
93.51,8.34
94.44,8.31
95.39,8.27
96.34,8.23
97.30,8.20
98.28,8.16
99.26,8.12
100.25,8.08
101.25,8.04
102.27,8.00
103.29,7.96
104.32,7.92
105.37,7.88
106.42,7.84
107.48,7.80
108.56,7.76
109.64,7.71
110.74,7.67
111.85,7.63
112.97,7.59
114.10,7.54
115.24,7.50
116.39,7.46
117.55,7.41
118.73,7.37
119.92,7.33
121.12,7.28
122.33,7.24
123.55,7.19
124.79,7.15
126.03,7.10
127.29,7.05
128.57,7.01
129.85,6.96
131.15,6.91
132.46,6.86
133.79,6.81
135.12,6.77
136.48,6.72
137.84,6.67
139.22,6.62
140.61,6.57
142.02,6.52
143.44,6.47
144.87,6.42
146.32,6.37
147.78,6.32
149.26,6.27
150.75,6.22
152.26,6.17
153.78,6.11
155.32,6.06
156.88,6.01
158.44,5.96
160.03,5.91
161.63,5.86
163.24,5.81
164.88,5.76
166.53,5.71
168.19,5.66
169.87,5.61
171.57,5.56
173.29,5.51
175.02,5.46
176.77,5.41
178.54,5.36
180.32,5.31
182.13,5.26
183.95,5.21
185.79,5.15
187.65,5.10
189.52,5.05
191.42,5.00
193.33,4.95
195.27,4.90
197.22,4.85
199.19,4.79
201.18,4.74
203.19,4.68
205.23,4.63
207.28,4.57
209.35,4.52
211.44,4.46
213.56,4.41
215.69,4.35
217.85,4.29
220.03,4.24
222.23,4.18
224.45,4.13
226.70,4.07
228.96,4.02
231.25,3.96
233.57,3.91
235.90,3.85
238.26,3.79
240.64,3.74
243.05,3.68
245.48,3.62
247.93,3.57
250.41,3.51
252.92,3.46
255.45,3.40
258.00,3.34
260.58,3.29
263.19,3.23
265.82,3.18
268.48,3.12
271.16,3.07
273.87,3.01
276.61,2.96
279.38,2.90
282.17,2.85
284.99,2.79
287.84,2.74
290.72,2.68
293.63,2.63
296.57,2.57
299.53,2.52
302.53,2.46
305.55,2.41
308.61,2.36
311.69,2.30
314.81,2.25
317.96,2.20
321.14,2.14
324.35,2.09
327.59,2.04
330.87,1.99
334.18,1.94
337.52,1.89
340.90,1.83
344.30,1.78
347.75,1.73
351.23,1.68
354.74,1.63
358.28,1.58
361.87,1.53
365.49,1.48
369.14,1.44
372.83,1.39
376.56,1.34
380.33,1.29
384.13,1.24
387.97,1.20
391.85,1.15
395.77,1.10
399.73,1.06
403.72,1.01
407.76,0.97
411.84,0.92
415.96,0.88
420.12,0.83
424.32,0.79
428.56,0.75
432.85,0.70
437.18,0.66
441.55,0.62
445.96,0.57
450.42,0.53
454.93,0.49
459.48,0.45
464.07,0.41
468.71,0.37
473.40,0.33
478.13,0.29
482.91,0.25
487.74,0.21
492.62,0.17
497.55,0.13
502.52,0.09
507.55,0.05
512.62,0.02
517.75,-0.02
522.93,-0.05
528.16,-0.09
533.44,-0.12
538.77,-0.16
544.16,-0.19
549.60,-0.22
555.10,-0.26
560.65,-0.29
566.25,-0.32
571.92,-0.35
577.64,-0.38
583.41,-0.41
589.25,-0.44
595.14,-0.46
601.09,-0.49
607.10,-0.52
613.17,-0.54
619.30,-0.57
625.50,-0.59
631.75,-0.61
638.07,-0.63
644.45,-0.65
650.89,-0.67
657.40,-0.68
663.98,-0.70
670.62,-0.71
677.32,-0.73
684.10,-0.74
690.94,-0.75
697.85,-0.76
704.83,-0.77
711.87,-0.77
718.99,-0.78
726.18,-0.78
733.44,-0.78
740.78,-0.78
748.19,-0.78
755.67,-0.77
763.23,-0.77
770.86,-0.76
778.57,-0.75
786.35,-0.74
794.22,-0.72
802.16,-0.70
810.18,-0.68
818.28,-0.66
826.46,-0.64
834.73,-0.62
843.08,-0.61
851.51,-0.59
860.02,-0.58
868.62,-0.58
877.31,-0.58
886.08,-0.58
894.94,-0.57
903.89,-0.55
912.93,-0.53
922.06,-0.49
931.28,-0.44
940.59,-0.39
950.00,-0.34
959.50,-0.28
969.09,-0.21
978.78,-0.14
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.13
1028.71,0.19
1039.00,0.26
1049.39,0.33
1059.88,0.40
1070.48,0.48
1081.19,0.55
1092.00,0.63
1102.92,0.70
1113.95,0.78
1125.09,0.86
1136.34,0.94
1147.70,1.02
1159.18,1.10
1170.77,1.18
1182.48,1.26
1194.30,1.34
1206.25,1.42
1218.31,1.50
1230.49,1.58
1242.80,1.66
1255.22,1.75
1267.78,1.84
1280.45,1.93
1293.26,2.02
1306.19,2.11
1319.25,2.21
1332.45,2.31
1345.77,2.41
1359.23,2.52
1372.82,2.63
1386.55,2.74
1400.41,2.86
1414.42,2.99
1428.56,3.12
1442.85,3.26
1457.28,3.40
1471.85,3.55
1486.57,3.71
1501.43,3.87
1516.45,4.04
1531.61,4.21
1546.93,4.39
1562.40,4.57
1578.02,4.75
