frequency,raw
20.00,7.00
20.20,7.02
20.40,7.03
20.61,7.05
20.81,7.07
21.02,7.08
21.23,7.10
21.44,7.11
21.66,7.13
21.87,7.14
22.09,7.15
22.31,7.17
22.54,7.18
22.76,7.19
22.99,7.20
23.22,7.20
23.45,7.21
23.69,7.22
23.92,7.23
24.16,7.24
24.40,7.25
24.65,7.26
24.89,7.27
25.14,7.28
25.39,7.29
25.65,7.30
25.91,7.31
26.16,7.32
26.43,7.34
26.69,7.35
26.96,7.36
27.23,7.38
27.50,7.39
27.77,7.41
28.05,7.42
28.33,7.43
28.62,7.45
28.90,7.46
29.19,7.47
29.48,7.48
29.78,7.49
30.08,7.49
30.38,7.50
30.68,7.50
30.99,7.51
31.30,7.51
31.61,7.51
31.93,7.51
32.24,7.51
32.57,7.52
32.89,7.52
33.22,7.52
33.55,7.52
33.89,7.52
34.23,7.52
34.57,7.52
34.92,7.52
35.27,7.52
35.62,7.51
35.97,7.51
36.33,7.51
36.70,7.51
37.06,7.51
37.43,7.51
37.81,7.50
38.19,7.50
38.57,7.50
38.95,7.50
39.34,7.49
39.74,7.48
40.14,7.48
40.54,7.47
40.94,7.47
41.35,7.46
41.76,7.45
42.18,7.44
42.60,7.43
43.03,7.42
43.46,7.40
43.90,7.40
44.33,7.39
44.78,7.38
45.23,7.37
45.68,7.36
46.13,7.35
46.60,7.34
47.06,7.33
47.53,7.31
48.01,7.30
48.49,7.29
48.97,7.27
49.46,7.26
49.96,7.24
50.46,7.23
50.96,7.22
51.47,7.21
51.99,7.20
52.51,7.19
53.03,7.17
53.56,7.16
54.10,7.14
54.64,7.12
55.18,7.11
55.74,7.10
56.29,7.08
56.86,7.06
57.42,7.05
58.00,7.03
58.58,7.01
59.16,7.00
59.76,6.98
60.35,6.97
60.96,6.95
61.57,6.93
62.18,6.91
62.80,6.89
63.43,6.87
64.07,6.85
64.71,6.83
65.35,6.81
66.01,6.79
66.67,6.76
67.33,6.74
68.01,6.71
68.69,6.69
69.37,6.66
70.07,6.64
70.77,6.61
71.48,6.59
72.19,6.56
72.91,6.53
73.64,6.51
74.38,6.48
75.12,6.45
75.87,6.43
76.63,6.40
77.40,6.37
78.17,6.35
78.95,6.32
79.74,6.29
80.54,6.26
81.35,6.24
82.16,6.21
82.98,6.18
83.81,6.15
