frequency,raw
20.00,8.77
20.20,8.77
20.40,8.77
20.61,8.78
20.81,8.78
21.02,8.78
21.23,8.78
21.44,8.77
21.66,8.77
21.87,8.76
22.09,8.75
22.31,8.75
22.54,8.75
22.76,8.75
22.99,8.75
23.22,8.76
23.45,8.77
23.69,8.77
23.92,8.78
24.16,8.79
24.40,8.79
24.65,8.79
24.89,8.79
25.14,8.79
25.39,8.78
25.65,8.77
25.91,8.77
26.16,8.76
26.43,8.76
26.69,8.76
26.96,8.75
27.23,8.75
27.50,8.75
27.77,8.75
28.05,8.75
28.33,8.74
28.62,8.74
28.90,8.74
29.19,8.73
29.48,8.73
29.78,8.72
30.08,8.72
30.38,8.71
30.68,8.70
30.99,8.69
31.30,8.68
31.61,8.67
31.93,8.66
32.24,8.65
32.57,8.65
32.89,8.64
33.22,8.63
33.55,8.62
33.89,8.61
34.23,8.60
34.57,8.59
34.92,8.58
35.27,8.57
35.62,8.56
35.97,8.55
36.33,8.54
36.70,8.53
37.06,8.51
37.43,8.50
37.81,8.48
38.19,8.46
38.57,8.44
38.95,8.42
39.34,8.41
39.74,8.40
40.14,8.39
40.54,8.40
40.94,8.40
41.35,8.40
41.76,8.39
42.18,8.38
42.60,8.36
43.03,8.35
43.46,8.34
43.90,8.34
44.33,8.33
44.78,8.32
45.23,8.29
45.68,8.26
46.13,8.23
46.60,8.19
47.06,8.16
47.53,8.14
48.01,8.13
48.49,8.12
48.97,8.10
49.46,8.08
49.96,8.06
50.46,8.04
50.96,8.03
51.47,8.02
51.99,8.01
52.51,7.99
53.03,7.97
53.56,7.94
54.10,7.92
54.64,7.89
55.18,7.87
55.74,7.85
56.29,7.82
56.86,7.80
57.42,7.79
58.00,7.77
58.58,7.75
59.16,7.73
59.76,7.72
60.35,7.70
60.96,7.68
61.57,7.65
62.18,7.63
62.80,7.61
63.43,7.58
64.07,7.56
64.71,7.53
65.35,7.50
66.01,7.48
66.67,7.45
67.33,7.43
68.01,7.40
68.69,7.38
69.37,7.36
70.07,7.34
70.77,7.32
71.48,7.30
72.19,7.27
72.91,7.24
73.64,7.20
74.38,7.16
75.12,7.13
75.87,7.09
76.63,7.06
77.40,7.03
78.17,6.99
78.95,6.96
79.74,6.93
80.54,6.90
81.35,6.87
82.16,6.84
82.98,6.81
83.81,6.79
84.65,6.76
85.50,6.73
86.35,6.70
87.22,6.67
88.09,6.64
88.97,6.61
89.86,6.58
90.76,6.54
91.66,6.51
92.58,6.48
93.51,6.44
94.44,6.41
95.39,6.37
96.34,6.33
97.30,6.29
98.28,6.26
99.26,6.22
100.25,6.19
101.25,6.15
102.27,6.12
103.29,6.08
104.32,6.05
105.37,6.02
106.42,5.98
107.48,5.94
108.56,5.91
109.64,5.87
110.74,5.83
111.85,5.79
112.97,5.75
114.10,5.71
115.24,5.66
116.39,5.62
117.55,5.58
118.73,5.55
119.92,5.51
121.12,5.47
122.33,5.42
123.55,5.38
124.79,5.34
126.03,5.30
127.29,5.26
128.57,5.22
129.85,5.18
131.15,5.13
132.46,5.09
133.79,5.05
135.12,5.00
136.48,4.96
137.84,4.92
139.22,4.87
140.61,4.83
142.02,4.78
143.44,4.74
144.87,4.69
146.32,4.64
147.78,4.60
149.26,4.55
150.75,4.51
152.26,4.46
153.78,4.41
155.32,4.37
156.88,4.32
158.44,4.28
160.03,4.23
161.63,4.19
163.24,4.14
164.88,4.10
166.53,4.06
168.19,4.01
169.87,3.97
171.57,3.92
173.29,3.87
175.02,3.83
176.77,3.78
178.54,3.74
180.32,3.70
182.13,3.65
183.95,3.61
185.79,3.56
187.65,3.52
189.52,3.47
191.42,3.43
193.33,3.39
195.27,3.34
197.22,3.30
199.19,3.25
201.18,3.20
203.19,3.15
205.23,3.11
207.28,3.06
209.35,3.01
211.44,2.96
213.56,2.92
215.69,2.87
217.85,2.82
220.03,2.77
222.23,2.72
224.45,2.68
226.70,2.63
228.96,2.58
231.25,2.54
233.57,2.49
235.90,2.44
238.26,2.39
240.64,2.33
243.05,2.28
245.48,2.23
247.93,2.18
250.41,2.13
252.92,2.09
255.45,2.04
258.00,2.00
260.58,1.95
263.19,1.91
265.82,1.86
268.48,1.81
271.16,1.76
273.87,1.72
276.61,1.67
279.38,1.62
282.17,1.57
284.99,1.53
287.84,1.48
290.72,1.43
293.63,1.38
296.57,1.34
299.53,1.29
302.53,1.24
305.55,1.19
308.61,1.15
311.69,1.10
314.81,1.06
317.96,1.01
321.14,0.97
324.35,0.93
327.59,0.89
330.87,0.85
334.18,0.81
337.52,0.77
340.90,0.73
344.30,0.69
347.75,0.64
351.23,0.60
354.74,0.56
358.28,0.52
361.87,0.48
365.49,0.44
369.14,0.40
372.83,0.36
376.56,0.32
380.33,0.28
384.13,0.24
387.97,0.20
391.85,0.16
395.77,0.12
399.73,0.09
403.72,0.05
407.76,0.02
411.84,-0.02
415.96,-0.06
420.12,-0.09
424.32,-0.13
428.56,-0.16
432.85,-0.20
437.18,-0.23
441.55,-0.27
445.96,-0.30
450.42,-0.33
454.93,-0.36
459.48,-0.40
464.07,-0.43
468.71,-0.46
473.40,-0.49
478.13,-0.52
482.91,-0.56
487.74,-0.59
492.62,-0.62
497.55,-0.65
502.52,-0.68
507.55,-0.70
512.62,-0.73
517.75,-0.76
522.93,-0.78
528.16,-0.81
533.44,-0.83
538.77,-0.86
544.16,-0.88
549.60,-0.90
555.10,-0.92
560.65,-0.95
566.25,-0.97
571.92,-0.99
577.64,-1.01
583.41,-1.03
589.25,-1.05
595.14,-1.06
601.09,-1.08
607.10,-1.09
613.17,-1.11
619.30,-1.12
625.50,-1.14
631.75,-1.15
638.07,-1.17
644.45,-1.18
650.89,-1.19
657.40,-1.20
663.98,-1.21
670.62,-1.21
677.32,-1.21
684.10,-1.21
690.94,-1.22
697.85,-1.22
704.83,-1.22
711.87,-1.22
718.99,-1.21
726.18,-1.21
733.44,-1.20
740.78,-1.20
748.19,-1.19
755.67,-1.17
763.23,-1.16
770.86,-1.15
778.57,-1.13
786.35,-1.11
794.22,-1.09
802.16,-1.07
810.18,-1.05
818.28,-1.03
826.46,-1.00
834.73,-0.98
843.08,-0.94
851.51,-0.91
860.02,-0.87
868.62,-0.83
877.31,-0.79
886.08,-0.74
894.94,-0.69
903.89,-0.64
912.93,-0.59
922.06,-0.54
931.28,-0.48
940.59,-0.42
950.00,-0.36
959.50,-0.29
969.09,-0.22
978.78,-0.15
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.14
1028.71,0.21
1039.00,0.29
1049.39,0.36
1059.88,0.44
1070.48,0.51
1081.19,0.59
1092.00,0.67
1102.92,0.75
1113.95,0.83
1125.09,0.91
1136.34,0.99
1147.70,1.06
1159.18,1.14
1170.77,1.22
1182.48,1.30
1194.30,1.38
1206.25,1.46
1218.31,1.54
1230.49,1.62
1242.80,1.70
1255.22,1.79
1267.78,1.88
1280.45,1.97
1293.26,2.06
1306.19,2.15
1319.25,2.25
1332.45,2.34
1345.77,2.43
1359.23,2.52
1372.82,2.62
1386.55,2.71
1400.41,2.80
1414.42,2.90
1428.56,3.00
1442.85,3.09
1457.28,3.19
1471.85,3.29
1486.57,3.39
1501.43,3.49
1516.45,3.59
1531.61,3.70
1546.93,3.81
1562.40,3.92
1578.02,4.03
1593.80,4.15
1609.74,4.27
1625.84,4.39
1642.10,4.51
1658.52,4.64
1675.10,4.77
1691.85,4.90
1708.77,5.03
1725.86,5.17
1743.12,5.30
1760.55,5.44
1778.15,5.57
1795.94,5.71
1813.90,5.84
1832.03,5.98
1850.36,6.11
1868.86,6.24
1887.55,6.38
1906.42,6.51
1925.49,6.63
1944.74,6.76
1964.19,6.87
1983.83,6.99
2003.67,7.10
2023.71,7.20
2043.94,7.29
2064.38,7.38
2085.03,7.46
2105.88,7.53
2126.94,7.60
2148.20,7.66
2169.69,7.71
2191.38,7.75
2213.30,7.79
2235.43,7.81
2257.78,7.83
2280.36,7.85
2303.17,7.85
2326.20,7.85
2349.46,7.84
2372.95,7.83
2396.68,7.82
2420.65,7.80
2444.86,7.78
2469.31,7.76
2494.00,7.74
2518.94,7.72
2544.13,7.70
2569.57,7.69
2595.27,7.68
