frequency,raw
20.00,7.62
20.20,7.63
20.40,7.64
20.61,7.65
20.81,7.66
21.02,7.68
21.23,7.69
21.44,7.70
21.66,7.72
21.87,7.73
22.09,7.74
22.31,7.75
22.54,7.77
22.76,7.78
22.99,7.79
23.22,7.80
23.45,7.81
23.69,7.82
23.92,7.83
24.16,7.84
24.40,7.85
24.65,7.86
24.89,7.87
25.14,7.87
25.39,7.88
25.65,7.89
25.91,7.89
26.16,7.90
26.43,7.90
26.69,7.91
26.96,7.91
27.23,7.92
27.50,7.92
27.77,7.93
28.05,7.93
28.33,7.93
28.62,7.93
28.90,7.93
29.19,7.94
29.48,7.94
29.78,7.93
30.08,7.93
30.38,7.93
30.68,7.93
30.99,7.93
31.30,7.92
31.61,7.92
31.93,7.91
32.24,7.91
32.57,7.90
32.89,7.90
33.22,7.89
33.55,7.89
33.89,7.88
34.23,7.87
34.57,7.87
34.92,7.86
35.27,7.85
35.62,7.84
35.97,7.83
36.33,7.82
36.70,7.81
37.06,7.80
37.43,7.79
37.81,7.78
38.19,7.77
38.57,7.76
38.95,7.75
39.34,7.73
39.74,7.72
40.14,7.71
40.54,7.69
40.94,7.68
41.35,7.66
41.76,7.64
42.18,7.63
42.60,7.61
43.03,7.59
43.46,7.57
43.90,7.55
44.33,7.53
44.78,7.51
45.23,7.49
45.68,7.47
46.13,7.45
46.60,7.43
47.06,7.41
47.53,7.38
48.01,7.36
48.49,7.34
48.97,7.31
49.46,7.29
49.96,7.27
50.46,7.24
50.96,7.22
51.47,7.20
51.99,7.18
52.51,7.15
53.03,7.13
53.56,7.11
54.10,7.08
54.64,7.06
55.18,7.03
55.74,7.01
56.29,6.98
56.86,6.95
57.42,6.93
58.00,6.90
58.58,6.87
59.16,6.84
59.76,6.82
60.35,6.79
60.96,6.76
61.57,6.73
62.18,6.70
62.80,6.67
63.43,6.64
64.07,6.60
64.71,6.57
65.35,6.54
66.01,6.50
66.67,6.47
67.33,6.43
68.01,6.40
68.69,6.36
69.37,6.33
70.07,6.29
70.77,6.25
71.48,6.22
72.19,6.18
72.91,6.14
73.64,6.10
74.38,6.06
75.12,6.02
75.87,5.99
76.63,5.95
77.40,5.91
78.17,5.87
78.95,5.83
79.74,5.79
80.54,5.75
81.35,5.71
82.16,5.67
82.98,5.63
83.81,5.59
84.65,5.55
85.50,5.51
86.35,5.47
87.22,5.43
88.09,5.39
88.97,5.34
89.86,5.30
90.76,5.26
91.66,5.22
92.58,5.18
93.51,5.13
94.44,5.09
95.39,5.05
96.34,5.01
97.30,4.96
98.28,4.92
99.26,4.87
100.25,4.83
101.25,4.78
102.27,4.74
103.29,4.69
104.32,4.65
105.37,4.60
106.42,4.55
107.48,4.51
108.56,4.46
109.64,4.41
110.74,4.37
111.85,4.32
112.97,4.28
114.10,4.23
115.24,4.18
116.39,4.13
117.55,4.09
118.73,4.04
119.92,3.99
121.12,3.94
122.33,3.89
123.55,3.85
124.79,3.80
126.03,3.75
127.29,3.70
128.57,3.65
129.85,3.60
131.15,3.55
132.46,3.50
133.79,3.45
135.12,3.40
136.48,3.35
137.84,3.30
139.22,3.25
140.61,3.20
142.02,3.15
143.44,3.10
144.87,3.05
146.32,3.00
147.78,2.95
149.26,2.90
150.75,2.85
152.26,2.80
153.78,2.75
155.32,2.70
156.88,2.65
158.44,2.60
160.03,2.55
161.63,2.50
163.24,2.45
164.88,2.40
166.53,2.36
168.19,2.31
169.87,2.26
171.57,2.22
173.29,2.17
175.02,2.12
176.77,2.08
178.54,2.03
180.32,1.98
182.13,1.94
183.95,1.89
185.79,1.85
187.65,1.80
189.52,1.75
191.42,1.71
193.33,1.66
195.27,1.62
197.22,1.57
199.19,1.52
201.18,1.48
203.19,1.43
205.23,1.38
207.28,1.34
209.35,1.29
211.44,1.24
213.56,1.19
215.69,1.15
217.85,1.10
220.03,1.05
222.23,1.01
224.45,0.96
226.70,0.92
228.96,0.87
231.25,0.82
233.57,0.78
235.90,0.73
238.26,0.69
240.64,0.64
243.05,0.60
245.48,0.56
247.93,0.51
250.41,0.47
252.92,0.43
255.45,0.38
258.00,0.34
260.58,0.30
263.19,0.26
265.82,0.21
268.48,0.17
271.16,0.13
273.87,0.09
276.61,0.05
279.38,0.01
282.17,-0.03
284.99,-0.07
287.84,-0.11
290.72,-0.15
293.63,-0.19
296.57,-0.22
299.53,-0.26
302.53,-0.30
305.55,-0.34
308.61,-0.37
311.69,-0.41
314.81,-0.44
317.96,-0.48
321.14,-0.51
324.35,-0.55
327.59,-0.58
330.87,-0.61
334.18,-0.65
337.52,-0.68
340.90,-0.71
344.30,-0.74
347.75,-0.77
351.23,-0.80
354.74,-0.83
358.28,-0.86
361.87,-0.89
365.49,-0.92
369.14,-0.95
372.83,-0.98
376.56,-1.01
380.33,-1.03
384.13,-1.06
387.97,-1.09
391.85,-1.11
395.77,-1.14
399.73,-1.16
403.72,-1.19
407.76,-1.21
411.84,-1.23
415.96,-1.26
420.12,-1.28
424.32,-1.30
428.56,-1.32
432.85,-1.34
437.18,-1.37
441.55,-1.39
445.96,-1.41
450.42,-1.42
454.93,-1.44
459.48,-1.46
464.07,-1.48
468.71,-1.49
473.40,-1.51
478.13,-1.53
482.91,-1.54
487.74,-1.56
492.62,-1.57
497.55,-1.59
502.52,-1.60
507.55,-1.61
512.62,-1.62
517.75,-1.63
522.93,-1.64
528.16,-1.65
533.44,-1.66
538.77,-1.67
544.16,-1.68
549.60,-1.68
555.10,-1.69
560.65,-1.69
566.25,-1.70
571.92,-1.70
577.64,-1.70
583.41,-1.71
589.25,-1.71
595.14,-1.71
601.09,-1.71
607.10,-1.71
613.17,-1.71
619.30,-1.71
625.50,-1.70
631.75,-1.70
638.07,-1.69
644.45,-1.69
650.89,-1.68
657.40,-1.67
663.98,-1.66
670.62,-1.65
677.32,-1.63
684.10,-1.62
690.94,-1.60
697.85,-1.59
704.83,-1.57
711.87,-1.55
718.99,-1.53
726.18,-1.51
733.44,-1.49
740.78,-1.47
748.19,-1.44
755.67,-1.41
763.23,-1.38
770.86,-1.35
778.57,-1.32
786.35,-1.29
794.22,-1.26
802.16,-1.22
810.18,-1.19
818.28,-1.15
826.46,-1.11
834.73,-1.07
843.08,-1.03
851.51,-0.98
860.02,-0.94
868.62,-0.89
877.31,-0.84
886.08,-0.79
894.94,-0.74
903.89,-0.68
912.93,-0.63
922.06,-0.57
931.28,-0.50
940.59,-0.44
950.00,-0.38
959.50,-0.31
969.09,-0.24
978.78,-0.16
988.57,-0.09
998.46,-0.01
1008.44,0.06
1018.53,0.14
1028.71,0.22
1039.00,0.30
1049.39,0.38
1059.88,0.47
1070.48,0.55
1081.19,0.64
1092.00,0.73
1102.92,0.82
1113.95,0.91
1125.09,1.01
1136.34,1.10
1147.70,1.20
1159.18,1.29
1170.77,1.39
1182.48,1.49
1194.30,1.59
1206.25,1.69
1218.31,1.80
1230.49,1.91
1242.80,2.02
1255.22,2.13
1267.78,2.26
1280.45,2.38
1293.26,2.52
1306.19,2.65
1319.25,2.79
1332.45,2.94
1345.77,3.09
1359.23,3.24
1372.82,3.39
1386.55,3.54
1400.41,3.69
1414.42,3.83
1428.56,3.97
1442.85,4.09
1457.28,4.20
1471.85,4.30
1486.57,4.39
1501.43,4.47
1516.45,4.54
1531.61,4.60
1546.93,4.66
1562.40,4.71
1578.02,4.75
1593.80,4.79
1609.74,4.82
1625.84,4.85
1642.10,4.88
1658.52,4.90
1675.10,4.92
1691.85,4.95
1708.77,4.97
1725.86,4.99
1743.12,5.01
1760.55,5.03
1778.15,5.05
1795.94,5.06
1813.90,5.07
1832.03,5.07
1850.36,5.07
1868.86,5.06
1887.55,5.05
1906.42,5.03
1925.49,5.01
1944.74,4.98
1964.19,4.96
1983.83,4.94
2003.67,4.93
2023.71,4.91
2043.94,4.89
2064.38,4.88
2085.03,4.87
2105.88,4.86
2126.94,4.85
2148.20,4.84
2169.69,4.82
2191.38,4.81
2213.30,4.80
2235.43,4.78
2257.78,4.77
2280.36,4.75
2303.17,4.74
2326.20,4.72
2349.46,4.70
2372.95,4.68
2396.68,4.67
2420.65,4.65
2444.86,4.64
2469.31,4.62
2494.00,4.62
2518.94,4.61
2544.13,4.61
2569.57,4.61
2595.27,4.61
2621.22,4.62
2647.43,4.62
2673.90,4.63
2700.64,4.64
2727.65,4.65
2754.93,4.66
2782.48,4.66
2810.30,4.66
2838.40,4.65
2866.79,4.63
2895.46,4.61
2924.41,4.55
2953.65,4.49
2983.19,4.39
3013.02,4.27
3043.15,4.12
3073.58,3.94
3104.32,3.73
3135.36,3.49
3166.72,3.23
3198.38,2.96
3230.37,2.69
3262.67,2.42
3295.30,2.16
3328.25,1.94
3361.53,1.74
3395.15,1.57
3429.10,1.46
3463.39,1.39
3498.03,1.35
3533.01,1.36
3568.34,1.40
3604.02,1.46
3640.06,1.55
3676.46,1.65
3713.22,1.77
3750.36,1.90
3787.86,2.04
3825.74,2.18
3864.00,2.32
3902.64,2.47
3941.66,2.61
3981.08,2.74
4020.89,2.86
4061.10,2.97
4101.71,3.08
4142.73,3.17
4184.15,3.25
4226.00,3.31
4268.26,3.37
4310.94,3.41
4354.05,3.43
4397.59,3.43
4441.56,3.41
4485.98,3.37
4530.84,3.31
4576.15,3.23
4621.91,3.14
4668.13,3.02
4714.81,2.89
4761.96,2.75
4809.58,2.59
4857.67,2.43
4906.25,2.25
4955.31,2.08
5004.87,1.90
5054.91,1.71
5105.46,1.52
5156.52,1.33
5208.08,1.15
5260.16,0.97
5312.77,0.79
5365.89,0.63
5419.55,0.47
5473.75,0.32
5528.49,0.18
5583.77,0.05
5639.61,-0.06
