frequency,raw
20.00,18.33
20.20,18.31
20.40,18.29
20.61,18.27
20.81,18.25
21.02,18.22
21.23,18.19
21.44,18.16
21.66,18.13
21.87,18.10
22.09,18.07
22.31,18.03
22.54,18.00
22.76,17.96
22.99,17.93
23.22,17.90
23.45,17.87
23.69,17.83
23.92,17.80
24.16,17.77
24.40,17.73
24.65,17.70
24.89,17.67
25.14,17.63
25.39,17.59
25.65,17.55
25.91,17.52
26.16,17.48
26.43,17.44
26.69,17.40
26.96,17.36
27.23,17.32
27.50,17.28
27.77,17.23
28.05,17.19
28.33,17.15
28.62,17.10
28.90,17.06
29.19,17.01
29.48,16.96
29.78,16.91
30.08,16.86
30.38,16.81
30.68,16.76
30.99,16.71
31.30,16.66
31.61,16.61
31.93,16.56
32.24,16.51
32.57,16.46
32.89,16.41
33.22,16.35
33.55,16.30
33.89,16.24
34.23,16.18
34.57,16.11
34.92,16.05
35.27,15.99
35.62,15.93
35.97,15.87
36.33,15.81
36.70,15.75
37.06,15.68
37.43,15.62
37.81,15.56
38.19,15.49
38.57,15.43
38.95,15.36
39.34,15.30
39.74,15.23
40.14,15.16
40.54,15.10
40.94,15.03
41.35,14.95
41.76,14.88
42.18,14.81
42.60,14.74
43.03,14.66
43.46,14.59
43.90,14.51
44.33,14.44
44.78,14.36
45.23,14.28
45.68,14.20
46.13,14.13
46.60,14.05
47.06,13.97
47.53,13.89
48.01,13.81
48.49,13.73
48.97,13.65
49.46,13.57
49.96,13.49
50.46,13.41
50.96,13.33
51.47,13.25
51.99,13.17
52.51,13.08
53.03,13.00
53.56,12.91
54.10,12.83
54.64,12.74
55.18,12.66
55.74,12.57
56.29,12.49
56.86,12.41
57.42,12.33
58.00,12.24
58.58,12.16
59.16,12.07
59.76,11.98
60.35,11.90
60.96,11.81
61.57,11.72
62.18,11.63
62.80,11.54
63.43,11.45
64.07,11.35
64.71,11.26
65.35,11.17
66.01,11.07
66.67,10.98
67.33,10.88
68.01,10.79
68.69,10.69
69.37,10.60
70.07,10.50
70.77,10.41
71.48,10.31
72.19,10.22
72.91,10.12
73.64,10.03
74.38,9.93
75.12,9.84
75.87,9.74
76.63,9.65
77.40,9.55
78.17,9.45
78.95,9.36
79.74,9.26
80.54,9.17
81.35,9.07
82.16,8.98
82.98,8.88
83.81,8.79
84.65,8.69
85.50,8.60
86.35,8.50
87.22,8.40
88.09,8.31
88.97,8.21
89.86,8.12
90.76,8.03
91.66,7.94
92.58,7.85
93.51,7.75
94.44,7.66
95.39,7.57
96.34,7.47
97.30,7.38
98.28,7.28
99.26,7.19
100.25,7.10
101.25,7.00
102.27,6.91
103.29,6.82
104.32,6.72
105.37,6.63
106.42,6.54
107.48,6.45
108.56,6.36
109.64,6.27
110.74,6.17
111.85,6.08
112.97,6.00
114.10,5.91
115.24,5.82
116.39,5.74
117.55,5.65
118.73,5.57
119.92,5.48
121.12,5.39
122.33,5.30
123.55,5.21
124.79,5.12
126.03,5.04
127.29,4.95
128.57,4.87
129.85,4.78
131.15,4.70
132.46,4.61
133.79,4.53
135.12,4.45
136.48,4.37
137.84,4.29
139.22,4.21
140.61,4.13
142.02,4.05
143.44,3.97
144.87,3.90
146.32,3.82
147.78,3.74
149.26,3.66
150.75,3.58
152.26,3.51
153.78,3.43
155.32,3.36
156.88,3.28
158.44,3.21
160.03,3.14
161.63,3.07
163.24,3.00
164.88,2.94
166.53,2.87
168.19,2.81
169.87,2.74
171.57,2.68
173.29,2.61
175.02,2.55
176.77,2.48
178.54,2.42
180.32,2.36
182.13,2.30
183.95,2.23
185.79,2.17
187.65,2.11
189.52,2.05
191.42,1.99
193.33,1.94
195.27,1.88
197.22,1.82
199.19,1.77
201.18,1.71
203.19,1.65
205.23,1.59
207.28,1.53
209.35,1.48
211.44,1.43
213.56,1.37
215.69,1.32
217.85,1.27
220.03,1.22
222.23,1.16
224.45,1.11
226.70,1.06
228.96,1.01
231.25,0.96
233.57,0.91
235.90,0.85
238.26,0.80
240.64,0.76
243.05,0.71
245.48,0.66
247.93,0.62
250.41,0.57
252.92,0.53
255.45,0.48
258.00,0.44
260.58,0.40
263.19,0.35
265.82,0.31
268.48,0.27
271.16,0.23
273.87,0.20
276.61,0.16
279.38,0.12
282.17,0.08
284.99,0.04
287.84,-0.00
290.72,-0.04
293.63,-0.08
296.57,-0.12
299.53,-0.15
302.53,-0.19
305.55,-0.22
308.61,-0.26
311.69,-0.29
314.81,-0.32
317.96,-0.35
321.14,-0.38
324.35,-0.41
327.59,-0.44
330.87,-0.47
334.18,-0.51
337.52,-0.54
340.90,-0.57
344.30,-0.60
347.75,-0.63
351.23,-0.66
354.74,-0.68
358.28,-0.71
361.87,-0.73
365.49,-0.76
369.14,-0.78
372.83,-0.80
376.56,-0.82
380.33,-0.85
384.13,-0.87
387.97,-0.89
391.85,-0.92
395.77,-0.94
399.73,-0.96
403.72,-0.99
407.76,-1.01
411.84,-1.03
415.96,-1.05
420.12,-1.07
424.32,-1.09
428.56,-1.11
432.85,-1.13
437.18,-1.15
441.55,-1.17
445.96,-1.18
450.42,-1.20
454.93,-1.22
459.48,-1.24
464.07,-1.25
468.71,-1.27
473.40,-1.28
478.13,-1.30
482.91,-1.31
487.74,-1.32
492.62,-1.33
497.55,-1.34
502.52,-1.36
507.55,-1.37
512.62,-1.38
517.75,-1.39
522.93,-1.40
528.16,-1.41
533.44,-1.42
538.77,-1.42
544.16,-1.43
549.60,-1.44
555.10,-1.45
560.65,-1.46
566.25,-1.46
571.92,-1.47
577.64,-1.47
583.41,-1.47
589.25,-1.48
595.14,-1.48
601.09,-1.48
607.10,-1.48
613.17,-1.48
619.30,-1.48
625.50,-1.48
631.75,-1.47
638.07,-1.47
644.45,-1.47
650.89,-1.46
657.40,-1.46
663.98,-1.45
670.62,-1.45
677.32,-1.44
684.10,-1.43
690.94,-1.42
697.85,-1.41
704.83,-1.40
711.87,-1.39
718.99,-1.37
726.18,-1.36
733.44,-1.34
740.78,-1.32
748.19,-1.31
755.67,-1.29
763.23,-1.27
770.86,-1.24
778.57,-1.22
786.35,-1.19
794.22,-1.17
802.16,-1.14
810.18,-1.11
818.28,-1.08
826.46,-1.05
834.73,-1.02
843.08,-0.98
851.51,-0.95
860.02,-0.91
868.62,-0.87
877.31,-0.83
886.08,-0.78
894.94,-0.73
903.89,-0.68
912.93,-0.63
922.06,-0.57
931.28,-0.51
940.59,-0.44
950.00,-0.38
959.50,-0.31
969.09,-0.24
978.78,-0.16
988.57,-0.09
998.46,-0.01
1008.44,0.06
1018.53,0.13
1028.71,0.20
1039.00,0.27
1049.39,0.35
1059.88,0.43
1070.48,0.51
1081.19,0.59
1092.00,0.67
1102.92,0.75
1113.95,0.83
1125.09,0.91
1136.34,0.99
1147.70,1.07
1159.18,1.15
1170.77,1.23
1182.48,1.31
1194.30,1.38
1206.25,1.45
1218.31,1.53
1230.49,1.60
1242.80,1.67
1255.22,1.74
1267.78,1.81
1280.45,1.87
1293.26,1.94
1306.19,2.01
1319.25,2.07
1332.45,2.13
1345.77,2.19
1359.23,2.25
1372.82,2.31
1386.55,2.37
1400.41,2.42
1414.42,2.48
1428.56,2.53
1442.85,2.58
1457.28,2.64
1471.85,2.69
1486.57,2.75
1501.43,2.80
1516.45,2.85
1531.61,2.91
1546.93,2.96
1562.40,3.01
1578.02,3.07
1593.80,3.13
1609.74,3.19
1625.84,3.25
1642.10,3.32
1658.52,3.39
1675.10,3.45
1691.85,3.52
1708.77,3.59
1725.86,3.66
1743.12,3.73
1760.55,3.81
1778.15,3.88
1795.94,3.96
1813.90,4.04
1832.03,4.12
1850.36,4.19
1868.86,4.28
1887.55,4.36
1906.42,4.44
1925.49,4.52
1944.74,4.60
1964.19,4.69
1983.83,4.78
2003.67,4.86
2023.71,4.95
2043.94,5.04
2064.38,5.13
2085.03,5.21
2105.88,5.30
2126.94,5.39
2148.20,5.48
2169.69,5.57
2191.38,5.67
2213.30,5.76
2235.43,5.85
2257.78,5.94
2280.36,6.03
2303.17,6.11
2326.20,6.20
2349.46,6.29
2372.95,6.37
2396.68,6.46
2420.65,6.55
2444.86,6.63
2469.31,6.71
2494.00,6.80
2518.94,6.88
2544.13,6.96
2569.57,7.04
2595.27,7.11
2621.22,7.19
2647.43,7.26
2673.90,7.32
2700.64,7.38
2727.65,7.43
2754.93,7.48
2782.48,7.53
2810.30,7.57
2838.40,7.60
2866.79,7.63
2895.46,7.65
2924.41,7.66
2953.65,7.67
2983.19,7.67
3013.02,7.67
3043.15,7.66
3073.58,7.64
3104.32,7.62
3135.36,7.59
3166.72,7.55
3198.38,7.51
3230.37,7.46
3262.67,7.41
3295.30,7.35
3328.25,7.28
3361.53,7.20
3395.15,7.12
3429.10,7.02
3463.39,6.92
3498.03,6.81
3533.01,6.69
3568.34,6.57
3604.02,6.43
3640.06,6.28
3676.46,6.12
3713.22,5.94
3750.36,5.76
3787.86,5.55
3825.74,5.33
3864.00,5.10
3902.64,4.84
3941.66,4.58
3981.08,4.30
