frequency,raw
20.00,8.33
20.20,8.32
20.40,8.30
20.61,8.29
20.81,8.27
21.02,8.25
21.23,8.24
21.44,8.22
21.66,8.20
21.87,8.18
22.09,8.16
22.31,8.14
22.54,8.11
22.76,8.09
22.99,8.07
23.22,8.06
23.45,8.05
23.69,8.04
23.92,8.03
24.16,8.01
24.40,7.99
24.65,7.96
24.89,7.93
25.14,7.90
25.39,7.87
25.65,7.84
25.91,7.82
26.16,7.80
26.43,7.79
26.69,7.77
26.96,7.76
27.23,7.74
27.50,7.71
27.77,7.68
28.05,7.65
28.33,7.62
28.62,7.60
28.90,7.57
29.19,7.55
29.48,7.52
29.78,7.50
30.08,7.47
30.38,7.45
30.68,7.42
30.99,7.39
31.30,7.36
31.61,7.33
31.93,7.30
32.24,7.27
32.57,7.24
32.89,7.22
33.22,7.19
33.55,7.17
33.89,7.14
34.23,7.11
34.57,7.08
34.92,7.05
35.27,7.02
35.62,6.98
35.97,6.95
36.33,6.92
36.70,6.89
37.06,6.86
37.43,6.83
37.81,6.81
38.19,6.78
38.57,6.76
38.95,6.73
39.34,6.70
39.74,6.66
40.14,6.63
40.54,6.59
40.94,6.55
41.35,6.52
41.76,6.48
42.18,6.45
42.60,6.42
43.03,6.39
43.46,6.36
43.90,6.33
44.33,6.30
44.78,6.27
45.23,6.24
45.68,6.20
46.13,6.17
46.60,6.13
47.06,6.10
47.53,6.06
48.01,6.03
48.49,6.00
48.97,5.97
49.46,5.94
49.96,5.91
50.46,5.88
50.96,5.85
51.47,5.82
51.99,5.79
52.51,5.76
53.03,5.73
53.56,5.70
54.10,5.67
54.64,5.64
55.18,5.61
55.74,5.58
56.29,5.56
56.86,5.53
57.42,5.50
58.00,5.47
58.58,5.43
59.16,5.40
59.76,5.37
60.35,5.34
60.96,5.31
61.57,5.28
62.18,5.26
62.80,5.23
63.43,5.20
64.07,5.17
64.71,5.14
65.35,5.11
66.01,5.08
66.67,5.05
67.33,5.02
68.01,4.99
68.69,4.96
69.37,4.93
70.07,4.90
70.77,4.87
71.48,4.84
72.19,4.81
72.91,4.78
73.64,4.75
74.38,4.72
75.12,4.70
75.87,4.67
76.63,4.64
77.40,4.61
78.17,4.58
78.95,4.55
79.74,4.53
80.54,4.50
81.35,4.48
82.16,4.45
82.98,4.43
83.81,4.41
84.65,4.38
85.50,4.35
86.35,4.33
87.22,4.31
88.09,4.28
88.97,4.26
89.86,4.24
90.76,4.21
91.66,4.19
92.58,4.16
93.51,4.14
94.44,4.12
95.39,4.10
96.34,4.08
97.30,4.06
98.28,4.03
99.26,4.01
100.25,3.99
101.25,3.96
102.27,3.94
103.29,3.92
104.32,3.90
105.37,3.88
106.42,3.86
107.48,3.84
108.56,3.82
