frequency,raw
20.00,3.91
20.20,3.92
20.40,3.92
20.61,3.92
20.81,3.92
21.02,3.93
21.23,3.93
21.44,3.93
21.66,3.94
21.87,3.94
22.09,3.94
22.31,3.94
22.54,3.95
22.76,3.95
22.99,3.95
23.22,3.95
23.45,3.96
23.69,3.96
23.92,3.96
24.16,3.96
24.40,3.97
24.65,3.97
24.89,3.97
25.14,3.97
25.39,3.98
25.65,3.98
25.91,3.98
26.16,3.98
26.43,3.99
26.69,3.99
26.96,3.99
27.23,4.00
27.50,4.00
27.77,4.00
28.05,4.00
28.33,4.01
28.62,4.01
28.90,4.01
29.19,4.01
29.48,4.02
29.78,4.02
30.08,4.02
30.38,4.02
30.68,4.02
30.99,4.02
31.30,4.02
31.61,4.02
31.93,4.02
32.24,4.02
32.57,4.02
32.89,4.02
33.22,4.02
33.55,4.02
33.89,4.02
34.23,4.02
34.57,4.02
34.92,4.02
35.27,4.02
35.62,4.02
35.97,4.02
36.33,4.02
36.70,4.03
37.06,4.03
37.43,4.03
37.81,4.03
38.19,4.03
38.57,4.03
38.95,4.02
39.34,4.02
39.74,4.02
40.14,4.02
40.54,4.02
40.94,4.02
41.35,4.02
41.76,4.02
42.18,4.02
42.60,4.02
43.03,4.01
43.46,4.01
43.90,4.00
44.33,3.99
44.78,3.99
45.23,3.99
45.68,3.99
46.13,3.98
46.60,3.98
47.06,3.98
47.53,3.98
48.01,3.97
48.49,3.97
48.97,3.96
49.46,3.96
49.96,3.96
50.46,3.95
50.96,3.95
51.47,3.95
51.99,3.95
52.51,3.95
53.03,3.95
53.56,3.95
54.10,3.94
54.64,3.94
55.18,3.94
55.74,3.94
56.29,3.93
56.86,3.93
57.42,3.93
58.00,3.93
58.58,3.93
59.16,3.92
59.76,3.92
60.35,3.92
60.96,3.92
61.57,3.91
62.18,3.91
62.80,3.90
63.43,3.90
64.07,3.89
64.71,3.89
65.35,3.88
66.01,3.87
66.67,3.87
67.33,3.86
68.01,3.85
68.69,3.84
69.37,3.84
70.07,3.83
70.77,3.82
71.48,3.81
72.19,3.81
72.91,3.80
73.64,3.79
74.38,3.78
75.12,3.78
75.87,3.76
76.63,3.75
77.40,3.74
78.17,3.74
78.95,3.73
79.74,3.72
80.54,3.71
81.35,3.71
82.16,3.70
82.98,3.69
83.81,3.68
84.65,3.67
85.50,3.66
86.35,3.65
87.22,3.64
88.09,3.63
88.97,3.62
89.86,3.61
90.76,3.60
91.66,3.59
92.58,3.58
93.51,3.57
94.44,3.56
95.39,3.55
96.34,3.54
97.30,3.52
98.28,3.51
99.26,3.50
100.25,3.49
101.25,3.48
102.27,3.46
103.29,3.45
104.32,3.44
105.37,3.42
106.42,3.41
107.48,3.39
108.56,3.38
109.64,3.36
110.74,3.35
111.85,3.33
112.97,3.32
114.10,3.30
115.24,3.29
116.39,3.27
117.55,3.25
118.73,3.24
119.92,3.22
121.12,3.20
122.33,3.19
123.55,3.17
124.79,3.15
126.03,3.13
127.29,3.11
128.57,3.09
129.85,3.07
131.15,3.05
132.46,3.03
133.79,3.01
135.12,2.99
136.48,2.97
137.84,2.95
139.22,2.93
140.61,2.90
142.02,2.88
143.44,2.86
144.87,2.83
146.32,2.81
147.78,2.79
149.26,2.76
150.75,2.74
152.26,2.71
153.78,2.69
155.32,2.67
156.88,2.64
158.44,2.62
160.03,2.59
161.63,2.57
163.24,2.54
164.88,2.52
166.53,2.50
168.19,2.47
169.87,2.45
171.57,2.43
173.29,2.40
175.02,2.38
176.77,2.35
178.54,2.33
180.32,2.30
182.13,2.28
183.95,2.25
185.79,2.23
187.65,2.20
189.52,2.17
191.42,2.15
193.33,2.12
195.27,2.09
197.22,2.06
199.19,2.04
201.18,2.01
203.19,1.98
205.23,1.94
207.28,1.91
209.35,1.88
211.44,1.85
213.56,1.82
215.69,1.78
217.85,1.75
220.03,1.72
222.23,1.68
224.45,1.65
226.70,1.62
228.96,1.58
231.25,1.55
233.57,1.51
235.90,1.48
238.26,1.45
240.64,1.41
243.05,1.38
245.48,1.34
247.93,1.30
250.41,1.27
252.92,1.23
255.45,1.20
258.00,1.16
260.58,1.12
263.19,1.09
265.82,1.05
268.48,1.02
271.16,0.98
273.87,0.94
276.61,0.91
279.38,0.87
282.17,0.83
284.99,0.79
287.84,0.76
290.72,0.72
293.63,0.68
296.57,0.64
299.53,0.61
302.53,0.57
305.55,0.53
308.61,0.49
311.69,0.46
314.81,0.42
317.96,0.38
321.14,0.34
324.35,0.31
327.59,0.27
330.87,0.23
334.18,0.20
337.52,0.16
340.90,0.12
344.30,0.09
347.75,0.05
351.23,0.01
354.74,-0.02
358.28,-0.06
361.87,-0.10
365.49,-0.13
369.14,-0.17
372.83,-0.21
376.56,-0.24
380.33,-0.28
384.13,-0.31
387.97,-0.35
391.85,-0.39
395.77,-0.42
399.73,-0.46
403.72,-0.49
407.76,-0.53
411.84,-0.57
415.96,-0.60
420.12,-0.63
424.32,-0.67
428.56,-0.70
432.85,-0.74
437.18,-0.77
441.55,-0.81
445.96,-0.84
450.42,-0.87
454.93,-0.91
459.48,-0.94
464.07,-0.97
468.71,-1.00
473.40,-1.03
478.13,-1.06
482.91,-1.09
487.74,-1.12
492.62,-1.16
497.55,-1.19
502.52,-1.22
507.55,-1.24
512.62,-1.27
517.75,-1.30
522.93,-1.33
528.16,-1.35
533.44,-1.38
538.77,-1.40
544.16,-1.43
549.60,-1.45
555.10,-1.47
560.65,-1.49
566.25,-1.52
571.92,-1.54
577.64,-1.56
583.41,-1.58
589.25,-1.59
595.14,-1.61
601.09,-1.63
607.10,-1.64
613.17,-1.66
619.30,-1.67
625.50,-1.69
631.75,-1.70
638.07,-1.71
644.45,-1.71
650.89,-1.72
657.40,-1.73
663.98,-1.73
670.62,-1.73
677.32,-1.73
684.10,-1.73
690.94,-1.73
697.85,-1.73
704.83,-1.72
711.87,-1.72
718.99,-1.71
726.18,-1.70
733.44,-1.69
740.78,-1.67
748.19,-1.66
755.67,-1.64
763.23,-1.62
770.86,-1.59
778.57,-1.57
786.35,-1.54
794.22,-1.51
802.16,-1.48
810.18,-1.45
818.28,-1.41
826.46,-1.37
834.73,-1.33
843.08,-1.29
851.51,-1.24
860.02,-1.19
868.62,-1.14
877.31,-1.08
886.08,-1.02
894.94,-0.95
903.89,-0.89
912.93,-0.82
922.06,-0.74
931.28,-0.66
940.59,-0.58
950.00,-0.49
959.50,-0.41
969.09,-0.31
978.78,-0.22
988.57,-0.12
998.46,-0.01
1008.44,0.08
1018.53,0.17
1028.71,0.27
1039.00,0.37
1049.39,0.47
1059.88,0.58
1070.48,0.68
1081.19,0.79
1092.00,0.90
1102.92,1.01
1113.95,1.12
1125.09,1.24
1136.34,1.35
1147.70,1.47
1159.18,1.59
1170.77,1.70
1182.48,1.82
1194.30,1.94
1206.25,2.06
1218.31,2.18
1230.49,2.30
1242.80,2.42
1255.22,2.54
1267.78,2.67
1280.45,2.79
1293.26,2.91
1306.19,3.03
1319.25,3.16
1332.45,3.27
1345.77,3.39
1359.23,3.51
1372.82,3.63
1386.55,3.74
1400.41,3.86
1414.42,3.97
1428.56,4.08
1442.85,4.19
1457.28,4.29
1471.85,4.40
1486.57,4.50
1501.43,4.60
1516.45,4.70
1531.61,4.80
1546.93,4.89
1562.40,4.98
1578.02,5.07
1593.80,5.15
1609.74,5.24
1625.84,5.33
1642.10,5.41
1658.52,5.49
1675.10,5.57
1691.85,5.64
1708.77,5.71
1725.86,5.78
1743.12,5.84
1760.55,5.90
1778.15,5.96
1795.94,6.01
1813.90,6.06
1832.03,6.11
1850.36,6.15
1868.86,6.19
1887.55,6.22
1906.42,6.25
1925.49,6.28
1944.74,6.31
1964.19,6.34
1983.83,6.36
2003.67,6.38
2023.71,6.39
2043.94,6.41
2064.38,6.42
2085.03,6.43
2105.88,6.44
2126.94,6.45
2148.20,6.46
2169.69,6.47
2191.38,6.48
2213.30,6.49
2235.43,6.50
2257.78,6.51
2280.36,6.52
2303.17,6.53
2326.20,6.54
2349.46,6.56
2372.95,6.57
2396.68,6.59
2420.65,6.61
2444.86,6.62
2469.31,6.64
2494.00,6.67
2518.94,6.69
2544.13,6.72
