frequency,raw
20.00,5.01
20.20,4.99
20.40,4.97
20.61,4.95
20.81,4.93
21.02,4.91
21.23,4.88
21.44,4.86
21.66,4.84
21.87,4.81
22.09,4.79
22.31,4.77
22.54,4.75
22.76,4.73
22.99,4.70
23.22,4.68
23.45,4.66
23.69,4.63
23.92,4.60
24.16,4.58
24.40,4.55
24.65,4.52
24.89,4.50
25.14,4.47
25.39,4.45
25.65,4.42
25.91,4.40
26.16,4.37
26.43,4.35
26.69,4.32
26.96,4.29
27.23,4.27
27.50,4.24
27.77,4.21
28.05,4.18
28.33,4.15
28.62,4.12
28.90,4.09
29.19,4.06
29.48,4.03
29.78,4.00
30.08,3.97
30.38,3.94
30.68,3.91
30.99,3.88
31.30,3.84
31.61,3.81
31.93,3.77
32.24,3.74
32.57,3.71
32.89,3.67
33.22,3.64
33.55,3.60
33.89,3.57
34.23,3.53
34.57,3.50
34.92,3.46
35.27,3.43
35.62,3.39
35.97,3.36
36.33,3.32
36.70,3.29
37.06,3.25
37.43,3.22
37.81,3.18
38.19,3.15
38.57,3.11
38.95,3.07
39.34,3.04
39.74,3.00
40.14,2.95
40.54,2.91
40.94,2.86
41.35,2.82
41.76,2.77
42.18,2.73
42.60,2.69
43.03,2.65
43.46,2.61
43.90,2.56
44.33,2.52
44.78,2.48
45.23,2.44
45.68,2.40
46.13,2.36
46.60,2.32
47.06,2.28
47.53,2.24
48.01,2.20
48.49,2.16
48.97,2.11
49.46,2.07
49.96,2.02
50.46,1.98
50.96,1.94
51.47,1.90
51.99,1.86
52.51,1.81
53.03,1.77
53.56,1.73
54.10,1.69
54.64,1.64
55.18,1.60
55.74,1.56
56.29,1.51
56.86,1.47
57.42,1.43
58.00,1.39
58.58,1.35
59.16,1.31
59.76,1.26
60.35,1.22
60.96,1.17
61.57,1.13
62.18,1.09
62.80,1.05
63.43,1.00
64.07,0.95
64.71,0.91
65.35,0.86
66.01,0.82
66.67,0.77
67.33,0.73
68.01,0.68
68.69,0.64
69.37,0.60
70.07,0.56
70.77,0.51
71.48,0.47
72.19,0.42
72.91,0.37
73.64,0.32
74.38,0.28
75.12,0.23
75.87,0.19
76.63,0.14
77.40,0.10
78.17,0.05
78.95,0.01
79.74,-0.03
80.54,-0.08
81.35,-0.12
82.16,-0.16
82.98,-0.20
83.81,-0.24
84.65,-0.29
85.50,-0.33
86.35,-0.36
87.22,-0.40
88.09,-0.45
88.97,-0.49
89.86,-0.53
90.76,-0.57
91.66,-0.61
92.58,-0.65
93.51,-0.69
94.44,-0.73
95.39,-0.77
96.34,-0.81
97.30,-0.85
98.28,-0.89
99.26,-0.93
100.25,-0.96
101.25,-1.00
102.27,-1.04
103.29,-1.07
104.32,-1.11
105.37,-1.15
106.42,-1.19
107.48,-1.23
108.56,-1.26
109.64,-1.30
110.74,-1.34
111.85,-1.37
112.97,-1.41
114.10,-1.44
115.24,-1.47
116.39,-1.51
117.55,-1.54
118.73,-1.58
119.92,-1.61
121.12,-1.64
122.33,-1.67
123.55,-1.71
124.79,-1.74
126.03,-1.77
127.29,-1.80
128.57,-1.83
129.85,-1.86
131.15,-1.89
132.46,-1.93
133.79,-1.96
135.12,-1.99
136.48,-2.01
137.84,-2.04
139.22,-2.07
140.61,-2.10
142.02,-2.13
143.44,-2.15
144.87,-2.18
146.32,-2.20
147.78,-2.23
149.26,-2.25
150.75,-2.28
152.26,-2.30
153.78,-2.32
155.32,-2.35
156.88,-2.37
158.44,-2.39
160.03,-2.41
161.63,-2.43
163.24,-2.45
164.88,-2.46
166.53,-2.48
168.19,-2.49
169.87,-2.51
171.57,-2.52
173.29,-2.53
175.02,-2.55
176.77,-2.56
178.54,-2.57
180.32,-2.58
182.13,-2.59
183.95,-2.60
185.79,-2.61
187.65,-2.62
189.52,-2.63
191.42,-2.64
193.33,-2.65
195.27,-2.65
197.22,-2.66
