frequency,raw
20.00,7.64
20.20,7.66
20.40,7.68
20.61,7.70
20.81,7.73
21.02,7.75
21.23,7.78
21.44,7.81
21.66,7.84
21.87,7.87
22.09,7.90
22.31,7.94
22.54,7.97
22.76,8.00
22.99,8.02
23.22,8.05
23.45,8.07
23.69,8.09
23.92,8.12
24.16,8.14
24.40,8.17
24.65,8.19
24.89,8.21
25.14,8.24
25.39,8.26
25.65,8.27
25.91,8.29
26.16,8.30
26.43,8.32
26.69,8.34
26.96,8.36
27.23,8.38
27.50,8.41
27.77,8.43
28.05,8.45
28.33,8.46
28.62,8.48
28.90,8.50
29.19,8.52
29.48,8.53
29.78,8.55
30.08,8.57
30.38,8.58
30.68,8.59
30.99,8.60
31.30,8.60
31.61,8.60
31.93,8.60
32.24,8.61
32.57,8.62
32.89,8.63
33.22,8.65
33.55,8.66
33.89,8.67
34.23,8.68
34.57,8.68
34.92,8.68
35.27,8.69
35.62,8.70
35.97,8.71
36.33,8.72
36.70,8.73
37.06,8.73
37.43,8.73
37.81,8.73
38.19,8.73
38.57,8.73
38.95,8.72
39.34,8.72
39.74,8.72
40.14,8.72
40.54,8.72
40.94,8.72
41.35,8.71
41.76,8.71
42.18,8.69
42.60,8.68
43.03,8.67
43.46,8.67
43.90,8.68
44.33,8.69
44.78,8.70
45.23,8.69
45.68,8.67
46.13,8.65
46.60,8.63
47.06,8.62
47.53,8.61
48.01,8.61
48.49,8.61
48.97,8.60
49.46,8.59
49.96,8.58
50.46,8.57
50.96,8.56
51.47,8.55
51.99,8.54
52.51,8.54
53.03,8.53
53.56,8.52
54.10,8.51
54.64,8.49
55.18,8.48
55.74,8.46
56.29,8.45
56.86,8.43
57.42,8.41
58.00,8.40
58.58,8.38
59.16,8.37
59.76,8.35
60.35,8.33
60.96,8.31
61.57,8.29
62.18,8.28
62.80,8.26
63.43,8.23
64.07,8.20
64.71,8.17
65.35,8.14
66.01,8.12
66.67,8.11
67.33,8.10
68.01,8.09
68.69,8.08
69.37,8.06
70.07,8.04
70.77,8.00
71.48,7.96
72.19,7.92
72.91,7.89
73.64,7.86
74.38,7.84
75.12,7.82
75.87,7.79
76.63,7.77
77.40,7.74
78.17,7.71
78.95,7.68
79.74,7.65
80.54,7.62
81.35,7.59
82.16,7.56
82.98,7.53
83.81,7.51
84.65,7.48
85.50,7.45
86.35,7.42
87.22,7.39
88.09,7.35
88.97,7.31
89.86,7.28
90.76,7.26
91.66,7.23
92.58,7.20
93.51,7.17
94.44,7.13
95.39,7.10
96.34,7.06
97.30,7.02
98.28,6.98
99.26,6.95
100.25,6.91
101.25,6.88
102.27,6.84
103.29,6.81
104.32,6.77
105.37,6.74
106.42,6.70
107.48,6.66
108.56,6.62
109.64,6.58
110.74,6.53
111.85,6.49
112.97,6.45
114.10,6.42
115.24,6.38
116.39,6.34
117.55,6.30
118.73,6.26
119.92,6.22
121.12,6.18
122.33,6.14
123.55,6.09
124.79,6.04
126.03,6.00
127.29,5.96
128.57,5.92
129.85,5.88
131.15,5.84
132.46,5.79
133.79,5.75
135.12,5.70
136.48,5.65
137.84,5.60
139.22,5.56
140.61,5.52
142.02,5.48
143.44,5.43
144.87,5.38
146.32,5.34
147.78,5.29
149.26,5.24
150.75,5.19
152.26,5.15
153.78,5.10
155.32,5.05
156.88,5.01
158.44,4.97
160.03,4.93
161.63,4.88
163.24,4.83
164.88,4.78
166.53,4.74
168.19,4.70
169.87,4.66
171.57,4.61
173.29,4.55
175.02,4.50
176.77,4.46
178.54,4.41
180.32,4.37
182.13,4.33
183.95,4.29
185.79,4.25
187.65,4.20
189.52,4.16
191.42,4.11
193.33,4.07
195.27,4.03
197.22,3.97
199.19,3.91
201.18,3.86
203.19,3.81
205.23,3.76
207.28,3.71
209.35,3.66
211.44,3.61
213.56,3.56
215.69,3.51
217.85,3.47
220.03,3.43
222.23,3.38
224.45,3.33
226.70,3.28
228.96,3.22
231.25,3.17
233.57,3.12
235.90,3.07
238.26,3.02
240.64,2.97
243.05,2.92
245.48,2.86
247.93,2.81
250.41,2.76
252.92,2.71
255.45,2.66
258.00,2.62
260.58,2.57
263.19,2.52
265.82,2.46
268.48,2.41
271.16,2.36
273.87,2.31
276.61,2.26
279.38,2.21
282.17,2.17
284.99,2.13
287.84,2.08
290.72,2.03
293.63,1.98
296.57,1.93
299.53,1.87
302.53,1.82
305.55,1.77
308.61,1.71
311.69,1.67
314.81,1.63
317.96,1.59
321.14,1.54
324.35,1.50
327.59,1.45
330.87,1.40
334.18,1.35
337.52,1.30
340.90,1.25
344.30,1.20
347.75,1.16
351.23,1.12
354.74,1.08
358.28,1.04
361.87,1.00
365.49,0.96
369.14,0.91
372.83,0.86
376.56,0.81
380.33,0.77
384.13,0.73
387.97,0.69
391.85,0.65
395.77,0.61
399.73,0.57
403.72,0.52
407.76,0.48
411.84,0.44
415.96,0.39
420.12,0.35
424.32,0.31
428.56,0.27
432.85,0.24
437.18,0.20
441.55,0.16
445.96,0.12
450.42,0.08
454.93,0.04
459.48,-0.00
464.07,-0.04
468.71,-0.08
473.40,-0.10
478.13,-0.12
482.91,-0.15
487.74,-0.19
492.62,-0.23
497.55,-0.26
502.52,-0.29
507.55,-0.32
512.62,-0.36
517.75,-0.40
522.93,-0.44
528.16,-0.48
533.44,-0.51
538.77,-0.54
544.16,-0.55
549.60,-0.57
555.10,-0.59
560.65,-0.61
566.25,-0.65
571.92,-0.68
577.64,-0.70
583.41,-0.73
589.25,-0.76
595.14,-0.79
601.09,-0.81
607.10,-0.83
613.17,-0.85
619.30,-0.87
625.50,-0.89
631.75,-0.91
638.07,-0.93
644.45,-0.95
650.89,-0.98
657.40,-0.99
663.98,-1.01
670.62,-1.03
677.32,-1.04
684.10,-1.05
690.94,-1.06
697.85,-1.07
704.83,-1.08
711.87,-1.08
718.99,-1.09
726.18,-1.09
733.44,-1.09
740.78,-1.08
748.19,-1.07
755.67,-1.07
763.23,-1.07
770.86,-1.08
778.57,-1.08
786.35,-1.08
794.22,-1.09
802.16,-1.10
810.18,-1.10
818.28,-1.10
826.46,-1.10
834.73,-1.09
843.08,-1.07
851.51,-1.03
860.02,-0.94
868.62,-0.83
877.31,-0.71
886.08,-0.62
894.94,-0.56
903.89,-0.50
912.93,-0.46
922.06,-0.42
931.28,-0.38
940.59,-0.34
950.00,-0.29
959.50,-0.24
969.09,-0.18
978.78,-0.13
988.57,-0.07
998.46,-0.01
1008.44,0.05
1018.53,0.11
1028.71,0.17
1039.00,0.23
1049.39,0.30
1059.88,0.38
1070.48,0.46
1081.19,0.54
1092.00,0.62
1102.92,0.71
1113.95,0.80
1125.09,0.89
1136.34,0.98
1147.70,1.08
1159.18,1.18
1170.77,1.29
1182.48,1.40
1194.30,1.51
1206.25,1.62
1218.31,1.74
1230.49,1.87
1242.80,1.99
1255.22,2.12
1267.78,2.26
1280.45,2.39
1293.26,2.52
1306.19,2.65
1319.25,2.78
1332.45,2.91
1345.77,3.03
1359.23,3.15
1372.82,3.27
1386.55,3.39
1400.41,3.51
1414.42,3.63
1428.56,3.74
1442.85,3.86
1457.28,3.97
1471.85,4.09
1486.57,4.21
1501.43,4.32
1516.45,4.44
1531.61,4.56
1546.93,4.68
1562.40,4.80
1578.02,4.92
1593.80,5.04
1609.74,5.16
1625.84,5.29
1642.10,5.42
1658.52,5.56
1675.10,5.69
1691.85,5.82
1708.77,5.96
1725.86,6.10
1743.12,6.23
1760.55,6.37
1778.15,6.50
1795.94,6.63
1813.90,6.76
1832.03,6.89
1850.36,7.02
1868.86,7.14
1887.55,7.27
1906.42,7.39
1925.49,7.50
1944.74,7.61
1964.19,7.71
1983.83,7.81
2003.67,7.90
2023.71,7.99
2043.94,8.08
2064.38,8.16
2085.03,8.23
2105.88,8.29
2126.94,8.35
2148.20,8.40
2169.69,8.45
2191.38,8.49
2213.30,8.52
2235.43,8.55
