frequency,raw
20.00,4.75
20.20,4.77
20.40,4.79
20.61,4.81
20.81,4.84
21.02,4.87
21.23,4.89
21.44,4.92
21.66,4.95
21.87,4.98
22.09,5.01
22.31,5.03
22.54,5.06
22.76,5.09
22.99,5.11
23.22,5.14
23.45,5.17
23.69,5.19
23.92,5.22
24.16,5.24
24.40,5.26
24.65,5.28
24.89,5.31
25.14,5.33
25.39,5.35
25.65,5.37
25.91,5.39
26.16,5.42
26.43,5.44
26.69,5.46
26.96,5.48
27.23,5.49
27.50,5.51
27.77,5.53
28.05,5.55
28.33,5.56
28.62,5.58
28.90,5.60
29.19,5.61
29.48,5.63
29.78,5.64
30.08,5.66
30.38,5.67
30.68,5.68
30.99,5.70
31.30,5.71
31.61,5.72
31.93,5.73
32.24,5.74
32.57,5.75
32.89,5.76
33.22,5.77
33.55,5.77
33.89,5.78
34.23,5.79
34.57,5.80
34.92,5.81
35.27,5.81
35.62,5.82
35.97,5.83
36.33,5.83
36.70,5.84
37.06,5.84
37.43,5.85
37.81,5.85
38.19,5.85
38.57,5.86
38.95,5.86
39.34,5.86
39.74,5.86
40.14,5.86
40.54,5.86
40.94,5.86
41.35,5.86
41.76,5.86
42.18,5.86
42.60,5.86
43.03,5.85
43.46,5.85
43.90,5.85
44.33,5.84
44.78,5.84
45.23,5.83
45.68,5.83
46.13,5.82
46.60,5.82
47.06,5.81
47.53,5.80
48.01,5.80
48.49,5.79
48.97,5.78
49.46,5.78
49.96,5.77
50.46,5.76
50.96,5.76
51.47,5.75
51.99,5.74
52.51,5.73
53.03,5.73
53.56,5.72
54.10,5.71
54.64,5.70
55.18,5.69
55.74,5.68
56.29,5.67
56.86,5.66
57.42,5.65
58.00,5.64
58.58,5.63
59.16,5.62
59.76,5.61
60.35,5.60
60.96,5.59
61.57,5.57
62.18,5.56
62.80,5.55
63.43,5.53
64.07,5.51
64.71,5.50
65.35,5.48
66.01,5.46
66.67,5.44
67.33,5.42
68.01,5.41
68.69,5.39
69.37,5.37
70.07,5.35
70.77,5.33
71.48,5.31
72.19,5.29
72.91,5.27
73.64,5.24
74.38,5.22
75.12,5.20
75.87,5.18
76.63,5.16
77.40,5.13
78.17,5.11
78.95,5.09
79.74,5.06
80.54,5.04
81.35,5.02
82.16,4.99
82.98,4.97
83.81,4.94
84.65,4.92
85.50,4.89
86.35,4.87
87.22,4.84
88.09,4.82
88.97,4.79
89.86,4.77
90.76,4.74
91.66,4.71
92.58,4.69
93.51,4.66
94.44,4.63
95.39,4.60
96.34,4.57
97.30,4.55
98.28,4.52
99.26,4.49
100.25,4.46
101.25,4.43
102.27,4.40
103.29,4.37
104.32,4.33
105.37,4.30
106.42,4.27
107.48,4.24
108.56,4.20
109.64,4.17
110.74,4.14
111.85,4.10
112.97,4.07
114.10,4.04
115.24,4.00
116.39,3.97
117.55,3.93
118.73,3.89
119.92,3.86
121.12,3.82
122.33,3.79
123.55,3.75
124.79,3.71
126.03,3.68
127.29,3.64
128.57,3.60
129.85,3.56
131.15,3.52
132.46,3.48
133.79,3.44
135.12,3.40
136.48,3.36
137.84,3.32
139.22,3.27
140.61,3.23
142.02,3.19
