frequency,raw
20.00,4.77
20.20,4.77
20.40,4.78
20.61,4.79
20.81,4.81
21.02,4.83
21.23,4.85
21.44,4.88
21.66,4.91
21.87,4.93
22.09,4.95
22.31,4.96
22.54,4.97
22.76,4.97
22.99,4.98
23.22,4.98
23.45,4.99
23.69,5.00
23.92,5.01
24.16,5.03
24.40,5.06
24.65,5.09
24.89,5.12
25.14,5.17
25.39,5.22
25.65,5.27
25.91,5.32
26.16,5.36
26.43,5.40
26.69,5.42
26.96,5.44
27.23,5.45
27.50,5.46
27.77,5.47
28.05,5.48
28.33,5.49
28.62,5.51
28.90,5.51
29.19,5.52
29.48,5.53
29.78,5.54
30.08,5.55
30.38,5.56
30.68,5.59
30.99,5.61
31.30,5.63
31.61,5.64
31.93,5.64
32.24,5.64
32.57,5.64
32.89,5.65
33.22,5.67
33.55,5.69
33.89,5.71
34.23,5.72
34.57,5.73
34.92,5.72
35.27,5.73
35.62,5.76
35.97,5.80
36.33,5.86
36.70,5.89
37.06,5.90
37.43,5.86
37.81,5.82
38.19,5.78
38.57,5.77
38.95,5.76
39.34,5.73
39.74,5.69
40.14,5.65
40.54,5.63
40.94,5.67
41.35,5.71
41.76,5.74
42.18,5.71
42.60,5.67
43.03,5.65
43.46,5.71
43.90,5.79
44.33,5.88
44.78,5.89
45.23,5.88
45.68,5.85
46.13,5.83
46.60,5.85
47.06,5.88
47.53,5.90
48.01,5.91
48.49,5.92
48.97,5.92
49.46,5.92
49.96,5.90
50.46,5.87
50.96,5.84
51.47,5.83
51.99,5.86
52.51,5.88
53.03,5.89
53.56,5.86
54.10,5.83
54.64,5.82
55.18,5.84
55.74,5.86
56.29,5.86
56.86,5.85
57.42,5.84
58.00,5.83
58.58,5.83
59.16,5.83
59.76,5.82
60.35,5.81
60.96,5.80
61.57,5.80
62.18,5.81
62.80,5.82
63.43,5.81
64.07,5.78
64.71,5.75
65.35,5.72
66.01,5.69
66.67,5.69
67.33,5.70
68.01,5.71
68.69,5.70
69.37,5.67
70.07,5.65
70.77,5.64
71.48,5.63
72.19,5.62
72.91,5.60
73.64,5.58
74.38,5.56
75.12,5.54
75.87,5.53
76.63,5.53
77.40,5.53
78.17,5.52
78.95,5.51
79.74,5.47
80.54,5.44
81.35,5.41
82.16,5.39
82.98,5.38
83.81,5.38
84.65,5.38
85.50,5.37
86.35,5.34
87.22,5.30
88.09,5.25
88.97,5.21
89.86,5.19
90.76,5.18
91.66,5.18
92.58,5.18
93.51,5.17
94.44,5.15
95.39,5.11
96.34,5.07
97.30,5.05
98.28,5.04
99.26,5.03
100.25,5.01
101.25,4.99
102.27,4.96
103.29,4.93
104.32,4.90
105.37,4.89
106.42,4.87
107.48,4.85
108.56,4.83
109.64,4.80
110.74,4.77
111.85,4.74
112.97,4.70
114.10,4.66
115.24,4.63
116.39,4.60
117.55,4.57
118.73,4.52
119.92,4.46
121.12,4.42
122.33,4.41
123.55,4.39
124.79,4.37
126.03,4.34
127.29,4.30
128.57,4.26
129.85,4.23
131.15,4.20
132.46,4.17
133.79,4.14
135.12,4.09
136.48,4.03
137.84,3.95
139.22,3.90
140.61,3.87
142.02,3.86
143.44,3.83
144.87,3.79
146.32,3.74
147.78,3.68
149.26,3.63
150.75,3.58
152.26,3.52
153.78,3.45
155.32,3.38
156.88,3.31
158.44,3.23
160.03,3.16
161.63,3.05
163.24,2.96
164.88,2.88
166.53,2.83
168.19,2.78
169.87,2.73
171.57,2.66
173.29,2.63
175.02,2.63
176.77,2.55
178.54,2.39
180.32,2.28
182.13,2.62
183.95,2.85
185.79,3.00
187.65,3.08
189.52,3.10
191.42,3.12
193.33,3.18
195.27,3.27
197.22,3.30
199.19,3.34
201.18,3.34
203.19,3.27
205.23,3.01
207.28,2.96
209.35,3.03
211.44,3.00
213.56,2.87
215.69,2.88
217.85,2.93
220.03,2.97
222.23,2.81
224.45,2.66
226.70,2.47
228.96,2.43
231.25,2.50
233.57,2.67
235.90,2.90
238.26,3.09
240.64,3.17
243.05,2.93
245.48,2.66
247.93,2.47
250.41,2.45
252.92,2.48
255.45,2.44
258.00,2.34
260.58,2.21
263.19,2.10
265.82,2.02
268.48,1.95
271.16,1.89
273.87,1.84
276.61,1.79
279.38,1.73
282.17,1.68
