frequency,raw
20.00,8.24
20.20,8.25
20.40,8.25
20.61,8.25
20.81,8.24
21.02,8.23
21.23,8.21
21.44,8.19
21.66,8.17
21.87,8.16
22.09,8.16
22.31,8.17
22.54,8.18
22.76,8.20
22.99,8.22
23.22,8.22
23.45,8.22
23.69,8.21
23.92,8.20
24.16,8.20
24.40,8.21
24.65,8.22
24.89,8.25
25.14,8.27
25.39,8.28
25.65,8.27
25.91,8.25
26.16,8.21
26.43,8.16
26.69,8.12
26.96,8.10
27.23,8.09
27.50,8.10
27.77,8.10
28.05,8.11
28.33,8.11
28.62,8.10
28.90,8.09
29.19,8.08
29.48,8.08
29.78,8.08
30.08,8.09
30.38,8.09
30.68,8.09
30.99,8.08
31.30,8.06
31.61,8.04
31.93,8.03
32.24,8.01
32.57,8.00
32.89,8.00
33.22,7.99
33.55,7.99
33.89,7.99
34.23,7.98
34.57,7.97
34.92,7.95
35.27,7.92
35.62,7.89
35.97,7.87
36.33,7.86
36.70,7.85
37.06,7.83
37.43,7.82
37.81,7.81
38.19,7.81
38.57,7.84
38.95,7.87
39.34,7.90
39.74,7.91
40.14,7.89
40.54,7.85
40.94,7.81
41.35,7.77
41.76,7.73
42.18,7.70
42.60,7.66
43.03,7.63
43.46,7.60
43.90,7.58
44.33,7.56
44.78,7.55
45.23,7.55
45.68,7.54
46.13,7.52
46.60,7.50
47.06,7.48
47.53,7.46
48.01,7.45
48.49,7.44
48.97,7.43
49.46,7.42
49.96,7.37
50.46,7.33
50.96,7.30
51.47,7.28
51.99,7.28
52.51,7.27
53.03,7.25
53.56,7.25
54.10,7.24
54.64,7.23
55.18,7.20
55.74,7.16
56.29,7.11
56.86,7.07
57.42,7.04
58.00,7.01
58.58,6.99
59.16,6.97
59.76,6.95
60.35,6.93
60.96,6.90
61.57,6.88
62.18,6.84
62.80,6.81
63.43,6.78
64.07,6.75
64.71,6.72
65.35,6.68
66.01,6.65
66.67,6.61
67.33,6.58
68.01,6.55
68.69,6.52
69.37,6.49
70.07,6.45
70.77,6.42
71.48,6.38
72.19,6.34
72.91,6.31
73.64,6.27
74.38,6.24
75.12,6.20
75.87,6.16
76.63,6.13
77.40,6.09
78.17,6.06
78.95,6.02
79.74,5.98
80.54,5.94
81.35,5.89
82.16,5.85
82.98,5.81
83.81,5.77
84.65,5.73
85.50,5.69
86.35,5.64
87.22,5.60
88.09,5.55
88.97,5.51
89.86,5.46
90.76,5.42
91.66,5.39
92.58,5.35
93.51,5.31
94.44,5.27
95.39,5.22
96.34,5.17
97.30,5.11
98.28,5.06
99.26,5.01
100.25,4.96
101.25,4.92
102.27,4.87
103.29,4.83
104.32,4.78
105.37,4.73
106.42,4.68
107.48,4.63
108.56,4.58
109.64,4.53
110.74,4.48
111.85,4.43
112.97,4.37
114.10,4.32
115.24,4.26
116.39,4.21
117.55,4.15
118.73,4.10
119.92,4.04
121.12,3.99
122.33,3.94
123.55,3.89
124.79,3.83
126.03,3.78
127.29,3.72
128.57,3.66
129.85,3.60
131.15,3.54
132.46,3.49
133.79,3.44
135.12,3.39
136.48,3.33
137.84,3.26
139.22,3.20
140.61,3.14
142.02,3.10
143.44,3.05
144.87,2.99
146.32,2.92
147.78,2.85
149.26,2.80
150.75,2.75
152.26,2.70
153.78,2.64
155.32,2.59
156.88,2.53
158.44,2.48
160.03,2.42
161.63,2.36
163.24,2.31
164.88,2.25
166.53,2.21
168.19,2.16
169.87,2.12
171.57,2.08
173.29,2.03
175.02,1.98
176.77,1.93
178.54,1.88
180.32,1.82
182.13,1.77
183.95,1.73
185.79,1.68
187.65,1.64
189.52,1.60
191.42,1.56
193.33,1.51
195.27,1.47
197.22,1.43
199.19,1.39
201.18,1.35
203.19,1.31
205.23,1.26
207.28,1.22
209.35,1.18
211.44,1.15
213.56,1.11
215.69,1.07
217.85,1.02
220.03,0.98
222.23,0.94
224.45,0.91
226.70,0.88
228.96,0.86
231.25,0.84
233.57,0.81
235.90,0.77
238.26,0.74
240.64,0.70
243.05,0.67
245.48,0.64
247.93,0.61
250.41,0.58
252.92,0.55
255.45,0.52
258.00,0.49
260.58,0.48
263.19,0.46
265.82,0.44
268.48,0.42
271.16,0.41
273.87,0.39
276.61,0.37
279.38,0.35
282.17,0.33
284.99,0.31
287.84,0.30
290.72,0.29
293.63,0.27
296.57,0.26
299.53,0.24
302.53,0.23
305.55,0.21
308.61,0.20
311.69,0.18
314.81,0.17
317.96,0.17
321.14,0.15
324.35,0.14
327.59,0.13
330.87,0.12
334.18,0.11
337.52,0.11
340.90,0.10
344.30,0.10
347.75,0.09
351.23,0.09
354.74,0.08
358.28,0.07
361.87,0.07
365.49,0.07
369.14,0.06
372.83,0.06
376.56,0.05
380.33,0.05
384.13,0.04
387.97,0.03
391.85,0.03
395.77,0.03
399.73,0.03
403.72,0.02
407.76,0.02
411.84,0.01
415.96,-0.00
420.12,-0.01
424.32,-0.01
428.56,-0.01
432.85,-0.02
437.18,-0.02
441.55,-0.03
445.96,-0.03
450.42,-0.04
454.93,-0.04
459.48,-0.03
464.07,-0.04
468.71,-0.04
473.40,-0.04
478.13,-0.05
482.91,-0.06
487.74,-0.06
492.62,-0.07
497.55,-0.07
502.52,-0.07
507.55,-0.07
512.62,-0.07
517.75,-0.07
522.93,-0.07
528.16,-0.07
533.44,-0.07
538.77,-0.07
544.16,-0.07
549.60,-0.07
555.10,-0.07
560.65,-0.07
566.25,-0.07
571.92,-0.07
577.64,-0.07
583.41,-0.07
589.25,-0.07
595.14,-0.07
601.09,-0.07
607.10,-0.06
613.17,-0.06
619.30,-0.06
625.50,-0.06
631.75,-0.06
638.07,-0.06
644.45,-0.06
650.89,-0.06
657.40,-0.05
663.98,-0.05
670.62,-0.04
677.32,-0.04
684.10,-0.04
690.94,-0.05
697.85,-0.05
704.83,-0.05
711.87,-0.06
718.99,-0.05
726.18,-0.05
733.44,-0.06
740.78,-0.07
748.19,-0.08
755.67,-0.09
763.23,-0.10
770.86,-0.10
778.57,-0.11
786.35,-0.12
794.22,-0.12
802.16,-0.13
810.18,-0.14
818.28,-0.16
826.46,-0.17
834.73,-0.18
843.08,-0.19
851.51,-0.20
860.02,-0.20
868.62,-0.20
877.31,-0.20
886.08,-0.20
894.94,-0.20
903.89,-0.19
912.93,-0.19
922.06,-0.18
931.28,-0.17
940.59,-0.16
950.00,-0.14
959.50,-0.11
969.09,-0.09
978.78,-0.06
988.57,-0.03
998.46,-0.00
1008.44,0.02
1018.53,0.05
1028.71,0.09
1039.00,0.12
1049.39,0.16
1059.88,0.20
1070.48,0.24
1081.19,0.28
1092.00,0.32
1102.92,0.36
1113.95,0.40
1125.09,0.45
1136.34,0.49
1147.70,0.54
1159.18,0.58
1170.77,0.63
1182.48,0.67
1194.30,0.71
1206.25,0.75
1218.31,0.79
1230.49,0.83
1242.80,0.86
1255.22,0.90
1267.78,0.93
1280.45,0.97
1293.26,1.01
1306.19,1.04
1319.25,1.08
1332.45,1.12
1345.77,1.15
1359.23,1.19
1372.82,1.22
1386.55,1.25
1400.41,1.28
1414.42,1.31
1428.56,1.35
1442.85,1.38
1457.28,1.41
1471.85,1.44
1486.57,1.47
1501.43,1.50
1516.45,1.53
1531.61,1.57
1546.93,1.60
1562.40,1.64
1578.02,1.68
1593.80,1.72
1609.74,1.76
1625.84,1.81
1642.10,1.86
1658.52,1.92
1675.10,1.97
1691.85,2.03
1708.77,2.09
1725.86,2.15
1743.12,2.21
1760.55,2.28
1778.15,2.35
1795.94,2.42
1813.90,2.49
1832.03,2.57
1850.36,2.65
1868.86,2.73
1887.55,2.81
1906.42,2.89
1925.49,2.98
1944.74,3.07
1964.19,3.17
1983.83,3.26
2003.67,3.36
2023.71,3.46
2043.94,3.56
2064.38,3.66
2085.03,3.77
2105.88,3.88
2126.94,3.99
2148.20,4.10
2169.69,4.21
2191.38,4.33
2213.30,4.44
2235.43,4.56
2257.78,4.68
2280.36,4.81
2303.17,4.93
2326.20,5.05
2349.46,5.17
2372.95,5.29
2396.68,5.41
2420.65,5.52
2444.86,5.64
2469.31,5.75
2494.00,5.86
2518.94,5.97
2544.13,6.08
2569.57,6.18
2595.27,6.28
2621.22,6.37
2647.43,6.45
2673.90,6.52
2700.64,6.59
2727.65,6.64
2754.93,6.69
2782.48,6.73
2810.30,6.75
2838.40,6.77
2866.79,6.78
2895.46,6.77
2924.41,6.76
2953.65,6.74
2983.19,6.70
3013.02,6.66
3043.15,6.61
3073.58,6.56
3104.32,6.50
3135.36,6.43
3166.72,6.37
3198.38,6.30
3230.37,6.23
3262.67,6.16
3295.30,6.08
3328.25,6.01
3361.53,5.93
3395.15,5.86
3429.10,5.79
3463.39,5.72
3498.03,5.65
3533.01,5.58
3568.34,5.52
3604.02,5.47
3640.06,5.42
3676.46,5.38
3713.22,5.34
3750.36,5.31
3787.86,5.29
3825.74,5.27
3864.00,5.27
3902.64,5.27
3941.66,5.28
3981.08,5.30
4020.89,5.32
4061.10,5.35
4101.71,5.38
4142.73,5.43
4184.15,5.49
4226.00,5.55
4268.26,5.63
4310.94,5.71
4354.05,5.79
4397.59,5.88
4441.56,5.97
4485.98,6.05
4530.84,6.13
4576.15,6.19
4621.91,6.24
4668.13,6.27
4714.81,6.27
4761.96,6.26
4809.58,6.23
4857.67,6.18
4906.25,6.10
4955.31,6.00
5004.87,5.89
5054.91,5.75
5105.46,5.59
5156.52,5.41
5208.08,5.23
5260.16,5.03
5312.77,4.82
5365.89,4.61
5419.55,4.40
5473.75,4.18
5528.49,3.96
5583.77,3.75
5639.61,3.55
5696.00,3.35
5752.96,3.17
5810.49,3.01
5868.60,2.86
5927.28,2.74
5986.56,2.64
6046.42,2.57
6106.89,2.52
6167.96,2.50
6229.64,2.52
6291.93,2.58
6354.85,2.68
6418.40,2.81
6482.58,2.96
6547.41,3.15
6612.88,3.34
6679.01,3.55
6745.80,3.75
6813.26,3.92
6881.39,4.05
6950.21,4.13
7019.71,4.16
7089.91,4.15
7160.81,4.06
7232.41,3.93
7304.74,3.74
7377.79,3.50
7451.56,3.25
7526.08,2.99
7601.34,2.73
7677.35,2.51
7754.13,2.29
7831.67,2.14
7909.98,2.00
7989.08,1.91
8068.98,1.86
8149.67,1.84
8231.16,1.84
8313.47,1.86
8396.61,1.89
8480.57,1.92
8565.38,1.93
8651.03,1.92
8737.54,1.88
8824.92,1.82
8913.17,1.81
9002.30,1.81
9092.32,1.95
9183.25,2.21
9275.08,2.54
9367.83,2.94
9461.51,3.28
9556.12,3.52
9651.68,3.63
9748.20,3.61
9845.68,3.46
9944.14,3.28
10043.58,3.09
10144.02,2.92
10245.46,2.81
10347.91,2.74
10451.39,2.73
10555.91,2.79
10661.46,2.89
10768.08,3.02
10875.76,3.16
10984.52,3.27
11094.36,3.33
11205.31,3.33
11317.36,3.28
11430.53,3.23
11544.84,3.18
11660.29,3.16
11776.89,3.16
11894.66,3.19
12013.60,3.22
12133.74,3.22
12255.08,3.12
12377.63,2.94
12501.41,2.66
12626.42,2.26
12752.68,1.80
12880.21,1.35
13009.01,0.91
13139.10,0.46
13270.49,0.12
13403.20,-0.18
13537.23,-0.40
13672.60,-0.60
13809.33,-0.80
13947.42,-1.07
14086.90,-1.50
14227.77,-2.04
