frequency,raw
20.00,4.77
20.20,4.80
20.40,4.83
20.61,4.87
20.81,4.90
21.02,4.94
21.23,4.98
21.44,5.01
21.66,5.05
21.87,5.08
22.09,5.12
22.31,5.15
22.54,5.18
22.76,5.22
22.99,5.25
23.22,5.28
23.45,5.31
23.69,5.34
23.92,5.38
24.16,5.41
24.40,5.44
24.65,5.47
24.89,5.50
25.14,5.53
25.39,5.56
25.65,5.58
25.91,5.61
26.16,5.64
26.43,5.67
26.69,5.70
26.96,5.74
27.23,5.77
27.50,5.80
27.77,5.83
28.05,5.86
28.33,5.88
28.62,5.91
28.90,5.93
29.19,5.96
29.48,5.98
29.78,6.00
30.08,6.02
30.38,6.04
30.68,6.05
30.99,6.07
31.30,6.09
31.61,6.11
31.93,6.13
32.24,6.14
32.57,6.16
32.89,6.18
33.22,6.19
33.55,6.21
33.89,6.22
34.23,6.24
34.57,6.25
34.92,6.26
35.27,6.28
35.62,6.29
35.97,6.31
36.33,6.32
36.70,6.33
37.06,6.35
37.43,6.36
37.81,6.37
38.19,6.38
38.57,6.39
38.95,6.40
39.34,6.41
39.74,6.41
40.14,6.42
40.54,6.42
40.94,6.43
41.35,6.43
41.76,6.44
42.18,6.44
42.60,6.44
43.03,6.45
43.46,6.45
43.90,6.45
44.33,6.46
44.78,6.46
45.23,6.46
45.68,6.46
46.13,6.46
46.60,6.45
47.06,6.45
47.53,6.45
48.01,6.45
48.49,6.44
48.97,6.44
49.46,6.44
49.96,6.44
50.46,6.43
50.96,6.43
51.47,6.43
51.99,6.43
52.51,6.42
53.03,6.42
53.56,6.42
54.10,6.42
54.64,6.41
55.18,6.40
55.74,6.40
56.29,6.39
56.86,6.39
57.42,6.38
58.00,6.37
58.58,6.36
59.16,6.35
59.76,6.35
60.35,6.34
60.96,6.33
61.57,6.32
62.18,6.31
62.80,6.30
63.43,6.29
64.07,6.27
64.71,6.26
65.35,6.24
66.01,6.23
66.67,6.21
67.33,6.20
68.01,6.18
68.69,6.17
69.37,6.15
70.07,6.13
70.77,6.11
71.48,6.09
72.19,6.08
72.91,6.06
73.64,6.04
74.38,6.02
75.12,6.00
75.87,5.98
76.63,5.96
77.40,5.94
78.17,5.92
78.95,5.90
79.74,5.88
80.54,5.85
81.35,5.83
82.16,5.81
82.98,5.79
83.81,5.76
84.65,5.74
85.50,5.72
86.35,5.70
87.22,5.67
88.09,5.65
88.97,5.62
89.86,5.60
90.76,5.58
91.66,5.55
92.58,5.52
93.51,5.50
94.44,5.47
95.39,5.45
96.34,5.42
97.30,5.39
98.28,5.37
99.26,5.34
100.25,5.31
101.25,5.28
102.27,5.25
103.29,5.22
104.32,5.19
105.37,5.16
106.42,5.13
107.48,5.10
108.56,5.07
109.64,5.04
110.74,5.01
111.85,4.98
112.97,4.94
114.10,4.91
115.24,4.88
116.39,4.85
117.55,4.81
118.73,4.78
119.92,4.75
121.12,4.71
122.33,4.68
123.55,4.64
124.79,4.61
126.03,4.57
127.29,4.53
128.57,4.50
129.85,4.46
131.15,4.42
132.46,4.38
133.79,4.35
135.12,4.31
136.48,4.27
137.84,4.23
139.22,4.19
140.61,4.15
142.02,4.12
143.44,4.08
144.87,4.04
146.32,4.00
147.78,3.95
149.26,3.91
150.75,3.87
152.26,3.84
153.78,3.80
155.32,3.76
156.88,3.72
158.44,3.67
160.03,3.63
161.63,3.59
163.24,3.55
164.88,3.51
166.53,3.47
168.19,3.43
169.87,3.39
171.57,3.36
173.29,3.32
175.02,3.28
176.77,3.24
178.54,3.20
180.32,3.16
182.13,3.12
183.95,3.08
185.79,3.04
187.65,3.00
189.52,2.96
191.42,2.92
193.33,2.88
195.27,2.84
197.22,2.80
199.19,2.76
201.18,2.72
203.19,2.67
205.23,2.63
207.28,2.58
209.35,2.54
211.44,2.50
213.56,2.45
215.69,2.41
217.85,2.36
220.03,2.32
222.23,2.27
224.45,2.23
226.70,2.19
228.96,2.14
231.25,2.10
233.57,2.05
235.90,2.01
238.26,1.97
240.64,1.92
243.05,1.88
245.48,1.83
247.93,1.79
250.41,1.75
252.92,1.70
255.45,1.66
258.00,1.62
260.58,1.57
263.19,1.53
265.82,1.49
268.48,1.44
271.16,1.40
273.87,1.36
276.61,1.31
279.38,1.27
282.17,1.23
284.99,1.19
287.84,1.14
290.72,1.10
293.63,1.06
296.57,1.02
299.53,0.97
302.53,0.93
305.55,0.89
308.61,0.85
311.69,0.81
314.81,0.77
317.96,0.73
321.14,0.69
324.35,0.65
327.59,0.61
330.87,0.57
334.18,0.54
337.52,0.50
340.90,0.46
344.30,0.42
347.75,0.38
351.23,0.35
354.74,0.31
358.28,0.27
361.87,0.24
365.49,0.20
369.14,0.16
372.83,0.13
376.56,0.09
380.33,0.06
384.13,0.02
387.97,-0.01
391.85,-0.05
395.77,-0.08
399.73,-0.12
403.72,-0.15
407.76,-0.18
411.84,-0.22
415.96,-0.25
420.12,-0.28
424.32,-0.31
428.56,-0.35
432.85,-0.38
437.18,-0.41
441.55,-0.44
445.96,-0.47
450.42,-0.50
454.93,-0.53
459.48,-0.56
464.07,-0.59
468.71,-0.62
473.40,-0.65
478.13,-0.67
482.91,-0.70
487.74,-0.73
492.62,-0.75
497.55,-0.78
502.52,-0.80
507.55,-0.83
512.62,-0.85
517.75,-0.88
522.93,-0.90
528.16,-0.92
533.44,-0.94
538.77,-0.97
544.16,-0.99
549.60,-1.01
555.10,-1.03
560.65,-1.05
566.25,-1.07
571.92,-1.09
577.64,-1.10
583.41,-1.12
589.25,-1.14
595.14,-1.15
601.09,-1.17
607.10,-1.18
613.17,-1.20
619.30,-1.21
625.50,-1.22
631.75,-1.23
638.07,-1.24
644.45,-1.25
650.89,-1.25
657.40,-1.26
663.98,-1.27
670.62,-1.27
677.32,-1.27
684.10,-1.27
690.94,-1.27
697.85,-1.27
704.83,-1.27
711.87,-1.27
718.99,-1.27
726.18,-1.26
733.44,-1.25
740.78,-1.24
748.19,-1.23
755.67,-1.22
763.23,-1.21
770.86,-1.19
778.57,-1.17
786.35,-1.15
794.22,-1.12
802.16,-1.10
810.18,-1.07
818.28,-1.05
826.46,-1.02
834.73,-0.98
843.08,-0.95
851.51,-0.91
860.02,-0.86
868.62,-0.82
877.31,-0.77
886.08,-0.72
894.94,-0.67
903.89,-0.61
912.93,-0.55
922.06,-0.49
931.28,-0.43
940.59,-0.37
950.00,-0.30
959.50,-0.24
969.09,-0.17
978.78,-0.11
988.57,-0.06
998.46,-0.01
1008.44,0.04
1018.53,0.11
1028.71,0.22
1039.00,0.36
1049.39,0.50
1059.88,0.64
1070.48,0.74
1081.19,0.83
1092.00,0.90
1102.92,0.96
1113.95,1.02
1125.09,1.09
1136.34,1.17
1147.70,1.25
1159.18,1.33
1170.77,1.42
1182.48,1.50
1194.30,1.58
1206.25,1.66
1218.31,1.74
1230.49,1.81
1242.80,1.89
1255.22,1.97
1267.78,2.05
1280.45,2.12
1293.26,2.20
1306.19,2.28
1319.25,2.36
1332.45,2.44
1345.77,2.51
1359.23,2.59
1372.82,2.67
1386.55,2.75
1400.41,2.83
1414.42,2.91
1428.56,2.99
1442.85,3.07
1457.28,3.15
1471.85,3.24
1486.57,3.32
1501.43,3.41
1516.45,3.50
1531.61,3.58
1546.93,3.67
1562.40,3.76
1578.02,3.85
1593.80,3.95
1609.74,4.05
1625.84,4.15
1642.10,4.26
1658.52,4.37
1675.10,4.48
1691.85,4.59
1708.77,4.71
1725.86,4.83
1743.12,4.95
1760.55,5.07
1778.15,5.19
1795.94,5.32
1813.90,5.44
1832.03,5.57
1850.36,5.71
1868.86,5.84
1887.55,5.98
1906.42,6.12
1925.49,6.26
1944.74,6.40
1964.19,6.54
1983.83,6.68
2003.67,6.82
2023.71,6.97
2043.94,7.11
2064.38,7.26
2085.03,7.40
2105.88,7.55
2126.94,7.69
2148.20,7.83
2169.69,7.96
2191.38,8.10
2213.30,8.23
2235.43,8.36
2257.78,8.48
2280.36,8.60
2303.17,8.71
2326.20,8.82
2349.46,8.91
2372.95,9.00
2396.68,9.09
2420.65,9.16
2444.86,9.22
2469.31,9.28
2494.00,9.32
2518.94,9.36
2544.13,9.39
2569.57,9.40
2595.27,9.41
2621.22,9.41
2647.43,9.40
2673.90,9.37
2700.64,9.34
2727.65,9.29
2754.93,9.24
2782.48,9.18
2810.30,9.11
2838.40,9.03
2866.79,8.95
