frequency,raw
20.00,10.35
20.20,10.30
20.40,10.26
20.61,10.21
20.81,10.17
21.02,10.12
21.23,10.07
21.44,10.01
21.66,9.95
21.87,9.88
22.09,9.82
22.31,9.75
22.54,9.68
22.76,9.61
22.99,9.54
23.22,9.47
23.45,9.40
23.69,9.34
23.92,9.29
24.16,9.23
24.40,9.18
24.65,9.13
24.89,9.08
25.14,9.03
25.39,8.97
25.65,8.92
25.91,8.87
26.16,8.82
26.43,8.77
26.69,8.71
26.96,8.65
27.23,8.58
27.50,8.49
27.77,8.41
28.05,8.31
28.33,8.21
28.62,8.12
28.90,8.04
29.19,7.96
29.48,7.90
29.78,7.84
30.08,7.79
30.38,7.73
30.68,7.66
30.99,7.60
31.30,7.52
31.61,7.46
31.93,7.39
32.24,7.32
32.57,7.27
32.89,7.22
33.22,7.16
33.55,7.11
33.89,7.05
34.23,6.98
34.57,6.90
34.92,6.83
35.27,6.77
35.62,6.72
35.97,6.66
36.33,6.61
36.70,6.54
37.06,6.47
37.43,6.40
37.81,6.33
38.19,6.25
38.57,6.17
38.95,6.08
39.34,5.97
39.74,5.87
40.14,5.77
40.54,5.68
40.94,5.62
41.35,5.58
41.76,5.53
42.18,5.47
42.60,5.41
43.03,5.34
43.46,5.27
43.90,5.18
44.33,5.09
44.78,5.00
45.23,4.93
45.68,4.86
46.13,4.80
46.60,4.73
47.06,4.66
47.53,4.58
48.01,4.50
48.49,4.42
48.97,4.33
49.46,4.23
49.96,4.14
50.46,4.05
50.96,3.99
51.47,3.95
51.99,3.93
52.51,3.87
53.03,3.80
53.56,3.70
54.10,3.62
54.64,3.55
55.18,3.47
55.74,3.38
56.29,3.27
56.86,3.18
57.42,3.12
58.00,3.05
58.58,2.95
59.16,2.84
59.76,2.73
60.35,2.66
60.96,2.62
61.57,2.57
62.18,2.51
62.80,2.45
63.43,2.38
64.07,2.30
64.71,2.20
65.35,2.10
66.01,2.01
66.67,1.93
67.33,1.86
68.01,1.79
68.69,1.71
69.37,1.65
70.07,1.60
70.77,1.53
71.48,1.41
72.19,1.27
72.91,1.16
73.64,1.14
74.38,1.16
75.12,1.15
75.87,1.11
76.63,1.03
77.40,0.95
78.17,0.86
78.95,0.77
79.74,0.70
80.54,0.66
81.35,0.61
82.16,0.54
82.98,0.44
83.81,0.36
84.65,0.29
85.50,0.21
86.35,0.10
87.22,0.01
88.09,-0.00
88.97,0.01
89.86,0.00
90.76,-0.06
91.66,-0.17
92.58,-0.29
93.51,-0.40
94.44,-0.47
95.39,-0.49
96.34,-0.51
97.30,-0.55
98.28,-0.62
99.26,-0.72
100.25,-0.80
101.25,-0.85
102.27,-0.88
103.29,-0.92
104.32,-0.97
105.37,-1.04
106.42,-1.11
107.48,-1.18
108.56,-1.26
109.64,-1.33
110.74,-1.38
111.85,-1.42
112.97,-1.46
114.10,-1.52
115.24,-1.60
116.39,-1.68
117.55,-1.73
118.73,-1.75
119.92,-1.79
121.12,-1.86
122.33,-1.93
123.55,-1.99
124.79,-2.05
126.03,-2.10
127.29,-2.12
128.57,-2.12
129.85,-2.14
131.15,-2.19
132.46,-2.25
133.79,-2.30
135.12,-2.35
136.48,-2.37
137.84,-2.39
139.22,-2.40
140.61,-2.45
142.02,-2.52
143.44,-2.56
144.87,-2.59
146.32,-2.62
147.78,-2.65
149.26,-2.68
150.75,-2.72
152.26,-2.74
153.78,-2.73
155.32,-2.71
156.88,-2.70
158.44,-2.71
160.03,-2.73
161.63,-2.76
163.24,-2.78
164.88,-2.80
166.53,-2.83
168.19,-2.86
169.87,-2.87
171.57,-2.88
173.29,-2.91
175.02,-2.94
176.77,-2.95
178.54,-2.95
180.32,-2.96
182.13,-2.98
183.95,-3.00
185.79,-3.02
187.65,-3.02
189.52,-3.01
191.42,-3.01
193.33,-3.00
195.27,-2.99
197.22,-2.99
199.19,-3.00
201.18,-3.01
203.19,-3.01
205.23,-3.02
207.28,-3.03
209.35,-3.03
211.44,-3.03
213.56,-3.03
215.69,-3.03
217.85,-3.02
220.03,-3.01
222.23,-2.98
224.45,-2.96
226.70,-2.96
228.96,-2.97
231.25,-2.97
233.57,-2.95
235.90,-2.92
238.26,-2.88
240.64,-2.86
243.05,-2.86
245.48,-2.86
247.93,-2.85
250.41,-2.83
252.92,-2.82
255.45,-2.80
258.00,-2.77
260.58,-2.74
263.19,-2.73
265.82,-2.72
268.48,-2.71
271.16,-2.70
273.87,-2.67
276.61,-2.63
279.38,-2.60
282.17,-2.57
284.99,-2.56
287.84,-2.54
290.72,-2.52
293.63,-2.49
296.57,-2.46
299.53,-2.44
302.53,-2.43
305.55,-2.42
308.61,-2.39
311.69,-2.34
314.81,-2.30
317.96,-2.28
321.14,-2.26
324.35,-2.24
327.59,-2.23
330.87,-2.20
334.18,-2.16
337.52,-2.13
340.90,-2.12
344.30,-2.12
347.75,-2.09
351.23,-2.05
354.74,-2.01
358.28,-1.98
361.87,-1.96
365.49,-1.92
369.14,-1.88
372.83,-1.86
376.56,-1.86
380.33,-1.86
384.13,-1.83
387.97,-1.79
391.85,-1.77
395.77,-1.75
399.73,-1.73
403.72,-1.71
407.76,-1.70
411.84,-1.67
415.96,-1.61
420.12,-1.57
424.32,-1.53
428.56,-1.50
432.85,-1.47
437.18,-1.46
441.55,-1.45
445.96,-1.43
450.42,-1.42
454.93,-1.40
459.48,-1.39
464.07,-1.35
468.71,-1.30
473.40,-1.27
478.13,-1.24
482.91,-1.20
487.74,-1.17
492.62,-1.15
497.55,-1.14
502.52,-1.13
507.55,-1.13
512.62,-1.11
517.75,-1.09
522.93,-1.06
528.16,-1.03
533.44,-1.01
538.77,-0.99
544.16,-0.98
549.60,-0.97
555.10,-0.96
560.65,-0.94
566.25,-0.92
571.92,-0.90
577.64,-0.87
583.41,-0.85
589.25,-0.84
595.14,-0.84
601.09,-0.85
607.10,-0.83
613.17,-0.80
619.30,-0.79
625.50,-0.77
631.75,-0.77
638.07,-0.77
644.45,-0.76
650.89,-0.75
657.40,-0.74
663.98,-0.74
670.62,-0.75
677.32,-0.76
684.10,-0.74
690.94,-0.71
697.85,-0.69
704.83,-0.69
711.87,-0.69
718.99,-0.66
726.18,-0.65
733.44,-0.64
740.78,-0.64
748.19,-0.62
755.67,-0.62
763.23,-0.62
770.86,-0.61
778.57,-0.60
786.35,-0.58
794.22,-0.56
802.16,-0.54
810.18,-0.53
818.28,-0.52
826.46,-0.52
834.73,-0.51
843.08,-0.48
851.51,-0.46
860.02,-0.43
868.62,-0.40
877.31,-0.38
886.08,-0.36
894.94,-0.34
903.89,-0.30
912.93,-0.28
922.06,-0.25
931.28,-0.22
940.59,-0.19
950.00,-0.16
959.50,-0.13
969.09,-0.09
978.78,-0.06
988.57,-0.03
998.46,-0.00
1008.44,0.03
1018.53,0.07
1028.71,0.13
1039.00,0.16
1049.39,0.18
1059.88,0.20
1070.48,0.24
1081.19,0.27
1092.00,0.30
1102.92,0.32
1113.95,0.36
1125.09,0.39
1136.34,0.45
1147.70,0.49
1159.18,0.53
1170.77,0.57
1182.48,0.63
1194.30,0.69
1206.25,0.74
1218.31,0.81
1230.49,0.87
1242.80,0.94
1255.22,1.01
1267.78,1.08
1280.45,1.14
1293.26,1.20
1306.19,1.26
1319.25,1.32
1332.45,1.38
1345.77,1.44
1359.23,1.49
1372.82,1.55
1386.55,1.60
1400.41,1.66
1414.42,1.72
1428.56,1.77
1442.85,1.83
1457.28,1.90
1471.85,1.95
1486.57,2.00
1501.43,2.04
1516.45,2.07
1531.61,2.12
1546.93,2.17
1562.40,2.22
1578.02,2.26
1593.80,2.32
1609.74,2.38
1625.84,2.47
1642.10,2.55
1658.52,2.65
1675.10,2.75
1691.85,2.86
1708.77,2.97
1725.86,3.08
1743.12,3.18
1760.55,3.29
1778.15,3.40
1795.94,3.51
1813.90,3.61
1832.03,3.71
1850.36,3.81
1868.86,3.91
1887.55,4.00
1906.42,4.09
1925.49,4.20
1944.74,4.30
1964.19,4.41
1983.83,4.51
2003.67,4.61
2023.71,4.71
2043.94,4.82
2064.38,4.93
2085.03,5.05
2105.88,5.16
2126.94,5.27
2148.20,5.37
2169.69,5.46
2191.38,5.57
2213.30,5.70
2235.43,5.84
2257.78,5.97
2280.36,6.10
2303.17,6.22
2326.20,6.34
2349.46,6.46
2372.95,6.58
2396.68,6.71
2420.65,6.83
2444.86,6.94
2469.31,7.06
2494.00,7.17
2518.94,7.26
2544.13,7.35
2569.57,7.44
2595.27,7.52
2621.22,7.58
