frequency,raw
20.00,10.16
20.20,10.13
20.40,10.10
20.61,10.06
20.81,10.03
21.02,9.99
21.23,9.96
21.44,9.92
21.66,9.89
21.87,9.86
22.09,9.84
22.31,9.82
22.54,9.81
22.76,9.79
22.99,9.77
23.22,9.75
23.45,9.73
23.69,9.71
23.92,9.68
24.16,9.66
24.40,9.63
24.65,9.61
24.89,9.57
25.14,9.54
25.39,9.50
25.65,9.46
25.91,9.43
26.16,9.40
26.43,9.38
26.69,9.35
26.96,9.33
27.23,9.30
27.50,9.26
27.77,9.21
28.05,9.16
28.33,9.10
28.62,9.05
28.90,9.00
29.19,8.95
29.48,8.91
29.78,8.86
30.08,8.81
30.38,8.77
30.68,8.72
30.99,8.69
31.30,8.66
31.61,8.64
31.93,8.62
32.24,8.59
32.57,8.56
32.89,8.52
33.22,8.48
33.55,8.44
33.89,8.40
34.23,8.35
34.57,8.31
34.92,8.26
35.27,8.21
35.62,8.17
35.97,8.12
36.33,8.06
36.70,8.00
37.06,7.92
37.43,7.85
37.81,7.79
38.19,7.74
38.57,7.69
38.95,7.65
39.34,7.61
39.74,7.57
40.14,7.54
40.54,7.51
40.94,7.50
41.35,7.49
41.76,7.48
42.18,7.46
42.60,7.43
43.03,7.39
43.46,7.35
43.90,7.31
44.33,7.27
44.78,7.23
45.23,7.19
45.68,7.15
46.13,7.12
46.60,7.07
47.06,7.01
47.53,6.94
48.01,6.85
48.49,6.77
48.97,6.70
49.46,6.62
49.96,6.53
50.46,6.45
50.96,6.38
51.47,6.32
51.99,6.29
52.51,6.25
53.03,6.20
53.56,6.16
54.10,6.13
54.64,6.11
55.18,6.08
55.74,6.03
56.29,5.97
56.86,5.92
57.42,5.86
58.00,5.77
58.58,5.66
59.16,5.53
59.76,5.43
60.35,5.37
60.96,5.33
61.57,5.30
62.18,5.26
62.80,5.21
63.43,5.17
64.07,5.14
64.71,5.12
65.35,5.10
66.01,5.04
66.67,4.95
67.33,4.86
68.01,4.76
68.69,4.67
69.37,4.59
70.07,4.53
70.77,4.47
71.48,4.40
72.19,4.34
72.91,4.26
73.64,4.17
74.38,4.08
75.12,4.01
75.87,3.96
76.63,3.89
77.40,3.82
78.17,3.77
78.95,3.75
79.74,3.73
80.54,3.70
81.35,3.65
82.16,3.59
82.98,3.51
83.81,3.40
84.65,3.28
85.50,3.20
86.35,3.15
87.22,3.12
88.09,3.07
88.97,3.01
89.86,2.96
90.76,2.89
91.66,2.81
92.58,2.75
93.51,2.68
94.44,2.61
95.39,2.52
96.34,2.41
97.30,2.31
98.28,2.23
99.26,2.19
100.25,2.16
101.25,2.12
102.27,2.07
103.29,2.02
104.32,1.96
105.37,1.90
106.42,1.83
107.48,1.76
108.56,1.69
109.64,1.61
110.74,1.53
111.85,1.44
112.97,1.35
114.10,1.27
115.24,1.23
116.39,1.18
117.55,1.14
118.73,1.09
119.92,1.05
121.12,0.96
122.33,0.84
123.55,0.71
124.79,0.62
126.03,0.55
127.29,0.50
128.57,0.47
129.85,0.46
131.15,0.44
132.46,0.42
133.79,0.38
135.12,0.31
136.48,0.23
137.84,0.15
139.22,0.09
140.61,0.01
142.02,-0.05
143.44,-0.09
144.87,-0.13
146.32,-0.19
147.78,-0.27
149.26,-0.36
150.75,-0.45
152.26,-0.52
153.78,-0.59
155.32,-0.63
156.88,-0.65
158.44,-0.65
160.03,-0.67
161.63,-0.71
163.24,-0.75
164.88,-0.78
166.53,-0.81
168.19,-0.84
169.87,-0.86
171.57,-0.91
173.29,-1.00
175.02,-1.10
176.77,-1.16
178.54,-1.19
180.32,-1.22
182.13,-1.25
183.95,-1.28
185.79,-1.31
187.65,-1.36
