frequency,raw
20.00,10.39
20.20,10.39
20.40,10.39
20.61,10.38
20.81,10.36
21.02,10.33
21.23,10.28
21.44,10.23
21.66,10.17
21.87,10.11
22.09,10.05
22.31,9.98
22.54,9.92
22.76,9.86
22.99,9.79
23.22,9.71
23.45,9.62
23.69,9.54
23.92,9.45
24.16,9.37
24.40,9.29
24.65,9.23
24.89,9.18
25.14,9.14
25.39,9.11
25.65,9.09
25.91,9.08
26.16,9.08
26.43,9.08
26.69,9.09
26.96,9.11
27.23,9.12
27.50,9.14
27.77,9.16
28.05,9.17
28.33,9.17
28.62,9.17
28.90,9.16
29.19,9.13
29.48,9.11
29.78,9.07
30.08,9.02
30.38,8.97
30.68,8.91
30.99,8.85
31.30,8.79
31.61,8.72
31.93,8.64
32.24,8.56
32.57,8.48
32.89,8.40
33.22,8.33
33.55,8.27
33.89,8.22
34.23,8.17
34.57,8.13
34.92,8.09
35.27,8.07
35.62,8.05
35.97,8.05
36.33,8.04
36.70,8.04
37.06,8.03
37.43,8.01
37.81,7.99
38.19,7.96
38.57,7.91
38.95,7.85
39.34,7.78
39.74,7.71
40.14,7.63
40.54,7.56
40.94,7.48
41.35,7.41
41.76,7.34
42.18,7.27
42.60,7.20
43.03,7.15
43.46,7.09
43.90,7.04
44.33,6.98
44.78,6.93
45.23,6.87
45.68,6.82
46.13,6.78
46.60,6.73
47.06,6.69
47.53,6.63
48.01,6.58
48.49,6.52
48.97,6.46
49.46,6.40
49.96,6.33
50.46,6.25
50.96,6.17
51.47,6.11
51.99,6.05
52.51,6.00
53.03,5.92
53.56,5.82
54.10,5.73
54.64,5.66
55.18,5.60
55.74,5.53
56.29,5.45
56.86,5.38
57.42,5.31
58.00,5.24
58.58,5.18
59.16,5.12
59.76,5.06
60.35,4.98
60.96,4.89
61.57,4.80
62.18,4.71
62.80,4.63
63.43,4.54
64.07,4.45
64.71,4.37
65.35,4.29
66.01,4.21
66.67,4.14
67.33,4.07
68.01,4.00
68.69,3.93
69.37,3.86
70.07,3.78
70.77,3.70
71.48,3.60
72.19,3.50
72.91,3.40
73.64,3.31
74.38,3.23
75.12,3.15
75.87,3.06
76.63,2.98
77.40,2.90
78.17,2.82
78.95,2.73
79.74,2.64
80.54,2.55
81.35,2.46
82.16,2.36
82.98,2.27
83.81,2.18
84.65,2.10
85.50,2.01
86.35,1.92
87.22,1.83
88.09,1.74
88.97,1.65
89.86,1.56
90.76,1.47
91.66,1.39
92.58,1.30
93.51,1.21
94.44,1.12
95.39,1.03
96.34,0.93
97.30,0.83
98.28,0.74
99.26,0.64
100.25,0.55
101.25,0.45
102.27,0.36
103.29,0.27
104.32,0.17
105.37,0.09
106.42,-0.00
107.48,-0.09
108.56,-0.18
109.64,-0.28
110.74,-0.37
111.85,-0.47
112.97,-0.55
114.10,-0.64
115.24,-0.72
116.39,-0.81
117.55,-0.91
118.73,-1.00
119.92,-1.09
121.12,-1.18
122.33,-1.27
123.55,-1.34
124.79,-1.40
126.03,-1.47
127.29,-1.57
128.57,-1.69
129.85,-1.83
131.15,-1.93
132.46,-1.96
133.79,-1.96
135.12,-1.97
136.48,-2.01
137.84,-2.07
139.22,-2.14
140.61,-2.23
142.02,-2.30
143.44,-2.35
144.87,-2.40
146.32,-2.46
147.78,-2.52
149.26,-2.58
150.75,-2.64
152.26,-2.69
153.78,-2.73
155.32,-2.77
156.88,-2.79
158.44,-2.83
160.03,-2.87
161.63,-2.92
163.24,-2.96
164.88,-2.99
166.53,-3.03
168.19,-3.07
169.87,-3.11
171.57,-3.15
173.29,-3.19
175.02,-3.23
176.77,-3.28
178.54,-3.32
180.32,-3.36
182.13,-3.40
183.95,-3.42
185.79,-3.44
187.65,-3.45
189.52,-3.47
191.42,-3.49
193.33,-3.51
195.27,-3.51
197.22,-3.51
199.19,-3.52
201.18,-3.54
203.19,-3.56
205.23,-3.58
207.28,-3.59
209.35,-3.59
211.44,-3.59
213.56,-3.59
215.69,-3.59
217.85,-3.59
220.03,-3.59
222.23,-3.59
224.45,-3.59
226.70,-3.59
228.96,-3.58
231.25,-3.56
233.57,-3.54
235.90,-3.51
238.26,-3.47
240.64,-3.42
243.05,-3.35
245.48,-3.34
247.93,-3.37
250.41,-3.41
252.92,-3.43
255.45,-3.43
258.00,-3.40
260.58,-3.39
263.19,-3.37
265.82,-3.35
268.48,-3.34
271.16,-3.33
273.87,-3.31
276.61,-3.28
279.38,-3.26
282.17,-3.24
284.99,-3.21
287.84,-3.19
290.72,-3.17
293.63,-3.15
296.57,-3.13
299.53,-3.11
302.53,-3.09
305.55,-3.08
308.61,-3.06
311.69,-3.04
314.81,-3.02
317.96,-2.99
321.14,-2.97
324.35,-2.94
327.59,-2.92
330.87,-2.91
334.18,-2.90
337.52,-2.88
340.90,-2.87
344.30,-2.86
347.75,-2.84
351.23,-2.82
354.74,-2.79
358.28,-2.76
361.87,-2.74
365.49,-2.72
369.14,-2.71
372.83,-2.71
376.56,-2.69
380.33,-2.66
384.13,-2.65
387.97,-2.62
391.85,-2.60
395.77,-2.58
399.73,-2.56
403.72,-2.54
407.76,-2.53
411.84,-2.51
415.96,-2.50
420.12,-2.49
424.32,-2.48
428.56,-2.47
432.85,-2.45
437.18,-2.43
441.55,-2.41
445.96,-2.40
450.42,-2.38
454.93,-2.36
459.48,-2.34
464.07,-2.33
468.71,-2.32
473.40,-2.30
478.13,-2.28
482.91,-2.26
487.74,-2.26
492.62,-2.26
497.55,-2.25
502.52,-2.23
507.55,-2.21
512.62,-2.19
517.75,-2.18
522.93,-2.17
528.16,-2.15
533.44,-2.13
538.77,-2.12
544.16,-2.10
549.60,-2.08
555.10,-2.07
560.65,-2.06
566.25,-2.04
571.92,-2.02
577.64,-2.01
583.41,-1.99
589.25,-1.98
595.14,-1.97
601.09,-1.96
607.10,-1.96
613.17,-1.95
