frequency,raw
20.00,-2.77
20.20,-2.70
20.40,-2.62
20.61,-2.53
20.81,-2.43
21.02,-2.35
21.23,-2.29
21.44,-2.24
21.66,-2.19
21.87,-2.16
22.09,-2.12
22.31,-2.09
22.54,-2.06
22.76,-2.03
22.99,-2.01
23.22,-2.00
23.45,-2.00
23.69,-2.01
23.92,-2.02
24.16,-2.03
24.40,-2.05
24.65,-2.07
24.89,-2.08
25.14,-2.09
25.39,-2.09
25.65,-2.09
25.91,-2.09
26.16,-2.08
26.43,-2.06
26.69,-2.03
26.96,-1.98
27.23,-1.93
27.50,-1.86
27.77,-1.79
28.05,-1.73
28.33,-1.67
28.62,-1.61
28.90,-1.55
29.19,-1.50
29.48,-1.44
29.78,-1.39
30.08,-1.34
30.38,-1.29
30.68,-1.25
30.99,-1.22
31.30,-1.20
31.61,-1.19
31.93,-1.19
32.24,-1.19
32.57,-1.21
32.89,-1.22
33.22,-1.23
33.55,-1.23
33.89,-1.24
34.23,-1.23
34.57,-1.23
34.92,-1.22
35.27,-1.20
35.62,-1.17
35.97,-1.14
36.33,-1.09
36.70,-1.05
37.06,-1.01
37.43,-0.97
37.81,-0.94
38.19,-0.91
38.57,-0.88
38.95,-0.86
39.34,-0.85
39.74,-0.84
40.14,-0.84
40.54,-0.84
40.94,-0.83
41.35,-0.83
41.76,-0.83
42.18,-0.82
42.60,-0.81
43.03,-0.80
43.46,-0.80
43.90,-0.79
44.33,-0.79
44.78,-0.78
45.23,-0.77
45.68,-0.74
46.13,-0.72
46.60,-0.70
47.06,-0.68
47.53,-0.67
48.01,-0.66
48.49,-0.66
48.97,-0.65
49.46,-0.65
49.96,-0.65
50.46,-0.64
50.96,-0.63
51.47,-0.60
51.99,-0.57
52.51,-0.54
53.03,-0.54
53.56,-0.55
54.10,-0.56
54.64,-0.57
55.18,-0.56
55.74,-0.56
56.29,-0.55
56.86,-0.55
57.42,-0.55
58.00,-0.54
58.58,-0.54
59.16,-0.53
59.76,-0.51
60.35,-0.50
60.96,-0.50
61.57,-0.49
62.18,-0.49
62.80,-0.48
63.43,-0.47
64.07,-0.46
64.71,-0.45
65.35,-0.44
66.01,-0.44
66.67,-0.43
67.33,-0.43
68.01,-0.44
68.69,-0.44
69.37,-0.43
70.07,-0.42
70.77,-0.42
71.48,-0.42
72.19,-0.44
72.91,-0.44
73.64,-0.44
74.38,-0.44
75.12,-0.43
75.87,-0.42
76.63,-0.42
77.40,-0.42
78.17,-0.41
78.95,-0.41
79.74,-0.42
80.54,-0.43
81.35,-0.43
82.16,-0.44
82.98,-0.44
83.81,-0.44
84.65,-0.45
85.50,-0.45
86.35,-0.46
87.22,-0.46
88.09,-0.47
88.97,-0.46
89.86,-0.46
90.76,-0.46
91.66,-0.47
92.58,-0.47
93.51,-0.47
94.44,-0.47
95.39,-0.48
96.34,-0.48
97.30,-0.49
98.28,-0.49
99.26,-0.50
100.25,-0.50
101.25,-0.51
102.27,-0.52
103.29,-0.53
104.32,-0.54
105.37,-0.55
106.42,-0.55
107.48,-0.55
108.56,-0.56
109.64,-0.57
110.74,-0.58
111.85,-0.59
112.97,-0.60
114.10,-0.61
115.24,-0.62
116.39,-0.65
117.55,-0.66
118.73,-0.66
119.92,-0.65
121.12,-0.65
