frequency,raw
20.00,-11.57
20.20,-11.42
20.40,-11.23
20.61,-11.02
20.81,-10.84
21.02,-10.71
21.23,-10.65
21.44,-10.65
21.66,-10.66
21.87,-10.62
22.09,-10.49
22.31,-10.28
22.54,-10.05
22.76,-9.84
22.99,-9.66
23.22,-9.51
23.45,-9.38
23.69,-9.26
23.92,-9.15
24.16,-9.06
24.40,-8.99
24.65,-8.94
24.89,-8.91
25.14,-8.90
25.39,-8.89
25.65,-8.89
25.91,-8.87
26.16,-8.83
26.43,-8.77
26.69,-8.72
26.96,-8.66
27.23,-8.62
27.50,-8.58
27.77,-8.53
28.05,-8.47
28.33,-8.38
28.62,-8.25
28.90,-8.08
29.19,-7.89
29.48,-7.70
29.78,-7.51
30.08,-7.34
30.38,-7.20
30.68,-7.08
30.99,-6.97
31.30,-6.89
31.61,-6.81
31.93,-6.75
32.24,-6.68
32.57,-6.62
32.89,-6.56
33.22,-6.50
33.55,-6.45
33.89,-6.41
34.23,-6.37
34.57,-6.33
34.92,-6.28
35.27,-6.23
35.62,-6.16
35.97,-6.07
36.33,-5.97
36.70,-5.86
37.06,-5.75
37.43,-5.63
37.81,-5.51
38.19,-5.41
38.57,-5.31
38.95,-5.22
39.34,-5.13
39.74,-5.03
40.14,-4.92
40.54,-4.81
40.94,-4.71
41.35,-4.63
41.76,-4.55
42.18,-4.47
42.60,-4.39
43.03,-4.31
43.46,-4.23
43.90,-4.18
44.33,-4.13
44.78,-4.08
45.23,-4.02
45.68,-3.94
46.13,-3.86
46.60,-3.78
47.06,-3.71
47.53,-3.65
48.01,-3.58
48.49,-3.52
48.97,-3.46
49.46,-3.41
49.96,-3.37
50.46,-3.32
50.96,-3.26
51.47,-3.18
51.99,-3.10
52.51,-3.02
53.03,-2.97
53.56,-2.95
54.10,-2.92
54.64,-2.88
55.18,-2.83
55.74,-2.78
56.29,-2.73
56.86,-2.69
57.42,-2.65
58.00,-2.61
58.58,-2.57
59.16,-2.53
59.76,-2.49
60.35,-2.45
60.96,-2.41
61.57,-2.38
62.18,-2.34
62.80,-2.31
63.43,-2.29
64.07,-2.27
64.71,-2.26
65.35,-2.26
66.01,-2.26
66.67,-2.24
67.33,-2.23
68.01,-2.21
68.69,-2.19
69.37,-2.15
70.07,-2.11
70.77,-2.09
71.48,-2.08
72.19,-2.08
72.91,-2.07
73.64,-2.04
74.38,-2.01
75.12,-1.98
75.87,-1.96
76.63,-1.95
77.40,-1.93
78.17,-1.91
78.95,-1.90
79.74,-1.89
80.54,-1.88
81.35,-1.88
82.16,-1.87
82.98,-1.87
83.81,-1.87
84.65,-1.87
85.50,-1.87
86.35,-1.88
87.22,-1.89
88.09,-1.91
88.97,-1.93
89.86,-1.95
90.76,-1.98
91.66,-2.01
92.58,-2.04
93.51,-2.07
94.44,-2.11
95.39,-2.15
96.34,-2.19
97.30,-2.23
98.28,-2.27
99.26,-2.31
100.25,-2.36
101.25,-2.40
102.27,-2.45
103.29,-2.49
104.32,-2.53
105.37,-2.58
106.42,-2.63
107.48,-2.68
108.56,-2.74
109.64,-2.80
110.74,-2.87
111.85,-2.93
112.97,-2.99
114.10,-3.05
115.24,-3.11
116.39,-3.18
117.55,-3.25
118.73,-3.31
119.92,-3.38
121.12,-3.44
122.33,-3.50
123.55,-3.56
124.79,-3.62
126.03,-3.68
127.29,-3.74
128.57,-3.81
129.85,-3.88
131.15,-3.95
132.46,-4.01
133.79,-4.07
135.12,-4.13
136.48,-4.18
137.84,-4.24
139.22,-4.30
140.61,-4.37
142.02,-4.43
143.44,-4.49
144.87,-4.54
146.32,-4.60
147.78,-4.66
149.26,-4.73
150.75,-4.78
152.26,-4.83
153.78,-4.86
155.32,-4.89
156.88,-4.92
158.44,-4.95
160.03,-5.00
161.63,-5.06
163.24,-5.12
164.88,-5.17
166.53,-5.21
168.19,-5.27
169.87,-5.32
171.57,-5.38
173.29,-5.43
175.02,-5.47
176.77,-5.51
178.54,-5.54
180.32,-5.56
182.13,-5.58
183.95,-5.59
185.79,-5.59
187.65,-5.58
189.52,-5.56
191.42,-5.54
193.33,-5.52
195.27,-5.50
197.22,-5.47
199.19,-5.45
201.18,-5.44
203.19,-5.46
205.23,-5.47
207.28,-5.48
209.35,-5.48
211.44,-5.49
213.56,-5.50
215.69,-5.52
217.85,-5.55
220.03,-5.58
222.23,-5.61
224.45,-5.64
226.70,-5.68
228.96,-5.71
231.25,-5.75
