frequency,raw
20.00,-9.49
20.20,-9.38
20.40,-9.23
20.61,-9.05
20.81,-8.88
21.02,-8.72
21.23,-8.58
21.44,-8.44
21.66,-8.30
21.87,-8.15
22.09,-8.01
22.31,-7.87
22.54,-7.75
22.76,-7.64
22.99,-7.56
23.22,-7.48
23.45,-7.40
23.69,-7.30
23.92,-7.18
24.16,-7.06
24.40,-6.92
24.65,-6.79
24.89,-6.66
25.14,-6.53
25.39,-6.41
25.65,-6.28
25.91,-6.15
26.16,-6.03
26.43,-5.92
26.69,-5.81
26.96,-5.71
27.23,-5.61
27.50,-5.50
27.77,-5.39
28.05,-5.28
28.33,-5.16
28.62,-5.04
28.90,-4.92
29.19,-4.80
29.48,-4.68
29.78,-4.55
30.08,-4.40
30.38,-4.26
30.68,-4.11
30.99,-3.98
31.30,-3.85
31.61,-3.74
31.93,-3.64
32.24,-3.55
32.57,-3.46
32.89,-3.36
33.22,-3.26
33.55,-3.16
33.89,-3.05
34.23,-2.94
34.57,-2.84
34.92,-2.74
35.27,-2.63
35.62,-2.52
35.97,-2.40
36.33,-2.28
36.70,-2.17
37.06,-2.05
37.43,-1.94
37.81,-1.82
38.19,-1.71
38.57,-1.61
38.95,-1.53
39.34,-1.45
39.74,-1.37
40.14,-1.28
40.54,-1.19
40.94,-1.10
41.35,-1.01
41.76,-0.93
42.18,-0.85
42.60,-0.77
43.03,-0.69
43.46,-0.61
43.90,-0.53
44.33,-0.46
44.78,-0.38
45.23,-0.31
45.68,-0.23
46.13,-0.15
46.60,-0.06
47.06,0.01
47.53,0.08
48.01,0.14
48.49,0.20
48.97,0.25
49.46,0.29
49.96,0.31
50.46,0.35
50.96,0.40
51.47,0.48
51.99,0.56
52.51,0.62
53.03,0.67
53.56,0.70
54.10,0.75
54.64,0.80
55.18,0.86
55.74,0.93
56.29,0.98
56.86,1.03
57.42,1.07
58.00,1.11
58.58,1.14
59.16,1.17
59.76,1.21
60.35,1.24
60.96,1.26
61.57,1.27
62.18,1.28
62.80,1.30
63.43,1.32
64.07,1.33
64.71,1.35
65.35,1.36
66.01,1.37
66.67,1.40
67.33,1.42
68.01,1.45
68.69,1.48
69.37,1.52
70.07,1.56
70.77,1.60
71.48,1.62
72.19,1.64
72.91,1.66
73.64,1.69
74.38,1.72
75.12,1.75
75.87,1.77
76.63,1.79
77.40,1.79
78.17,1.80
78.95,1.80
79.74,1.81
80.54,1.81
81.35,1.81
82.16,1.81
82.98,1.81
83.81,1.81
84.65,1.81
85.50,1.81
86.35,1.81
87.22,1.81
88.09,1.81
88.97,1.81
89.86,1.81
90.76,1.81
91.66,1.81
92.58,1.80
93.51,1.79
94.44,1.79
95.39,1.78
96.34,1.77
97.30,1.77
