frequency,raw
20.00,-2.80
20.20,-2.79
20.40,-2.78
20.61,-2.76
20.81,-2.74
21.02,-2.74
21.23,-2.75
21.44,-2.78
21.66,-2.82
21.87,-2.89
22.09,-2.94
22.31,-2.97
22.54,-2.96
22.76,-2.92
22.99,-2.86
23.22,-2.79
23.45,-2.71
23.69,-2.62
23.92,-2.53
24.16,-2.45
24.40,-2.37
24.65,-2.30
24.89,-2.22
25.14,-2.14
25.39,-2.06
25.65,-2.00
25.91,-1.94
26.16,-1.91
26.43,-1.89
26.69,-1.90
26.96,-1.91
27.23,-1.92
27.50,-1.94
27.77,-1.98
28.05,-2.04
28.33,-2.12
28.62,-2.22
28.90,-2.30
29.19,-2.36
29.48,-2.39
29.78,-2.38
30.08,-2.35
30.38,-2.31
30.68,-2.30
30.99,-2.30
31.30,-2.32
31.61,-2.33
31.93,-2.32
32.24,-2.28
32.57,-2.22
32.89,-2.16
33.22,-2.13
33.55,-2.15
33.89,-2.21
34.23,-2.28
34.57,-2.32
34.92,-2.28
35.27,-2.15
35.62,-2.00
35.97,-1.89
36.33,-1.85
36.70,-1.87
37.06,-1.92
37.43,-1.93
37.81,-1.89
38.19,-1.84
38.57,-1.83
38.95,-1.92
39.34,-2.08
39.74,-2.24
40.14,-2.33
40.54,-2.33
40.94,-2.25
41.35,-2.15
41.76,-2.07
42.18,-2.00
42.60,-1.94
43.03,-1.88
43.46,-1.81
43.90,-1.74
44.33,-1.68
44.78,-1.62
45.23,-1.54
45.68,-1.46
46.13,-1.39
46.60,-1.31
47.06,-1.23
47.53,-1.14
48.01,-1.06
48.49,-1.01
48.97,-0.97
49.46,-0.94
49.96,-0.89
50.46,-0.83
50.96,-0.77
51.47,-0.72
51.99,-0.67
52.51,-0.65
53.03,-0.63
53.56,-0.63
54.10,-0.64
54.64,-0.64
55.18,-0.65
55.74,-0.65
56.29,-0.65
56.86,-0.67
57.42,-0.70
58.00,-0.74
58.58,-0.78
59.16,-0.82
59.76,-0.86
60.35,-0.90
60.96,-0.94
61.57,-0.99
62.18,-1.03
62.80,-1.06
63.43,-1.09
64.07,-1.12
64.71,-1.14
65.35,-1.16
66.01,-1.18
66.67,-1.20
67.33,-1.20
68.01,-1.21
68.69,-1.20
69.37,-1.18
70.07,-1.16
70.77,-1.14
71.48,-1.11
72.19,-1.07
72.91,-1.02
73.64,-0.94
74.38,-0.86
75.12,-0.77
75.87,-0.70
76.63,-0.63
77.40,-0.56
78.17,-0.50
78.95,-0.46
79.74,-0.42
80.54,-0.40
81.35,-0.39
82.16,-0.38
82.98,-0.38
83.81,-0.38
84.65,-0.38
85.50,-0.39
86.35,-0.40
87.22,-0.41
88.09,-0.42
88.97,-0.43
89.86,-0.45
90.76,-0.47
91.66,-0.48
92.58,-0.50
93.51,-0.51
94.44,-0.52
95.39,-0.54
96.34,-0.55
97.30,-0.55
98.28,-0.56
99.26,-0.57
100.25,-0.58
101.25,-0.60
102.27,-0.61
103.29,-0.62
104.32,-0.62
105.37,-0.62
106.42,-0.62
107.48,-0.63
108.56,-0.63
109.64,-0.65
110.74,-0.66
111.85,-0.67
112.97,-0.67
114.10,-0.67
115.24,-0.67
116.39,-0.67
117.55,-0.68
118.73,-0.68
119.92,-0.69
121.12,-0.70
122.33,-0.71
123.55,-0.71
124.79,-0.71
126.03,-0.70
127.29,-0.69
128.57,-0.69
129.85,-0.70
131.15,-0.71
132.46,-0.72
133.79,-0.72
135.12,-0.72
136.48,-0.72
137.84,-0.72
139.22,-0.72
140.61,-0.72
142.02,-0.73
143.44,-0.72
144.87,-0.72
146.32,-0.72
147.78,-0.73
149.26,-0.73
150.75,-0.73
152.26,-0.72
153.78,-0.71
155.32,-0.68
156.88,-0.66
158.44,-0.64
160.03,-0.64
161.63,-0.63
163.24,-0.62
164.88,-0.61
166.53,-0.61
168.19,-0.61
169.87,-0.61
171.57,-0.62
173.29,-0.64
175.02,-0.66
176.77,-0.69
178.54,-0.71
180.32,-0.72
182.13,-0.72
183.95,-0.71
185.79,-0.71
187.65,-0.70
189.52,-0.70
191.42,-0.70
193.33,-0.69
195.27,-0.68
197.22,-0.68
199.19,-0.68
201.18,-0.68
203.19,-0.69
205.23,-0.69
207.28,-0.70
209.35,-0.70
211.44,-0.72
213.56,-0.74
215.69,-0.76
217.85,-0.78
220.03,-0.79
222.23,-0.81
224.45,-0.83
226.70,-0.86
228.96,-0.90
231.25,-0.93
233.57,-0.95
235.90,-0.97
238.26,-0.99
240.64,-1.02
243.05,-1.06
245.48,-1.08
247.93,-1.11
250.41,-1.14
252.92,-1.17
255.45,-1.21
258.00,-1.25
260.58,-1.29
263.19,-1.33
265.82,-1.37
268.48,-1.43
271.16,-1.48
273.87,-1.52
276.61,-1.55
279.38,-1.58
282.17,-1.61
284.99,-1.64
287.84,-1.68
290.72,-1.72
293.63,-1.77
296.57,-1.82
299.53,-1.89
302.53,-1.96
305.55,-2.04
308.61,-2.12
311.69,-2.19
314.81,-2.28
317.96,-2.37
321.14,-2.47
324.35,-2.59
327.59,-2.70
330.87,-2.80
334.18,-2.91
337.52,-3.00
340.90,-3.09
344.30,-3.15
347.75,-3.19
351.23,-3.20
354.74,-3.20
358.28,-3.21
361.87,-3.23
365.49,-3.29
369.14,-3.35
372.83,-3.41
376.56,-3.46
380.33,-3.50
384.13,-3.53
387.97,-3.56
391.85,-3.58
395.77,-3.59
399.73,-3.55
403.72,-3.49
407.76,-3.44
411.84,-3.43
415.96,-3.46
420.12,-3.50
424.32,-3.54
428.56,-3.60
432.85,-3.67
437.18,-3.75
441.55,-3.85
445.96,-3.97
450.42,-4.09
454.93,-4.19
459.48,-4.28
464.07,-4.35
468.71,-4.40
473.40,-4.46
478.13,-4.52
482.91,-4.58
487.74,-4.61
492.62,-4.61
497.55,-4.60
502.52,-4.58
507.55,-4.56
512.62,-4.54
517.75,-4.49
522.93,-4.43
528.16,-4.33
533.44,-4.21
538.77,-4.05
544.16,-3.83
549.60,-3.55
555.10,-3.21
560.65,-2.86
566.25,-2.52
571.92,-2.20
577.64,-1.89
583.41,-1.61
589.25,-1.36
595.14,-1.14
601.09,-0.96
607.10,-0.82
613.17,-0.76
619.30,-0.81
625.50,-0.90
631.75,-0.92
638.07,-0.86
644.45,-0.74
650.89,-0.57
657.40,-0.35
663.98,-0.10
670.62,0.15
677.32,0.35
684.10,0.44
690.94,0.41
697.85,0.33
704.83,0.24
711.87,0.16
718.99,0.06
726.18,-0.11
733.44,-0.35
740.78,-0.68
748.19,-1.05
755.67,-1.39
763.23,-1.61
770.86,-1.66
778.57,-1.53
786.35,-1.26
794.22,-0.93
802.16,-0.66
810.18,-0.51
818.28,-0.54
826.46,-0.73
834.73,-0.97
843.08,-1.12
851.51,-1.03
860.02,-0.76
868.62,-0.46
877.31,-0.26
886.08,-0.17
894.94,-0.19
903.89,-0.26
912.93,-0.40
922.06,-0.56
931.28,-0.66
940.59,-0.58
950.00,-0.37
959.50,-0.10
969.09,0.07
978.78,0.09
988.57,0.02
998.46,-0.01
1008.44,0.04
1018.53,0.10
1028.71,0.13
1039.00,0.11
1049.39,0.04
1059.88,-0.10
1070.48,-0.29
1081.19,-0.50
1092.00,-0.70
1102.92,-0.91
1113.95,-1.05
1125.09,-1.10
1136.34,-1.07
1147.70,-1.03
1159.18,-0.99
1170.77,-0.98
1182.48,-1.04
1194.30,-1.17
1206.25,-1.33
1218.31,-1.47
1230.49,-1.51
1242.80,-1.46
1255.22,-1.41
1267.78,-1.43
1280.45,-1.55
1293.26,-1.73
1306.19,-1.94
1319.25,-2.18
1332.45,-2.39
1345.77,-2.49
1359.23,-2.46
1372.82,-2.38
1386.55,-2.30
1400.41,-2.21
1414.42,-2.14
1428.56,-2.08
1442.85,-1.99
1457.28,-1.81
1471.85,-1.49
1486.57,-1.07
1501.43,-0.66
1516.45,-0.31
1531.61,-0.02
1546.93,0.21
1562.40,0.38
1578.02,0.51
1593.80,0.58
1609.74,0.61
1625.84,0.62
1642.10,0.62
1658.52,0.59
1675.10,0.51
1691.85,0.47
1708.77,0.44
1725.86,0.37
1743.12,0.23
1760.55,0.02
1778.15,-0.22
1795.94,-0.46
1813.90,-0.61
1832.03,-0.68
1850.36,-0.71
1868.86,-0.76
1887.55,-0.79
1906.42,-0.72
1925.49,-0.59
1944.74,-0.47
1964.19,-0.40
1983.83,-0.33
2003.67,-0.23
2023.71,-0.06
2043.94,0.14
2064.38,0.28
2085.03,0.36
2105.88,0.43
2126.94,0.55
2148.20,0.69
2169.69,0.88
2191.38,1.21
2213.30,1.66
2235.43,2.17
2257.78,2.65
2280.36,3.06
2303.17,3.46
2326.20,3.92
2349.46,4.36
2372.95,4.67
2396.68,4.85
2420.65,4.92
2444.86,4.99
2469.31,5.12
2494.00,5.28
2518.94,5.40
2544.13,5.43
2569.57,5.39
2595.27,5.35
2621.22,5.41
2647.43,5.63
2673.90,6.00
2700.64,6.39
2727.65,6.68
2754.93,6.80
2782.48,6.87
2810.30,7.08
2838.40,7.47
2866.79,7.85
2895.46,8.06
2924.41,8.12
2953.65,8.14
2983.19,8.15
3013.02,8.16
3043.15,8.20
3073.58,8.37
3104.32,8.63
3135.36,8.90
3166.72,9.14
3198.38,9.35
3230.37,9.48
3262.67,9.56
3295.30,9.63
3328.25,9.63
3361.53,9.47
3395.15,9.12
3429.10,8.74
3463.39,8.51
3498.03,8.51
3533.01,8.54
3568.34,8.42
3604.02,8.29
3640.06,8.29
3676.46,8.31
3713.22,8.21
3750.36,7.97
3787.86,7.62
3825.74,7.20
3864.00,6.78
3902.64,6.44
3941.66,6.14
3981.08,5.81
4020.89,5.50
4061.10,5.19
4101.71,4.81
4142.73,4.43
4184.15,4.24
4226.00,4.47
4268.26,4.90
4310.94,5.20
4354.05,5.23
4397.59,5.16
4441.56,5.18
4485.98,5.37
4530.84,5.63
4576.15,5.80
4621.91,5.84
4668.13,5.72
4714.81,5.55
4761.96,5.45
4809.58,5.31
4857.67,5.15
4906.25,5.04
4955.31,4.95
5004.87,4.80
5054.91,4.49
5105.46,4.07
5156.52,3.59
5208.08,3.07
5260.16,2.53
5312.77,1.97
5365.89,1.38
5419.55,0.81
5473.75,0.20
5528.49,-0.48
5583.77,-1.19
5639.61,-1.82
5696.00,-2.44
5752.96,-3.13
5810.49,-4.00
5868.60,-5.04
5927.28,-6.11
5986.56,-6.95
6046.42,-7.41
6106.89,-7.46
6167.96,-7.34
6229.64,-7.09
6291.93,-6.72
6354.85,-6.33
6418.40,-5.98
6482.58,-5.67
6547.41,-5.43
6612.88,-5.30
6679.01,-5.19
6745.80,-5.02
6813.26,-4.86
6881.39,-4.85
6950.21,-5.00
7019.71,-5.16
7089.91,-5.26
7160.81,-5.32
7232.41,-5.41
7304.74,-5.50
7377.79,-5.54
7451.56,-5.51
7526.08,-5.37
7601.34,-5.05
7677.35,-4.54
7754.13,-3.96
7831.67,-3.39
7909.98,-2.88
7989.08,-2.58
8068.98,-2.54
8149.67,-2.68
8231.16,-2.76
8313.47,-2.75
8396.61,-2.83
8480.57,-3.13
8565.38,-3.51
8651.03,-3.55
8737.54,-3.10
8824.92,-2.52
8913.17,-2.23
9002.30,-2.35
9092.32,-2.75
9183.25,-3.37
9275.08,-4.37
9367.83,-5.84
9461.51,-7.65
9556.12,-9.49
9651.68,-11.17
9748.20,-12.39
9845.68,-12.55
9944.14,-11.88
10043.58,-11.15
10144.02,-10.58
10245.46,-9.99
10347.91,-9.20
10451.39,-8.12
10555.91,-6.67
10661.46,-4.96
10768.08,-3.18
10875.76,-1.51
10984.52,-0.14
11094.36,0.79
11205.31,1.18
11317.36,1.15
11430.53,0.73
11544.84,0.09
11660.29,-0.67
11776.89,-1.51
11894.66,-2.34
12013.60,-3.04
12133.74,-3.53
12255.08,-3.88
12377.63,-4.18
12501.41,-4.35
12626.42,-4.14
12752.68,-3.25
12880.21,-2.23
13009.01,-1.54
13139.10,-1.27
13270.49,-1.28
13403.20,-1.56
13537.23,-2.05
13672.60,-2.72
13809.33,-3.55
13947.42,-4.48
14086.90,-5.41
14227.77,-6.19
14370.04,-6.73
14513.74,-6.94
14658.88,-6.81
14805.47,-6.24
14953.52,-5.33
15103.06,-4.60
15254.09,-4.25
15406.63,-4.17
15560.70,-4.17
15716.30,-4.14
15873.47,-4.03
16032.20,-3.82
16192.52,-3.51
16354.45,-3.12
16517.99,-2.61
16683.17,-2.04
16850.01,-1.43
17018.51,-0.86
17188.69,-0.47
17360.58,-0.47
17534.18,-1.07
17709.53,-2.17
17886.62,-3.43
18065.49,-4.27
18246.14,-4.30
18428.60,-3.28
18612.89,-1.93
18799.02,-0.62
18987.01,0.46
19176.88,1.28
19368.65,1.70
19562.33,1.79
19757.96,1.74
19955.54,1.75
