frequency,raw
20.00,2.32
20.20,2.32
20.40,2.32
20.61,2.32
20.81,2.32
21.02,2.31
21.23,2.31
21.44,2.31
21.66,2.31
21.87,2.32
22.09,2.34
22.31,2.36
22.54,2.38
22.76,2.40
22.99,2.42
23.22,2.42
23.45,2.43
23.69,2.43
23.92,2.44
24.16,2.45
24.40,2.46
24.65,2.48
24.89,2.49
25.14,2.50
25.39,2.50
25.65,2.50
25.91,2.49
26.16,2.48
26.43,2.47
26.69,2.47
26.96,2.48
27.23,2.50
27.50,2.53
27.77,2.56
28.05,2.59
28.33,2.61
28.62,2.62
28.90,2.63
29.19,2.63
29.48,2.63
29.78,2.63
30.08,2.63
30.38,2.63
30.68,2.63
30.99,2.64
31.30,2.65
31.61,2.65
31.93,2.65
32.24,2.63
32.57,2.61
32.89,2.58
33.22,2.56
33.55,2.53
33.89,2.51
34.23,2.49
34.57,2.48
34.92,2.47
35.27,2.46
35.62,2.45
35.97,2.44
36.33,2.44
36.70,2.45
37.06,2.46
37.43,2.47
37.81,2.48
38.19,2.48
38.57,2.48
38.95,2.47
39.34,2.48
39.74,2.49
40.14,2.50
40.54,2.52
40.94,2.53
41.35,2.53
41.76,2.53
42.18,2.53
42.60,2.54
43.03,2.54
43.46,2.54
43.90,2.53
44.33,2.51
44.78,2.49
45.23,2.46
45.68,2.45
46.13,2.44
46.60,2.43
47.06,2.43
47.53,2.42
48.01,2.41
48.49,2.39
48.97,2.36
49.46,2.33
49.96,2.32
50.46,2.34
50.96,2.37
51.47,2.41
51.99,2.44
52.51,2.46
53.03,2.47
53.56,2.47
54.10,2.48
54.64,2.51
55.18,2.56
55.74,2.61
56.29,2.67
56.86,2.73
57.42,2.79
58.00,2.86
58.58,2.92
59.16,2.98
59.76,3.05
60.35,3.10
60.96,3.16
61.57,3.21
62.18,3.26
62.80,3.30
63.43,3.35
64.07,3.39
64.71,3.42
65.35,3.45
66.01,3.47
66.67,3.49
67.33,3.50
68.01,3.52
68.69,3.53
69.37,3.55
70.07,3.57
70.77,3.58
71.48,3.57
72.19,3.55
72.91,3.55
73.64,3.54
74.38,3.54
75.12,3.54
75.87,3.53
76.63,3.51
77.40,3.50
78.17,3.49
78.95,3.48
79.74,3.47
80.54,3.45
81.35,3.44
82.16,3.43
82.98,3.42
83.81,3.41
84.65,3.41
85.50,3.39
86.35,3.38
87.22,3.36
88.09,3.34
88.97,3.32
89.86,3.29
90.76,3.27
91.66,3.25
92.58,3.23
93.51,3.21
94.44,3.20
95.39,3.19
96.34,3.19
97.30,3.20
98.28,3.20
99.26,3.22
100.25,3.23
101.25,3.24
102.27,3.25
103.29,3.26
104.32,3.28
105.37,3.29
106.42,3.30
107.48,3.31
108.56,3.31
109.64,3.31
110.74,3.31
111.85,3.31
112.97,3.31
114.10,3.32
115.24,3.33
116.39,3.33
117.55,3.32
118.73,3.31
119.92,3.30
121.12,3.29
122.33,3.28
123.55,3.27
124.79,3.27
126.03,3.28
127.29,3.28
128.57,3.28
129.85,3.27
131.15,3.25
132.46,3.23
133.79,3.23
135.12,3.23
136.48,3.23
137.84,3.22
139.22,3.21
140.61,3.20
142.02,3.19
143.44,3.18
144.87,3.18
146.32,3.17
147.78,3.16
149.26,3.15
150.75,3.13
152.26,3.12
153.78,3.12
155.32,3.13
156.88,3.14
158.44,3.14
160.03,3.13
161.63,3.13
163.24,3.12
164.88,3.12
166.53,3.12
168.19,3.12
169.87,3.13
171.57,3.14
173.29,3.15
175.02,3.16
176.77,3.16
178.54,3.17
180.32,3.17
182.13,3.18
183.95,3.20
185.79,3.21
187.65,3.23
189.52,3.24
191.42,3.24
193.33,3.23
195.27,3.23
197.22,3.22
199.19,3.22
201.18,3.20
203.19,3.17
205.23,3.15
207.28,3.12
209.35,3.09
211.44,3.05
213.56,3.01
215.69,2.97
217.85,2.93
220.03,2.88
222.23,2.82
224.45,2.75
226.70,2.68
228.96,2.60
231.25,2.53
233.57,2.46
235.90,2.38
238.26,2.30
240.64,2.21
243.05,2.13
245.48,2.04
247.93,1.95
250.41,1.86
252.92,1.77
255.45,1.68
258.00,1.57
260.58,1.46
263.19,1.35
265.82,1.23
268.48,1.12
271.16,1.04
273.87,0.97
276.61,0.89
279.38,0.82
282.17,0.75
284.99,0.69
287.84,0.62
290.72,0.55
293.63,0.50
296.57,0.44
299.53,0.39
302.53,0.35
305.55,0.31
308.61,0.27
311.69,0.23
314.81,0.18
317.96,0.13
321.14,0.08
324.35,0.04
327.59,0.00
330.87,-0.04
334.18,-0.08
337.52,-0.12
340.90,-0.16
344.30,-0.20
347.75,-0.23
351.23,-0.25
354.74,-0.25
358.28,-0.25
361.87,-0.24
365.49,-0.25
369.14,-0.26
372.83,-0.27
376.56,-0.29
380.33,-0.31
384.13,-0.32
387.97,-0.32
391.85,-0.31
395.77,-0.30
399.73,-0.28
403.72,-0.26
407.76,-0.25
411.84,-0.25
