frequency,raw
20.00,-18.55
20.20,-18.43
20.40,-18.29
20.61,-18.15
20.81,-18.07
21.02,-18.04
21.23,-18.03
21.44,-17.99
21.66,-17.90
21.87,-17.71
22.09,-17.47
22.31,-17.23
22.54,-17.01
22.76,-16.84
22.99,-16.74
23.22,-16.67
23.45,-16.59
23.69,-16.47
23.92,-16.31
24.16,-16.13
24.40,-15.95
24.65,-15.77
24.89,-15.61
25.14,-15.48
25.39,-15.37
25.65,-15.30
25.91,-15.26
26.16,-15.24
26.43,-15.25
26.69,-15.28
26.96,-15.32
27.23,-15.35
27.50,-15.34
27.77,-15.25
28.05,-15.06
28.33,-14.81
28.62,-14.51
28.90,-14.22
29.19,-13.95
29.48,-13.71
29.78,-13.50
30.08,-13.31
30.38,-13.15
30.68,-13.01
30.99,-12.90
31.30,-12.79
31.61,-12.67
31.93,-12.53
32.24,-12.35
32.57,-12.16
32.89,-11.95
33.22,-11.74
33.55,-11.56
33.89,-11.40
34.23,-11.28
34.57,-11.18
34.92,-11.08
35.27,-10.98
35.62,-10.87
35.97,-10.74
36.33,-10.60
36.70,-10.45
37.06,-10.30
37.43,-10.14
37.81,-9.99
38.19,-9.84
38.57,-9.70
38.95,-9.56
39.34,-9.43
39.74,-9.29
40.14,-9.14
40.54,-8.99
40.94,-8.84
41.35,-8.69
41.76,-8.52
42.18,-8.34
42.60,-8.16
43.03,-8.01
43.46,-7.88
43.90,-7.76
44.33,-7.65
44.78,-7.52
45.23,-7.37
45.68,-7.21
46.13,-7.05
46.60,-6.90
47.06,-6.75
47.53,-6.60
48.01,-6.45
48.49,-6.31
48.97,-6.17
49.46,-6.04
49.96,-5.91
50.46,-5.77
50.96,-5.61
51.47,-5.44
51.99,-5.27
52.51,-5.11
53.03,-4.97
53.56,-4.83
54.10,-4.69
54.64,-4.54
55.18,-4.39
55.74,-4.24
56.29,-4.10
56.86,-3.96
57.42,-3.81
58.00,-3.67
58.58,-3.53
59.16,-3.39
59.76,-3.24
60.35,-3.10
60.96,-2.96
61.57,-2.82
62.18,-2.67
62.80,-2.52
63.43,-2.36
64.07,-2.20
64.71,-2.04
65.35,-1.89
66.01,-1.73
66.67,-1.57
67.33,-1.40
68.01,-1.24
68.69,-1.09
69.37,-0.94
70.07,-0.79
70.77,-0.63
71.48,-0.49
72.19,-0.35
72.91,-0.21
73.64,-0.05
74.38,0.10
75.12,0.26
75.87,0.41
76.63,0.56
77.40,0.70
78.17,0.85
78.95,0.98
79.74,1.11
80.54,1.23
81.35,1.36
82.16,1.49
82.98,1.61
83.81,1.74
84.65,1.86
85.50,1.97
86.35,2.08
87.22,2.19
88.09,2.30
88.97,2.41
89.86,2.51
90.76,2.61
91.66,2.70
92.58,2.79
93.51,2.87
94.44,2.96
95.39,3.04
96.34,3.12
97.30,3.19
98.28,3.27
99.26,3.34
100.25,3.40
101.25,3.45
102.27,3.50
103.29,3.55
104.32,3.59
105.37,3.64
106.42,3.68
107.48,3.71
108.56,3.74
109.64,3.76
110.74,3.78
111.85,3.80
112.97,3.82
114.10,3.83
115.24,3.84
116.39,3.85
117.55,3.85
118.73,3.86
119.92,3.86
121.12,3.85
122.33,3.85
123.55,3.84
124.79,3.83
126.03,3.81
127.29,3.80
128.57,3.78
129.85,3.76
131.15,3.74
132.46,3.71
133.79,3.68
135.12,3.65
136.48,3.62
137.84,3.59
139.22,3.55
140.61,3.51
142.02,3.46
143.44,3.42
144.87,3.38
146.32,3.34
147.78,3.29
149.26,3.24
150.75,3.20
152.26,3.16
153.78,3.13
155.32,3.11
156.88,3.08
158.44,3.04
160.03,2.99
161.63,2.94
163.24,2.89
164.88,2.85
166.53,2.81
168.19,2.75
169.87,2.70
171.57,2.64
173.29,2.58
175.02,2.52
176.77,2.45
178.54,2.37
180.32,2.30
182.13,2.23
183.95,2.19
185.79,2.15
187.65,2.11
189.52,2.08
191.42,2.03
193.33,1.99
195.27,1.95
197.22,1.93
199.19,1.90
201.18,1.87
203.19,1.82
205.23,1.77
207.28,1.73
209.35,1.69
211.44,1.66
213.56,1.62
215.69,1.59
217.85,1.54
220.03,1.49
222.23,1.44
224.45,1.39
