frequency,raw
20.00,0.58
20.20,0.61
20.40,0.66
20.61,0.70
20.81,0.75
21.02,0.81
21.23,0.88
21.44,0.94
21.66,1.00
21.87,1.06
22.09,1.12
22.31,1.19
22.54,1.25
22.76,1.31
22.99,1.36
23.22,1.40
23.45,1.45
23.69,1.50
23.92,1.54
24.16,1.59
24.40,1.64
24.65,1.68
24.89,1.73
25.14,1.78
25.39,1.82
25.65,1.85
25.91,1.89
26.16,1.93
26.43,1.96
26.69,1.99
26.96,2.03
27.23,2.06
27.50,2.08
27.77,2.12
28.05,2.13
28.33,2.17
28.62,2.21
28.90,2.22
29.19,2.26
29.48,2.26
29.78,2.31
30.08,2.32
30.38,2.36
30.68,2.36
30.99,2.40
31.30,2.40
31.61,2.45
31.93,2.45
32.24,2.49
32.57,2.50
32.89,2.50
33.22,2.54
33.55,2.54
33.89,2.56
34.23,2.59
34.57,2.59
34.92,2.61
35.27,2.64
35.62,2.64
35.97,2.64
36.33,2.68
36.70,2.68
37.06,2.68
37.43,2.68
37.81,2.73
38.19,2.73
38.57,2.73
38.95,2.73
39.34,2.74
39.74,2.77
40.14,2.78
40.54,2.78
40.94,2.78
41.35,2.75
41.76,2.73
42.18,2.73
42.60,2.73
43.03,2.73
43.46,2.69
43.90,2.68
44.33,2.68
44.78,2.66
45.23,2.64
45.68,2.64
46.13,2.62
46.60,2.59
47.06,2.59
47.53,2.55
48.01,2.54
48.49,2.54
48.97,2.50
49.46,2.50
49.96,2.47
50.46,2.45
50.96,2.42
51.47,2.40
51.99,2.38
52.51,2.36
53.03,2.32
53.56,2.31
54.10,2.26
54.64,2.25
55.18,2.22
55.74,2.19
56.29,2.17
56.86,2.13
57.42,2.12
58.00,2.08
58.58,2.03
59.16,2.03
59.76,1.98
60.35,1.94
60.96,1.91
61.57,1.88
62.18,1.84
62.80,1.79
63.43,1.76
64.07,1.73
64.71,1.68
65.35,1.64
66.01,1.59
66.67,1.54
67.33,1.50
68.01,1.45
68.69,1.40
69.37,1.36
70.07,1.31
70.77,1.26
71.48,1.22
72.19,1.17
72.91,1.12
73.64,1.08
74.38,1.03
75.12,0.98
75.87,0.94
76.63,0.89
77.40,0.84
78.17,0.78
78.95,0.73
79.74,0.67
80.54,0.62
81.35,0.57
82.16,0.52
82.98,0.47
83.81,0.42
84.65,0.36
85.50,0.30
86.35,0.24
87.22,0.21
88.09,0.15
88.97,0.10
89.86,0.04
90.76,0.01
91.66,-0.04
92.58,-0.10
93.51,-0.17
94.44,-0.23
95.39,-0.27
96.34,-0.32
97.30,-0.37
98.28,-0.43
99.26,-0.50
100.25,-0.55
101.25,-0.62
102.27,-0.68
103.29,-0.74
104.32,-0.79
105.37,-0.83
106.42,-0.88
107.48,-0.94
108.56,-1.00
109.64,-1.06
110.74,-1.11
111.85,-1.15
112.97,-1.21
114.10,-1.25
115.24,-1.30
116.39,-1.35
117.55,-1.39
118.73,-1.43
119.92,-1.48
121.12,-1.52
122.33,-1.55
123.55,-1.60
124.79,-1.63
126.03,-1.69
127.29,-1.72
128.57,-1.75
129.85,-1.80
131.15,-1.83
132.46,-1.87
133.79,-1.90
135.12,-1.93
136.48,-1.97
137.84,-2.01
139.22,-2.04
140.61,-2.08
142.02,-2.11
143.44,-2.14
144.87,-2.17
146.32,-2.20
147.78,-2.23
149.26,-2.25
150.75,-2.29
152.26,-2.30
153.78,-2.33
155.32,-2.35
156.88,-2.35
158.44,-2.39
160.03,-2.39
161.63,-2.39
163.24,-2.44
164.88,-2.44
166.53,-2.44
168.19,-2.44
169.87,-2.46
171.57,-2.48
173.29,-2.48
175.02,-2.48
176.77,-2.48
178.54,-2.48
180.32,-2.48
182.13,-2.48
183.95,-2.48
185.79,-2.48
187.65,-2.48
189.52,-2.48
191.42,-2.48
193.33,-2.44
195.27,-2.44
197.22,-2.44
199.19,-2.43
201.18,-2.39
203.19,-2.39
205.23,-2.36
207.28,-2.35
209.35,-2.33
211.44,-2.30
213.56,-2.29
215.69,-2.25
217.85,-2.24
220.03,-2.21
222.23,-2.19
224.45,-2.16
226.70,-2.15
228.96,-2.11
231.25,-2.08
233.57,-2.07
235.90,-2.02
238.26,-2.01
240.64,-1.97
243.05,-1.93
245.48,-1.90
247.93,-1.87
250.41,-1.84
