frequency,raw
20.00,7.62
20.20,7.62
20.40,7.61
20.61,7.57
20.81,7.57
21.02,7.52
21.23,7.52
21.44,7.48
21.66,7.47
21.87,7.43
22.09,7.43
22.31,7.39
22.54,7.37
22.76,7.34
22.99,7.32
23.22,7.29
23.45,7.27
23.69,7.25
23.92,7.21
24.16,7.20
24.40,7.15
24.65,7.12
24.89,7.10
25.14,7.06
25.39,7.04
25.65,7.01
25.91,6.98
26.16,6.95
26.43,6.92
26.69,6.89
26.96,6.86
27.23,6.83
27.50,6.79
27.77,6.76
28.05,6.73
28.33,6.69
28.62,6.67
28.90,6.64
29.19,6.59
29.48,6.55
29.78,6.52
30.08,6.49
30.38,6.45
30.68,6.41
30.99,6.37
31.30,6.34
31.61,6.31
31.93,6.27
32.24,6.23
32.57,6.19
32.89,6.16
33.22,6.11
33.55,6.08
33.89,6.05
34.23,5.99
34.57,5.96
34.92,5.93
35.27,5.88
35.62,5.84
35.97,5.80
36.33,5.76
36.70,5.73
37.06,5.67
37.43,5.64
37.81,5.59
38.19,5.56
38.57,5.50
38.95,5.47
39.34,5.42
39.74,5.39
40.14,5.33
40.54,5.30
40.94,5.25
41.35,5.21
41.76,5.16
42.18,5.13
42.60,5.07
43.03,5.03
43.46,4.99
43.90,4.94
44.33,4.89
44.78,4.85
45.23,4.80
45.68,4.76
46.13,4.71
46.60,4.68
47.06,4.62
47.53,4.57
48.01,4.54
48.49,4.48
48.97,4.43
49.46,4.40
49.96,4.34
50.46,4.31
50.96,4.26
51.47,4.23
51.99,4.17
52.51,4.14
53.03,4.09
53.56,4.03
54.10,4.00
54.64,3.95
55.18,3.91
55.74,3.86
56.29,3.81
56.86,3.77
57.42,3.72
58.00,3.67
58.58,3.63
59.16,3.58
59.76,3.53
60.35,3.49
60.96,3.44
61.57,3.39
62.18,3.35
62.80,3.30
63.43,3.25
64.07,3.21
64.71,3.16
65.35,3.11
66.01,3.05
66.67,3.02
67.33,2.97
68.01,2.91
68.69,2.88
69.37,2.83
70.07,2.80
70.77,2.74
71.48,2.69
72.19,2.66
72.91,2.60
73.64,2.56
74.38,2.52
75.12,2.47
75.87,2.43
76.63,2.38
77.40,2.35
78.17,2.29
78.95,2.24
79.74,2.21
80.54,2.15
81.35,2.12
82.16,2.07
82.98,2.01
83.81,1.98
84.65,1.93
85.50,1.89
86.35,1.84
87.22,1.81
88.09,1.75
88.97,1.72
89.86,1.67
90.76,1.63
91.66,1.58
92.58,1.54
93.51,1.50
94.44,1.47
95.39,1.41
96.34,1.38
97.30,1.33
98.28,1.30
99.26,1.24
100.25,1.21
101.25,1.16
102.27,1.12
103.29,1.09
104.32,1.05
105.37,1.01
106.42,0.98
107.48,0.93
108.56,0.89
109.64,0.86
110.74,0.81
111.85,0.77
112.97,0.74
114.10,0.71
115.24,0.67
116.39,0.63
117.55,0.60
118.73,0.56
119.92,0.53
121.12,0.49
122.33,0.45
123.55,0.42
124.79,0.39
126.03,0.35
127.29,0.30
128.57,0.27
129.85,0.24
131.15,0.21
132.46,0.18
133.79,0.14
135.12,0.11
136.48,0.07
137.84,0.03
139.22,0.02
140.61,-0.02
142.02,-0.07
143.44,-0.10
144.87,-0.12
146.32,-0.16
147.78,-0.17
149.26,-0.21
150.75,-0.25
152.26,-0.26
153.78,-0.30
155.32,-0.32
156.88,-0.35
158.44,-0.38
160.03,-0.40
161.63,-0.44
163.24,-0.45
164.88,-0.49
166.53,-0.52
168.19,-0.54
169.87,-0.56
171.57,-0.58
173.29,-0.62
175.02,-0.63
176.77,-0.66
178.54,-0.68
180.32,-0.71
182.13,-0.72
183.95,-0.76
185.79,-0.77
187.65,-0.82
189.52,-0.82
191.42,-0.85
193.33,-0.86
195.27,-0.90
197.22,-0.91
199.19,-0.94
201.18,-0.96
203.19,-0.96
205.23,-1.00
207.28,-1.00
209.35,-1.05
211.44,-1.05
213.56,-1.08
215.69,-1.10
217.85,-1.10
220.03,-1.14
222.23,-1.14
224.45,-1.19
226.70,-1.19
228.96,-1.23
231.25,-1.24
233.57,-1.24
235.90,-1.28
238.26,-1.28
240.64,-1.29
243.05,-1.33
245.48,-1.33
247.93,-1.35
250.41,-1.38
252.92,-1.38
255.45,-1.40
258.00,-1.42
260.58,-1.42
263.19,-1.42
265.82,-1.47
268.48,-1.47
271.16,-1.47
273.87,-1.47
276.61,-1.52
279.38,-1.52
282.17,-1.52
284.99,-1.54
287.84,-1.56
290.72,-1.56
293.63,-1.56
296.57,-1.59
299.53,-1.61
302.53,-1.61
305.55,-1.61
308.61,-1.65
311.69,-1.65
314.81,-1.65
317.96,-1.65
321.14,-1.67
324.35,-1.70
327.59,-1.70
330.87,-1.70
334.18,-1.70
337.52,-1.75
340.90,-1.75
344.30,-1.75
347.75,-1.75
351.23,-1.75
354.74,-1.75
358.28,-1.77
361.87,-1.79
365.49,-1.79
369.14,-1.79
372.83,-1.79
376.56,-1.79
380.33,-1.79
384.13,-1.79
387.97,-1.79
391.85,-1.79
395.77,-1.79
399.73,-1.82
403.72,-1.84
407.76,-1.84
411.84,-1.84
415.96,-1.84
420.12,-1.84
424.32,-1.84
428.56,-1.84
432.85,-1.84
437.18,-1.84
441.55,-1.84
445.96,-1.84
450.42,-1.84
454.93,-1.84
459.48,-1.84
464.07,-1.84
468.71,-1.84
473.40,-1.84
478.13,-1.84
482.91,-1.84
487.74,-1.84
492.62,-1.84
497.55,-1.84
502.52,-1.84
507.55,-1.84
512.62,-1.82
517.75,-1.82
522.93,-1.82
528.16,-1.79
533.44,-1.79
538.77,-1.79
544.16,-1.79
549.60,-1.79
555.10,-1.79
560.65,-1.79
566.25,-1.79
571.92,-1.79
577.64,-1.77
583.41,-1.75
589.25,-1.75
595.14,-1.75
601.09,-1.75
607.10,-1.75
613.17,-1.70
619.30,-1.70
625.50,-1.70
631.75,-1.70
638.07,-1.68
644.45,-1.65
650.89,-1.65
657.40,-1.65
663.98,-1.61
670.62,-1.61
677.32,-1.61
684.10,-1.56
690.94,-1.56
697.85,-1.55
704.83,-1.52
711.87,-1.52
718.99,-1.47
726.18,-1.47
733.44,-1.42
740.78,-1.42
748.19,-1.38
755.67,-1.37
763.23,-1.33
770.86,-1.31
778.57,-1.28
786.35,-1.25
794.22,-1.22
802.16,-1.19
810.18,-1.14
818.28,-1.10
826.46,-1.07
834.73,-1.04
843.08,-0.98
851.51,-0.95
860.02,-0.90
868.62,-0.85
877.31,-0.79
886.08,-0.76
894.94,-0.70
903.89,-0.65
912.93,-0.58
922.06,-0.52
931.28,-0.47
940.59,-0.42
950.00,-0.35
959.50,-0.28
