frequency,raw
20.00,11.24
20.20,11.24
20.40,11.26
20.61,11.29
20.81,11.29
21.02,11.33
21.23,11.33
21.44,11.36
21.66,11.38
21.87,11.38
22.09,11.43
22.31,11.43
22.54,11.43
22.76,11.43
22.99,11.47
23.22,11.47
23.45,11.47
23.69,11.51
23.92,11.52
24.16,11.52
24.40,11.52
24.65,11.57
24.89,11.57
25.14,11.57
25.39,11.57
25.65,11.61
25.91,11.61
26.16,11.61
26.43,11.62
26.69,11.66
26.96,11.66
27.23,11.66
27.50,11.69
27.77,11.71
28.05,11.71
28.33,11.71
28.62,11.71
28.90,11.75
29.19,11.75
29.48,11.75
29.78,11.75
30.08,11.75
30.38,11.75
30.68,11.75
30.99,11.76
31.30,11.78
31.61,11.80
31.93,11.80
32.24,11.80
32.57,11.80
32.89,11.80
33.22,11.80
33.55,11.80
33.89,11.80
34.23,11.82
34.57,11.85
34.92,11.85
35.27,11.85
35.62,11.85
35.97,11.85
36.33,11.85
36.70,11.85
37.06,11.85
37.43,11.85
37.81,11.85
38.19,11.87
38.57,11.87
38.95,11.89
39.34,11.89
39.74,11.89
40.14,11.89
40.54,11.89
40.94,11.89
41.35,11.89
41.76,11.89
42.18,11.89
42.60,11.89
43.03,11.89
43.46,11.89
43.90,11.89
44.33,11.87
44.78,11.87
45.23,11.87
45.68,11.87
46.13,11.85
46.60,11.85
47.06,11.85
47.53,11.85
48.01,11.85
48.49,11.85
48.97,11.85
49.46,11.85
49.96,11.85
50.46,11.85
50.96,11.85
51.47,11.85
51.99,11.85
52.51,11.82
53.03,11.80
53.56,11.80
54.10,11.80
54.64,11.80
55.18,11.80
55.74,11.80
56.29,11.75
56.86,11.75
57.42,11.75
58.00,11.75
58.58,11.73
59.16,11.71
59.76,11.71
60.35,11.71
60.96,11.71
61.57,11.66
62.18,11.66
62.80,11.66
63.43,11.66
64.07,11.64
64.71,11.61
65.35,11.61
66.01,11.61
66.67,11.60
67.33,11.57
68.01,11.57
68.69,11.57
69.37,11.52
70.07,11.52
70.77,11.52
71.48,11.47
72.19,11.47
72.91,11.47
73.64,11.44
74.38,11.43
75.12,11.43
75.87,11.40
76.63,11.38
77.40,11.38
78.17,11.34
78.95,11.33
79.74,11.33
80.54,11.29
81.35,11.29
82.16,11.27
82.98,11.24
83.81,11.24
84.65,11.21
85.50,11.19
86.35,11.19
87.22,11.15
88.09,11.15
88.97,11.10
89.86,11.10
90.76,11.08
91.66,11.05
92.58,11.05
93.51,11.01
94.44,11.01
95.39,10.96
96.34,10.96
97.30,10.91
98.28,10.91
99.26,10.87
100.25,10.84
101.25,10.82
102.27,10.79
103.29,10.77
104.32,10.74
105.37,10.73
106.42,10.68
107.48,10.67
108.56,10.63
109.64,10.61
110.74,10.58
111.85,10.54
112.97,10.52
114.10,10.49
115.24,10.45
116.39,10.42
117.55,10.40
118.73,10.36
119.92,10.33
121.12,10.30
122.33,10.27
123.55,10.24
124.79,10.20
126.03,10.17
127.29,10.12
128.57,10.09
129.85,10.06
131.15,10.03
132.46,9.97
133.79,9.94
135.12,9.89
136.48,9.86
137.84,9.80
139.22,9.77
140.61,9.72
142.02,9.68
143.44,9.63
144.87,9.60
146.32,9.56
147.78,9.52
149.26,9.52
150.75,9.47
152.26,9.47
153.78,9.44
155.32,9.42
156.88,9.42
158.44,9.38
160.03,9.36
161.63,9.33
163.24,9.28
164.88,9.24
166.53,9.21
168.19,9.17
169.87,9.12
171.57,9.07
173.29,9.04
175.02,8.98
176.77,8.95
178.54,8.90
180.32,8.87
182.13,8.81
183.95,8.77
185.79,8.71
187.65,8.67
189.52,8.62
191.42,8.57
193.33,8.51
195.27,8.47
197.22,8.42
199.19,8.37
201.18,8.32
203.19,8.26
205.23,8.21
207.28,8.15
209.35,8.10
211.44,8.05
213.56,8.00
215.69,7.95
217.85,7.90
220.03,7.84
222.23,7.77
224.45,7.72
226.70,7.67
228.96,7.63
231.25,7.57
233.57,7.51
235.90,7.45
238.26,7.40
240.64,7.35
243.05,7.26
245.48,7.21
247.93,7.16
250.41,7.12
252.92,7.06
255.45,6.98
258.00,6.93
260.58,6.87
263.19,6.80
265.82,6.74
268.48,6.69
271.16,6.62
273.87,6.56
276.61,6.50
279.38,6.44
282.17,6.37
284.99,6.31
287.84,6.25
290.72,6.19
293.63,6.13
296.57,6.06
