frequency,raw
20.00,10.77
20.20,10.77
20.40,10.78
20.61,10.82
20.81,10.82
21.02,10.87
21.23,10.87
21.44,10.89
21.66,10.91
21.87,10.91
22.09,10.96
22.31,10.96
22.54,10.96
22.76,10.96
22.99,10.99
23.22,11.01
23.45,11.01
23.69,11.01
23.92,11.01
24.16,11.05
24.40,11.05
24.65,11.05
24.89,11.05
25.14,11.10
25.39,11.10
25.65,11.10
25.91,11.10
26.16,11.10
26.43,11.10
26.69,11.10
26.96,11.10
27.23,11.10
27.50,11.10
27.77,11.10
28.05,11.10
28.33,11.08
28.62,11.08
28.90,11.07
29.19,11.05
29.48,11.05
29.78,11.05
30.08,11.05
30.38,11.05
30.68,11.05
30.99,11.05
31.30,11.05
31.61,11.05
31.93,11.05
32.24,11.05
32.57,11.05
32.89,11.05
33.22,11.05
33.55,11.01
33.89,11.01
34.23,11.01
34.57,11.01
34.92,10.97
35.27,10.96
35.62,10.96
35.97,10.96
36.33,10.96
36.70,10.91
37.06,10.91
37.43,10.91
37.81,10.91
38.19,10.87
38.57,10.87
38.95,10.87
39.34,10.87
39.74,10.82
40.14,10.82
40.54,10.82
40.94,10.78
41.35,10.77
41.76,10.77
42.18,10.73
42.60,10.73
43.03,10.73
43.46,10.68
43.90,10.68
44.33,10.66
44.78,10.63
45.23,10.63
45.68,10.59
46.13,10.57
46.60,10.54
47.06,10.51
47.53,10.49
48.01,10.47
48.49,10.45
48.97,10.40
49.46,10.40
49.96,10.35
50.46,10.33
50.96,10.31
51.47,10.27
51.99,10.26
52.51,10.21
53.03,10.21
53.56,10.17
54.10,10.16
54.64,10.12
55.18,10.10
55.74,10.07
56.29,10.04
56.86,10.03
57.42,9.98
58.00,9.97
58.58,9.94
59.16,9.89
59.76,9.87
60.35,9.84
60.96,9.80
61.57,9.78
62.18,9.75
62.80,9.72
63.43,9.69
64.07,9.66
64.71,9.63
65.35,9.61
66.01,9.56
66.67,9.53
67.33,9.52
68.01,9.47
68.69,9.44
69.37,9.41
70.07,9.38
70.77,9.35
71.48,9.31
72.19,9.26
72.91,9.23
73.64,9.20
74.38,9.17
75.12,9.12
75.87,9.08
76.63,9.05
77.40,9.02
78.17,8.99
78.95,8.96
79.74,8.91
80.54,8.87
81.35,8.84
82.16,8.81
82.98,8.77
83.81,8.72
84.65,8.69
85.50,8.66
86.35,8.63
87.22,8.58
88.09,8.54
88.97,8.51
89.86,8.48
90.76,8.44
91.66,8.40
92.58,8.37
93.51,8.33
94.44,8.30
95.39,8.26
96.34,8.22
97.30,8.19
98.28,8.16
99.26,8.12
100.25,8.09
101.25,8.05
102.27,8.01
103.29,7.98
104.32,7.95
105.37,7.91
106.42,7.86
107.48,7.83
108.56,7.80
109.64,7.77
110.74,7.72
111.85,7.68
112.97,7.65
114.10,7.61
115.24,7.56
116.39,7.53
117.55,7.50
118.73,7.47
119.92,7.42
121.12,7.39
122.33,7.35
123.55,7.33
124.79,7.29
126.03,7.26
127.29,7.23
128.57,7.19
129.85,7.14
131.15,7.12
132.46,7.08
133.79,7.05
135.12,7.02
136.48,6.99
137.84,6.95
139.22,6.91
140.61,6.87
142.02,6.84
143.44,6.81
144.87,6.77
146.32,6.73
147.78,6.69
149.26,6.65
150.75,6.61
152.26,6.58
153.78,6.52
155.32,6.49
156.88,6.46
158.44,6.41
160.03,6.37
161.63,6.32
163.24,6.29
164.88,6.24
166.53,6.20
168.19,6.17
169.87,6.12
171.57,6.09
173.29,6.06
175.02,6.02
176.77,5.97
178.54,5.94
180.32,5.91
182.13,5.88
183.95,5.83
185.79,5.79
187.65,5.78
189.52,5.74
191.42,5.70
193.33,5.67
195.27,5.65
197.22,5.61
199.19,5.57
201.18,5.55
203.19,5.51
205.23,5.48
207.28,5.45
209.35,5.42
211.44,5.37
213.56,5.35
215.69,5.30
217.85,5.27
220.03,5.24
222.23,5.21
224.45,5.16
226.70,5.12
228.96,5.09
231.25,5.04
233.57,5.01
235.90,4.97
238.26,4.93
240.64,4.89
243.05,4.84
245.48,4.80
247.93,4.75
250.41,4.72
252.92,4.67
255.45,4.63
258.00,4.60
260.58,4.55
263.19,4.49
265.82,4.46
268.48,4.41
271.16,4.37
273.87,4.32
276.61,4.27
279.38,4.23
282.17,4.18
284.99,4.13
287.84,4.10
290.72,4.04
293.63,4.01
296.57,3.98
299.53,3.93
302.53,3.89
305.55,3.85
308.61,3.81
311.69,3.78
314.81,3.75
317.96,3.72
321.14,3.68
324.35,3.64
