frequency,raw
20.00,6.90
20.20,6.88
20.40,6.88
20.61,6.88
20.81,6.88
21.02,6.88
21.23,6.88
21.44,6.83
21.66,6.83
21.87,6.83
22.09,6.81
22.31,6.79
22.54,6.79
22.76,6.78
22.99,6.74
23.22,6.74
23.45,6.74
23.69,6.74
23.92,6.69
24.16,6.69
24.40,6.69
24.65,6.69
24.89,6.65
25.14,6.65
25.39,6.65
25.65,6.64
25.91,6.60
26.16,6.60
26.43,6.60
26.69,6.55
26.96,6.55
27.23,6.55
27.50,6.53
27.77,6.51
28.05,6.51
28.33,6.49
28.62,6.46
28.90,6.46
29.19,6.43
29.48,6.41
29.78,6.41
30.08,6.37
30.38,6.37
30.68,6.32
30.99,6.32
31.30,6.30
31.61,6.27
31.93,6.27
32.24,6.23
32.57,6.23
32.89,6.19
33.22,6.18
33.55,6.15
33.89,6.13
34.23,6.12
34.57,6.09
34.92,6.08
35.27,6.04
35.62,6.03
35.97,5.99
36.33,5.98
36.70,5.95
37.06,5.94
37.43,5.90
37.81,5.89
38.19,5.86
38.57,5.84
38.95,5.81
39.34,5.79
39.74,5.76
40.14,5.73
40.54,5.72
40.94,5.67
41.35,5.66
41.76,5.62
42.18,5.60
42.60,5.58
43.03,5.54
43.46,5.53
43.90,5.48
44.33,5.47
44.78,5.44
45.23,5.41
45.68,5.39
46.13,5.35
46.60,5.34
47.06,5.30
47.53,5.25
48.01,5.25
48.49,5.20
48.97,5.18
49.46,5.15
49.96,5.12
50.46,5.09
50.96,5.06
51.47,5.02
51.99,5.00
52.51,4.97
53.03,4.92
53.56,4.90
54.10,4.87
54.64,4.83
55.18,4.79
55.74,4.78
56.29,4.74
56.86,4.69
57.42,4.66
58.00,4.63
58.58,4.60
59.16,4.57
59.76,4.54
60.35,4.51
60.96,4.46
61.57,4.44
62.18,4.41
62.80,4.37
63.43,4.35
64.07,4.32
64.71,4.27
65.35,4.23
66.01,4.20
66.67,4.17
67.33,4.13
68.01,4.09
68.69,4.06
69.37,4.03
70.07,3.99
70.77,3.95
71.48,3.91
72.19,3.88
72.91,3.85
73.64,3.81
74.38,3.76
75.12,3.73
75.87,3.70
76.63,3.67
77.40,3.62
78.17,3.58
78.95,3.55
79.74,3.52
80.54,3.48
81.35,3.43
82.16,3.40
82.98,3.36
83.81,3.32
84.65,3.29
85.50,3.26
86.35,3.22
87.22,3.18
88.09,3.14
88.97,3.11
89.86,3.06
90.76,3.02
91.66,2.99
92.58,2.96
93.51,2.91
94.44,2.88
95.39,2.84
96.34,2.79
97.30,2.76
98.28,2.73
99.26,2.69
100.25,2.64
101.25,2.61
102.27,2.57
103.29,2.53
104.32,2.49
105.37,2.46
106.42,2.43
107.48,2.38
108.56,2.35
109.64,2.29
110.74,2.26
111.85,2.22
112.97,2.18
114.10,2.14
115.24,2.09
116.39,2.06
117.55,2.01
118.73,1.97
119.92,1.92
121.12,1.87
122.33,1.83
123.55,1.78
124.79,1.74
126.03,1.69
127.29,1.64
128.57,1.60
129.85,1.55
131.15,1.50
132.46,1.44
133.79,1.37
135.12,1.31
136.48,1.25
137.84,1.19
139.22,1.13
140.61,1.07
142.02,1.02
143.44,1.01
144.87,1.00
146.32,1.01
147.78,1.04
149.26,1.13
150.75,1.19
152.26,1.30
153.78,1.37
155.32,1.47
156.88,1.55
158.44,1.60
160.03,1.62
161.63,1.64
163.24,1.65
164.88,1.62
166.53,1.62
168.19,1.57
169.87,1.55
171.57,1.52
173.29,1.47
175.02,1.44
176.77,1.41
178.54,1.35
180.32,1.32
182.13,1.29
183.95,1.25
185.79,1.20
187.65,1.17
189.52,1.14
191.42,1.11
193.33,1.06
195.27,1.03
197.22,1.01
199.19,0.97
201.18,0.93
203.19,0.90
205.23,0.87
207.28,0.84
209.35,0.81
211.44,0.78
213.56,0.75
215.69,0.73
217.85,0.69
220.03,0.65
222.23,0.64
224.45,0.59
226.70,0.58
228.96,0.55
231.25,0.52
233.57,0.49
235.90,0.45
238.26,0.43
240.64,0.41
243.05,0.36
245.48,0.36
247.93,0.32
250.41,0.29
252.92,0.27
255.45,0.23
258.00,0.22
260.58,0.18
263.19,0.16
265.82,0.13
268.48,0.10
271.16,0.08
273.87,0.04
276.61,0.01
279.38,-0.01
282.17,-0.06
284.99,-0.06
287.84,-0.10
290.72,-0.10
293.63,-0.15
296.57,-0.15
299.53,-0.15
302.53,-0.20
305.55,-0.20
308.61,-0.20
311.69,-0.19
314.81,-0.17
317.96,-0.17
321.14,-0.17
324.35,-0.20
327.59,-0.20
330.87,-0.20
334.18,-0.20
337.52,-0.24
340.90,-0.24
344.30,-0.24
347.75,-0.24
351.23,-0.24
354.74,-0.29
358.28,-0.29
361.87,-0.29
365.49,-0.34
369.14,-0.34
372.83,-0.37
376.56,-0.38
380.33,-0.41
384.13,-0.43
387.97,-0.46
391.85,-0.48
395.77,-0.49
399.73,-0.52
403.72,-0.52
407.76,-0.57
411.84,-0.57
415.96,-0.62
420.12,-0.62
424.32,-0.65
428.56,-0.66
432.85,-0.67
437.18,-0.71
441.55,-0.71
445.96,-0.74
450.42,-0.76
454.93,-0.76
459.48,-0.80
464.07,-0.80
468.71,-0.80
473.40,-0.85
478.13,-0.85
482.91,-0.90
487.74,-0.90
492.62,-0.90
497.55,-0.94
502.52,-0.94
507.55,-0.94
512.62,-0.99
517.75,-0.99
522.93,-0.99
528.16,-0.99
533.44,-1.03
538.77,-1.03
544.16,-1.03
549.60,-1.07
555.10,-1.08
560.65,-1.08
566.25,-1.08
571.92,-1.12
577.64,-1.13
583.41,-1.13
589.25,-1.13
595.14,-1.13
601.09,-1.16
607.10,-1.17
613.17,-1.17
619.30,-1.17
625.50,-1.17
631.75,-1.17
638.07,-1.17
644.45,-1.20
650.89,-1.20
657.40,-1.22
663.98,-1.22
670.62,-1.22
677.32,-1.22
684.10,-1.22
690.94,-1.22
697.85,-1.20
704.83,-1.20
711.87,-1.17
718.99,-1.17
726.18,-1.17
733.44,-1.17
740.78,-1.17
748.19,-1.13
755.67,-1.13
763.23,-1.13
770.86,-1.09
778.57,-1.08
786.35,-1.08
794.22,-1.03
802.16,-1.03
810.18,-0.99
818.28,-0.99
826.46,-0.94
834.73,-0.91
843.08,-0.90
851.51,-0.85
860.02,-0.81
868.62,-0.78
877.31,-0.73
886.08,-0.70
894.94,-0.64
903.89,-0.59
912.93,-0.55
922.06,-0.50
931.28,-0.45
940.59,-0.38
950.00,-0.32
959.50,-0.26
969.09,-0.21
978.78,-0.13
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.13
1028.71,0.21
1039.00,0.27
1049.39,0.34
1059.88,0.42
1070.48,0.50
1081.19,0.58
1092.00,0.64
1102.92,0.73
1113.95,0.79
1125.09,0.86
1136.34,0.94
1147.70,1.02
1159.18,1.09
1170.77,1.15
1182.48,1.23
1194.30,1.30
1206.25,1.36
1218.31,1.42
1230.49,1.49
1242.80,1.55
1255.22,1.62
1267.78,1.69
1280.45,1.74
1293.26,1.79
1306.19,1.87
1319.25,1.92
1332.45,1.98
1345.77,2.04
1359.23,2.10
1372.82,2.15
1386.55,2.20
1400.41,2.25
1414.42,2.31
1428.56,2.37
1442.85,2.41
1457.28,2.46
1471.85,2.52
1486.57,2.57
1501.43,2.62
1516.45,2.67
1531.61,2.71
1546.93,2.77
1562.40,2.83
1578.02,2.90
1593.80,2.95
1609.74,3.01
1625.84,3.08
1642.10,3.13
1658.52,3.18
1675.10,3.25
1691.85,3.32
1708.77,3.38
1725.86,3.43
1743.12,3.51
1760.55,3.58
1778.15,3.64
1795.94,3.72
1813.90,3.79
1832.03,3.85
1850.36,3.95
1868.86,4.02
1887.55,4.09
1906.42,4.19
1925.49,4.26
1944.74,4.36
1964.19,4.43
1983.83,4.54
2003.67,4.64
2023.71,4.73
2043.94,4.82
2064.38,4.92
2085.03,5.02
2105.88,5.12
2126.94,5.23
2148.20,5.34
2169.69,5.44
2191.38,5.58
2213.30,5.71
2235.43,5.82
2257.78,5.93
2280.36,6.06
2303.17,6.18
2326.20,6.30
2349.46,6.43
2372.95,6.56
2396.68,6.69
2420.65,6.81
2444.86,6.96
2469.31,7.09
2494.00,7.22
2518.94,7.35
2544.13,7.49
2569.57,7.61
2595.27,7.75
2621.22,7.88
2647.43,8.01
2673.90,8.16
2700.64,8.28
2727.65,8.43
2754.93,8.58
2782.48,8.70
2810.30,8.83
2838.40,8.94
2866.79,9.07
2895.46,9.18
2924.41,9.25
2953.65,9.33
2983.19,9.39
3013.02,9.44
3043.15,9.49
3073.58,9.49
3104.32,9.44
3135.36,9.42
3166.72,9.36
3198.38,9.31
3230.37,9.20
3262.67,9.12
3295.30,8.99
3328.25,8.88
3361.53,8.72
3395.15,8.59
3429.10,8.43
3463.39,8.27
3498.03,8.11
3533.01,7.92
3568.34,7.74
3604.02,7.55
3640.06,7.38
3676.46,7.21
3713.22,7.03
3750.36,6.83
3787.86,6.65
3825.74,6.48
3864.00,6.31
3902.64,6.13
3941.66,5.94
3981.08,5.78
4020.89,5.62
4061.10,5.47
4101.71,5.31
4142.73,5.15
4184.15,5.03
4226.00,4.89
4268.26,4.76
4310.94,4.63
4354.05,4.54
4397.59,4.44
4441.56,4.37
4485.98,4.27
4530.84,4.20
4576.15,4.16
4621.91,4.10
4668.13,4.05
4714.81,4.00
4761.96,3.99
4809.58,3.95
4857.67,3.95
4906.25,3.90
4955.31,3.90
5004.87,3.86
5054.91,3.85
5105.46,3.85
5156.52,3.81
5208.08,3.81
5260.16,3.77
5312.77,3.76
5365.89,3.71
5419.55,3.70
5473.75,3.67
5528.49,3.64
5583.77,3.60
5639.61,3.55
5696.00,3.50
5752.96,3.47
5810.49,3.41
5868.60,3.38
5927.28,3.33
5986.56,3.30
6046.42,3.25
6106.89,3.21
6167.96,3.20
6229.64,3.15
6291.93,3.15
6354.85,3.15
6418.40,3.15
6482.58,3.17
6547.41,3.20
6612.88,3.27
6679.01,3.33
6745.80,3.41
6813.26,3.52
6881.39,3.65
6950.21,3.78
